SETTLEMENT DATE,CUSIP,SYMBOL,QUANTITY (FAILS),DESCRIPTION,PRICE
20200701,D1668R123,DDAIF,379.0,DAIMLER AG,40.70
20200701,D18190898,DB,15321.0,DEUTSCHE BANK AG NAMEN AKT (DE,9.52
20200701,G01022105,CXRXF,33.0,ADVANZ PHARMA CORP LTD,3.05
20200701,G0120M117,AGBAW,605.0,AGBA ACQUISITION LTD WT EXP 05,0.29
20200701,G0232J119,ALUSWS,101.0,ALUSSA ENERGY ACQUISITION CORP,0.55
20200701,G0250X107,AMCR,7696.0,AMCOR PLC ORD USD0.01 (JEY),10.21
20200701,G0403H108,AON,3.0,AON PLC ORD SHS CL A NEW (IRL),192.60
20200701,G04415124,ANDAW,261509.0,ANDINA ACQUISITION CORP III,0.43
20200701,G05384154,AHLPRC,63.0,ASPEN INSURANCE HLDGS LTD FXD/,24.16
20200701,G05384204,AHLPRE,760.0,ASPEN INSURANCE HOLD LIM DEP S,22.00
20200701,G0585R106,AGO,148.0,ASSURED GUARNATY LTD,24.41
20200701,G0684D107,ATH,37.0,ATHENE HLDG LTD CL A (BMU),31.19
20200701,G0684D305,ATHPRA,4519.0,ATHENE HLDG LTD DEP SHS REPSTG,24.38
20200701,G0750W203,AXGT,9990.0,AXOVANT GENE THERAPIES LTD COM,2.82
20200701,G1117K106,BIOXWS,400.0,BIOCERES CROP SOLUTIONS CORP. ,0.21
20200701,G1151C101,ACN,360.0,ACCENTURE PLC CL-A ORDINARY SH,214.72
20200701,G1329V106,BHAT,68081.0,BLUE HAT INTERACTIVE ENTMT TEC,1.31
20200701,G1466R207,BORR,16855.0,BORR DRILLING LTD SHS (BERMUDA,1.12
20200701,G16234109,BBU,517.0,BROOKFIELD BUSINESS PARTNERS L,30.85
20200701,G16249107,BPY,247423.0,BROOKFIELD PPTY PARTNERS L P U,9.89
20200701,G16249156,BPYPO,695.0,BROOKFIELD PPTY PART P,18.13
20200701,G16252101,BIP,6692.0,BROOKFIELD INFRASTRUCTURE PART,41.11
20200701,G16258231,BEPPRA,718.0,BROOKFIELD RENEWABLE PARTNERS ,25.09
20200701,G1643W103,BRLIU,246.0,BRILLIANT ACQUISITION CORP UNI,10.03
20200701,G1757E113,CMCL,176870.0,CALEDONIA MNG CORP PLC SHS NEW,17.32
20200701,G1890L107,CPRI,4599.0,CAPRI HLDGS LTD SHS (VGB),15.63
20200701,G1992Y106,PCPLU,8418.0,CC NEUBERGER PRIN HLDGS I,10.60
20200701,G1992Y114,PCPL,10000.0,CC NEUBERGER PRIN HLDGS I CL A,10.07
20200701,G1992Y122,PCPLWS,82994.0,CC NEUBERGER PRIN HLDGS I WT E,1.45
20200701,G2110U109,CHNR,1050.0,"CHINA NATURAL RESOURCES, INC",1.18
20200701,G2118P102,CCRC,288.0,CHINA CUSTOMER RELATIONS CTRS ,4.57
20200701,G21513109,CCAC,5355.0,CITIC CAP ACQUISITION CORP CL ,9.82
20200701,G21513117,CCACWS,276676.0,CITIC CAP ACQUISITION CORP,0.73
20200701,G21513125,CCACU,4600.0,CITIC CAP ACQUISITION CORP UNT,10.05
20200701,G2161P108,SXTC,783298.0,CHINA SXT PHARMACEUTICALS INC ,0.53
20200701,G25839104,CCEP,117.0,COCA-COLA EUROPEAN PARTNERS PL,37.76
20200701,G2709G107,DLPH,253.0,DELPHI TECHNOLOGIES PLC,14.21
20200701,G27358103,DESP,748.0,DESPEGAR.COM CORP ORD SH (VGB),7.18
20200701,G2788T103,DOGZ,21.0,DOGNESS INTL CORP CL A COM (VG,1.48
20200701,G2911D116,ESSCW,14400.0,EAST STONE ACQUISITION CORP,0.25
20200701,G2911D132,ESSCR,4861.0,EAST STONE ACQUISITION CORP RI,0.19
20200701,G29183103,ETN,113.0,EATON CORP PLC (IRL),87.48
20200701,G2956M112,JFKKW,3855.0,8I ENTERPRISES ACQUISITION COR,0.46
20200701,G2956M120,JFKKR,2499.0,8I ENTERPRISES ACQUISITION COR,0.31
20200701,G2956M138,JFKKU,47.0,8I ENTERPRISES ACQUISITION COR,10.64
20200701,G3R33A106,EBON,14386.0,EBANG INTL HLDGS INC,4.73
20200701,G3040R158,EDVMF,24999.0,ENDEAVOUR MINING CORP SHS NEW ,24.22
20200701,G3156P103,ASA,285.0,ASA GOLD AND PRECIOUS METALS L,17.52
20200701,G3165V117,ARYAU,256.0,ARYA SCIENCES ACQUISITION CORP,20.00
20200701,G35006108,ALAC,142.0,ALBERTON ACQCORP USD ORD SHS,10.70
20200701,G3682E192,FRO,4288.0,FRONTLINE LTD (BMU),6.98
20200701,G3704F110,FFHL,15420.0,FUWEI FILMS HOLDINGS CO LTD SH,5.33
20200701,G3728V109,GAN,101510.0,GAN LTD SHS,25.45
20200701,G37585109,GLOG,340094.0,GASLOG LTD COMMON SHS (BERMUDA,2.81
20200701,G3770A102,GLEO,15.0,GALILEO ACQUISITION CORP. USD ,9.91
20200701,G3770A110,GLEOWS,4498.0,GALILEO ACQUISITION CORP.USD W,0.58
20200701,G3788M114,EROS,53863.0,EROS INTL PLC ORD SHS (IMN),3.16
20200701,G39637205,GOGL,6.0,GOLDEN OCEAN GROUP LTD SHS NEW,3.88
20200701,G39973105,GSMG,7449.0,GLORY STAR NEW MEDIA GROUP LTD,3.63
20200701,G4095J109,GLRE,630.0,GREENLIGHT CAPITAL RE LTD CL A,6.52
20200701,G4289N114,HAPP,6602.0,HAPPINESS BIOTECH GROUP LTD US,2.81
20200701,G4412G101,HLF,253.0,HERBALIFE NUTRITION LTD,44.98
20200701,G4418R101,HEBT,492.0,HEBRON TECHNOLOGY CO LTD CLASS,16.45
20200701,G4474Y214,JHG,121433.0,HENDERSON GROUP PLC ORD SHS (J,21.16
20200701,G45667105,HOLI,600.0,HOLLYSYS AUTOMATION TECHNOLOGI,13.30
20200701,G4603R122,HCCHW,9009.0,HL ACQUISITIONS CORP WT TO PUR,2.26
20200701,G4760X102,INDO,46.0,INDONESIA ENERGY CORP LTD USD ,4.72
20200701,G4863A108,IGT,36161.0,INTERNATIONAL GAME TECHNOLOGY ,8.90
20200701,G5005R107,JRVR,171.0,JAMES RIVER GROUP HOLDINGS LTD,45.00
20200701,G50744120,JWSU,660.0,JAWS ACQUISITION CORP.,10.43
20200701,G50871105,JAZZ,16420.0,JAZZ PHARMACEUTICALS PLC COM S,110.34
20200701,G52076109,KDNG,24907.0,KADING COMPANIES S A,0.02
20200701,G5223X100,KXIN,12093.0,KAIXIN AUTO HLDGS SHS (CYM),0.86
20200701,G5269C101,KNSA,78283.0,KINIKSA PHARMACEUTICALS LTD,25.48
