SETTLEMENT DATE,CUSIP,SYMBOL,QUANTITY (FAILS),DESCRIPTION,PRICE
20200601,37833100,AAPL,145066.0,APPLE INC;COM NPV,317.94
20200602,37833100,AAPL,9564.0,APPLE INC;COM NPV,321.85
20200603,37833100,AAPL,8136.0,APPLE INC;COM NPV,323.34
20200604,37833100,AAPL,60759.0,APPLE INC;COM NPV,325.12
20200605,37833100,AAPL,277332.0,APPLE INC;COM NPV,322.32
20200608,37833100,AAPL,391.0,APPLE INC;COM NPV,331.5
20200609,37833100,AAPL,13128.0,APPLE INC;COM NPV,333.46
20200610,37833100,AAPL,600.0,APPLE INC;COM NPV,343.99
20200611,37833100,AAPL,1876.0,APPLE INC;COM NPV,352.84
20200612,37833100,AAPL,400.0,APPLE INC;COM NPV,335.9
20200615,37833100,AAPL,22241.0,APPLE INC;COM NPV,338.8
20200617,37833100,AAPL,58822.0,APPLE INC;COM NPV,352.08
20200622,37833100,AAPL,5.0,APPLE INC;COM NPV,349.72
20200623,37833100,AAPL,58665.0,APPLE INC;COM NPV,358.87
20200624,37833100,AAPL,8.0,APPLE INC;COM NPV,366.53
20200625,37833100,AAPL,1992.0,APPLE INC;COM NPV,360.06
20200626,37833100,AAPL,25.0,APPLE INC;COM NPV,364.84
20200630,37833100,AAPL,248758.0,APPLE INC;COM NPV,361.78
20200702,37833100,AAPL,51772.0,APPLE INC;COM NPV,364.11
20200707,37833100,AAPL,5507.0,APPLE INC;COM NPV,373.85
20200708,37833100,AAPL,17482.0,APPLE INC;COM NPV,372.69
20200709,37833100,AAPL,15931.0,APPLE INC;COM NPV,381.37
20200710,37833100,AAPL,371.0,APPLE INC;COM NPV,382.73
20200713,37833100,AAPL,344.0,APPLE INC;COM NPV,383.68
20200714,37833100,AAPL,12700.0,APPLE INC;COM NPV,381.91
20200715,37833100,AAPL,9028.0,APPLE INC;COM NPV,388.23
20200716,37833100,AAPL,5357.0,APPLE INC;COM NPV,390.9
20200717,37833100,AAPL,30984.0,APPLE INC;COM NPV,386.09
20200721,37833100,AAPL,6613.0,APPLE INC;COM NPV,393.43
20200722,37833100,AAPL,8856.0,APPLE INC;COM NPV,388.0
20200723,37833100,AAPL,10.0,APPLE INC;COM NPV,389.09
20200727,37833100,AAPL,17.0,APPLE INC;COM NPV,370.46
20200728,37833100,AAPL,5.0,APPLE INC;COM NPV,379.24
20200730,37833100,AAPL,124.0,APPLE INC;COM NPV,380.16
20200731,37833100,AAPL,25.0,APPLE INC;COM NPV,384.76
20200803,37833100,AAPL,35063.0,APPLE INC;COM NPV,425.04
20200804,37833100,AAPL,29602.0,APPLE INC;COM NPV,435.75
20200805,37833100,AAPL,7795.0,APPLE INC;COM NPV,438.66
20200807,37833100,AAPL,7792.0,APPLE INC;COM NPV,455.61
20200810,37833100,AAPL,65455.0,APPLE INC;COM NPV,444.45
