SETTLEMENT DATE,CUSIP,SYMBOL,QUANTITY (FAILS),DESCRIPTION,PRICE
20200601,00165C104,AMC,468877.0,AMC ENTMT HLDGS INC CL A COM S,5.13
20200602,00165C104,AMC,1335289.0,AMC ENTMT HLDGS INC CL A COM S,5.31
20200603,00165C104,AMC,1277313.0,AMC ENTMT HLDGS INC CL A COM S,5.59
20200604,00165C104,AMC,508319.0,AMC ENTMT HLDGS INC CL A COM S,5.45
20200605,00165C104,AMC,103649.0,AMC ENTMT HLDGS INC CL A COM S,5.38
20200608,00165C104,AMC,5710.0,AMC ENTMT HLDGS INC CL A COM S,5.91
20200609,00165C104,AMC,23476.0,AMC ENTMT HLDGS INC CL A COM S,6.45
20200610,00165C104,AMC,56438.0,AMC ENTMT HLDGS INC CL A COM S,5.99
20200611,00165C104,AMC,94090.0,AMC ENTMT HLDGS INC CL A COM S,6.29
20200612,00165C104,AMC,449602.0,AMC ENTMT HLDGS INC CL A COM S,5.17
20200615,00165C104,AMC,158737.0,AMC ENTMT HLDGS INC CL A COM S,5.89
20200616,00165C104,AMC,113577.0,AMC ENTMT HLDGS INC CL A COM S,5.8
20200617,00165C104,AMC,17706.0,AMC ENTMT HLDGS INC CL A COM S,5.56
20200618,00165C104,AMC,3904.0,AMC ENTMT HLDGS INC CL A COM S,5.42
20200619,00165C104,AMC,13402.0,AMC ENTMT HLDGS INC CL A COM S,5.63
20200622,00165C104,AMC,78688.0,AMC ENTMT HLDGS INC CL A COM S,5.52
20200623,00165C104,AMC,253709.0,AMC ENTMT HLDGS INC CL A COM S,5.33
20200624,00165C104,AMC,10953.0,AMC ENTMT HLDGS INC CL A COM S,5.1
20200625,00165C104,AMC,131764.0,AMC ENTMT HLDGS INC CL A COM S,4.79
20200626,00165C104,AMC,426388.0,AMC ENTMT HLDGS INC CL A COM S,4.27
20200629,00165C104,AMC,1007218.0,AMC ENTMT HLDGS INC CL A COM S,4.18
20200630,00165C104,AMC,1299196.0,AMC ENTMT HLDGS INC CL A COM S,4.42
20200701,00165C104,AMC,997849.0,AMC ENTMT HLDGS INC CL A COM S,4.29
20200702,00165C104,AMC,962898.0,AMC ENTMT HLDGS INC CL A COM S,4.57
20200706,00165C104,AMC,203407.0,AMC ENTMT HLDGS INC CL A COM S,4.53
20200707,00165C104,AMC,282495.0,AMC ENTMT HLDGS INC CL A COM S,4.28
20200708,00165C104,AMC,115473.0,AMC ENTMT HLDGS INC CL A COM S,4.13
20200709,00165C104,AMC,44876.0,AMC ENTMT HLDGS INC CL A COM S,4.43
20200710,00165C104,AMC,12179.0,AMC ENTMT HLDGS INC CL A COM S,4.57
20200713,00165C104,AMC,61926.0,AMC ENTMT HLDGS INC CL A COM S,4.6
