SETTLEMENT DATE,CUSIP,SYMBOL,QUANTITY (FAILS),DESCRIPTION,PRICE
20200602,7903107,AMD,40405.0,ADVANCED MICRO DEVICES,53.63
20200609,7903107,AMD,13552.0,ADVANCED MICRO DEVICES,52.97
20200610,7903107,AMD,35714.0,ADVANCED MICRO DEVICES,56.39
20200611,7903107,AMD,24762.0,ADVANCED MICRO DEVICES,57.44
20200615,7903107,AMD,9727.0,ADVANCED MICRO DEVICES,53.5
20200616,7903107,AMD,67236.0,ADVANCED MICRO DEVICES,54.68
20200623,7903107,AMD,1400.0,ADVANCED MICRO DEVICES,54.76
20200624,7903107,AMD,7280.0,ADVANCED MICRO DEVICES,53.99
20200625,7903107,AMD,69880.0,ADVANCED MICRO DEVICES,52.39
20200626,7903107,AMD,10502.0,ADVANCED MICRO DEVICES,51.93
20200630,7903107,AMD,1005.0,ADVANCED MICRO DEVICES,50.28
20200701,7903107,AMD,5591.0,ADVANCED MICRO DEVICES,52.61
20200702,7903107,AMD,33011.0,ADVANCED MICRO DEVICES,52.58
20200706,7903107,AMD,3628.0,ADVANCED MICRO DEVICES,52.34
20200707,7903107,AMD,900.0,ADVANCED MICRO DEVICES,53.4
20200708,7903107,AMD,43.0,ADVANCED MICRO DEVICES,52.93
20200709,7903107,AMD,1599.0,ADVANCED MICRO DEVICES,53.43
20200710,7903107,AMD,49.0,ADVANCED MICRO DEVICES,57.26
20200713,7903107,AMD,5209.0,ADVANCED MICRO DEVICES,55.88
20200714,7903107,AMD,2445.0,ADVANCED MICRO DEVICES,53.59
20200716,7903107,AMD,18126.0,ADVANCED MICRO DEVICES,55.34
20200717,7903107,AMD,6567.0,ADVANCED MICRO DEVICES,54.92
20200720,7903107,AMD,7609.0,ADVANCED MICRO DEVICES,55.04
20200721,7903107,AMD,300.0,ADVANCED MICRO DEVICES,57.46
20200722,7903107,AMD,1454.0,ADVANCED MICRO DEVICES,57.0
20200723,7903107,AMD,757.0,ADVANCED MICRO DEVICES,61.79
20200724,7903107,AMD,700.0,ADVANCED MICRO DEVICES,59.57
20200728,7903107,AMD,61165.0,ADVANCED MICRO DEVICES,68.97
20200729,7903107,AMD,146563.0,ADVANCED MICRO DEVICES,67.61
20200803,7903107,AMD,5616.0,ADVANCED MICRO DEVICES,77.43
20200806,7903107,AMD,19383.0,ADVANCED MICRO DEVICES,85.31
20200810,7903107,AMD,27729.0,ADVANCED MICRO DEVICES,84.85
20200811,7903107,AMD,14710.0,ADVANCED MICRO DEVICES,82.24
20200812,7903107,AMD,67799.0,ADVANCED MICRO DEVICES,76.88
20200813,7903107,AMD,103.0,ADVANCED MICRO DEVICES,82.61
20200818,7903107,AMD,2422.0,ADVANCED MICRO DEVICES,82.42
20200820,7903107,AMD,1252.0,ADVANCED MICRO DEVICES,81.09
20200824,7903107,AMD,13710.0,ADVANCED MICRO DEVICES,83.81
20200825,7903107,AMD,93343.0,ADVANCED MICRO DEVICES,83.08
20200827,7903107,AMD,6471.0,ADVANCED MICRO DEVICES,86.02
20200828,7903107,AMD,269.0,ADVANCED MICRO DEVICES,83.8
20200901,7903107,AMD,7860.0,ADVANCED MICRO DEVICES,90.82
20200902,7903107,AMD,3190.0,ADVANCED MICRO DEVICES,92.18
20200904,7903107,AMD,8199.0,ADVANCED MICRO DEVICES,82.54
20200908,7903107,AMD,12858.0,ADVANCED MICRO DEVICES,82.01
20200910,7903107,AMD,929.0,ADVANCED MICRO DEVICES,81.91
20200911,7903107,AMD,5438.0,ADVANCED MICRO DEVICES,78.98
20200914,7903107,AMD,11266.0,ADVANCED MICRO DEVICES,76.34
20200916,7903107,AMD,5625.0,ADVANCED MICRO DEVICES,78.93
20200918,7903107,AMD,285980.0,ADVANCED MICRO DEVICES,76.55
20200921,7903107,AMD,6655.0,ADVANCED MICRO DEVICES,74.93
20200923,7903107,AMD,8724.0,ADVANCED MICRO DEVICES,77.7
20200925,7903107,AMD,336.0,ADVANCED MICRO DEVICES,75.82
20200928,7903107,AMD,66624.0,ADVANCED MICRO DEVICES,78.06
20200929,7903107,AMD,4798.0,ADVANCED MICRO DEVICES,79.48
20201001,7903107,AMD,950.0,ADVANCED MICRO DEVICES,81.99
20201002,7903107,AMD,75.0,ADVANCED MICRO DEVICES,84.86
20201005,7903107,AMD,17600.0,ADVANCED MICRO DEVICES,81.8
20201006,7903107,AMD,3565.0,ADVANCED MICRO DEVICES,86.15
20201007,7903107,AMD,91706.0,ADVANCED MICRO DEVICES,84.48
20201008,7903107,AMD,3141.0,ADVANCED MICRO DEVICES,86.69
20201009,7903107,AMD,1946.0,ADVANCED MICRO DEVICES,86.51
20201013,7903107,AMD,23.0,ADVANCED MICRO DEVICES,84.29
20201014,7903107,AMD,585.0,ADVANCED MICRO DEVICES,85.28
20201016,7903107,AMD,2447.0,ADVANCED MICRO DEVICES,83.13
20201020,7903107,AMD,5512.0,ADVANCED MICRO DEVICES,82.0
20201021,7903107,AMD,12308.0,ADVANCED MICRO DEVICES,81.56
20201023,7903107,AMD,1059.0,ADVANCED MICRO DEVICES,79.42
20201027,7903107,AMD,400.0,ADVANCED MICRO DEVICES,82.23
20201028,7903107,AMD,3038.0,ADVANCED MICRO DEVICES,78.88
20201029,7903107,AMD,17247.0,ADVANCED MICRO DEVICES,76.4
20201030,7903107,AMD,81999.0,ADVANCED MICRO DEVICES,78.02
20201102,7903107,AMD,2202.0,ADVANCED MICRO DEVICES,75.29
20201103,7903107,AMD,2729.0,ADVANCED MICRO DEVICES,74.7
20201105,7903107,AMD,51245.0,ADVANCED MICRO DEVICES,81.35
20201106,7903107,AMD,14391.0,ADVANCED MICRO DEVICES,83.0
20201109,7903107,AMD,39645.0,ADVANCED MICRO DEVICES,85.88
20201110,7903107,AMD,14200.0,ADVANCED MICRO DEVICES,83.12
20201112,7903107,AMD,1798.0,ADVANCED MICRO DEVICES,81.28
20201116,7903107,AMD,126078.0,ADVANCED MICRO DEVICES,81.43
20201117,7903107,AMD,3530.0,ADVANCED MICRO DEVICES,83.73
20201118,7903107,AMD,4192.0,ADVANCED MICRO DEVICES,83.36
20201119,7903107,AMD,233122.0,ADVANCED MICRO DEVICES,82.54
20201120,7903107,AMD,16955.0,ADVANCED MICRO DEVICES,85.54
20201123,7903107,AMD,115803.0,ADVANCED MICRO DEVICES,84.64
20201124,7903107,AMD,17250.0,ADVANCED MICRO DEVICES,85.31
20201125,7903107,AMD,2926.0,ADVANCED MICRO DEVICES,85.07
20201127,7903107,AMD,8965.0,ADVANCED MICRO DEVICES,86.71
20201130,7903107,AMD,2071.0,ADVANCED MICRO DEVICES,87.19
20201201,7903107,AMD,112271.0,ADVANCED MICRO DEVICES,92.66
20201202,7903107,AMD,9187.0,ADVANCED MICRO DEVICES,92.63
20201203,7903107,AMD,109599.0,ADVANCED MICRO DEVICES,93.74
20201204,7903107,AMD,40656.0,ADVANCED MICRO DEVICES,92.31
20201208,7903107,AMD,40628.0,ADVANCED MICRO DEVICES,94.07
20201210,7903107,AMD,31148.0,ADVANCED MICRO DEVICES,89.83
20201211,7903107,AMD,4293.0,ADVANCED MICRO DEVICES,91.66
20201214,7903107,AMD,3116.0,ADVANCED MICRO DEVICES,91.65
20201215,7903107,AMD,907.0,ADVANCED MICRO DEVICES,94.78
20201216,7903107,AMD,3225.0,ADVANCED MICRO DEVICES,97.12
20201217,7903107,AMD,1972.0,ADVANCED MICRO DEVICES,96.85
20201218,7903107,AMD,1679.0,ADVANCED MICRO DEVICES,96.84
20201221,7903107,AMD,5394.0,ADVANCED MICRO DEVICES,95.92
20201222,7903107,AMD,27300.0,ADVANCED MICRO DEVICES,93.23
20201223,7903107,AMD,30816.0,ADVANCED MICRO DEVICES,93.16
20201224,7903107,AMD,11044.0,ADVANCED MICRO DEVICES,91.55
20201229,7903107,AMD,4125.0,ADVANCED MICRO DEVICES,91.6
20201230,7903107,AMD,3259.0,ADVANCED MICRO DEVICES,90.62
20201231,7903107,AMD,136312.0,ADVANCED MICRO DEVICES,92.29
20210104,7903107,AMD,15114.0,ADVANCED MICRO DEVICES,91.71
20210105,7903107,AMD,332.0,ADVANCED MICRO DEVICES,92.3
20210106,7903107,AMD,1472.0,ADVANCED MICRO DEVICES,92.77
20210107,7903107,AMD,92553.0,ADVANCED MICRO DEVICES,90.33
20210111,7903107,AMD,16358.0,ADVANCED MICRO DEVICES,94.58
20210112,7903107,AMD,16613.0,ADVANCED MICRO DEVICES,97.25
20210119,7903107,AMD,154405.0,ADVANCED MICRO DEVICES,88.21
20210120,7903107,AMD,941314.0,ADVANCED MICRO DEVICES,89.45
20210121,7903107,AMD,6283.0,ADVANCED MICRO DEVICES,88.75
20210122,7903107,AMD,19334.0,ADVANCED MICRO DEVICES,91.53
20210126,7903107,AMD,6033.0,ADVANCED MICRO DEVICES,94.13
20210127,7903107,AMD,7081.0,ADVANCED MICRO DEVICES,94.71
20210128,7903107,AMD,8456.0,ADVANCED MICRO DEVICES,88.84
20210129,7903107,AMD,271579.0,ADVANCED MICRO DEVICES,87.52
20210201,7903107,AMD,169597.0,ADVANCED MICRO DEVICES,85.64
20210202,7903107,AMD,112526.0,ADVANCED MICRO DEVICES,87.66
20210203,7903107,AMD,10727.0,ADVANCED MICRO DEVICES,88.86
20210204,7903107,AMD,5220.0,ADVANCED MICRO DEVICES,87.89
20210205,7903107,AMD,70212.0,ADVANCED MICRO DEVICES,87.84
20210208,7903107,AMD,15621.0,ADVANCED MICRO DEVICES,87.9
20210209,7903107,AMD,4515.0,ADVANCED MICRO DEVICES,91.47
20210210,7903107,AMD,87409.0,ADVANCED MICRO DEVICES,90.91
20210211,7903107,AMD,153860.0,ADVANCED MICRO DEVICES,92.35
20210212,7903107,AMD,87313.0,ADVANCED MICRO DEVICES,92.66
20210216,7903107,AMD,9777.0,ADVANCED MICRO DEVICES,93.77
20210217,7903107,AMD,50559.0,ADVANCED MICRO DEVICES,91.46
20210219,7903107,AMD,11864.0,ADVANCED MICRO DEVICES,88.64
20210222,7903107,AMD,125215.0,ADVANCED MICRO DEVICES,89.58
20210223,7903107,AMD,2686.0,ADVANCED MICRO DEVICES,85.37
20210224,7903107,AMD,274.0,ADVANCED MICRO DEVICES,84.74
20210225,7903107,AMD,170812.0,ADVANCED MICRO DEVICES,86.94
20210226,7903107,AMD,560.0,ADVANCED MICRO DEVICES,82.42
20210301,7903107,AMD,508.0,ADVANCED MICRO DEVICES,84.51
20210302,7903107,AMD,985.0,ADVANCED MICRO DEVICES,86.39
20210303,7903107,AMD,593.0,ADVANCED MICRO DEVICES,84.13
20210304,7903107,AMD,3081.0,ADVANCED MICRO DEVICES,80.86
20210308,7903107,AMD,2776.0,ADVANCED MICRO DEVICES,78.52
20210309,7903107,AMD,1281.0,ADVANCED MICRO DEVICES,73.96
20210310,7903107,AMD,14767.0,ADVANCED MICRO DEVICES,78.53
20210311,7903107,AMD,132882.0,ADVANCED MICRO DEVICES,77.52
20210312,7903107,AMD,9310.0,ADVANCED MICRO DEVICES,81.23
20210315,7903107,AMD,126832.0,ADVANCED MICRO DEVICES,81.05
20210317,7903107,AMD,267303.0,ADVANCED MICRO DEVICES,82.75
20210322,7903107,AMD,230135.0,ADVANCED MICRO DEVICES,79.06
20210323,7903107,AMD,928941.0,ADVANCED MICRO DEVICES,80.3
20210325,7903107,AMD,358.0,ADVANCED MICRO DEVICES,76.48
20210326,7903107,AMD,627.0,ADVANCED MICRO DEVICES,76.22
20210329,7903107,AMD,3134.0,ADVANCED MICRO DEVICES,77.41
20210401,7903107,AMD,37432.0,ADVANCED MICRO DEVICES,78.5
20210405,7903107,AMD,24.0,ADVANCED MICRO DEVICES,81.09
20210406,7903107,AMD,6024.0,ADVANCED MICRO DEVICES,81.43
20210409,7903107,AMD,292.0,ADVANCED MICRO DEVICES,83.35
20210413,7903107,AMD,3100.0,ADVANCED MICRO DEVICES,78.58
20210414,7903107,AMD,861.0,ADVANCED MICRO DEVICES,80.19
20210416,7903107,AMD,114744.0,ADVANCED MICRO DEVICES,83.01
20210419,7903107,AMD,5283.0,ADVANCED MICRO DEVICES,82.15
20210420,7903107,AMD,167730.0,ADVANCED MICRO DEVICES,81.11
20210421,7903107,AMD,441.0,ADVANCED MICRO DEVICES,79.27
20210422,7903107,AMD,53629.0,ADVANCED MICRO DEVICES,81.61
20210426,7903107,AMD,35818.0,ADVANCED MICRO DEVICES,82.76
20210427,7903107,AMD,37835.0,ADVANCED MICRO DEVICES,85.41
20210428,7903107,AMD,46422.0,ADVANCED MICRO DEVICES,85.21
20210429,7903107,AMD,11544.0,ADVANCED MICRO DEVICES,84.02
20210430,7903107,AMD,24997.0,ADVANCED MICRO DEVICES,83.91
20210503,7903107,AMD,30365.0,ADVANCED MICRO DEVICES,81.62
20210505,7903107,AMD,7846.0,ADVANCED MICRO DEVICES,78.61
20210506,7903107,AMD,5905.0,ADVANCED MICRO DEVICES,77.83
20210507,7903107,AMD,2069.0,ADVANCED MICRO DEVICES,77.89
20210510,7903107,AMD,51317.0,ADVANCED MICRO DEVICES,78.81
20210511,7903107,AMD,4327.0,ADVANCED MICRO DEVICES,75.99
20210512,7903107,AMD,37.0,ADVANCED MICRO DEVICES,76.83
20210517,7903107,AMD,255.0,ADVANCED MICRO DEVICES,74.59
20210518,7903107,AMD,1627.0,ADVANCED MICRO DEVICES,74.65
20210521,7903107,AMD,82191.0,ADVANCED MICRO DEVICES,78.06
20210524,7903107,AMD,25900.0,ADVANCED MICRO DEVICES,77.17
20210525,7903107,AMD,35.0,ADVANCED MICRO DEVICES,77.44
20210526,7903107,AMD,1440.0,ADVANCED MICRO DEVICES,77.86
20210528,7903107,AMD,2182.0,ADVANCED MICRO DEVICES,78.42
20210601,007903107,AMD,9853.0,ADVANCED MICRO DEVICES,80.08
20210602,007903107,AMD,57935.0,ADVANCED MICRO DEVICES,80.81
20210603,007903107,AMD,4742.0,ADVANCED MICRO DEVICES,81.97
20210604,007903107,AMD,19710.0,ADVANCED MICRO DEVICES,80.28
20210607,007903107,AMD,360.0,ADVANCED MICRO DEVICES,81.58
20210608,007903107,AMD,10796.0,ADVANCED MICRO DEVICES,81.35
20210611,007903107,AMD,44689.0,ADVANCED MICRO DEVICES,81.56
20210614,007903107,AMD,7427.0,ADVANCED MICRO DEVICES,81.31
