SETTLEMENT DATE,CUSIP,SYMBOL,QUANTITY (FAILS),DESCRIPTION,PRICE
20200602,23135106,AMZN,28184.0,AMAZON COM INC;COM USD0.01,2471.04
20200603,23135106,AMZN,9.0,AMAZON COM INC;COM USD0.01,2472.41
20200609,23135106,AMZN,702.0,AMAZON COM INC;COM USD0.01,2524.06
20200610,23135106,AMZN,665.0,AMAZON COM INC;COM USD0.01,2600.86
20200611,23135106,AMZN,524.0,AMAZON COM INC;COM USD0.01,2647.45
20200612,23135106,AMZN,15.0,AMAZON COM INC;COM USD0.01,2557.96
20200616,23135106,AMZN,95.0,AMAZON COM INC;COM USD0.01,2572.68
20200623,23135106,AMZN,10875.0,AMAZON COM INC;COM USD0.01,2713.82
20200625,23135106,AMZN,2.0,AMAZON COM INC;COM USD0.01,2734.4
20200629,23135106,AMZN,12809.0,AMAZON COM INC;COM USD0.01,2692.87
20200630,23135106,AMZN,5477.0,AMAZON COM INC;COM USD0.01,2680.38
20200702,23135106,AMZN,99.0,AMAZON COM INC;COM USD0.01,2878.7
20200707,23135106,AMZN,200.0,AMAZON COM INC;COM USD0.01,3057.04
20200708,23135106,AMZN,10.0,AMAZON COM INC;COM USD0.01,3000.12
20200710,23135106,AMZN,126.0,AMAZON COM INC;COM USD0.01,3182.63
20200713,23135106,AMZN,2486.0,AMAZON COM INC;COM USD0.01,3200.0
20200715,23135106,AMZN,3918.0,AMAZON COM INC;COM USD0.01,3084.0
20200716,23135106,AMZN,2499.0,AMAZON COM INC;COM USD0.01,3008.87
20200721,23135106,AMZN,4353.0,AMAZON COM INC;COM USD0.01,3196.84
20200723,23135106,AMZN,21.0,AMAZON COM INC;COM USD0.01,3099.91
20200724,23135106,AMZN,4188.0,AMAZON COM INC;COM USD0.01,2986.55
20200728,23135106,AMZN,457.0,AMAZON COM INC;COM USD0.01,3055.21
20200729,23135106,AMZN,172.0,AMAZON COM INC;COM USD0.01,3000.33
20200730,23135106,AMZN,1988.0,AMAZON COM INC;COM USD0.01,3033.53
20200803,23135106,AMZN,11050.0,AMAZON COM INC;COM USD0.01,3164.68
20200804,23135106,AMZN,600.0,AMAZON COM INC;COM USD0.01,3111.89
20200805,23135106,AMZN,1824.0,AMAZON COM INC;COM USD0.01,3138.83
20200806,23135106,AMZN,1610.0,AMAZON COM INC;COM USD0.01,3205.03
20200810,23135106,AMZN,941.0,AMAZON COM INC;COM USD0.01,3167.46
20200813,23135106,AMZN,3.0,AMAZON COM INC;COM USD0.01,3162.24
20200814,23135106,AMZN,4.0,AMAZON COM INC;COM USD0.01,3161.02
20200817,23135106,AMZN,17.0,AMAZON COM INC;COM USD0.01,3148.02
20200818,23135106,AMZN,819.0,AMAZON COM INC;COM USD0.01,3182.41
20200821,23135106,AMZN,20.0,AMAZON COM INC;COM USD0.01,3297.37
20200825,23135106,AMZN,5.0,AMAZON COM INC;COM USD0.01,3307.46
20200826,23135106,AMZN,374.0,AMAZON COM INC;COM USD0.01,3346.49
20200828,23135106,AMZN,190.0,AMAZON COM INC;COM USD0.01,3400.0
20200831,23135106,AMZN,1692.0,AMAZON COM INC;COM USD0.01,3401.8
20200901,23135106,AMZN,101.0,AMAZON COM INC;COM USD0.01,3450.96
20200902,23135106,AMZN,522.0,AMAZON COM INC;COM USD0.01,3499.12
20200908,23135106,AMZN,363.0,AMAZON COM INC;COM USD0.01,3294.62
