SETTLEMENT DATE,CUSIP,SYMBOL,QUANTITY (FAILS),DESCRIPTION,PRICE
20200601,00214Q708,ARKF,15923.0,ARK ETF TR FINTECH INNOVATION ,28.32
20200602,00214Q708,ARKF,22051.0,ARK ETF TR FINTECH INNOVATION ,28.75
20200603,00214Q708,ARKF,5499.0,ARK ETF TR FINTECH INNOVATION ,29.25
20200604,00214Q708,ARKF,40.0,ARK ETF TR FINTECH INNOVATION ,29.72
20200605,00214Q708,ARKF,11552.0,ARK ETF TR FINTECH INNOVATION ,29.34
20200608,00214Q708,ARKF,28294.0,ARK ETF TR FINTECH INNOVATION ,29.68
20200609,00214Q708,ARKF,8636.0,ARK ETF TR FINTECH INNOVATION ,29.87
20200611,00214Q708,ARKF,36316.0,ARK ETF TR FINTECH INNOVATION ,30.24
20200612,00214Q708,ARKF,2642.0,ARK ETF TR FINTECH INNOVATION ,28.68
20200616,00214Q708,ARKF,151.0,ARK ETF TR FINTECH INNOVATION ,29.92
20200617,00214Q708,ARKF,1860.0,ARK ETF TR FINTECH INNOVATION ,30.56
20200618,00214Q708,ARKF,11842.0,ARK ETF TR FINTECH INNOVATION ,30.94
20200622,00214Q708,ARKF,17219.0,ARK ETF TR FINTECH INNOVATION ,31.03
20200623,00214Q708,ARKF,8853.0,ARK ETF TR FINTECH INNOVATION ,31.68
20200624,00214Q708,ARKF,28315.0,ARK ETF TR FINTECH INNOVATION ,32.06
20200625,00214Q708,ARKF,6564.0,ARK ETF TR FINTECH INNOVATION ,31.22
20200629,00214Q708,ARKF,5377.0,ARK ETF TR FINTECH INNOVATION ,31.18
20200630,00214Q708,ARKF,3296.0,ARK ETF TR FINTECH INNOVATION ,31.3
20200702,00214Q708,ARKF,4247.0,ARK ETF TR FINTECH INNOVATION ,32.45
20200706,00214Q708,ARKF,3799.0,ARK ETF TR FINTECH INNOVATION ,32.77
20200707,00214Q708,ARKF,5907.0,ARK ETF TR FINTECH INNOVATION ,33.92
20200708,00214Q708,ARKF,3308.0,ARK ETF TR FINTECH INNOVATION ,34.01
20200710,00214Q708,ARKF,15872.0,ARK ETF TR FINTECH INNOVATION ,35.14
20200713,00214Q708,ARKF,464.0,ARK ETF TR FINTECH INNOVATION ,34.99
20200716,00214Q708,ARKF,141.0,ARK ETF TR FINTECH INNOVATION ,34.11
20200717,00214Q708,ARKF,6941.0,ARK ETF TR FINTECH INNOVATION ,33.63
20200720,00214Q708,ARKF,3426.0,ARK ETF TR FINTECH INNOVATION ,34.02
20200721,00214Q708,ARKF,2604.0,ARK ETF TR FINTECH INNOVATION ,35.15
20200723,00214Q708,ARKF,150.0,ARK ETF TR FINTECH INNOVATION ,35.14
20200729,00214Q708,ARKF,239.0,ARK ETF TR FINTECH INNOVATION ,34.49
20200730,00214Q708,ARKF,1930.0,ARK ETF TR FINTECH INNOVATION ,35.36
20200731,00214Q708,ARKF,17453.0,ARK ETF TR FINTECH INNOVATION ,35.59
20200803,00214Q708,ARKF,9787.0,ARK ETF TR FINTECH INNOVATION ,36.26
20200805,00214Q708,ARKF,469.0,ARK ETF TR FINTECH INNOVATION ,37.44
20200806,00214Q708,ARKF,11182.0,ARK ETF TR FINTECH INNOVATION ,38.26
20200810,00214Q708,ARKF,2775.0,ARK ETF TR FINTECH INNOVATION ,37.85
20200811,00214Q708,ARKF,15169.0,ARK ETF TR FINTECH INNOVATION ,37.13
20200812,00214Q708,ARKF,7147.0,ARK ETF TR FINTECH INNOVATION ,36.45
20200814,00214Q708,ARKF,2144.0,ARK ETF TR FINTECH INNOVATION ,37.2
20200817,00214Q708,ARKF,9750.0,ARK ETF TR FINTECH INNOVATION ,37.13
20200818,00214Q708,ARKF,1990.0,ARK ETF TR FINTECH INNOVATION ,38.02
20200826,00214Q708,ARKF,2655.0,ARK ETF TR FINTECH INNOVATION ,39.42
20200828,00214Q708,ARKF,129174.0,ARK ETF TR FINTECH INNOVATION ,40.23
20200831,00214Q708,ARKF,10602.0,ARK ETF TR FINTECH INNOVATION ,40.38
20200901,00214Q708,ARKF,19083.0,ARK ETF TR FINTECH INNOVATION ,40.37
20200902,00214Q708,ARKF,47491.0,ARK ETF TR FINTECH INNOVATION ,41.61
20200903,00214Q708,ARKF,46005.0,ARK ETF TR FINTECH INNOVATION ,41.57
20200904,00214Q708,ARKF,45131.0,ARK ETF TR FINTECH INNOVATION ,39.44
20200908,00214Q708,ARKF,19387.0,ARK ETF TR FINTECH INNOVATION ,38.51
20200909,00214Q708,ARKF,177.0,ARK ETF TR FINTECH INNOVATION ,36.98
20200911,00214Q708,ARKF,35598.0,ARK ETF TR FINTECH INNOVATION ,37.29
20200914,00214Q708,ARKF,10021.0,ARK ETF TR FINTECH INNOVATION ,37.15
20200915,00214Q708,ARKF,9760.0,ARK ETF TR FINTECH INNOVATION ,38.04
20200916,00214Q708,ARKF,8777.0,ARK ETF TR FINTECH INNOVATION ,38.76
20200922,00214Q708,ARKF,313.0,ARK ETF TR FINTECH INNOVATION ,38.07
20200923,00214Q708,ARKF,190241.0,ARK ETF TR FINTECH INNOVATION ,38.88
20200924,00214Q708,ARKF,29284.0,ARK ETF TR FINTECH INNOVATION ,38.05
20200925,00214Q708,ARKF,46.0,ARK ETF TR FINTECH INNOVATION ,38.02
20200929,00214Q708,ARKF,1350.0,ARK ETF TR FINTECH INNOVATION ,39.34
20200930,00214Q708,ARKF,5103.0,ARK ETF TR FINTECH INNOVATION ,39.43
20201002,00214Q708,ARKF,35.0,ARK ETF TR FINTECH INNOVATION ,40.64
20201006,00214Q708,ARKF,387.0,ARK ETF TR FINTECH INNOVATION ,41.09
20201007,00214Q708,ARKF,78883.0,ARK ETF TR FINTECH INNOVATION ,40.78
20201014,00214Q708,ARKF,17676.0,ARK ETF TR FINTECH INNOVATION ,43.61
20201015,00214Q708,ARKF,52947.0,ARK ETF TR FINTECH INNOVATION ,43.02
