SETTLEMENT DATE,CUSIP,SYMBOL,QUANTITY (FAILS),DESCRIPTION,PRICE
20200601,00214Q302,ARKG,200690.0,ARK GENOMIC REVOLUTION ETF (DE,46.34
20200603,00214Q302,ARKG,29482.0,ARK GENOMIC REVOLUTION ETF (DE,48.11
20200604,00214Q302,ARKG,81588.0,ARK GENOMIC REVOLUTION ETF (DE,46.9
20200605,00214Q302,ARKG,97.0,ARK GENOMIC REVOLUTION ETF (DE,45.16
20200609,00214Q302,ARKG,65.0,ARK GENOMIC REVOLUTION ETF (DE,44.87
20200616,00214Q302,ARKG,28.0,ARK GENOMIC REVOLUTION ETF (DE,45.81
20200618,00214Q302,ARKG,6947.0,ARK GENOMIC REVOLUTION ETF (DE,46.59
20200619,00214Q302,ARKG,8128.0,ARK GENOMIC REVOLUTION ETF (DE,47.19
20200622,00214Q302,ARKG,34600.0,ARK GENOMIC REVOLUTION ETF (DE,47.96
20200623,00214Q302,ARKG,158908.0,ARK GENOMIC REVOLUTION ETF (DE,51.22
20200624,00214Q302,ARKG,186612.0,ARK GENOMIC REVOLUTION ETF (DE,53.08
20200625,00214Q302,ARKG,208909.0,ARK GENOMIC REVOLUTION ETF (DE,51.31
20200626,00214Q302,ARKG,203.0,ARK GENOMIC REVOLUTION ETF (DE,52.45
20200630,00214Q302,ARKG,23011.0,ARK GENOMIC REVOLUTION ETF (DE,51.0
20200701,00214Q302,ARKG,33994.0,ARK GENOMIC REVOLUTION ETF (DE,52.16
20200702,00214Q302,ARKG,31396.0,ARK GENOMIC REVOLUTION ETF (DE,53.19
20200706,00214Q302,ARKG,35891.0,ARK GENOMIC REVOLUTION ETF (DE,54.06
20200707,00214Q302,ARKG,40920.0,ARK GENOMIC REVOLUTION ETF (DE,55.1
20200708,00214Q302,ARKG,773.0,ARK GENOMIC REVOLUTION ETF (DE,56.15
20200709,00214Q302,ARKG,25044.0,ARK GENOMIC REVOLUTION ETF (DE,57.63
20200710,00214Q302,ARKG,51066.0,ARK GENOMIC REVOLUTION ETF (DE,57.46
20200713,00214Q302,ARKG,96133.0,ARK GENOMIC REVOLUTION ETF (DE,55.72
20200714,00214Q302,ARKG,98876.0,ARK GENOMIC REVOLUTION ETF (DE,54.53
20200720,00214Q302,ARKG,590.0,ARK GENOMIC REVOLUTION ETF (DE,57.14
20200721,00214Q302,ARKG,7401.0,ARK GENOMIC REVOLUTION ETF (DE,58.61
20200722,00214Q302,ARKG,147473.0,ARK GENOMIC REVOLUTION ETF (DE,57.08
20200723,00214Q302,ARKG,156922.0,ARK GENOMIC REVOLUTION ETF (DE,57.02
20200724,00214Q302,ARKG,163315.0,ARK GENOMIC REVOLUTION ETF (DE,55.27
20200729,00214Q302,ARKG,12961.0,ARK GENOMIC REVOLUTION ETF (DE,54.05
20200730,00214Q302,ARKG,1212.0,ARK GENOMIC REVOLUTION ETF (DE,53.72
20200803,00214Q302,ARKG,34329.0,ARK GENOMIC REVOLUTION ETF (DE,53.7
20200804,00214Q302,ARKG,1317.0,ARK GENOMIC REVOLUTION ETF (DE,56.82
20200805,00214Q302,ARKG,111517.0,ARK GENOMIC REVOLUTION ETF (DE,57.43
20200806,00214Q302,ARKG,152094.0,ARK GENOMIC REVOLUTION ETF (DE,58.08
20200807,00214Q302,ARKG,146.0,ARK GENOMIC REVOLUTION ETF (DE,57.74
20200811,00214Q302,ARKG,6413.0,ARK GENOMIC REVOLUTION ETF (DE,58.35
20200814,00214Q302,ARKG,55.0,ARK GENOMIC REVOLUTION ETF (DE,59.41
