SETTLEMENT DATE,CUSIP,SYMBOL,QUANTITY (FAILS),DESCRIPTION,PRICE
20200601,00214Q104,ARKK,139448.0,ARK ETF TR INNOVATION ETF (DE),62.82
20200602,00214Q104,ARKK,156715.0,ARK ETF TR INNOVATION ETF (DE),64.8
20200603,00214Q104,ARKK,407465.0,ARK ETF TR INNOVATION ETF (DE),65.6
20200604,00214Q104,ARKK,81132.0,ARK ETF TR INNOVATION ETF (DE),65.87
20200605,00214Q104,ARKK,320911.0,ARK ETF TR INNOVATION ETF (DE),63.95
20200608,00214Q104,ARKK,312450.0,ARK ETF TR INNOVATION ETF (DE),64.25
20200610,00214Q104,ARKK,53415.0,ARK ETF TR INNOVATION ETF (DE),65.61
20200611,00214Q104,ARKK,270478.0,ARK ETF TR INNOVATION ETF (DE),66.51
20200612,00214Q104,ARKK,341.0,ARK ETF TR INNOVATION ETF (DE),61.57
20200615,00214Q104,ARKK,32.0,ARK ETF TR INNOVATION ETF (DE),62.42
20200616,00214Q104,ARKK,17344.0,ARK ETF TR INNOVATION ETF (DE),64.64
20200617,00214Q104,ARKK,45920.0,ARK ETF TR INNOVATION ETF (DE),66.69
20200618,00214Q104,ARKK,405236.0,ARK ETF TR INNOVATION ETF (DE),66.5
20200619,00214Q104,ARKK,831.0,ARK ETF TR INNOVATION ETF (DE),67.63
20200622,00214Q104,ARKK,647.0,ARK ETF TR INNOVATION ETF (DE),68.03
20200623,00214Q104,ARKK,58235.0,ARK ETF TR INNOVATION ETF (DE),71.29
20200624,00214Q104,ARKK,235275.0,ARK ETF TR INNOVATION ETF (DE),72.4
20200625,00214Q104,ARKK,279054.0,ARK ETF TR INNOVATION ETF (DE),69.3
20200626,00214Q104,ARKK,340940.0,ARK ETF TR INNOVATION ETF (DE),70.58
20200629,00214Q104,ARKK,2385.0,ARK ETF TR INNOVATION ETF (DE),68.97
20200630,00214Q104,ARKK,7993.0,ARK ETF TR INNOVATION ETF (DE),69.36
20200701,00214Q104,ARKK,55535.0,ARK ETF TR INNOVATION ETF (DE),71.31
20200702,00214Q104,ARKK,71253.0,ARK ETF TR INNOVATION ETF (DE),73.5
20200706,00214Q104,ARKK,73130.0,ARK ETF TR INNOVATION ETF (DE),74.94
20200708,00214Q104,ARKK,17818.0,ARK ETF TR INNOVATION ETF (DE),78.84
20200709,00214Q104,ARKK,25.0,ARK ETF TR INNOVATION ETF (DE),80.72
20200710,00214Q104,ARKK,3505.0,ARK ETF TR INNOVATION ETF (DE),81.08
20200713,00214Q104,ARKK,312.0,ARK ETF TR INNOVATION ETF (DE),80.89
20200715,00214Q104,ARKK,74109.0,ARK ETF TR INNOVATION ETF (DE),78.82
20200716,00214Q104,ARKK,22259.0,ARK ETF TR INNOVATION ETF (DE),80.93
20200720,00214Q104,ARKK,42943.0,ARK ETF TR INNOVATION ETF (DE),80.67
20200721,00214Q104,ARKK,393.0,ARK ETF TR INNOVATION ETF (DE),84.03
20200722,00214Q104,ARKK,137.0,ARK ETF TR INNOVATION ETF (DE),82.52
20200727,00214Q104,ARKK,200.0,ARK ETF TR INNOVATION ETF (DE),78.83
20200728,00214Q104,ARKK,45.0,ARK ETF TR INNOVATION ETF (DE),81.97
20200729,00214Q104,ARKK,28214.0,ARK ETF TR INNOVATION ETF (DE),79.35
20200730,00214Q104,ARKK,150.0,ARK ETF TR INNOVATION ETF (DE),80.07
20200731,00214Q104,ARKK,3962.0,ARK ETF TR INNOVATION ETF (DE),80.4
20200805,00214Q104,ARKK,21032.0,ARK ETF TR INNOVATION ETF (DE),84.2
20200806,00214Q104,ARKK,24869.0,ARK ETF TR INNOVATION ETF (DE),85.61
20200807,00214Q104,ARKK,108532.0,ARK ETF TR INNOVATION ETF (DE),84.87
20200811,00214Q104,ARKK,9289.0,ARK ETF TR INNOVATION ETF (DE),83.47
20200814,00214Q104,ARKK,313.0,ARK ETF TR INNOVATION ETF (DE),85.76
20200818,00214Q104,ARKK,1356.0,ARK ETF TR INNOVATION ETF (DE),87.63
20200820,00214Q104,ARKK,391.0,ARK ETF TR INNOVATION ETF (DE),88.86
20200821,00214Q104,ARKK,19938.0,ARK ETF TR INNOVATION ETF (DE),89.48
20200824,00214Q104,ARKK,72320.0,ARK ETF TR INNOVATION ETF (DE),89.83
20200825,00214Q104,ARKK,7221.0,ARK ETF TR INNOVATION ETF (DE),88.46
20200826,00214Q104,ARKK,10874.0,ARK ETF TR INNOVATION ETF (DE),89.5
20200827,00214Q104,ARKK,67.0,ARK ETF TR INNOVATION ETF (DE),91.4
20200828,00214Q104,ARKK,237.0,ARK ETF TR INNOVATION ETF (DE),90.77
20200901,00214Q104,ARKK,3.0,ARK ETF TR INNOVATION ETF (DE),95.33
20200902,00214Q104,ARKK,31661.0,ARK ETF TR INNOVATION ETF (DE),97.21
20200903,00214Q104,ARKK,11619.0,ARK ETF TR INNOVATION ETF (DE),96.97
20200904,00214Q104,ARKK,19749.0,ARK ETF TR INNOVATION ETF (DE),89.81
20200909,00214Q104,ARKK,1.0,ARK ETF TR INNOVATION ETF (DE),83.1
20200910,00214Q104,ARKK,342079.0,ARK ETF TR INNOVATION ETF (DE),86.58
20200911,00214Q104,ARKK,423666.0,ARK ETF TR INNOVATION ETF (DE),85.84
20200914,00214Q104,ARKK,704075.0,ARK ETF TR INNOVATION ETF (DE),85.35
20200915,00214Q104,ARKK,426478.0,ARK ETF TR INNOVATION ETF (DE),89.09
20200916,00214Q104,ARKK,12247.0,ARK ETF TR INNOVATION ETF (DE),91.83
20200917,00214Q104,ARKK,181474.0,ARK ETF TR INNOVATION ETF (DE),91.64
20200918,00214Q104,ARKK,346300.0,ARK ETF TR INNOVATION ETF (DE),89.3
20200922,00214Q104,ARKK,39.0,ARK ETF TR INNOVATION ETF (DE),90.58
20200924,00214Q104,ARKK,2632.0,ARK ETF TR INNOVATION ETF (DE),87.95
20200928,00214Q104,ARKK,906.0,ARK ETF TR INNOVATION ETF (DE),90.75
20200929,00214Q104,ARKK,228738.0,ARK ETF TR INNOVATION ETF (DE),91.72
20200930,00214Q104,ARKK,199.0,ARK ETF TR INNOVATION ETF (DE),92.77
20201001,00214Q104,ARKK,4605.0,ARK ETF TR INNOVATION ETF (DE),92.0
20201007,00214Q104,ARKK,622.0,ARK ETF TR INNOVATION ETF (DE),95.67
20201008,00214Q104,ARKK,4300.0,ARK ETF TR INNOVATION ETF (DE),99.21
20201009,00214Q104,ARKK,35900.0,ARK ETF TR INNOVATION ETF (DE),100.57
20201013,00214Q104,ARKK,8300.0,ARK ETF TR INNOVATION ETF (DE),102.33
20201014,00214Q104,ARKK,33406.0,ARK ETF TR INNOVATION ETF (DE),104.83
20201015,00214Q104,ARKK,5061.0,ARK ETF TR INNOVATION ETF (DE),103.77
20201016,00214Q104,ARKK,12982.0,ARK ETF TR INNOVATION ETF (DE),102.83
20201021,00214Q104,ARKK,2493.0,ARK ETF TR INNOVATION ETF (DE),100.83
20201022,00214Q104,ARKK,1860.0,ARK ETF TR INNOVATION ETF (DE),97.95
20201027,00214Q104,ARKK,520.0,ARK ETF TR INNOVATION ETF (DE),97.2
