SETTLEMENT DATE,CUSIP,SYMBOL,QUANTITY (FAILS),DESCRIPTION,PRICE
20200601,00214Q203,ARKQ,1294.0,ARK AUTONOMOUS TECHNOLOGY & RO,44.86
20200602,00214Q203,ARKQ,18089.0,ARK AUTONOMOUS TECHNOLOGY & RO,45.7
20200603,00214Q203,ARKQ,72144.0,ARK AUTONOMOUS TECHNOLOGY & RO,45.97
20200604,00214Q203,ARKQ,136706.0,ARK AUTONOMOUS TECHNOLOGY & RO,46.78
20200605,00214Q203,ARKQ,979.0,ARK AUTONOMOUS TECHNOLOGY & RO,46.01
20200609,00214Q203,ARKQ,632.0,ARK AUTONOMOUS TECHNOLOGY & RO,47.38
20200610,00214Q203,ARKQ,22640.0,ARK AUTONOMOUS TECHNOLOGY & RO,47.45
20200611,00214Q203,ARKQ,47339.0,ARK AUTONOMOUS TECHNOLOGY & RO,47.84
20200612,00214Q203,ARKQ,79386.0,ARK AUTONOMOUS TECHNOLOGY & RO,44.47
20200615,00214Q203,ARKQ,86335.0,ARK AUTONOMOUS TECHNOLOGY & RO,44.87
20200617,00214Q203,ARKQ,4963.0,ARK AUTONOMOUS TECHNOLOGY & RO,46.7
20200618,00214Q203,ARKQ,65699.0,ARK AUTONOMOUS TECHNOLOGY & RO,46.28
20200619,00214Q203,ARKQ,82518.0,ARK AUTONOMOUS TECHNOLOGY & RO,46.17
20200622,00214Q203,ARKQ,100008.0,ARK AUTONOMOUS TECHNOLOGY & RO,45.87
20200623,00214Q203,ARKQ,100095.0,ARK AUTONOMOUS TECHNOLOGY & RO,46.53
20200624,00214Q203,ARKQ,13166.0,ARK AUTONOMOUS TECHNOLOGY & RO,46.58
20200626,00214Q203,ARKQ,78.0,ARK AUTONOMOUS TECHNOLOGY & RO,46.22
20200629,00214Q203,ARKQ,1045.0,ARK AUTONOMOUS TECHNOLOGY & RO,45.26
20200630,00214Q203,ARKQ,2834.0,ARK AUTONOMOUS TECHNOLOGY & RO,46.06
20200701,00214Q203,ARKQ,5217.0,ARK AUTONOMOUS TECHNOLOGY & RO,47.31
20200702,00214Q203,ARKQ,9378.0,ARK AUTONOMOUS TECHNOLOGY & RO,47.47
20200706,00214Q203,ARKQ,29385.0,ARK AUTONOMOUS TECHNOLOGY & RO,48.55
20200708,00214Q203,ARKQ,42034.0,ARK AUTONOMOUS TECHNOLOGY & RO,49.52
20200709,00214Q203,ARKQ,19698.0,ARK AUTONOMOUS TECHNOLOGY & RO,50.04
20200710,00214Q203,ARKQ,68847.0,ARK AUTONOMOUS TECHNOLOGY & RO,50.26
20200713,00214Q203,ARKQ,87897.0,ARK AUTONOMOUS TECHNOLOGY & RO,51.17
20200714,00214Q203,ARKQ,84505.0,ARK AUTONOMOUS TECHNOLOGY & RO,50.51
20200715,00214Q203,ARKQ,381.0,ARK AUTONOMOUS TECHNOLOGY & RO,50.88
20200716,00214Q203,ARKQ,9882.0,ARK AUTONOMOUS TECHNOLOGY & RO,51.92
20200717,00214Q203,ARKQ,4685.0,ARK AUTONOMOUS TECHNOLOGY & RO,51.51
20200720,00214Q203,ARKQ,8711.0,ARK AUTONOMOUS TECHNOLOGY & RO,52.27
20200721,00214Q203,ARKQ,59970.0,ARK AUTONOMOUS TECHNOLOGY & RO,54.1
20200722,00214Q203,ARKQ,154139.0,ARK AUTONOMOUS TECHNOLOGY & RO,53.72
20200723,00214Q203,ARKQ,204440.0,ARK AUTONOMOUS TECHNOLOGY & RO,53.89
20200724,00214Q203,ARKQ,232053.0,ARK AUTONOMOUS TECHNOLOGY & RO,53.28
20200728,00214Q203,ARKQ,112.0,ARK AUTONOMOUS TECHNOLOGY & RO,54.1
20200729,00214Q203,ARKQ,4945.0,ARK AUTONOMOUS TECHNOLOGY & RO,53.02
20200730,00214Q203,ARKQ,17934.0,ARK AUTONOMOUS TECHNOLOGY & RO,53.76
20200731,00214Q203,ARKQ,28094.0,ARK AUTONOMOUS TECHNOLOGY & RO,53.11
20200803,00214Q203,ARKQ,37735.0,ARK AUTONOMOUS TECHNOLOGY & RO,52.78
20200805,00214Q203,ARKQ,4774.0,ARK AUTONOMOUS TECHNOLOGY & RO,54.04
20200806,00214Q203,ARKQ,54202.0,ARK AUTONOMOUS TECHNOLOGY & RO,54.95
20200807,00214Q203,ARKQ,102748.0,ARK AUTONOMOUS TECHNOLOGY & RO,54.15
20200810,00214Q203,ARKQ,149170.0,ARK AUTONOMOUS TECHNOLOGY & RO,53.32
20200812,00214Q203,ARKQ,6503.0,ARK AUTONOMOUS TECHNOLOGY & RO,52.38
20200814,00214Q203,ARKQ,3988.0,ARK AUTONOMOUS TECHNOLOGY & RO,53.95
20200817,00214Q203,ARKQ,13072.0,ARK AUTONOMOUS TECHNOLOGY & RO,53.85
20200818,00214Q203,ARKQ,23658.0,ARK AUTONOMOUS TECHNOLOGY & RO,54.91
20200819,00214Q203,ARKQ,68858.0,ARK AUTONOMOUS TECHNOLOGY & RO,55.25
20200820,00214Q203,ARKQ,121578.0,ARK AUTONOMOUS TECHNOLOGY & RO,55.02
20200821,00214Q203,ARKQ,334.0,ARK AUTONOMOUS TECHNOLOGY & RO,55.38
20200824,00214Q203,ARKQ,502.0,ARK AUTONOMOUS TECHNOLOGY & RO,55.74
20200825,00214Q203,ARKQ,77.0,ARK AUTONOMOUS TECHNOLOGY & RO,56.35
20200826,00214Q203,ARKQ,59376.0,ARK AUTONOMOUS TECHNOLOGY & RO,57.55
20200827,00214Q203,ARKQ,108662.0,ARK AUTONOMOUS TECHNOLOGY & RO,58.67
20200828,00214Q203,ARKQ,198132.0,ARK AUTONOMOUS TECHNOLOGY & RO,58.11
20200831,00214Q203,ARKQ,111.0,ARK AUTONOMOUS TECHNOLOGY & RO,58.82
20200901,00214Q203,ARKQ,10326.0,ARK AUTONOMOUS TECHNOLOGY & RO,60.49
20200902,00214Q203,ARKQ,117629.0,ARK AUTONOMOUS TECHNOLOGY & RO,61.83
20200904,00214Q203,ARKQ,190.0,ARK AUTONOMOUS TECHNOLOGY & RO,58.42
