SETTLEMENT DATE,CUSIP,SYMBOL,QUANTITY (FAILS),DESCRIPTION,PRICE
20200601,97023105,BA,1193.0,BOEING CO;COM USD5,145.85
20200603,97023105,BA,151.0,BOEING CO;COM USD5,153.31
20200604,97023105,BA,4850.0,BOEING CO;COM USD5,173.16
20200605,97023105,BA,473.0,BOEING CO;COM USD5,184.3
20200609,97023105,BA,20.0,BOEING CO;COM USD5,230.5
20200610,97023105,BA,1921.0,BOEING CO;COM USD5,216.74
20200611,97023105,BA,143502.0,BOEING CO;COM USD5,203.41
20200612,97023105,BA,5800.0,BOEING CO;COM USD5,170.0
20200615,97023105,BA,5718.0,BOEING CO;COM USD5,189.51
20200616,97023105,BA,1546.0,BOEING CO;COM USD5,190.94
20200622,97023105,BA,3572.0,BOEING CO;COM USD5,187.02
20200623,97023105,BA,144067.0,BOEING CO;COM USD5,188.52
20200624,97023105,BA,703.0,BOEING CO;COM USD5,187.88
20200626,97023105,BA,142968.0,BOEING CO;COM USD5,174.88
20200629,97023105,BA,76.0,BOEING CO;COM USD5,170.01
20200701,97023105,BA,2415.0,BOEING CO;COM USD5,183.3
20200702,97023105,BA,152.0,BOEING CO;COM USD5,180.32
20200706,97023105,BA,13441.0,BOEING CO;COM USD5,180.81
20200707,97023105,BA,105.0,BOEING CO;COM USD5,187.91
20200709,97023105,BA,7079.0,BOEING CO;COM USD5,180.08
20200710,97023105,BA,1564.0,BOEING CO;COM USD5,173.28
20200714,97023105,BA,2660.0,BOEING CO;COM USD5,175.65
20200720,97023105,BA,54573.0,BOEING CO;COM USD5,175.66
20200721,97023105,BA,12691.0,BOEING CO;COM USD5,174.42
20200722,97023105,BA,2285.0,BOEING CO;COM USD5,178.63
20200723,97023105,BA,2742.0,BOEING CO;COM USD5,179.79
20200724,97023105,BA,412.0,BOEING CO;COM USD5,176.45
20200727,97023105,BA,1143.0,BOEING CO;COM USD5,173.76
20200728,97023105,BA,347.0,BOEING CO;COM USD5,170.21
20200730,97023105,BA,1010.0,BOEING CO;COM USD5,166.01
20200803,97023105,BA,63.0,BOEING CO;COM USD5,158.0
20200804,97023105,BA,1473.0,BOEING CO;COM USD5,162.27
20200805,97023105,BA,361.0,BOEING CO;COM USD5,165.07
20200806,97023105,BA,1447.0,BOEING CO;COM USD5,174.28
20200807,97023105,BA,846.0,BOEING CO;COM USD5,172.2
20200810,97023105,BA,1456.0,BOEING CO;COM USD5,170.02
20200811,97023105,BA,7700.0,BOEING CO;COM USD5,179.41
20200813,97023105,BA,10382.0,BOEING CO;COM USD5,175.44
20200817,97023105,BA,2755.0,BOEING CO;COM USD5,178.08
20200818,97023105,BA,16784.0,BOEING CO;COM USD5,172.01
20200819,97023105,BA,817.0,BOEING CO;COM USD5,170.23
20200824,97023105,BA,1967.0,BOEING CO;COM USD5,167.5
20200827,97023105,BA,284.0,BOEING CO;COM USD5,171.9
20200831,97023105,BA,350.0,BOEING CO;COM USD5,175.8
20200901,97023105,BA,2713.0,BOEING CO;COM USD5,171.82
20200903,97023105,BA,255321.0,BOEING CO;COM USD5,174.78
20200908,97023105,BA,313.0,BOEING CO;COM USD5,171.05
20200909,97023105,BA,64224.0,BOEING CO;COM USD5,161.08
20200915,97023105,BA,1365.0,BOEING CO;COM USD5,165.35
20200916,97023105,BA,1560.0,BOEING CO;COM USD5,163.49
20200917,97023105,BA,1165.0,BOEING CO;COM USD5,167.46
20200918,97023105,BA,5761.0,BOEING CO;COM USD5,167.53
20200921,97023105,BA,4016.0,BOEING CO;COM USD5,161.14
20200922,97023105,BA,594169.0,BOEING CO;COM USD5,156.35
20200924,97023105,BA,58.0,BOEING CO;COM USD5,151.18
20200925,97023105,BA,10994.0,BOEING CO;COM USD5,146.05
20200929,97023105,BA,2109.0,BOEING CO;COM USD5,166.08
20200930,97023105,BA,5671.0,BOEING CO;COM USD5,163.6
20201001,97023105,BA,76211.0,BOEING CO;COM USD5,165.26
20201002,97023105,BA,6471.0,BOEING CO;COM USD5,167.86
20201005,97023105,BA,2243.0,BOEING CO;COM USD5,168.08
20201006,97023105,BA,1600.0,BOEING CO;COM USD5,171.2
20201009,97023105,BA,4623.0,BOEING CO;COM USD5,168.0
20201013,97023105,BA,1774.0,BOEING CO;COM USD5,167.35
20201014,97023105,BA,1402.0,BOEING CO;COM USD5,162.14
20201015,97023105,BA,2507.0,BOEING CO;COM USD5,163.24
20201020,97023105,BA,300.0,BOEING CO;COM USD5,167.11
20201021,97023105,BA,500.0,BOEING CO;COM USD5,167.24
20201023,97023105,BA,1786.0,BOEING CO;COM USD5,169.07
20201026,97023105,BA,39.0,BOEING CO;COM USD5,167.36
20201030,97023105,BA,25149.0,BOEING CO;COM USD5,148.29
20201102,97023105,BA,1987.0,BOEING CO;COM USD5,144.39
20201103,97023105,BA,105960.0,BOEING CO;COM USD5,148.6
20201109,97023105,BA,28.0,BOEING CO;COM USD5,157.74
20201110,97023105,BA,10800.0,BOEING CO;COM USD5,179.36
20201113,97023105,BA,17109.0,BOEING CO;COM USD5,176.72
20201117,97023105,BA,10800.0,BOEING CO;COM USD5,202.4
20201118,97023105,BA,5928.0,BOEING CO;COM USD5,210.05
20201119,97023105,BA,5535.0,BOEING CO;COM USD5,203.3
20201123,97023105,BA,17364.0,BOEING CO;COM USD5,199.62
20201124,97023105,BA,136203.0,BOEING CO;COM USD5,211.53
20201130,97023105,BA,627.0,BOEING CO;COM USD5,216.5
20201201,97023105,BA,3857.0,BOEING CO;COM USD5,210.71
20201209,97023105,BA,306.0,BOEING CO;COM USD5,236.57
20201215,97023105,BA,1380.0,BOEING CO;COM USD5,228.62
20201221,97023105,BA,36647.0,BOEING CO;COM USD5,219.75
20201222,97023105,BA,9908.0,BOEING CO;COM USD5,219.31
20201223,97023105,BA,11600.0,BOEING CO;COM USD5,218.78
20201224,97023105,BA,127.0,BOEING CO;COM USD5,219.69
20210104,97023105,BA,2732.0,BOEING CO;COM USD5,214.06
20210113,97023105,BA,16150.0,BOEING CO;COM USD5,208.41
20210115,97023105,BA,1010.0,BOEING CO;COM USD5,209.91
20210121,97023105,BA,1000.0,BOEING CO;COM USD5,211.45
20210122,97023105,BA,7647.0,BOEING CO;COM USD5,207.41
20210129,97023105,BA,74716.0,BOEING CO;COM USD5,197.23
20210202,97023105,BA,3816.0,BOEING CO;COM USD5,195.84
20210204,97023105,BA,1.0,BOEING CO;COM USD5,207.39
20210209,97023105,BA,5290.0,BOEING CO;COM USD5,211.95
20210210,97023105,BA,5656.0,BOEING CO;COM USD5,215.12
20210211,97023105,BA,2.0,BOEING CO;COM USD5,211.92
20210217,97023105,BA,782.0,BOEING CO;COM USD5,217.18
20210218,97023105,BA,14853.0,BOEING CO;COM USD5,215.52
20210223,97023105,BA,1100.0,BOEING CO;COM USD5,212.88
20210224,97023105,BA,462.0,BOEING CO;COM USD5,212.12
20210226,97023105,BA,1272.0,BOEING CO;COM USD5,216.45
20210305,97023105,BA,6895.0,BOEING CO;COM USD5,224.71
20210309,97023105,BA,5100.0,BOEING CO;COM USD5,224.03
20210312,97023105,BA,50.0,BOEING CO;COM USD5,252.0
20210316,97023105,BA,13984.0,BOEING CO;COM USD5,265.63
20210318,97023105,BA,15992.0,BOEING CO;COM USD5,263.59
20210323,97023105,BA,47543.0,BOEING CO;COM USD5,251.23
20210331,97023105,BA,64.0,BOEING CO;COM USD5,252.01
20210406,97023105,BA,11639.0,BOEING CO;COM USD5,259.36
20210407,97023105,BA,149.0,BOEING CO;COM USD5,255.17
20210412,97023105,BA,442.0,BOEING CO;COM USD5,252.36
20210413,97023105,BA,515.0,BOEING CO;COM USD5,249.52
20210415,97023105,BA,146888.0,BOEING CO;COM USD5,252.43
20210416,97023105,BA,5181.0,BOEING CO;COM USD5,251.11
20210419,97023105,BA,1.0,BOEING CO;COM USD5,248.18
20210421,97023105,BA,20829.0,BOEING CO;COM USD5,234.06
20210422,97023105,BA,94523.0,BOEING CO;COM USD5,235.92
20210423,97023105,BA,1375.0,BOEING CO;COM USD5,234.33
20210427,97023105,BA,388848.0,BOEING CO;COM USD5,241.44
20210428,97023105,BA,6645.0,BOEING CO;COM USD5,242.47
20210429,97023105,BA,14353.0,BOEING CO;COM USD5,235.46
20210503,097023105,BA,11005.0,BOEING CO;COM USD5,234.31
20210504,097023105,BA,142.0,BOEING CO;COM USD5,235.19
20210506,097023105,BA,2265.0,BOEING CO;COM USD5,228.18
20210507,097023105,BA,12403.0,BOEING CO;COM USD5,229.81
20210511,097023105,BA,800.0,BOEING CO;COM USD5,232.93
