SETTLEMENT DATE,CUSIP,SYMBOL,QUANTITY (FAILS),DESCRIPTION,PRICE
20200601,01609W102,BABA,178789.0,ALIBABA GROUP HLDG LTD SPONSOR,207.39
20200602,01609W102,BABA,2967.0,ALIBABA GROUP HLDG LTD SPONSOR,206.57
20200603,01609W102,BABA,130.0,ALIBABA GROUP HLDG LTD SPONSOR,214.33
20200604,01609W102,BABA,96971.0,ALIBABA GROUP HLDG LTD SPONSOR,218.61
20200608,01609W102,BABA,4896.0,ALIBABA GROUP HLDG LTD SPONSOR,219.55
20200609,01609W102,BABA,22481.0,ALIBABA GROUP HLDG LTD SPONSOR,219.0
20200610,01609W102,BABA,8457.0,ALIBABA GROUP HLDG LTD SPONSOR,220.72
20200611,01609W102,BABA,175195.0,ALIBABA GROUP HLDG LTD SPONSOR,223.68
20200612,01609W102,BABA,197.0,ALIBABA GROUP HLDG LTD SPONSOR,215.24
20200615,01609W102,BABA,954.0,ALIBABA GROUP HLDG LTD SPONSOR,217.64
20200616,01609W102,BABA,66403.0,ALIBABA GROUP HLDG LTD SPONSOR,217.03
20200617,01609W102,BABA,331235.0,ALIBABA GROUP HLDG LTD SPONSOR,222.62
20200618,01609W102,BABA,2418.0,ALIBABA GROUP HLDG LTD SPONSOR,224.25
20200619,01609W102,BABA,8829.0,ALIBABA GROUP HLDG LTD SPONSOR,223.54
20200623,01609W102,BABA,72917.0,ALIBABA GROUP HLDG LTD SPONSOR,221.41
20200624,01609W102,BABA,4122.0,ALIBABA GROUP HLDG LTD SPONSOR,228.75
20200629,01609W102,BABA,146.0,ALIBABA GROUP HLDG LTD SPONSOR,215.71
20200702,01609W102,BABA,20218.0,ALIBABA GROUP HLDG LTD SPONSOR,215.95
20200707,01609W102,BABA,200.0,ALIBABA GROUP HLDG LTD SPONSOR,240.0
20200709,01609W102,BABA,4293.0,ALIBABA GROUP HLDG LTD SPONSOR,257.68
20200710,01609W102,BABA,87.0,ALIBABA GROUP HLDG LTD SPONSOR,261.58
20200713,01609W102,BABA,28427.0,ALIBABA GROUP HLDG LTD SPONSOR,261.01
20200714,01609W102,BABA,4652.0,ALIBABA GROUP HLDG LTD SPONSOR,251.67
20200715,01609W102,BABA,15.0,ALIBABA GROUP HLDG LTD SPONSOR,248.58
20200716,01609W102,BABA,361.0,ALIBABA GROUP HLDG LTD SPONSOR,249.21
20200721,01609W102,BABA,300.0,ALIBABA GROUP HLDG LTD SPONSOR,254.81
20200723,01609W102,BABA,53.0,ALIBABA GROUP HLDG LTD SPONSOR,251.7
20200729,01609W102,BABA,24005.0,ALIBABA GROUP HLDG LTD SPONSOR,249.05
20200730,01609W102,BABA,7333.0,ALIBABA GROUP HLDG LTD SPONSOR,252.45
20200731,01609W102,BABA,3877.0,ALIBABA GROUP HLDG LTD SPONSOR,252.74
20200804,01609W102,BABA,8423.0,ALIBABA GROUP HLDG LTD SPONSOR,257.94
20200805,01609W102,BABA,1268.0,ALIBABA GROUP HLDG LTD SPONSOR,262.2
20200806,01609W102,BABA,1145.0,ALIBABA GROUP HLDG LTD SPONSOR,264.91
20200810,01609W102,BABA,1856.0,ALIBABA GROUP HLDG LTD SPONSOR,252.1
20200812,01609W102,BABA,51494.0,ALIBABA GROUP HLDG LTD SPONSOR,248.42
20200818,01609W102,BABA,63646.0,ALIBABA GROUP HLDG LTD SPONSOR,256.96
20200819,01609W102,BABA,27751.0,ALIBABA GROUP HLDG LTD SPONSOR,259.2
20200820,01609W102,BABA,6250.0,ALIBABA GROUP HLDG LTD SPONSOR,260.59
20200825,01609W102,BABA,5621.0,ALIBABA GROUP HLDG LTD SPONSOR,276.02
20200826,01609W102,BABA,1199.0,ALIBABA GROUP HLDG LTD SPONSOR,286.0
20200831,01609W102,BABA,4593.0,ALIBABA GROUP HLDG LTD SPONSOR,289.0
20200901,01609W102,BABA,23000.0,ALIBABA GROUP HLDG LTD SPONSOR,287.03
20200909,01609W102,BABA,611.0,ALIBABA GROUP HLDG LTD SPONSOR,270.02
20200910,01609W102,BABA,8888.0,ALIBABA GROUP HLDG LTD SPONSOR,273.15
20200911,01609W102,BABA,13.0,ALIBABA GROUP HLDG LTD SPONSOR,267.55
20200914,01609W102,BABA,738.0,ALIBABA GROUP HLDG LTD SPONSOR,271.61
20200917,01609W102,BABA,1.0,ALIBABA GROUP HLDG LTD SPONSOR,278.14
20200922,01609W102,BABA,265.0,ALIBABA GROUP HLDG LTD SPONSOR,273.82
20200930,01609W102,BABA,11.0,ALIBABA GROUP HLDG LTD SPONSOR,276.93
20201002,01609W102,BABA,758.0,ALIBABA GROUP HLDG LTD SPONSOR,290.05
20201005,01609W102,BABA,137.0,ALIBABA GROUP HLDG LTD SPONSOR,288.17
20201006,01609W102,BABA,3000.0,ALIBABA GROUP HLDG LTD SPONSOR,288.27
20201009,01609W102,BABA,454.0,ALIBABA GROUP HLDG LTD SPONSOR,300.54
20201013,01609W102,BABA,12272.0,ALIBABA GROUP HLDG LTD SPONSOR,306.34
20201014,01609W102,BABA,481.0,ALIBABA GROUP HLDG LTD SPONSOR,308.78
20201020,01609W102,BABA,4300.0,ALIBABA GROUP HLDG LTD SPONSOR,305.29
20201030,01609W102,BABA,19388.0,ALIBABA GROUP HLDG LTD SPONSOR,312.56
20201102,01609W102,BABA,26643.0,ALIBABA GROUP HLDG LTD SPONSOR,304.69
20201105,01609W102,BABA,11143.0,ALIBABA GROUP HLDG LTD SPONSOR,295.71
20201106,01609W102,BABA,11463.0,ALIBABA GROUP HLDG LTD SPONSOR,287.75
20201110,01609W102,BABA,13667.0,ALIBABA GROUP HLDG LTD SPONSOR,290.53
20201112,01609W102,BABA,7683.0,ALIBABA GROUP HLDG LTD SPONSOR,265.65
20201113,01609W102,BABA,53075.0,ALIBABA GROUP HLDG LTD SPONSOR,264.31
20201116,01609W102,BABA,50662.0,ALIBABA GROUP HLDG LTD SPONSOR,260.84
20201117,01609W102,BABA,108056.0,ALIBABA GROUP HLDG LTD SPONSOR,258.31
20201118,01609W102,BABA,219945.0,ALIBABA GROUP HLDG LTD SPONSOR,256.8
20201119,01609W102,BABA,279495.0,ALIBABA GROUP HLDG LTD SPONSOR,255.83
20201125,01609W102,BABA,1420.0,ALIBABA GROUP HLDG LTD SPONSOR,279.96
20201130,01609W102,BABA,39.0,ALIBABA GROUP HLDG LTD SPONSOR,276.48
20201203,01609W102,BABA,17588.0,ALIBABA GROUP HLDG LTD SPONSOR,261.32
20201208,01609W102,BABA,123983.0,ALIBABA GROUP HLDG LTD SPONSOR,264.0
20201209,01609W102,BABA,741.0,ALIBABA GROUP HLDG LTD SPONSOR,266.09
20201216,01609W102,BABA,16327.0,ALIBABA GROUP HLDG LTD SPONSOR,255.11
20201221,01609W102,BABA,10.0,ALIBABA GROUP HLDG LTD SPONSOR,260.0
20201222,01609W102,BABA,35218.0,ALIBABA GROUP HLDG LTD SPONSOR,260.43
20201229,01609W102,BABA,83.0,ALIBABA GROUP HLDG LTD SPONSOR,222.36
20201230,01609W102,BABA,19686.0,ALIBABA GROUP HLDG LTD SPONSOR,236.26
20210104,01609W102,BABA,149800.0,ALIBABA GROUP HLDG LTD SPONSOR,232.73
20210106,01609W102,BABA,2248.0,ALIBABA GROUP HLDG LTD SPONSOR,240.4
20210107,01609W102,BABA,213.0,ALIBABA GROUP HLDG LTD SPONSOR,227.61
20210111,01609W102,BABA,34461.0,ALIBABA GROUP HLDG LTD SPONSOR,236.19
20210112,01609W102,BABA,21962.0,ALIBABA GROUP HLDG LTD SPONSOR,227.37
20210115,01609W102,BABA,6114.0,ALIBABA GROUP HLDG LTD SPONSOR,242.98
20210119,01609W102,BABA,829.0,ALIBABA GROUP HLDG LTD SPONSOR,243.46
20210120,01609W102,BABA,5446.0,ALIBABA GROUP HLDG LTD SPONSOR,251.65
20210122,01609W102,BABA,43991.0,ALIBABA GROUP HLDG LTD SPONSOR,260.0
20210125,01609W102,BABA,2215.0,ALIBABA GROUP HLDG LTD SPONSOR,258.62
20210126,01609W102,BABA,9200.0,ALIBABA GROUP HLDG LTD SPONSOR,261.38
20210129,01609W102,BABA,473.0,ALIBABA GROUP HLDG LTD SPONSOR,260.76
20210202,01609W102,BABA,43653.0,ALIBABA GROUP HLDG LTD SPONSOR,264.69
20210203,01609W102,BABA,689.0,ALIBABA GROUP HLDG LTD SPONSOR,254.5
20210204,01609W102,BABA,5198.0,ALIBABA GROUP HLDG LTD SPONSOR,263.43
20210205,01609W102,BABA,200.0,ALIBABA GROUP HLDG LTD SPONSOR,266.96
20210209,01609W102,BABA,2793.0,ALIBABA GROUP HLDG LTD SPONSOR,262.59
20210211,01609W102,BABA,7471.0,ALIBABA GROUP HLDG LTD SPONSOR,267.79
20210212,01609W102,BABA,11.0,ALIBABA GROUP HLDG LTD SPONSOR,268.93
20210217,01609W102,BABA,8490.0,ALIBABA GROUP HLDG LTD SPONSOR,270.7
20210222,01609W102,BABA,39.0,ALIBABA GROUP HLDG LTD SPONSOR,263.59
20210224,01609W102,BABA,283.0,ALIBABA GROUP HLDG LTD SPONSOR,252.75
20210225,01609W102,BABA,49991.0,ALIBABA GROUP HLDG LTD SPONSOR,250.34
20210301,01609W102,BABA,4622.0,ALIBABA GROUP HLDG LTD SPONSOR,237.76
20210302,01609W102,BABA,800.0,ALIBABA GROUP HLDG LTD SPONSOR,241.69
20210309,01609W102,BABA,789.0,ALIBABA GROUP HLDG LTD SPONSOR,226.69
20210323,01609W102,BABA,1188.0,ALIBABA GROUP HLDG LTD SPONSOR,237.12
20210329,01609W102,BABA,1657.0,ALIBABA GROUP HLDG LTD SPONSOR,227.26
20210330,01609W102,BABA,13752.0,ALIBABA GROUP HLDG LTD SPONSOR,231.86
20210414,01609W102,BABA,368004.0,ALIBABA GROUP HLDG LTD SPONSOR,241.89
20210503,01609W102,BABA,7028.0,ALIBABA GROUP HLDG LTD SPONSOR,230.95
20210512,01609W102,BABA,1247.0,ALIBABA GROUP HLDG LTD SPONSOR,221.38
20210514,01609W102,BABA,5100.0,ALIBABA GROUP HLDG LTD SPONSOR,206.08
20210520,01609W102,BABA,24627.0,ALIBABA GROUP HLDG LTD SPONSOR,212.54
20210525,01609W102,BABA,95409.0,ALIBABA GROUP HLDG LTD SPONSOR,210.44
20210526,01609W102,BABA,2.0,ALIBABA GROUP HLDG LTD SPONSOR,211.13
20210528,01609W102,BABA,10.0,ALIBABA GROUP HLDG LTD SPONSOR,212.74
