SETTLEMENT DATE,CUSIP,SYMBOL,QUANTITY (FAILS),DESCRIPTION,PRICE
20200601,09228F103,BB,2257.0,BLACKBERRY LTD COM STK (CDA),4.64
20200602,09228F103,BB,13385.0,BLACKBERRY LTD COM STK (CDA),4.92
20200603,09228F103,BB,4673.0,BLACKBERRY LTD COM STK (CDA),5.36
20200604,09228F103,BB,4520.0,BLACKBERRY LTD COM STK (CDA),5.21
20200605,09228F103,BB,78.0,BLACKBERRY LTD COM STK (CDA),5.23
20200608,09228F103,BB,10569.0,BLACKBERRY LTD COM STK (CDA),5.47
20200609,09228F103,BB,7532.0,BLACKBERRY LTD COM STK (CDA),5.79
20200611,09228F103,BB,11969.0,BLACKBERRY LTD COM STK (CDA),5.57
20200615,09228F103,BB,35.0,BLACKBERRY LTD COM STK (CDA),5.25
20200616,09228F103,BB,10746.0,BLACKBERRY LTD COM STK (CDA),4.99
20200617,09228F103,BB,134222.0,BLACKBERRY LTD COM STK (CDA),5.22
20200618,09228F103,BB,769.0,BLACKBERRY LTD COM STK (CDA),5.1
20200619,09228F103,BB,68367.0,BLACKBERRY LTD COM STK (CDA),5.08
20200622,09228F103,BB,13882.0,BLACKBERRY LTD COM STK (CDA),5.06
20200623,09228F103,BB,597899.0,BLACKBERRY LTD COM STK (CDA),5.12
20200624,09228F103,BB,500.0,BLACKBERRY LTD COM STK (CDA),5.1
20200625,09228F103,BB,6429.0,BLACKBERRY LTD COM STK (CDA),4.92
20200626,09228F103,BB,21365.0,BLACKBERRY LTD COM STK (CDA),4.85
20200630,09228F103,BB,2626.0,BLACKBERRY LTD COM STK (CDA),4.8
20200701,09228F103,BB,35884.0,BLACKBERRY LTD COM STK (CDA),4.89
20200702,09228F103,BB,57331.0,BLACKBERRY LTD COM STK (CDA),4.78
20200706,09228F103,BB,81159.0,BLACKBERRY LTD COM STK (CDA),4.85
20200707,09228F103,BB,2000.0,BLACKBERRY LTD COM STK (CDA),5.02
20200709,09228F103,BB,14979.0,BLACKBERRY LTD COM STK (CDA),4.84
20200710,09228F103,BB,101.0,BLACKBERRY LTD COM STK (CDA),4.81
20200713,09228F103,BB,9922.0,BLACKBERRY LTD COM STK (CDA),4.73
20200714,09228F103,BB,8612.0,BLACKBERRY LTD COM STK (CDA),4.58
20200715,09228F103,BB,13217.0,BLACKBERRY LTD COM STK (CDA),4.58
20200716,09228F103,BB,5985.0,BLACKBERRY LTD COM STK (CDA),4.71
20200717,09228F103,BB,13496.0,BLACKBERRY LTD COM STK (CDA),4.65
