SETTLEMENT DATE,CUSIP,SYMBOL,QUANTITY (FAILS),DESCRIPTION,PRICE
20200609,184499101,CLNE,12919.0,CLEAN ENERGY FUELS CORP COM ST,2.37
20200611,184499101,CLNE,4826.0,CLEAN ENERGY FUELS CORP COM ST,2.26
20200615,184499101,CLNE,523.0,CLEAN ENERGY FUELS CORP COM ST,2.18
20200616,184499101,CLNE,2390.0,CLEAN ENERGY FUELS CORP COM ST,2.19
20200617,184499101,CLNE,10543.0,CLEAN ENERGY FUELS CORP COM ST,2.27
20200618,184499101,CLNE,4496.0,CLEAN ENERGY FUELS CORP COM ST,2.21
20200619,184499101,CLNE,386.0,CLEAN ENERGY FUELS CORP COM ST,2.21
20200622,184499101,CLNE,152.0,CLEAN ENERGY FUELS CORP COM ST,2.13
20200623,184499101,CLNE,100.0,CLEAN ENERGY FUELS CORP COM ST,2.15
20200624,184499101,CLNE,57.0,CLEAN ENERGY FUELS CORP COM ST,2.16
20200629,184499101,CLNE,8688.0,CLEAN ENERGY FUELS CORP COM ST,2.01
20200701,184499101,CLNE,7288.0,CLEAN ENERGY FUELS CORP COM ST,2.22
20200702,184499101,CLNE,100.0,CLEAN ENERGY FUELS CORP COM ST,2.17
20200707,184499101,CLNE,5043.0,CLEAN ENERGY FUELS CORP COM ST,2.3
20200710,184499101,CLNE,655.0,CLEAN ENERGY FUELS CORP COM ST,3.0
20200713,184499101,CLNE,18646.0,CLEAN ENERGY FUELS CORP COM ST,2.72
20200714,184499101,CLNE,18489.0,CLEAN ENERGY FUELS CORP COM ST,2.35
20200716,184499101,CLNE,4253.0,CLEAN ENERGY FUELS CORP COM ST,2.51
20200720,184499101,CLNE,4800.0,CLEAN ENERGY FUELS CORP COM ST,2.48
20200721,184499101,CLNE,4800.0,CLEAN ENERGY FUELS CORP COM ST,2.33
20200722,184499101,CLNE,11.0,CLEAN ENERGY FUELS CORP COM ST,2.46
20200723,184499101,CLNE,496.0,CLEAN ENERGY FUELS CORP COM ST,2.46
20200729,184499101,CLNE,6664.0,CLEAN ENERGY FUELS CORP COM ST,2.45
20200730,184499101,CLNE,542.0,CLEAN ENERGY FUELS CORP COM ST,2.47
20200731,184499101,CLNE,1660.0,CLEAN ENERGY FUELS CORP COM ST,2.46
20200803,184499101,CLNE,3355.0,CLEAN ENERGY FUELS CORP COM ST,2.38
20200805,184499101,CLNE,7896.0,CLEAN ENERGY FUELS CORP COM ST,2.52
20200806,184499101,CLNE,4628.0,CLEAN ENERGY FUELS CORP COM ST,2.83
20200811,184499101,CLNE,2660.0,CLEAN ENERGY FUELS CORP COM ST,2.9
20200814,184499101,CLNE,9.0,CLEAN ENERGY FUELS CORP COM ST,2.7
20200817,184499101,CLNE,4101.0,CLEAN ENERGY FUELS CORP COM ST,2.7
20200825,184499101,CLNE,28915.0,CLEAN ENERGY FUELS CORP COM ST,2.79
20200826,184499101,CLNE,4041.0,CLEAN ENERGY FUELS CORP COM ST,2.78
20200827,184499101,CLNE,1250.0,CLEAN ENERGY FUELS CORP COM ST,2.72
20200831,184499101,CLNE,1975.0,CLEAN ENERGY FUELS CORP COM ST,2.75
20200902,184499101,CLNE,2827.0,CLEAN ENERGY FUELS CORP COM ST,2.73
20200909,184499101,CLNE,4934.0,CLEAN ENERGY FUELS CORP COM ST,2.58
20200910,184499101,CLNE,867.0,CLEAN ENERGY FUELS CORP COM ST,2.58
20200911,184499101,CLNE,7886.0,CLEAN ENERGY FUELS CORP COM ST,2.51
20200915,184499101,CLNE,5903.0,CLEAN ENERGY FUELS CORP COM ST,2.67
