SETTLEMENT DATE,CUSIP,SYMBOL,QUANTITY (FAILS),DESCRIPTION,PRICE
20210108,18914F103,CLOV,2063128.0,CLOVER HEALTH INVTS CORP CL A ,16.02
20210111,18914F103,CLOV,112672.0,CLOVER HEALTH INVTS CORP CL A ,15.9
20210112,18914F103,CLOV,28208.0,CLOVER HEALTH INVTS CORP CL A ,14.98
20210113,18914F103,CLOV,112658.0,CLOVER HEALTH INVTS CORP CL A ,14.62
20210114,18914F103,CLOV,85000.0,CLOVER HEALTH INVTS CORP CL A ,14.0
20210115,18914F103,CLOV,22168.0,CLOVER HEALTH INVTS CORP CL A ,14.01
20210119,18914F103,CLOV,150.0,CLOVER HEALTH INVTS CORP CL A ,13.24
20210120,18914F103,CLOV,2671.0,CLOVER HEALTH INVTS CORP CL A ,13.75
20210121,18914F103,CLOV,10562.0,CLOVER HEALTH INVTS CORP CL A ,13.73
20210122,18914F103,CLOV,2014.0,CLOVER HEALTH INVTS CORP CL A ,13.59
20210125,18914F103,CLOV,956.0,CLOVER HEALTH INVTS CORP CL A ,13.55
20210126,18914F103,CLOV,1292.0,CLOVER HEALTH INVTS CORP CL A ,13.93
20210127,18914F103,CLOV,16.0,CLOVER HEALTH INVTS CORP CL A ,15.76
20210128,18914F103,CLOV,123455.0,CLOVER HEALTH INVTS CORP CL A ,14.25
20210129,18914F103,CLOV,6615.0,CLOVER HEALTH INVTS CORP CL A ,14.07
20210201,18914F103,CLOV,460150.0,CLOVER HEALTH INVTS CORP CL A ,13.95
20210202,18914F103,CLOV,604521.0,CLOVER HEALTH INVTS CORP CL A ,13.81
20210203,18914F103,CLOV,186730.0,CLOVER HEALTH INVTS CORP CL A ,13.97
20210204,18914F103,CLOV,177916.0,CLOVER HEALTH INVTS CORP CL A ,13.95
20210205,18914F103,CLOV,7440.0,CLOVER HEALTH INVTS CORP CL A ,12.23
20210208,18914F103,CLOV,831543.0,CLOVER HEALTH INVTS CORP CL A ,12.93
20210209,18914F103,CLOV,594948.0,CLOVER HEALTH INVTS CORP CL A ,12.37
20210210,18914F103,CLOV,1503386.0,CLOVER HEALTH INVTS CORP CL A ,13.16
20210211,18914F103,CLOV,21454.0,CLOVER HEALTH INVTS CORP CL A ,12.5
20210212,18914F103,CLOV,194994.0,CLOVER HEALTH INVTS CORP CL A ,12.01
20210216,18914F103,CLOV,799.0,CLOVER HEALTH INVTS CORP CL A ,12.08
20210217,18914F103,CLOV,121589.0,CLOVER HEALTH INVTS CORP CL A ,11.49
20210218,18914F103,CLOV,212256.0,CLOVER HEALTH INVTS CORP CL A ,11.32
20210219,18914F103,CLOV,435056.0,CLOVER HEALTH INVTS CORP CL A ,10.83
20210224,18914F103,CLOV,104205.0,CLOVER HEALTH INVTS CORP CL A ,10.13
20210225,18914F103,CLOV,21139.0,CLOVER HEALTH INVTS CORP CL A ,10.34
20210226,18914F103,CLOV,4153.0,CLOVER HEALTH INVTS CORP CL A ,9.71
20210301,18914F103,CLOV,4628.0,CLOVER HEALTH INVTS CORP CL A ,9.4
20210302,18914F103,CLOV,180655.0,CLOVER HEALTH INVTS CORP CL A ,10.37
20210304,18914F103,CLOV,58984.0,CLOVER HEALTH INVTS CORP CL A ,8.29
20210305,18914F103,CLOV,127113.0,CLOVER HEALTH INVTS CORP CL A ,7.29
20210308,18914F103,CLOV,410660.0,CLOVER HEALTH INVTS CORP CL A ,7.84
20210309,18914F103,CLOV,484935.0,CLOVER HEALTH INVTS CORP CL A ,7.35
20210310,18914F103,CLOV,884265.0,CLOVER HEALTH INVTS CORP CL A ,8.19
20210311,18914F103,CLOV,328115.0,CLOVER HEALTH INVTS CORP CL A ,8.11
20210312,18914F103,CLOV,1150468.0,CLOVER HEALTH INVTS CORP CL A ,8.67
20210315,18914F103,CLOV,1068390.0,CLOVER HEALTH INVTS CORP CL A ,8.91
20210316,18914F103,CLOV,3233.0,CLOVER HEALTH INVTS CORP CL A ,8.88
20210317,18914F103,CLOV,161568.0,CLOVER HEALTH INVTS CORP CL A ,8.61
20210318,18914F103,CLOV,323296.0,CLOVER HEALTH INVTS CORP CL A ,8.75
20210319,18914F103,CLOV,847117.0,CLOVER HEALTH INVTS CORP CL A ,8.47
20210322,18914F103,CLOV,863306.0,CLOVER HEALTH INVTS CORP CL A ,8.51
20210323,18914F103,CLOV,885042.0,CLOVER HEALTH INVTS CORP CL A ,8.79
20210324,18914F103,CLOV,410435.0,CLOVER HEALTH INVTS CORP CL A ,8.27
20210325,18914F103,CLOV,5341.0,CLOVER HEALTH INVTS CORP CL A ,7.67
20210326,18914F103,CLOV,22456.0,CLOVER HEALTH INVTS CORP CL A ,7.82
20210329,18914F103,CLOV,45132.0,CLOVER HEALTH INVTS CORP CL A ,7.59
20210330,18914F103,CLOV,1111.0,CLOVER HEALTH INVTS CORP CL A ,7.34
20210331,18914F103,CLOV,5305.0,CLOVER HEALTH INVTS CORP CL A ,7.19
20210401,18914F103,CLOV,682.0,CLOVER HEALTH INVTS CORP CL A ,7.56
20210405,18914F103,CLOV,319.0,CLOVER HEALTH INVTS CORP CL A ,7.38
20210406,18914F103,CLOV,12536.0,CLOVER HEALTH INVTS CORP CL A ,7.5
20210408,18914F103,CLOV,19501.0,CLOVER HEALTH INVTS CORP CL A ,7.35
20210409,18914F103,CLOV,67208.0,CLOVER HEALTH INVTS CORP CL A ,8.85
20210412,18914F103,CLOV,41352.0,CLOVER HEALTH INVTS CORP CL A ,8.21
20210413,18914F103,CLOV,97630.0,CLOVER HEALTH INVTS CORP CL A ,7.82
20210414,18914F103,CLOV,9488.0,CLOVER HEALTH INVTS CORP CL A ,7.81
20210415,18914F103,CLOV,12285.0,CLOVER HEALTH INVTS CORP CL A ,7.42
20210416,18914F103,CLOV,886.0,CLOVER HEALTH INVTS CORP CL A ,7.35
20210419,18914F103,CLOV,3879.0,CLOVER HEALTH INVTS CORP CL A ,8.82
20210420,18914F103,CLOV,212115.0,CLOVER HEALTH INVTS CORP CL A ,9.67
20210421,18914F103,CLOV,1201638.0,CLOVER HEALTH INVTS CORP CL A ,8.62
20210422,18914F103,CLOV,58718.0,CLOVER HEALTH INVTS CORP CL A ,9.05
20210423,18914F103,CLOV,36399.0,CLOVER HEALTH INVTS CORP CL A ,8.5
20210426,18914F103,CLOV,19138.0,CLOVER HEALTH INVTS CORP CL A ,8.77
20210427,18914F103,CLOV,6539.0,CLOVER HEALTH INVTS CORP CL A ,9.22
20210428,18914F103,CLOV,8378.0,CLOVER HEALTH INVTS CORP CL A ,9.24
20210429,18914F103,CLOV,1284.0,CLOVER HEALTH INVTS CORP CL A ,10.5
20210430,18914F103,CLOV,77665.0,CLOVER HEALTH INVTS CORP CL A ,10.17
20210505,18914F103,CLOV,5786.0,CLOVER HEALTH INVTS CORP CL A ,9.06
20210506,18914F103,CLOV,1721.0,CLOVER HEALTH INVTS CORP CL A ,8.84
20210511,18914F103,CLOV,896.0,CLOVER HEALTH INVTS CORP CL A ,8.26
20210513,18914F103,CLOV,17393.0,CLOVER HEALTH INVTS CORP CL A ,7.78
20210517,18914F103,CLOV,48810.0,CLOVER HEALTH INVTS CORP CL A ,7.47
20210518,18914F103,CLOV,81985.0,CLOVER HEALTH INVTS CORP CL A ,6.82
20210519,18914F103,CLOV,133164.0,CLOVER HEALTH INVTS CORP CL A ,6.97
20210520,18914F103,CLOV,5500.0,CLOVER HEALTH INVTS CORP CL A ,6.84
20210524,18914F103,CLOV,64929.0,CLOVER HEALTH INVTS CORP CL A ,6.93
20210525,18914F103,CLOV,1226759.0,CLOVER HEALTH INVTS CORP CL A ,6.92
20210526,18914F103,CLOV,287093.0,CLOVER HEALTH INVTS CORP CL A ,7.02
