SETTLEMENT DATE,CUSIP,SYMBOL,QUANTITY (FAILS),DESCRIPTION,PRICE
20210416,19260Q107,COIN,5562622.0,COINBASE GLOBAL INC COM CL A (,322.75
20210419,19260Q107,COIN,3351400.0,COINBASE GLOBAL INC COM CL A (,342.0
20210420,19260Q107,COIN,2274220.0,COINBASE GLOBAL INC COM CL A (,333.0
20210421,19260Q107,COIN,1770005.0,COINBASE GLOBAL INC COM CL A (,320.82
20210422,19260Q107,COIN,300044.0,COINBASE GLOBAL INC COM CL A (,311.92
20210426,19260Q107,COIN,188090.0,COINBASE GLOBAL INC COM CL A (,291.6
20210427,19260Q107,COIN,6925.0,COINBASE GLOBAL INC COM CL A (,304.54
20210428,19260Q107,COIN,200.0,COINBASE GLOBAL INC COM CL A (,302.0
20210429,19260Q107,COIN,11111.0,COINBASE GLOBAL INC COM CL A (,298.05
20210430,19260Q107,COIN,142949.0,COINBASE GLOBAL INC COM CL A (,294.77
20210503,19260Q107,COIN,4515.0,COINBASE GLOBAL INC COM CL A (,297.64
20210504,19260Q107,COIN,145326.0,COINBASE GLOBAL INC COM CL A (,294.21
20210505,19260Q107,COIN,182418.0,COINBASE GLOBAL INC COM CL A (,280.66
20210507,19260Q107,COIN,7727.0,COINBASE GLOBAL INC COM CL A (,256.76
20210510,19260Q107,COIN,1241.0,COINBASE GLOBAL INC COM CL A (,263.70
20210512,19260Q107,COIN,215673.0,COINBASE GLOBAL INC COM CL A (,303.00
20210513,19260Q107,COIN,29257.0,COINBASE GLOBAL INC COM CL A (,283.61
