SETTLEMENT DATE,CUSIP,SYMBOL,QUANTITY (FAILS),DESCRIPTION,PRICE
20200603,H17182108,CRSP,878.0,CRISPR THERAPEUTICS AG NAMEN A,68.36
20200604,H17182108,CRSP,841.0,CRISPR THERAPEUTICS AG NAMEN A,64.95
20200605,H17182108,CRSP,252.0,CRISPR THERAPEUTICS AG NAMEN A,63.67
20200609,H17182108,CRSP,267.0,CRISPR THERAPEUTICS AG NAMEN A,60.53
20200611,H17182108,CRSP,8571.0,CRISPR THERAPEUTICS AG NAMEN A,63.03
20200612,H17182108,CRSP,369.0,CRISPR THERAPEUTICS AG NAMEN A,59.7
20200617,H17182108,CRSP,732.0,CRISPR THERAPEUTICS AG NAMEN A,66.27
20200622,H17182108,CRSP,736.0,CRISPR THERAPEUTICS AG NAMEN A,69.08
20200623,H17182108,CRSP,442.0,CRISPR THERAPEUTICS AG NAMEN A,72.02
20200626,H17182108,CRSP,30819.0,CRISPR THERAPEUTICS AG NAMEN A,76.05
20200629,H17182108,CRSP,767.0,CRISPR THERAPEUTICS AG NAMEN A,74.04
20200702,H17182108,CRSP,153.0,CRISPR THERAPEUTICS AG NAMEN A,78.5
20200706,H17182108,CRSP,398.0,CRISPR THERAPEUTICS AG NAMEN A,79.7
20200708,H17182108,CRSP,8160.0,CRISPR THERAPEUTICS AG NAMEN A,91.41
20200709,H17182108,CRSP,6.0,CRISPR THERAPEUTICS AG NAMEN A,94.17
20200713,H17182108,CRSP,119.0,CRISPR THERAPEUTICS AG NAMEN A,89.47
20200714,H17182108,CRSP,8.0,CRISPR THERAPEUTICS AG NAMEN A,86.23
20200721,H17182108,CRSP,5232.0,CRISPR THERAPEUTICS AG NAMEN A,95.3
20200722,H17182108,CRSP,1000.0,CRISPR THERAPEUTICS AG NAMEN A,93.55
20200728,H17182108,CRSP,10050.0,CRISPR THERAPEUTICS AG NAMEN A,92.12
20200805,H17182108,CRSP,13586.0,CRISPR THERAPEUTICS AG NAMEN A,94.57
20200806,H17182108,CRSP,665.0,CRISPR THERAPEUTICS AG NAMEN A,94.51
20200811,H17182108,CRSP,50000.0,CRISPR THERAPEUTICS AG NAMEN A,90.77
20200812,H17182108,CRSP,22914.0,CRISPR THERAPEUTICS AG NAMEN A,89.45
20200813,H17182108,CRSP,6.0,CRISPR THERAPEUTICS AG NAMEN A,91.31
20200819,H17182108,CRSP,32822.0,CRISPR THERAPEUTICS AG NAMEN A,94.92
20200821,H17182108,CRSP,65620.0,CRISPR THERAPEUTICS AG NAMEN A,91.76
20200825,H17182108,CRSP,2890.0,CRISPR THERAPEUTICS AG NAMEN A,86.59
20200826,H17182108,CRSP,28431.0,CRISPR THERAPEUTICS AG NAMEN A,88.92
20200827,H17182108,CRSP,56359.0,CRISPR THERAPEUTICS AG NAMEN A,88.91
20200903,H17182108,CRSP,65702.0,CRISPR THERAPEUTICS AG NAMEN A,93.93
20200909,H17182108,CRSP,487.0,CRISPR THERAPEUTICS AG NAMEN A,81.46
20200910,H17182108,CRSP,18.0,CRISPR THERAPEUTICS AG NAMEN A,85.25
20200914,H17182108,CRSP,3172.0,CRISPR THERAPEUTICS AG NAMEN A,79.98
20200917,H17182108,CRSP,30.0,CRISPR THERAPEUTICS AG NAMEN A,85.63
20200921,H17182108,CRSP,143.0,CRISPR THERAPEUTICS AG NAMEN A,85.9
20200922,H17182108,CRSP,1662.0,CRISPR THERAPEUTICS AG NAMEN A,85.13
20200923,H17182108,CRSP,1671.0,CRISPR THERAPEUTICS AG NAMEN A,88.81
20200924,H17182108,CRSP,1661.0,CRISPR THERAPEUTICS AG NAMEN A,84.69
20200925,H17182108,CRSP,10288.0,CRISPR THERAPEUTICS AG NAMEN A,83.31
20200929,H17182108,CRSP,9887.0,CRISPR THERAPEUTICS AG NAMEN A,83.69
20200930,H17182108,CRSP,13127.0,CRISPR THERAPEUTICS AG NAMEN A,84.99
20201001,H17182108,CRSP,654.0,CRISPR THERAPEUTICS AG NAMEN A,83.64
20201002,H17182108,CRSP,251.0,CRISPR THERAPEUTICS AG NAMEN A,83.34
20201005,H17182108,CRSP,13058.0,CRISPR THERAPEUTICS AG NAMEN A,79.67
20201006,H17182108,CRSP,26575.0,CRISPR THERAPEUTICS AG NAMEN A,86.75
20201008,H17182108,CRSP,9.0,CRISPR THERAPEUTICS AG NAMEN A,97.68
20201009,H17182108,CRSP,17415.0,CRISPR THERAPEUTICS AG NAMEN A,95.39
20201013,H17182108,CRSP,10840.0,CRISPR THERAPEUTICS AG NAMEN A,99.4
20201015,H17182108,CRSP,14858.0,CRISPR THERAPEUTICS AG NAMEN A,101.37
20201016,H17182108,CRSP,7.0,CRISPR THERAPEUTICS AG NAMEN A,99.89
20201019,H17182108,CRSP,2360.0,CRISPR THERAPEUTICS AG NAMEN A,109.83
20201020,H17182108,CRSP,1956.0,CRISPR THERAPEUTICS AG NAMEN A,107.72
20201023,H17182108,CRSP,24958.0,CRISPR THERAPEUTICS AG NAMEN A,90.16
20201026,H17182108,CRSP,7305.0,CRISPR THERAPEUTICS AG NAMEN A,92.65
20201027,H17182108,CRSP,66.0,CRISPR THERAPEUTICS AG NAMEN A,94.13
20201029,H17182108,CRSP,60.0,CRISPR THERAPEUTICS AG NAMEN A,94.71
20201102,H17182108,CRSP,809.0,CRISPR THERAPEUTICS AG NAMEN A,91.82
20201103,H17182108,CRSP,3377.0,CRISPR THERAPEUTICS AG NAMEN A,86.16
20201105,H17182108,CRSP,123600.0,CRISPR THERAPEUTICS AG NAMEN A,95.51
20201106,H17182108,CRSP,133334.0,CRISPR THERAPEUTICS AG NAMEN A,103.34
20201109,H17182108,CRSP,12.0,CRISPR THERAPEUTICS AG NAMEN A,102.66
20201110,H17182108,CRSP,2336.0,CRISPR THERAPEUTICS AG NAMEN A,99.65
20201113,H17182108,CRSP,118.0,CRISPR THERAPEUTICS AG NAMEN A,101.77
20201117,H17182108,CRSP,13117.0,CRISPR THERAPEUTICS AG NAMEN A,106.76
20201118,H17182108,CRSP,2680.0,CRISPR THERAPEUTICS AG NAMEN A,108.57
20201119,H17182108,CRSP,1443.0,CRISPR THERAPEUTICS AG NAMEN A,106.75
20201120,H17182108,CRSP,25085.0,CRISPR THERAPEUTICS AG NAMEN A,109.24
20201124,H17182108,CRSP,206.0,CRISPR THERAPEUTICS AG NAMEN A,110.0
20201125,H17182108,CRSP,7431.0,CRISPR THERAPEUTICS AG NAMEN A,109.99
20201127,H17182108,CRSP,429.0,CRISPR THERAPEUTICS AG NAMEN A,110.0
20201201,H17182108,CRSP,3172.0,CRISPR THERAPEUTICS AG NAMEN A,126.92
20201202,H17182108,CRSP,17183.0,CRISPR THERAPEUTICS AG NAMEN A,129.58
20201204,H17182108,CRSP,30863.0,CRISPR THERAPEUTICS AG NAMEN A,140.46
20201211,H17182108,CRSP,200.0,CRISPR THERAPEUTICS AG NAMEN A,154.26
20201215,H17182108,CRSP,9875.0,CRISPR THERAPEUTICS AG NAMEN A,150.06
20201217,H17182108,CRSP,378.0,CRISPR THERAPEUTICS AG NAMEN A,146.61
20201221,H17182108,CRSP,15143.0,CRISPR THERAPEUTICS AG NAMEN A,148.61
20201222,H17182108,CRSP,594.0,CRISPR THERAPEUTICS AG NAMEN A,166.84
20201223,H17182108,CRSP,26042.0,CRISPR THERAPEUTICS AG NAMEN A,170.08
20201224,H17182108,CRSP,124.0,CRISPR THERAPEUTICS AG NAMEN A,173.23
20201228,H17182108,CRSP,397.0,CRISPR THERAPEUTICS AG NAMEN A,168.5
20201229,H17182108,CRSP,48.0,CRISPR THERAPEUTICS AG NAMEN A,168.93
20210105,H17182108,CRSP,3652.0,CRISPR THERAPEUTICS AG NAMEN A,158.01
20210108,H17182108,CRSP,258.0,CRISPR THERAPEUTICS AG NAMEN A,194.43
20210111,H17182108,CRSP,58363.0,CRISPR THERAPEUTICS AG NAMEN A,193.82
