SETTLEMENT DATE,CUSIP,SYMBOL,QUANTITY (FAILS),DESCRIPTION,PRICE
20200601,78467X109,DIA,15408.0,SPDR DOW JONES INDL AVERAGE ET,254.29
20200602,78467X109,DIA,39033.0,SPDR DOW JONES INDL AVERAGE ET,255.27
20200603,78467X109,DIA,20679.0,SPDR DOW JONES INDL AVERAGE ET,257.85
20200604,78467X109,DIA,4698.0,SPDR DOW JONES INDL AVERAGE ET,263.17
20200605,78467X109,DIA,100.0,SPDR DOW JONES INDL AVERAGE ET,263.33
20200609,78467X109,DIA,3350.0,SPDR DOW JONES INDL AVERAGE ET,276.28
20200610,78467X109,DIA,50.0,SPDR DOW JONES INDL AVERAGE ET,273.38
20200611,78467X109,DIA,72934.0,SPDR DOW JONES INDL AVERAGE ET,270.46
20200612,78467X109,DIA,31719.0,SPDR DOW JONES INDL AVERAGE ET,252.03
20200615,78467X109,DIA,24089.0,SPDR DOW JONES INDL AVERAGE ET,256.74
20200616,78467X109,DIA,249222.0,SPDR DOW JONES INDL AVERAGE ET,258.35
20200617,78467X109,DIA,15151.0,SPDR DOW JONES INDL AVERAGE ET,263.82
20200618,78467X109,DIA,10883.0,SPDR DOW JONES INDL AVERAGE ET,261.82
20200619,78467X109,DIA,1660.0,SPDR DOW JONES INDL AVERAGE ET,261.45
20200622,78467X109,DIA,4193.0,SPDR DOW JONES INDL AVERAGE ET,258.8
20200623,78467X109,DIA,1041.0,SPDR DOW JONES INDL AVERAGE ET,260.32
20200624,78467X109,DIA,71769.0,SPDR DOW JONES INDL AVERAGE ET,261.5
20200625,78467X109,DIA,236.0,SPDR DOW JONES INDL AVERAGE ET,254.63
20200626,78467X109,DIA,1136.0,SPDR DOW JONES INDL AVERAGE ET,257.44
20200629,78467X109,DIA,27025.0,SPDR DOW JONES INDL AVERAGE ET,250.38
20200630,78467X109,DIA,43355.0,SPDR DOW JONES INDL AVERAGE ET,255.91
20200702,78467X109,DIA,2000.0,SPDR DOW JONES INDL AVERAGE ET,257.31
20200707,78467X109,DIA,774.0,SPDR DOW JONES INDL AVERAGE ET,263.0
20200708,78467X109,DIA,455.0,SPDR DOW JONES INDL AVERAGE ET,259.04
20200709,78467X109,DIA,16808.0,SPDR DOW JONES INDL AVERAGE ET,260.72
20200710,78467X109,DIA,4231.0,SPDR DOW JONES INDL AVERAGE ET,257.24
20200713,78467X109,DIA,408.0,SPDR DOW JONES INDL AVERAGE ET,260.82
20200714,78467X109,DIA,3544.0,SPDR DOW JONES INDL AVERAGE ET,261.04
20200715,78467X109,DIA,671.0,SPDR DOW JONES INDL AVERAGE ET,266.59
20200716,78467X109,DIA,13147.0,SPDR DOW JONES INDL AVERAGE ET,268.91
20200717,78467X109,DIA,302.0,SPDR DOW JONES INDL AVERAGE ET,267.47
20200720,78467X109,DIA,11336.0,SPDR DOW JONES INDL AVERAGE ET,266.74
20200721,78467X109,DIA,1035.0,SPDR DOW JONES INDL AVERAGE ET,266.82
20200723,78467X109,DIA,819.0,SPDR DOW JONES INDL AVERAGE ET,269.98
20200724,78467X109,DIA,244.0,SPDR DOW JONES INDL AVERAGE ET,266.69
20200727,78467X109,DIA,79.0,SPDR DOW JONES INDL AVERAGE ET,264.69
20200728,78467X109,DIA,1.0,SPDR DOW JONES INDL AVERAGE ET,265.95
20200729,78467X109,DIA,7630.0,SPDR DOW JONES INDL AVERAGE ET,263.93
20200730,78467X109,DIA,230.0,SPDR DOW JONES INDL AVERAGE ET,265.5
20200731,78467X109,DIA,2689.0,SPDR DOW JONES INDL AVERAGE ET,263.28
20200803,78467X109,DIA,2.0,SPDR DOW JONES INDL AVERAGE ET,264.35
20200804,78467X109,DIA,2175.0,SPDR DOW JONES INDL AVERAGE ET,266.72
20200805,78467X109,DIA,3945.0,SPDR DOW JONES INDL AVERAGE ET,268.41
20200810,78467X109,DIA,645.0,SPDR DOW JONES INDL AVERAGE ET,274.62
20200811,78467X109,DIA,256.0,SPDR DOW JONES INDL AVERAGE ET,278.14
20200812,78467X109,DIA,17.0,SPDR DOW JONES INDL AVERAGE ET,277.19
20200813,78467X109,DIA,11825.0,SPDR DOW JONES INDL AVERAGE ET,280.04
20200814,78467X109,DIA,12256.0,SPDR DOW JONES INDL AVERAGE ET,279.42
20200818,78467X109,DIA,19703.0,SPDR DOW JONES INDL AVERAGE ET,278.95
20200819,78467X109,DIA,18514.0,SPDR DOW JONES INDL AVERAGE ET,278.2
20200820,78467X109,DIA,4760.0,SPDR DOW JONES INDL AVERAGE ET,277.43
20200821,78467X109,DIA,733.0,SPDR DOW JONES INDL AVERAGE ET,277.87
20200824,78467X109,DIA,37118.0,SPDR DOW JONES INDL AVERAGE ET,279.29
20200825,78467X109,DIA,325.0,SPDR DOW JONES INDL AVERAGE ET,283.18
20200826,78467X109,DIA,440.0,SPDR DOW JONES INDL AVERAGE ET,282.62
20200828,78467X109,DIA,464.0,SPDR DOW JONES INDL AVERAGE ET,285.04
20200831,78467X109,DIA,832.0,SPDR DOW JONES INDL AVERAGE ET,286.7
20200901,78467X109,DIA,1104.0,SPDR DOW JONES INDL AVERAGE ET,284.28
20200902,78467X109,DIA,10668.0,SPDR DOW JONES INDL AVERAGE ET,286.79
20200903,78467X109,DIA,94641.0,SPDR DOW JONES INDL AVERAGE ET,291.21
20200909,78467X109,DIA,1333.0,SPDR DOW JONES INDL AVERAGE ET,275.42
20200910,78467X109,DIA,18445.0,SPDR DOW JONES INDL AVERAGE ET,279.85
20200911,78467X109,DIA,4663.0,SPDR DOW JONES INDL AVERAGE ET,275.79
20200915,78467X109,DIA,586.0,SPDR DOW JONES INDL AVERAGE ET,280.53
20200916,78467X109,DIA,1086.0,SPDR DOW JONES INDL AVERAGE ET,280.58
20200917,78467X109,DIA,49.0,SPDR DOW JONES INDL AVERAGE ET,281.03
20200918,78467X109,DIA,13.0,SPDR DOW JONES INDL AVERAGE ET,279.57
20200921,78467X109,DIA,155705.0,SPDR DOW JONES INDL AVERAGE ET,276.52
20200922,78467X109,DIA,437.0,SPDR DOW JONES INDL AVERAGE ET,271.44
20200923,78467X109,DIA,20068.0,SPDR DOW JONES INDL AVERAGE ET,272.81
20200924,78467X109,DIA,37063.0,SPDR DOW JONES INDL AVERAGE ET,267.58
20200925,78467X109,DIA,61439.0,SPDR DOW JONES INDL AVERAGE ET,268.1
