SETTLEMENT DATE,CUSIP,SYMBOL,QUANTITY (FAILS),DESCRIPTION,PRICE
20200601,25470F104,DISCA,19876.0,DISCOVERY INC SER A COM STK (D,21.75
20200602,25470F104,DISCA,940.0,DISCOVERY INC SER A COM STK (D,21.95
20200603,25470F104,DISCA,4208.0,DISCOVERY INC SER A COM STK (D,21.83
20200604,25470F104,DISCA,9.0,DISCOVERY INC SER A COM STK (D,22.27
20200605,25470F104,DISCA,18005.0,DISCOVERY INC SER A COM STK (D,23.09
20200608,25470F104,DISCA,1534.0,DISCOVERY INC SER A COM STK (D,24.78
20200609,25470F104,DISCA,16789.0,DISCOVERY INC SER A COM STK (D,26.15
20200610,25470F104,DISCA,46.0,DISCOVERY INC SER A COM STK (D,23.88
20200611,25470F104,DISCA,222769.0,DISCOVERY INC SER A COM STK (D,23.17
20200612,25470F104,DISCA,2310.0,DISCOVERY INC SER A COM STK (D,22.34
20200615,25470F104,DISCA,8869.0,DISCOVERY INC SER A COM STK (D,22.07
20200616,25470F104,DISCA,156.0,DISCOVERY INC SER A COM STK (D,22.75
20200617,25470F104,DISCA,70.0,DISCOVERY INC SER A COM STK (D,22.26
20200619,25470F104,DISCA,99.0,DISCOVERY INC SER A COM STK (D,22.52
20200622,25470F104,DISCA,66.0,DISCOVERY INC SER A COM STK (D,22.15
20200623,25470F104,DISCA,2139.0,DISCOVERY INC SER A COM STK (D,21.84
20200624,25470F104,DISCA,451666.0,DISCOVERY INC SER A COM STK (D,22.16
20200625,25470F104,DISCA,171.0,DISCOVERY INC SER A COM STK (D,21.72
20200629,25470F104,DISCA,1434.0,DISCOVERY INC SER A COM STK (D,20.26
20200706,25470F104,DISCA,74181.0,DISCOVERY INC SER A COM STK (D,20.79
20200710,25470F104,DISCA,88.0,DISCOVERY INC SER A COM STK (D,19.25
20200715,25470F104,DISCA,2888.0,DISCOVERY INC SER A COM STK (D,20.65
20200716,25470F104,DISCA,2582.0,DISCOVERY INC SER A COM STK (D,21.78
20200717,25470F104,DISCA,9838.0,DISCOVERY INC SER A COM STK (D,22.02
20200720,25470F104,DISCA,150.0,DISCOVERY INC SER A COM STK (D,21.42
20200721,25470F104,DISCA,260.0,DISCOVERY INC SER A COM STK (D,20.77
20200722,25470F104,DISCA,2032.0,DISCOVERY INC SER A COM STK (D,20.98
20200723,25470F104,DISCA,25695.0,DISCOVERY INC SER A COM STK (D,21.11
20200724,25470F104,DISCA,2045.0,DISCOVERY INC SER A COM STK (D,21.35
20200727,25470F104,DISCA,4190.0,DISCOVERY INC SER A COM STK (D,21.15
20200728,25470F104,DISCA,24219.0,DISCOVERY INC SER A COM STK (D,20.88
20200731,25470F104,DISCA,8634.0,DISCOVERY INC SER A COM STK (D,21.15
20200803,25470F104,DISCA,295555.0,DISCOVERY INC SER A COM STK (D,21.1
20200804,25470F104,DISCA,3367.0,DISCOVERY INC SER A COM STK (D,21.34
20200805,25470F104,DISCA,3540.0,DISCOVERY INC SER A COM STK (D,22.01
20200806,25470F104,DISCA,25828.0,DISCOVERY INC SER A COM STK (D,21.12
20200807,25470F104,DISCA,22.0,DISCOVERY INC SER A COM STK (D,21.63
20200810,25470F104,DISCA,4181.0,DISCOVERY INC SER A COM STK (D,20.98
20200811,25470F104,DISCA,8623.0,DISCOVERY INC SER A COM STK (D,21.78
20200812,25470F104,DISCA,3466.0,DISCOVERY INC SER A COM STK (D,22.48
20200813,25470F104,DISCA,2997.0,DISCOVERY INC SER A COM STK (D,21.82
20200814,25470F104,DISCA,692.0,DISCOVERY INC SER A COM STK (D,21.97
20200817,25470F104,DISCA,1091.0,DISCOVERY INC SER A COM STK (D,22.62
20200818,25470F104,DISCA,9312.0,DISCOVERY INC SER A COM STK (D,22.09
20200819,25470F104,DISCA,277.0,DISCOVERY INC SER A COM STK (D,22.06
20200820,25470F104,DISCA,776.0,DISCOVERY INC SER A COM STK (D,22.22
20200824,25470F104,DISCA,22637.0,DISCOVERY INC SER A COM STK (D,21.99
20200825,25470F104,DISCA,21273.0,DISCOVERY INC SER A COM STK (D,22.81
20200826,25470F104,DISCA,271.0,DISCOVERY INC SER A COM STK (D,22.86
