SETTLEMENT DATE,CUSIP,SYMBOL,QUANTITY (FAILS),DESCRIPTION,PRICE
20200601,3.0219e+107,EXPR,20290.0,"EXPRESS, INC COM STK",1.96
20200602,3.0219e+107,EXPR,2012.0,"EXPRESS, INC COM STK",1.86
20200609,3.0219e+107,EXPR,1.0,"EXPRESS, INC COM STK",2.55
20200610,3.0219e+107,EXPR,2290.0,"EXPRESS, INC COM STK",2.49
20200612,3.0219e+107,EXPR,10517.0,"EXPRESS, INC COM STK",1.88
20200615,3.0219e+107,EXPR,7812.0,"EXPRESS, INC COM STK",1.95
20200616,3.0219e+107,EXPR,5812.0,"EXPRESS, INC COM STK",1.86
20200619,3.0219e+107,EXPR,3286.0,"EXPRESS, INC COM STK",1.85
20200623,3.0219e+107,EXPR,2875.0,"EXPRESS, INC COM STK",1.82
20200625,3.0219e+107,EXPR,61688.0,"EXPRESS, INC COM STK",1.56
20200626,3.0219e+107,EXPR,650.0,"EXPRESS, INC COM STK",1.53
20200630,3.0219e+107,EXPR,55402.0,"EXPRESS, INC COM STK",1.51
20200702,3.0219e+107,EXPR,28140.0,"EXPRESS, INC COM STK",1.44
20200706,3.0219e+107,EXPR,17854.0,"EXPRESS, INC COM STK",1.42
20200708,3.0219e+107,EXPR,82417.0,"EXPRESS, INC COM STK",1.3
20200709,3.0219e+107,EXPR,29555.0,"EXPRESS, INC COM STK",1.4
20200710,3.0219e+107,EXPR,4442.0,"EXPRESS, INC COM STK",1.5
20200720,3.0219e+107,EXPR,5621.0,"EXPRESS, INC COM STK",1.39
20200722,3.0219e+107,EXPR,108.0,"EXPRESS, INC COM STK",1.31
20200723,3.0219e+107,EXPR,7169.0,"EXPRESS, INC COM STK",1.27
20200724,3.0219e+107,EXPR,7418.0,"EXPRESS, INC COM STK",1.24
20200727,3.0219e+107,EXPR,3758.0,"EXPRESS, INC COM STK",1.21
20200729,3.0219e+107,EXPR,47822.0,"EXPRESS, INC COM STK",1.14
20200731,3.0219e+107,EXPR,100708.0,"EXPRESS, INC COM STK",1.11
20200803,3.0219e+107,EXPR,2525.0,"EXPRESS, INC COM STK",1.01
20200805,3.0219e+107,EXPR,41307.0,"EXPRESS, INC COM STK",1.16
20200806,3.0219e+107,EXPR,205595.0,"EXPRESS, INC COM STK",1.14
20200812,3.0219e+107,EXPR,101.0,"EXPRESS, INC COM STK",1.24
20200814,3.0219e+107,EXPR,5543.0,"EXPRESS, INC COM STK",1.24
20200821,3.0219e+107,EXPR,52326.0,"EXPRESS, INC COM STK",1.1
20200825,3.0219e+107,EXPR,3302.0,"EXPRESS, INC COM STK",1.05
20200828,3.0219e+107,EXPR,18.0,"EXPRESS, INC COM STK",1.05
20200831,3.0219e+107,EXPR,18.0,"EXPRESS, INC COM STK",1.09
20200901,3.0219e+107,EXPR,18.0,"EXPRESS, INC COM STK",1.11
20200902,3.0219e+107,EXPR,128.0,"EXPRESS, INC COM STK",1.05
20200908,3.0219e+107,EXPR,346.0,"EXPRESS, INC COM STK",0.98
20200909,3.0219e+107,EXPR,15982.0,"EXPRESS, INC COM STK",0.92
20200916,3.0219e+107,EXPR,11222.0,"EXPRESS, INC COM STK",0.95
20200917,3.0219e+107,EXPR,3120.0,"EXPRESS, INC COM STK",0.95
20200921,3.0219e+107,EXPR,10988.0,"EXPRESS, INC COM STK",0.9
20200922,3.0219e+107,EXPR,3823399.0,"EXPRESS, INC COM STK",0.81
20200923,3.0219e+107,EXPR,271335.0,"EXPRESS, INC COM STK",0.77
20200924,3.0219e+107,EXPR,202164.0,"EXPRESS, INC COM STK",0.7
20200925,3.0219e+107,EXPR,127879.0,"EXPRESS, INC COM STK",0.71
20200928,3.0219e+107,EXPR,386.0,"EXPRESS, INC COM STK",0.68
20200929,3.0219e+107,EXPR,23882.0,"EXPRESS, INC COM STK",0.67
20200930,3.0219e+107,EXPR,23646.0,"EXPRESS, INC COM STK",0.61
20201002,3.0219e+107,EXPR,11736.0,"EXPRESS, INC COM STK",0.8
20201006,3.0219e+107,EXPR,204988.0,"EXPRESS, INC COM STK",0.76
20201007,3.0219e+107,EXPR,147.0,"EXPRESS, INC COM STK",0.66
20201008,3.0219e+107,EXPR,571852.0,"EXPRESS, INC COM STK",0.7
20201009,3.0219e+107,EXPR,687218.0,"EXPRESS, INC COM STK",0.73
20201013,3.0219e+107,EXPR,602883.0,"EXPRESS, INC COM STK",0.76
20201014,3.0219e+107,EXPR,61419.0,"EXPRESS, INC COM STK",0.72
20201016,3.0219e+107,EXPR,59820.0,"EXPRESS, INC COM STK",0.75
20201019,3.0219e+107,EXPR,342.0,"EXPRESS, INC COM STK",0.75
20201022,3.0219e+107,EXPR,6539.0,"EXPRESS, INC COM STK",0.72
20201026,3.0219e+107,EXPR,22043.0,"EXPRESS, INC COM STK",0.77
20201027,3.0219e+107,EXPR,27276.0,"EXPRESS, INC COM STK",0.75
20201028,3.0219e+107,EXPR,1221.0,"EXPRESS, INC COM STK",0.71
20201029,3.0219e+107,EXPR,9662.0,"EXPRESS, INC COM STK",0.66
20201030,3.0219e+107,EXPR,7.0,"EXPRESS, INC COM STK",0.63
20201102,3.0219e+107,EXPR,8211.0,"EXPRESS, INC COM STK",0.61
20201103,3.0219e+107,EXPR,74671.0,"EXPRESS, INC COM STK",0.58
20201105,3.0219e+107,EXPR,18135.0,"EXPRESS, INC COM STK",0.59
20201112,3.0219e+107,EXPR,29982.0,"EXPRESS, INC COM STK",0.85
20201113,3.0219e+107,EXPR,24451.0,"EXPRESS, INC COM STK",0.78
20201116,3.0219e+107,EXPR,3042.0,"EXPRESS, INC COM STK",0.77
20201118,3.0219e+107,EXPR,9931.0,"EXPRESS, INC COM STK",0.9
20201120,3.0219e+107,EXPR,2299.0,"EXPRESS, INC COM STK",1.04
20201123,3.0219e+107,EXPR,71580.0,"EXPRESS, INC COM STK",1.14
20201124,3.0219e+107,EXPR,61307.0,"EXPRESS, INC COM STK",1.39
20201125,3.0219e+107,EXPR,126118.0,"EXPRESS, INC COM STK",1.54
20201127,3.0219e+107,EXPR,142140.0,"EXPRESS, INC COM STK",1.6
20201130,3.0219e+107,EXPR,142039.0,"EXPRESS, INC COM STK",1.59
20201201,3.0219e+107,EXPR,47212.0,"EXPRESS, INC COM STK",1.52
20201202,3.0219e+107,EXPR,287037.0,"EXPRESS, INC COM STK",1.68
20201203,3.0219e+107,EXPR,351474.0,"EXPRESS, INC COM STK",1.58
20201204,3.0219e+107,EXPR,65598.0,"EXPRESS, INC COM STK",1.17
20201207,3.0219e+107,EXPR,165.0,"EXPRESS, INC COM STK",1.2
20201208,3.0219e+107,EXPR,200.0,"EXPRESS, INC COM STK",1.1
20201211,3.0219e+107,EXPR,12382.0,"EXPRESS, INC COM STK",1.12
20201214,3.0219e+107,EXPR,15688.0,"EXPRESS, INC COM STK",1.07
20201215,3.0219e+107,EXPR,28664.0,"EXPRESS, INC COM STK",1.04
