SETTLEMENT DATE,CUSIP,SYMBOL,QUANTITY (FAILS),DESCRIPTION,PRICE
20200603,345370860,F,2.0,FORD MOTOR CO;COM STK USD0.01 ,5.9
20200604,345370860,F,4.0,FORD MOTOR CO;COM STK USD0.01 ,6.19
20200605,345370860,F,2.0,FORD MOTOR CO;COM STK USD0.01 ,6.57
20200608,345370860,F,1912.0,FORD MOTOR CO;COM STK USD0.01 ,7.34
20200609,345370860,F,1002.0,FORD MOTOR CO;COM STK USD0.01 ,7.53
20200610,345370860,F,36380.0,FORD MOTOR CO;COM STK USD0.01 ,7.24
20200611,345370860,F,201984.0,FORD MOTOR CO;COM STK USD0.01 ,6.81
20200615,345370860,F,6032.0,FORD MOTOR CO;COM STK USD0.01 ,6.46
20200618,345370860,F,4176.0,FORD MOTOR CO;COM STK USD0.01 ,6.33
20200619,345370860,F,159.0,FORD MOTOR CO;COM STK USD0.01 ,6.33
20200623,345370860,F,11945.0,FORD MOTOR CO;COM STK USD0.01 ,6.28
20200624,345370860,F,83.0,FORD MOTOR CO;COM STK USD0.01 ,6.15
20200625,345370860,F,812695.0,FORD MOTOR CO;COM STK USD0.01 ,5.95
20200626,345370860,F,680164.0,FORD MOTOR CO;COM STK USD0.01 ,6.03
20200630,345370860,F,24704.0,FORD MOTOR CO;COM STK USD0.01 ,6.01
20200702,345370860,F,633.0,FORD MOTOR CO;COM STK USD0.01 ,5.98
20200706,345370860,F,550267.0,FORD MOTOR CO;COM STK USD0.01 ,6.05
20200708,345370860,F,18145.0,FORD MOTOR CO;COM STK USD0.01 ,6.12
20200709,345370860,F,7475.0,FORD MOTOR CO;COM STK USD0.01 ,6.09
20200710,345370860,F,50.0,FORD MOTOR CO;COM STK USD0.01 ,5.84
20200713,345370860,F,547399.0,FORD MOTOR CO;COM STK USD0.01 ,6.1
20200715,345370860,F,12249.0,FORD MOTOR CO;COM STK USD0.01 ,6.36
20200717,345370860,F,1517.0,FORD MOTOR CO;COM STK USD0.01 ,6.86
20200721,345370860,F,50628.0,FORD MOTOR CO;COM STK USD0.01 ,6.66
20200723,345370860,F,67299.0,FORD MOTOR CO;COM STK USD0.01 ,6.84
20200724,345370860,F,29531.0,FORD MOTOR CO;COM STK USD0.01 ,6.98
20200727,345370860,F,6373.0,FORD MOTOR CO;COM STK USD0.01 ,6.88
20200728,345370860,F,392.0,FORD MOTOR CO;COM STK USD0.01 ,6.93
20200731,345370860,F,33314.0,FORD MOTOR CO;COM STK USD0.01 ,6.74
