SETTLEMENT DATE,CUSIP,SYMBOL,QUANTITY (FAILS),DESCRIPTION,PRICE
20200601,30303M102,FB,144188.0,FACEBOOK INC CL A COM STK (DE),225.09
20200602,30303M102,FB,19215.0,FACEBOOK INC CL A COM STK (DE),231.91
20200603,30303M102,FB,1369.0,FACEBOOK INC CL A COM STK (DE),232.72
20200608,30303M102,FB,73303.0,FACEBOOK INC CL A COM STK (DE),230.77
20200609,30303M102,FB,6000.0,FACEBOOK INC CL A COM STK (DE),231.4
20200610,30303M102,FB,23024.0,FACEBOOK INC CL A COM STK (DE),238.67
20200611,30303M102,FB,2375.0,FACEBOOK INC CL A COM STK (DE),236.73
20200616,30303M102,FB,159.0,FACEBOOK INC CL A COM STK (DE),232.5
20200617,30303M102,FB,36908.0,FACEBOOK INC CL A COM STK (DE),235.65
20200618,30303M102,FB,11611.0,FACEBOOK INC CL A COM STK (DE),235.53
20200619,30303M102,FB,474.0,FACEBOOK INC CL A COM STK (DE),235.94
20200623,30303M102,FB,171782.0,FACEBOOK INC CL A COM STK (DE),239.22
20200624,30303M102,FB,2203.0,FACEBOOK INC CL A COM STK (DE),242.24
20200626,30303M102,FB,275.0,FACEBOOK INC CL A COM STK (DE),235.68
20200629,30303M102,FB,1378.0,FACEBOOK INC CL A COM STK (DE),216.08
20200702,30303M102,FB,12204.0,FACEBOOK INC CL A COM STK (DE),237.55
20200706,30303M102,FB,110272.0,FACEBOOK INC CL A COM STK (DE),233.42
20200707,30303M102,FB,4789.0,FACEBOOK INC CL A COM STK (DE),240.28
20200708,30303M102,FB,507.0,FACEBOOK INC CL A COM STK (DE),240.86
20200709,30303M102,FB,4665.0,FACEBOOK INC CL A COM STK (DE),243.58
20200710,30303M102,FB,1568.0,FACEBOOK INC CL A COM STK (DE),244.5
20200713,30303M102,FB,16928.0,FACEBOOK INC CL A COM STK (DE),245.07
20200714,30303M102,FB,17479.0,FACEBOOK INC CL A COM STK (DE),239.0
20200716,30303M102,FB,9434.0,FACEBOOK INC CL A COM STK (DE),240.28
20200721,30303M102,FB,1217.0,FACEBOOK INC CL A COM STK (DE),245.42
20200723,30303M102,FB,71492.0,FACEBOOK INC CL A COM STK (DE),239.87
20200724,30303M102,FB,379.0,FACEBOOK INC CL A COM STK (DE),232.6
20200727,30303M102,FB,40385.0,FACEBOOK INC CL A COM STK (DE),230.71
20200728,30303M102,FB,3000.0,FACEBOOK INC CL A COM STK (DE),233.5
20200730,30303M102,FB,603.0,FACEBOOK INC CL A COM STK (DE),233.29
20200803,30303M102,FB,50958.0,FACEBOOK INC CL A COM STK (DE),253.67
20200804,30303M102,FB,18462.0,FACEBOOK INC CL A COM STK (DE),251.96
20200805,30303M102,FB,100.0,FACEBOOK INC CL A COM STK (DE),249.83
20200807,30303M102,FB,1179.0,FACEBOOK INC CL A COM STK (DE),265.28
20200810,30303M102,FB,97913.0,FACEBOOK INC CL A COM STK (DE),268.44
20200813,30303M102,FB,51543.0,FACEBOOK INC CL A COM STK (DE),259.89
20200814,30303M102,FB,2175.0,FACEBOOK INC CL A COM STK (DE),261.3
20200817,30303M102,FB,51.0,FACEBOOK INC CL A COM STK (DE),261.24
20200818,30303M102,FB,1363.0,FACEBOOK INC CL A COM STK (DE),261.16
20200821,30303M102,FB,648.0,FACEBOOK INC CL A COM STK (DE),269.01
