SETTLEMENT DATE,CUSIP,SYMBOL,QUANTITY (FAILS),DESCRIPTION,PRICE
20200601,30310Y107,FUBO,70.0,FACEBANK GROUP INC COM,11.55
20200624,30310Y107,FUBO,35.0,FACEBANK GROUP INC COM,10.0
20200708,30310Y107,FUBO,24224.0,FACEBANK GROUP INC COM,8.69
20200806,30310Y107,FUBO,42.0,FACEBANK GROUP INC COM,9.7
20200807,30310Y107,FUBO,22.0,FACEBANK GROUP INC COM,10.08
20200821,30310Y107,FUBO,15.0,FACEBANK GROUP INC COM,10.7
20200821,35953D104,FUBO,5308.0,FUBOTV INC COM,10.7
20200825,35953D104,FUBO,10272.0,FUBOTV INC COM,10.5
20200826,35953D104,FUBO,9041.0,FUBOTV INC COM,10.0
20200903,35953D104,FUBO,46.0,FUBOTV INC COM,9.78
20201005,35953D104,FUBO,1088.0,FUBOTV INC COM,12.09
20201006,35953D104,FUBO,9007.0,FUBOTV INC COM,13.5
20201013,35953D104,FUBO,308955.0,FUBOTV INC COM,9.86
20201014,35953D104,FUBO,356816.0,FUBOTV INC COM,9.71
20201015,35953D104,FUBO,87107.0,FUBOTV INC COM,9.32
20201016,35953D104,FUBO,506.0,FUBOTV INC COM,10.79
20201019,35953D104,FUBO,3899.0,FUBOTV INC COM,12.01
20201020,35953D104,FUBO,48260.0,FUBOTV INC COM,11.97
20201021,35953D104,FUBO,108922.0,FUBOTV INC COM,12.2
20201022,35953D104,FUBO,85702.0,FUBOTV INC COM,12.5
20201023,35953D104,FUBO,118785.0,FUBOTV INC COM,12.4
20201026,35953D104,FUBO,33642.0,FUBOTV INC COM,13.49
20201027,35953D104,FUBO,529.0,FUBOTV INC COM,13.73
20201028,35953D104,FUBO,17747.0,FUBOTV INC COM,13.8
20201029,35953D104,FUBO,29296.0,FUBOTV INC COM,13.73
20201030,35953D104,FUBO,69455.0,FUBOTV INC COM,13.64
20201102,35953D104,FUBO,11076.0,FUBOTV INC COM,13.49
20201103,35953D104,FUBO,29132.0,FUBOTV INC COM,13.8
20201109,35953D104,FUBO,34935.0,FUBOTV INC COM,14.92
20201110,35953D104,FUBO,4394.0,FUBOTV INC COM,14.65
20201112,35953D104,FUBO,16017.0,FUBOTV INC COM,16.03
20201113,35953D104,FUBO,38642.0,FUBOTV INC COM,15.42
20201116,35953D104,FUBO,12659.0,FUBOTV INC COM,15.32
20201117,35953D104,FUBO,47998.0,FUBOTV INC COM,18.59
20201118,35953D104,FUBO,69068.0,FUBOTV INC COM,21.66
20201119,35953D104,FUBO,348469.0,FUBOTV INC COM,20.83
20201120,35953D104,FUBO,234694.0,FUBOTV INC COM,22.2
20201123,35953D104,FUBO,233626.0,FUBOTV INC COM,23.65
20201124,35953D104,FUBO,266193.0,FUBOTV INC COM,25.75
20201125,35953D104,FUBO,418811.0,FUBOTV INC COM,24.85
20201127,35953D104,FUBO,595723.0,FUBOTV INC COM,25.26
