SETTLEMENT DATE,CUSIP,SYMBOL,QUANTITY (FAILS),DESCRIPTION,PRICE
20200602,37045V100,GM,1947.0,GENERAL MOTORS COMPANY COM STK,26.94
20200605,37045V100,GM,31.0,GENERAL MOTORS COMPANY COM STK,29.16
20200608,37045V100,GM,53928.0,GENERAL MOTORS COMPANY COM STK,30.61
20200609,37045V100,GM,27978.0,GENERAL MOTORS COMPANY COM STK,30.68
20200610,37045V100,GM,2658.0,GENERAL MOTORS COMPANY COM STK,29.86
20200611,37045V100,GM,12090.0,GENERAL MOTORS COMPANY COM STK,28.75
20200612,37045V100,GM,1078.0,GENERAL MOTORS COMPANY COM STK,26.5
20200615,37045V100,GM,2288.0,GENERAL MOTORS COMPANY COM STK,27.96
20200617,37045V100,GM,14709.0,GENERAL MOTORS COMPANY COM STK,27.78
20200623,37045V100,GM,201244.0,GENERAL MOTORS COMPANY COM STK,26.37
20200626,37045V100,GM,3188.0,GENERAL MOTORS COMPANY COM STK,25.23
20200629,37045V100,GM,4697.0,GENERAL MOTORS COMPANY COM STK,24.46
20200630,37045V100,GM,1205.0,GENERAL MOTORS COMPANY COM STK,25.3
20200702,37045V100,GM,11893.0,GENERAL MOTORS COMPANY COM STK,24.96
20200707,37045V100,GM,49468.0,GENERAL MOTORS COMPANY COM STK,25.73
20200709,37045V100,GM,24982.0,GENERAL MOTORS COMPANY COM STK,24.94
20200710,37045V100,GM,192.0,GENERAL MOTORS COMPANY COM STK,23.42
20200716,37045V100,GM,12715.0,GENERAL MOTORS COMPANY COM STK,26.88
20200720,37045V100,GM,11408.0,GENERAL MOTORS COMPANY COM STK,26.45
20200721,37045V100,GM,12278.0,GENERAL MOTORS COMPANY COM STK,26.01
20200723,37045V100,GM,4.0,GENERAL MOTORS COMPANY COM STK,26.3
20200728,37045V100,GM,4394.0,GENERAL MOTORS COMPANY COM STK,25.7
20200729,37045V100,GM,598.0,GENERAL MOTORS COMPANY COM STK,26.33
20200731,37045V100,GM,5085.0,GENERAL MOTORS COMPANY COM STK,25.2
20200803,37045V100,GM,4547.0,GENERAL MOTORS COMPANY COM STK,24.89
20200805,37045V100,GM,820.0,GENERAL MOTORS COMPANY COM STK,25.8
20200810,37045V100,GM,11318.0,GENERAL MOTORS COMPANY COM STK,26.72
20200811,37045V100,GM,1370.0,GENERAL MOTORS COMPANY COM STK,27.98
20200812,37045V100,GM,55479.0,GENERAL MOTORS COMPANY COM STK,28.52
20200813,37045V100,GM,225.0,GENERAL MOTORS COMPANY COM STK,28.03
20200814,37045V100,GM,880.0,GENERAL MOTORS COMPANY COM STK,27.55
20200817,37045V100,GM,1923.0,GENERAL MOTORS COMPANY COM STK,27.86
20200818,37045V100,GM,12400.0,GENERAL MOTORS COMPANY COM STK,30.01
20200819,37045V100,GM,269.0,GENERAL MOTORS COMPANY COM STK,29.84
20200820,37045V100,GM,57.0,GENERAL MOTORS COMPANY COM STK,29.22
20200821,37045V100,GM,12551.0,GENERAL MOTORS COMPANY COM STK,28.83
20200825,37045V100,GM,9153.0,GENERAL MOTORS COMPANY COM STK,30.31
20200827,37045V100,GM,14790.0,GENERAL MOTORS COMPANY COM STK,29.48
20200828,37045V100,GM,2852.0,GENERAL MOTORS COMPANY COM STK,29.69
20200901,37045V100,GM,1469.0,GENERAL MOTORS COMPANY COM STK,29.63
20200903,37045V100,GM,698.0,GENERAL MOTORS COMPANY COM STK,30.96
20200904,37045V100,GM,3119.0,GENERAL MOTORS COMPANY COM STK,29.48
20200908,37045V100,GM,135.0,GENERAL MOTORS COMPANY COM STK,30.0
20200910,37045V100,GM,50619.0,GENERAL MOTORS COMPANY COM STK,31.95
20200911,37045V100,GM,2156.0,GENERAL MOTORS COMPANY COM STK,30.17
20200916,37045V100,GM,1508.0,GENERAL MOTORS COMPANY COM STK,31.58
20200917,37045V100,GM,9983.0,GENERAL MOTORS COMPANY COM STK,31.79
20200921,37045V100,GM,109.0,GENERAL MOTORS COMPANY COM STK,31.5
20200922,37045V100,GM,18998.0,GENERAL MOTORS COMPANY COM STK,30.0
20200923,37045V100,GM,79524.0,GENERAL MOTORS COMPANY COM STK,29.44
20200924,37045V100,GM,3422.0,GENERAL MOTORS COMPANY COM STK,29.34
20200925,37045V100,GM,14029.0,GENERAL MOTORS COMPANY COM STK,29.11
20200929,37045V100,GM,6829.0,GENERAL MOTORS COMPANY COM STK,29.44
20200930,37045V100,GM,4892.0,GENERAL MOTORS COMPANY COM STK,28.74
20201001,37045V100,GM,2720.0,GENERAL MOTORS COMPANY COM STK,29.59
20201005,37045V100,GM,39876.0,GENERAL MOTORS COMPANY COM STK,30.46
20201006,37045V100,GM,1185.0,GENERAL MOTORS COMPANY COM STK,30.96
20201007,37045V100,GM,1857.0,GENERAL MOTORS COMPANY COM STK,30.4
20201009,37045V100,GM,2191.0,GENERAL MOTORS COMPANY COM STK,32.21
20201013,37045V100,GM,191181.0,GENERAL MOTORS COMPANY COM STK,32.21
20201014,37045V100,GM,8542.0,GENERAL MOTORS COMPANY COM STK,31.87
