SETTLEMENT DATE,CUSIP,SYMBOL,QUANTITY (FAILS),DESCRIPTION,PRICE
20210601,13803R102,GOEV,10911.0,CANOO INC,7.92
20210602,13803R102,GOEV,42089.0,CANOO INC,8.15
20210603,13803R102,GOEV,9549.0,CANOO INC,8.85
20210604,13803R102,GOEV,89783.0,CANOO INC,8.91
20210607,13803R102,GOEV,24864.0,CANOO INC,8.68
20210608,13803R102,GOEV,28958.0,CANOO INC,8.90
20210609,13803R102,GOEV,29739.0,CANOO INC,10.71
20210610,13803R102,GOEV,173723.0,CANOO INC,10.04
20210611,13803R102,GOEV,7185.0,CANOO INC,9.76
20210614,13803R102,GOEV,30965.0,CANOO INC,9.70
