SETTLEMENT DATE,CUSIP,SYMBOL,QUANTITY (FAILS),DESCRIPTION,PRICE
20200601,02079K107,GOOG,24.0,ALPHABET INC CAP STK CL C,1428.92
20200602,02079K107,GOOG,1000.0,ALPHABET INC CAP STK CL C,1431.82
20200603,02079K107,GOOG,2307.0,ALPHABET INC CAP STK CL C,1439.22
20200604,02079K107,GOOG,67.0,ALPHABET INC CAP STK CL C,1436.38
20200608,02079K107,GOOG,7.0,ALPHABET INC CAP STK CL C,1438.39
20200609,02079K107,GOOG,100.0,ALPHABET INC CAP STK CL C,1446.61
20200615,02079K107,GOOG,331.0,ALPHABET INC CAP STK CL C,1413.18
20200616,02079K107,GOOG,2963.0,ALPHABET INC CAP STK CL C,1419.85
20200617,02079K107,GOOG,1467.0,ALPHABET INC CAP STK CL C,1442.72
20200618,02079K107,GOOG,3364.0,ALPHABET INC CAP STK CL C,1451.12
20200619,02079K107,GOOG,1798.0,ALPHABET INC CAP STK CL C,1435.96
20200623,02079K107,GOOG,200.0,ALPHABET INC CAP STK CL C,1451.86
20200625,02079K107,GOOG,1.0,ALPHABET INC CAP STK CL C,1431.97
20200701,02079K107,GOOG,8.0,ALPHABET INC CAP STK CL C,1413.61
20200707,02079K107,GOOG,806.0,ALPHABET INC CAP STK CL C,1495.7
20200708,02079K107,GOOG,176.0,ALPHABET INC CAP STK CL C,1485.18
20200709,02079K107,GOOG,1320.0,ALPHABET INC CAP STK CL C,1496.0
20200710,02079K107,GOOG,4.0,ALPHABET INC CAP STK CL C,1510.99
20200713,02079K107,GOOG,81.0,ALPHABET INC CAP STK CL C,1541.74
20200714,02079K107,GOOG,4429.0,ALPHABET INC CAP STK CL C,1511.34
20200720,02079K107,GOOG,31.0,ALPHABET INC CAP STK CL C,1515.55
20200721,02079K107,GOOG,100.0,ALPHABET INC CAP STK CL C,1565.72
20200722,02079K107,GOOG,155.0,ALPHABET INC CAP STK CL C,1558.42
20200723,02079K107,GOOG,520.0,ALPHABET INC CAP STK CL C,1568.49
20200724,02079K107,GOOG,583.0,ALPHABET INC CAP STK CL C,1515.68
20200728,02079K107,GOOG,4.0,ALPHABET INC CAP STK CL C,1530.2
20200729,02079K107,GOOG,51.0,ALPHABET INC CAP STK CL C,1500.34
20200731,02079K107,GOOG,325.0,ALPHABET INC CAP STK CL C,1531.45
20200803,02079K107,GOOG,992.0,ALPHABET INC CAP STK CL C,1482.96
20200812,02079K107,GOOG,60.0,ALPHABET INC CAP STK CL C,1480.32
20200818,02079K107,GOOG,199.0,ALPHABET INC CAP STK CL C,1517.98
20200819,02079K107,GOOG,28.0,ALPHABET INC CAP STK CL C,1558.6
20200821,02079K107,GOOG,501.0,ALPHABET INC CAP STK CL C,1581.75
20200824,02079K107,GOOG,204.0,ALPHABET INC CAP STK CL C,1580.42
20200825,02079K107,GOOG,682.0,ALPHABET INC CAP STK CL C,1588.2
20200831,02079K107,GOOG,119.0,ALPHABET INC CAP STK CL C,1644.41
20200908,02079K107,GOOG,98.0,ALPHABET INC CAP STK CL C,1591.04
20200911,02079K107,GOOG,40.0,ALPHABET INC CAP STK CL C,1532.02
20200914,02079K107,GOOG,411.0,ALPHABET INC CAP STK CL C,1520.72
20200915,02079K107,GOOG,307.0,ALPHABET INC CAP STK CL C,1519.28
20200916,02079K107,GOOG,3150.0,ALPHABET INC CAP STK CL C,1541.44
20200918,02079K107,GOOG,16545.0,ALPHABET INC CAP STK CL C,1495.53
20200925,02079K107,GOOG,58.0,ALPHABET INC CAP STK CL C,1428.29
20200929,02079K107,GOOG,20.0,ALPHABET INC CAP STK CL C,1464.52
20200930,02079K107,GOOG,73.0,ALPHABET INC CAP STK CL C,1469.33
20201005,02079K107,GOOG,56.0,ALPHABET INC CAP STK CL C,1458.42
20201006,02079K107,GOOG,14965.0,ALPHABET INC CAP STK CL C,1486.02
20201009,02079K107,GOOG,157.0,ALPHABET INC CAP STK CL C,1485.93
20201014,02079K107,GOOG,21.0,ALPHABET INC CAP STK CL C,1571.68
20201016,02079K107,GOOG,129.0,ALPHABET INC CAP STK CL C,1559.13
20201020,02079K107,GOOG,70.0,ALPHABET INC CAP STK CL C,1534.61
20201027,02079K107,GOOG,2018.0,ALPHABET INC CAP STK CL C,1590.45
20201103,02079K107,GOOG,100.0,ALPHABET INC CAP STK CL C,1626.03
20201110,02079K107,GOOG,990.0,ALPHABET INC CAP STK CL C,1763.0
20201112,02079K107,GOOG,3860.0,ALPHABET INC CAP STK CL C,1752.71
20201113,02079K107,GOOG,137.0,ALPHABET INC CAP STK CL C,1749.84
20201117,02079K107,GOOG,9.0,ALPHABET INC CAP STK CL C,1781.38
20201118,02079K107,GOOG,44.0,ALPHABET INC CAP STK CL C,1770.15
20201119,02079K107,GOOG,1.0,ALPHABET INC CAP STK CL C,1746.78
20201124,02079K107,GOOG,3348.0,ALPHABET INC CAP STK CL C,1734.86
20201125,02079K107,GOOG,380.0,ALPHABET INC CAP STK CL C,1768.88
20201127,02079K107,GOOG,371.0,ALPHABET INC CAP STK CL C,1771.43
20201130,02079K107,GOOG,1012.0,ALPHABET INC CAP STK CL C,1793.19
20201201,02079K107,GOOG,1370.0,ALPHABET INC CAP STK CL C,1760.74
20201202,02079K107,GOOG,280.0,ALPHABET INC CAP STK CL C,1798.1
20201204,02079K107,GOOG,4940.0,ALPHABET INC CAP STK CL C,1826.77
20201208,02079K107,GOOG,1100.0,ALPHABET INC CAP STK CL C,1819.48
20201209,02079K107,GOOG,341.0,ALPHABET INC CAP STK CL C,1818.55
20201210,02079K107,GOOG,531.0,ALPHABET INC CAP STK CL C,1784.13
20201214,02079K107,GOOG,564.0,ALPHABET INC CAP STK CL C,1781.77
20201217,02079K107,GOOG,159.0,ALPHABET INC CAP STK CL C,1763.0
20201221,02079K107,GOOG,1776.0,ALPHABET INC CAP STK CL C,1731.01
20201222,02079K107,GOOG,53.0,ALPHABET INC CAP STK CL C,1739.37
20201228,02079K107,GOOG,218.0,ALPHABET INC CAP STK CL C,1738.85
20201230,02079K107,GOOG,9134.0,ALPHABET INC CAP STK CL C,1758.72
20210104,02079K107,GOOG,5.0,ALPHABET INC CAP STK CL C,1751.88
20210105,02079K107,GOOG,100.0,ALPHABET INC CAP STK CL C,1728.24
20210107,02079K107,GOOG,13.0,ALPHABET INC CAP STK CL C,1735.29
20210108,02079K107,GOOG,297.0,ALPHABET INC CAP STK CL C,1787.25
20210112,02079K107,GOOG,3316.0,ALPHABET INC CAP STK CL C,1766.72
20210114,02079K107,GOOG,6178.0,ALPHABET INC CAP STK CL C,1754.4
20210115,02079K107,GOOG,4742.0,ALPHABET INC CAP STK CL C,1740.18
20210119,02079K107,GOOG,11969.0,ALPHABET INC CAP STK CL C,1736.19
20210121,02079K107,GOOG,1.0,ALPHABET INC CAP STK CL C,1886.9
20210125,02079K107,GOOG,1268.0,ALPHABET INC CAP STK CL C,1901.05
20210126,02079K107,GOOG,771.0,ALPHABET INC CAP STK CL C,1899.4
20210129,02079K107,GOOG,18917.0,ALPHABET INC CAP STK CL C,1863.11
20210201,02079K107,GOOG,1252.0,ALPHABET INC CAP STK CL C,1835.74
20210204,02079K107,GOOG,346.0,ALPHABET INC CAP STK CL C,2070.07
20210208,02079K107,GOOG,4.0,ALPHABET INC CAP STK CL C,2098.0
20210209,02079K107,GOOG,63.0,ALPHABET INC CAP STK CL C,2092.91
20210211,02079K107,GOOG,1541.0,ALPHABET INC CAP STK CL C,2095.38
20210216,02079K107,GOOG,1915.0,ALPHABET INC CAP STK CL C,2104.11
20210217,02079K107,GOOG,200.0,ALPHABET INC CAP STK CL C,2121.9
20210218,02079K107,GOOG,18.0,ALPHABET INC CAP STK CL C,2128.31
20210219,02079K107,GOOG,1.0,ALPHABET INC CAP STK CL C,2117.2
20210222,02079K107,GOOG,99.0,ALPHABET INC CAP STK CL C,2101.14
20210223,02079K107,GOOG,50094.0,ALPHABET INC CAP STK CL C,2064.88
20210225,02079K107,GOOG,80.0,ALPHABET INC CAP STK CL C,2095.17
20210226,02079K107,GOOG,891.0,ALPHABET INC CAP STK CL C,2031.36
20210301,02079K107,GOOG,1553.0,ALPHABET INC CAP STK CL C,2036.86
20210302,02079K107,GOOG,477.0,ALPHABET INC CAP STK CL C,2081.51
20210304,02079K107,GOOG,4189.0,ALPHABET INC CAP STK CL C,2026.71
20210308,02079K107,GOOG,6522.0,ALPHABET INC CAP STK CL C,2108.54
20210309,02079K107,GOOG,500.0,ALPHABET INC CAP STK CL C,2024.17
20210312,02079K107,GOOG,1951.0,ALPHABET INC CAP STK CL C,2114.77
20210315,02079K107,GOOG,1634.0,ALPHABET INC CAP STK CL C,2061.92
20210329,02079K107,GOOG,11967.0,ALPHABET INC CAP STK CL C,2035.55
20210330,02079K107,GOOG,88.0,ALPHABET INC CAP STK CL C,2055.95
20210406,02079K107,GOOG,4622.0,ALPHABET INC CAP STK CL C,2225.55
20210407,02079K107,GOOG,2460.0,ALPHABET INC CAP STK CL C,2224.75
20210408,02079K107,GOOG,133.0,ALPHABET INC CAP STK CL C,2249.68
20210409,02079K107,GOOG,49.0,ALPHABET INC CAP STK CL C,2265.44
20210412,02079K107,GOOG,941.0,ALPHABET INC CAP STK CL C,2285.88
20210413,02079K107,GOOG,307.0,ALPHABET INC CAP STK CL C,2254.79
20210414,02079K107,GOOG,3930.0,ALPHABET INC CAP STK CL C,2267.27
20210420,02079K107,GOOG,138154.0,ALPHABET INC CAP STK CL C,2302.4
20210421,02079K107,GOOG,44.0,ALPHABET INC CAP STK CL C,2293.63
20210422,02079K107,GOOG,112.0,ALPHABET INC CAP STK CL C,2293.29
20210423,02079K107,GOOG,3.0,ALPHABET INC CAP STK CL C,2267.92
20210426,02079K107,GOOG,63.0,ALPHABET INC CAP STK CL C,2315.3
20210427,02079K107,GOOG,143.0,ALPHABET INC CAP STK CL C,2326.74
20210504,02079K107,GOOG,584.0,ALPHABET INC CAP STK CL C,2395.17
20210507,02079K107,GOOG,1.0,ALPHABET INC CAP STK CL C,2381.35
20210511,02079K107,GOOG,171.0,ALPHABET INC CAP STK CL C,2341.66
20210513,02079K107,GOOG,240.0,ALPHABET INC CAP STK CL C,2239.08
20210514,02079K107,GOOG,26462.0,ALPHABET INC CAP STK CL C,2261.97
20210518,02079K107,GOOG,104.0,ALPHABET INC CAP STK CL C,2321.41
20210519,02079K107,GOOG,215.0,ALPHABET INC CAP STK CL C,2303.43
20210520,02079K107,GOOG,64.0,ALPHABET INC CAP STK CL C,2308.71
20210521,02079K107,GOOG,1986.0,ALPHABET INC CAP STK CL C,2356.09
20210524,02079K107,GOOG,218.0,ALPHABET INC CAP STK CL C,2345.1
20210525,02079K107,GOOG,79.0,ALPHABET INC CAP STK CL C,2406.67
20210527,02079K107,GOOG,233.0,ALPHABET INC CAP STK CL C,2433.53
20210528,02079K107,GOOG,154.0,ALPHABET INC CAP STK CL C,2402.51
20210601,02079K107,GOOG,78.0,ALPHABET INC CAP STK CL C,2411.56
20210602,02079K107,GOOG,200.0,ALPHABET INC CAP STK CL C,2429.81
20210604,02079K107,GOOG,3771.0,ALPHABET INC CAP STK CL C,2404.61
20210607,02079K107,GOOG,496.0,ALPHABET INC CAP STK CL C,2451.76
20210609,02079K107,GOOG,430.0,ALPHABET INC CAP STK CL C,2482.85
20210610,02079K107,GOOG,2692.0,ALPHABET INC CAP STK CL C,2491.40
