SETTLEMENT DATE,CUSIP,SYMBOL,QUANTITY (FAILS),DESCRIPTION,PRICE
20200601,458140100,INTC,14808.0,INTEL CORP;COM USD0.001,62.93
20200602,458140100,INTC,3660.0,INTEL CORP;COM USD0.001,61.86
20200604,458140100,INTC,1192.0,INTEL CORP;COM USD0.001,61.93
20200605,458140100,INTC,1410.0,INTEL CORP;COM USD0.001,62.97
20200608,458140100,INTC,556.0,INTEL CORP;COM USD0.001,64.34
20200609,458140100,INTC,10333.0,INTEL CORP;COM USD0.001,63.67
20200610,458140100,INTC,62215.0,INTEL CORP;COM USD0.001,63.04
20200615,458140100,INTC,238180.0,INTEL CORP;COM USD0.001,59.33
20200616,458140100,INTC,100956.0,INTEL CORP;COM USD0.001,60.1
20200619,458140100,INTC,181748.0,INTEL CORP;COM USD0.001,60.08
20200622,458140100,INTC,38916.0,INTEL CORP;COM USD0.001,59.62
20200623,458140100,INTC,559000.0,INTEL CORP;COM USD0.001,60.09
20200625,458140100,INTC,1751.0,INTEL CORP;COM USD0.001,59.09
20200626,458140100,INTC,10589.0,INTEL CORP;COM USD0.001,58.51
20200702,458140100,INTC,13434.0,INTEL CORP;COM USD0.001,58.81
20200708,458140100,INTC,1.0,INTEL CORP;COM USD0.001,58.31
20200710,458140100,INTC,30000.0,INTEL CORP;COM USD0.001,58.42
20200713,458140100,INTC,70165.0,INTEL CORP;COM USD0.001,59.53
20200715,458140100,INTC,428.0,INTEL CORP;COM USD0.001,58.98
20200716,458140100,INTC,6855.0,INTEL CORP;COM USD0.001,59.03
20200717,458140100,INTC,16593.0,INTEL CORP;COM USD0.001,59.14
20200721,458140100,INTC,2700.0,INTEL CORP;COM USD0.001,61.15
20200812,458140100,INTC,1747837.0,INTEL CORP;COM USD0.001,48.19
20200818,458140100,INTC,800.0,INTEL CORP;COM USD0.001,48.93
20200821,458140100,INTC,443.0,INTEL CORP;COM USD0.001,49.17
20200825,458140100,INTC,523649.0,INTEL CORP;COM USD0.001,49.14
20200828,458140100,INTC,194754.0,INTEL CORP;COM USD0.001,49.4
20200915,458140100,INTC,7537.0,INTEL CORP;COM USD0.001,49.41
20200916,458140100,INTC,7806.0,INTEL CORP;COM USD0.001,50.0
20200918,458140100,INTC,506064.0,INTEL CORP;COM USD0.001,50.32
20200921,458140100,INTC,42.0,INTEL CORP;COM USD0.001,49.89
20200922,458140100,INTC,34398.0,INTEL CORP;COM USD0.001,49.72
20200923,458140100,INTC,13334.0,INTEL CORP;COM USD0.001,49.95
20200924,458140100,INTC,123.0,INTEL CORP;COM USD0.001,48.82
20200925,458140100,INTC,1.0,INTEL CORP;COM USD0.001,49.16
20200928,458140100,INTC,17819.0,INTEL CORP;COM USD0.001,49.94
20200929,458140100,INTC,32170.0,INTEL CORP;COM USD0.001,51.43
20200930,458140100,INTC,8150.0,INTEL CORP;COM USD0.001,51.19
20201002,458140100,INTC,896.0,INTEL CORP;COM USD0.001,52.24
20201006,458140100,INTC,12116.0,INTEL CORP;COM USD0.001,51.69
20201007,458140100,INTC,501.0,INTEL CORP;COM USD0.001,51.37
20201008,458140100,INTC,5161.0,INTEL CORP;COM USD0.001,52.67
20201013,458140100,INTC,1778.0,INTEL CORP;COM USD0.001,53.88
20201014,458140100,INTC,23032.0,INTEL CORP;COM USD0.001,53.83
20201015,458140100,INTC,7581.0,INTEL CORP;COM USD0.001,53.55
20201019,458140100,INTC,41150.0,INTEL CORP;COM USD0.001,54.16
20201020,458140100,INTC,1033472.0,INTEL CORP;COM USD0.001,54.58
20201021,458140100,INTC,79785.0,INTEL CORP;COM USD0.001,53.43
20201022,458140100,INTC,1193.0,INTEL CORP;COM USD0.001,53.5
20201023,458140100,INTC,247507.0,INTEL CORP;COM USD0.001,53.9
20201026,458140100,INTC,14536.0,INTEL CORP;COM USD0.001,48.2
20201029,458140100,INTC,100.0,INTEL CORP;COM USD0.001,44.25
20201030,458140100,INTC,14884.0,INTEL CORP;COM USD0.001,44.11
20201106,458140100,INTC,25847.0,INTEL CORP;COM USD0.001,45.68
20201116,458140100,INTC,14715.0,INTEL CORP;COM USD0.001,45.46
20201117,458140100,INTC,14065.0,INTEL CORP;COM USD0.001,46.19
20201130,458140100,INTC,484947.0,INTEL CORP;COM USD0.001,47.45
20201201,458140100,INTC,20395.0,INTEL CORP;COM USD0.001,48.35
20201202,458140100,INTC,4883.0,INTEL CORP;COM USD0.001,49.56
20201203,458140100,INTC,8094.0,INTEL CORP;COM USD0.001,49.9
20201207,458140100,INTC,63102.0,INTEL CORP;COM USD0.001,51.99
20201208,458140100,INTC,16064.0,INTEL CORP;COM USD0.001,50.2
20201209,458140100,INTC,7500.0,INTEL CORP;COM USD0.001,50.69
20201210,458140100,INTC,299857.0,INTEL CORP;COM USD0.001,50.07
20201211,458140100,INTC,13997.0,INTEL CORP;COM USD0.001,50.26
20201214,458140100,INTC,154026.0,INTEL CORP;COM USD0.001,49.73
20201218,458140100,INTC,37.0,INTEL CORP;COM USD0.001,50.65
20201221,458140100,INTC,2319.0,INTEL CORP;COM USD0.001,47.46
20201222,458140100,INTC,582211.0,INTEL CORP;COM USD0.001,46.36
20201223,458140100,INTC,100.0,INTEL CORP;COM USD0.001,46.17
20201228,458140100,INTC,13889.0,INTEL CORP;COM USD0.001,47.07
20201229,458140100,INTC,30605.0,INTEL CORP;COM USD0.001,47.07
20201231,458140100,INTC,37041.0,INTEL CORP;COM USD0.001,48.75
20210104,458140100,INTC,20571.0,INTEL CORP;COM USD0.001,49.82
20210105,458140100,INTC,1500.0,INTEL CORP;COM USD0.001,49.67
20210106,458140100,INTC,5350.0,INTEL CORP;COM USD0.001,50.61
20210107,458140100,INTC,1694.0,INTEL CORP;COM USD0.001,51.1
20210108,458140100,INTC,1383.0,INTEL CORP;COM USD0.001,52.19
20210111,458140100,INTC,10699.0,INTEL CORP;COM USD0.001,51.65
20210113,458140100,INTC,4807.0,INTEL CORP;COM USD0.001,53.24
20210114,458140100,INTC,275319.0,INTEL CORP;COM USD0.001,56.95
20210115,458140100,INTC,32596.0,INTEL CORP;COM USD0.001,59.25
20210119,458140100,INTC,9634.0,INTEL CORP;COM USD0.001,57.58
20210120,458140100,INTC,492580.0,INTEL CORP;COM USD0.001,57.99
20210121,458140100,INTC,28260.0,INTEL CORP;COM USD0.001,58.67
20210122,458140100,INTC,28043.0,INTEL CORP;COM USD0.001,62.46
20210128,458140100,INTC,32563.0,INTEL CORP;COM USD0.001,53.59
