SETTLEMENT DATE,CUSIP,SYMBOL,QUANTITY (FAILS),DESCRIPTION,PRICE
20201202,G8252P105,IPOE,134111.0,SOCIAL CAP HEDOSOPHIA HLDGS CO,10.6
20201203,G8252P105,IPOE,309068.0,SOCIAL CAP HEDOSOPHIA HLDGS CO,10.55
20201204,G8252P105,IPOE,402377.0,SOCIAL CAP HEDOSOPHIA HLDGS CO,10.42
20201207,G8252P105,IPOE,537294.0,SOCIAL CAP HEDOSOPHIA HLDGS CO,10.41
20201208,G8252P105,IPOE,708928.0,SOCIAL CAP HEDOSOPHIA HLDGS CO,10.62
20201209,G8252P105,IPOE,2488.0,SOCIAL CAP HEDOSOPHIA HLDGS CO,10.87
20201210,G8252P105,IPOE,20327.0,SOCIAL CAP HEDOSOPHIA HLDGS CO,10.99
20201211,G8252P105,IPOE,2347.0,SOCIAL CAP HEDOSOPHIA HLDGS CO,10.91
20201214,G8252P105,IPOE,124760.0,SOCIAL CAP HEDOSOPHIA HLDGS CO,11.06
20201215,G8252P105,IPOE,526547.0,SOCIAL CAP HEDOSOPHIA HLDGS CO,11.11
20201216,G8252P105,IPOE,679913.0,SOCIAL CAP HEDOSOPHIA HLDGS CO,11.08
20201217,G8252P105,IPOE,184034.0,SOCIAL CAP HEDOSOPHIA HLDGS CO,10.99
20201221,G8252P105,IPOE,20284.0,SOCIAL CAP HEDOSOPHIA HLDGS CO,11.22
20201222,G8252P105,IPOE,92804.0,SOCIAL CAP HEDOSOPHIA HLDGS CO,11.4
20201223,G8252P105,IPOE,293628.0,SOCIAL CAP HEDOSOPHIA HLDGS CO,11.62
20201224,G8252P105,IPOE,10.0,SOCIAL CAP HEDOSOPHIA HLDGS CO,12.05
20201228,G8252P105,IPOE,246360.0,SOCIAL CAP HEDOSOPHIA HLDGS CO,12.4
20201229,G8252P105,IPOE,44194.0,SOCIAL CAP HEDOSOPHIA HLDGS CO,12.66
20201230,G8252P105,IPOE,400671.0,SOCIAL CAP HEDOSOPHIA HLDGS CO,12.3
20210104,G8252P105,IPOE,204713.0,SOCIAL CAP HEDOSOPHIA HLDGS CO,12.44
20210105,G8252P105,IPOE,256064.0,SOCIAL CAP HEDOSOPHIA HLDGS CO,12.2
20210106,G8252P105,IPOE,451953.0,SOCIAL CAP HEDOSOPHIA HLDGS CO,12.15
20210107,G8252P105,IPOE,551750.0,SOCIAL CAP HEDOSOPHIA HLDGS CO,12.12
20210111,G8252P105,IPOE,48233.0,SOCIAL CAP HEDOSOPHIA HLDGS CO,18.74
20210112,G8252P105,IPOE,2656436.0,SOCIAL CAP HEDOSOPHIA HLDGS CO,18.99
20210113,G8252P105,IPOE,26368.0,SOCIAL CAP HEDOSOPHIA HLDGS CO,18.45
20210114,G8252P105,IPOE,17466.0,SOCIAL CAP HEDOSOPHIA HLDGS CO,19.11
20210115,G8252P105,IPOE,253930.0,SOCIAL CAP HEDOSOPHIA HLDGS CO,19.16
20210119,G8252P105,IPOE,478268.0,SOCIAL CAP HEDOSOPHIA HLDGS CO,20.16
20210120,G8252P105,IPOE,616128.0,SOCIAL CAP HEDOSOPHIA HLDGS CO,22.59
20210121,G8252P105,IPOE,1276773.0,SOCIAL CAP HEDOSOPHIA HLDGS CO,22.37
20210122,G8252P105,IPOE,18864.0,SOCIAL CAP HEDOSOPHIA HLDGS CO,22.39
20210125,G8252P105,IPOE,151508.0,SOCIAL CAP HEDOSOPHIA HLDGS CO,21.65
20210126,G8252P105,IPOE,73582.0,SOCIAL CAP HEDOSOPHIA HLDGS CO,20.48
20210127,G8252P105,IPOE,90963.0,SOCIAL CAP HEDOSOPHIA HLDGS CO,19.57
20210128,G8252P105,IPOE,105904.0,SOCIAL CAP HEDOSOPHIA HLDGS CO,18.18
20210129,G8252P105,IPOE,2182.0,SOCIAL CAP HEDOSOPHIA HLDGS CO,20.28
20210203,G8252P105,IPOE,18336.0,SOCIAL CAP HEDOSOPHIA HLDGS CO,24.33
20210204,G8252P105,IPOE,11467.0,SOCIAL CAP HEDOSOPHIA HLDGS CO,24.95
20210205,G8252P105,IPOE,114620.0,SOCIAL CAP HEDOSOPHIA HLDGS CO,25.06
20210208,G8252P105,IPOE,2230.0,SOCIAL CAP HEDOSOPHIA HLDGS CO,23.1
20210209,G8252P105,IPOE,97515.0,SOCIAL CAP HEDOSOPHIA HLDGS CO,23.0
