SETTLEMENT DATE,CUSIP,SYMBOL,QUANTITY (FAILS),DESCRIPTION,PRICE
20200601,464287655,IWM,111281.0,ISHARES RUSSELL 2000 ETF,138.9
20200602,464287655,IWM,69314.0,ISHARES RUSSELL 2000 ETF,140.23
20200603,464287655,IWM,75862.0,ISHARES RUSSELL 2000 ETF,141.39
20200604,464287655,IWM,234865.0,ISHARES RUSSELL 2000 ETF,144.8
20200605,464287655,IWM,97313.0,ISHARES RUSSELL 2000 ETF,144.59
20200608,464287655,IWM,46324.0,ISHARES RUSSELL 2000 ETF,150.18
20200609,464287655,IWM,120083.0,ISHARES RUSSELL 2000 ETF,153.09
20200610,464287655,IWM,90552.0,ISHARES RUSSELL 2000 ETF,150.26
20200611,464287655,IWM,96582.0,ISHARES RUSSELL 2000 ETF,146.18
20200612,464287655,IWM,742204.0,ISHARES RUSSELL 2000 ETF,135.03
20200615,464287655,IWM,3991528.0,ISHARES RUSSELL 2000 ETF,138.27
20200616,464287655,IWM,8352952.0,ISHARES RUSSELL 2000 ETF,140.99
20200617,464287655,IWM,8474517.0,ISHARES RUSSELL 2000 ETF,144.38
20200618,464287655,IWM,5880938.0,ISHARES RUSSELL 2000 ETF,141.77
20200619,464287655,IWM,4731756.0,ISHARES RUSSELL 2000 ETF,141.72
20200622,464287655,IWM,1897531.0,ISHARES RUSSELL 2000 ETF,140.99
20200623,464287655,IWM,5509099.0,ISHARES RUSSELL 2000 ETF,142.4
20200624,464287655,IWM,4326299.0,ISHARES RUSSELL 2000 ETF,143.0
20200625,464287655,IWM,3420745.0,ISHARES RUSSELL 2000 ETF,138.36
20200626,464287655,IWM,633023.0,ISHARES RUSSELL 2000 ETF,140.45
20200629,464287655,IWM,1706748.0,ISHARES RUSSELL 2000 ETF,136.67
20200630,464287655,IWM,1877766.0,ISHARES RUSSELL 2000 ETF,141.14
20200701,464287655,IWM,2118091.0,ISHARES RUSSELL 2000 ETF,143.18
20200702,464287655,IWM,75694.0,ISHARES RUSSELL 2000 ETF,141.82
20200706,464287655,IWM,101255.0,ISHARES RUSSELL 2000 ETF,142.4
20200707,464287655,IWM,82427.0,ISHARES RUSSELL 2000 ETF,143.43
20200708,464287655,IWM,22551.0,ISHARES RUSSELL 2000 ETF,140.89
20200709,464287655,IWM,3742358.0,ISHARES RUSSELL 2000 ETF,141.94
20200710,464287655,IWM,711296.0,ISHARES RUSSELL 2000 ETF,139.07
20200713,464287655,IWM,3133500.0,ISHARES RUSSELL 2000 ETF,141.31
20200714,464287655,IWM,1233661.0,ISHARES RUSSELL 2000 ETF,139.52
20200715,464287655,IWM,2080.0,ISHARES RUSSELL 2000 ETF,141.83
20200716,464287655,IWM,66355.0,ISHARES RUSSELL 2000 ETF,147.03
20200717,464287655,IWM,47911.0,ISHARES RUSSELL 2000 ETF,146.16
20200720,464287655,IWM,13399.0,ISHARES RUSSELL 2000 ETF,146.59
20200721,464287655,IWM,112886.0,ISHARES RUSSELL 2000 ETF,145.96
20200723,464287655,IWM,64896.0,ISHARES RUSSELL 2000 ETF,148.11
20200724,464287655,IWM,71691.0,ISHARES RUSSELL 2000 ETF,148.26
20200727,464287655,IWM,9159.0,ISHARES RUSSELL 2000 ETF,146.08
20200728,464287655,IWM,92768.0,ISHARES RUSSELL 2000 ETF,147.6
20200729,464287655,IWM,71465.0,ISHARES RUSSELL 2000 ETF,146.13
20200730,464287655,IWM,28960.0,ISHARES RUSSELL 2000 ETF,149.35
20200731,464287655,IWM,46.0,ISHARES RUSSELL 2000 ETF,148.76
20200803,464287655,IWM,19386.0,ISHARES RUSSELL 2000 ETF,147.36
20200804,464287655,IWM,77553.0,ISHARES RUSSELL 2000 ETF,149.76
20200805,464287655,IWM,164256.0,ISHARES RUSSELL 2000 ETF,150.79
20200806,464287655,IWM,199.0,ISHARES RUSSELL 2000 ETF,153.79
