SETTLEMENT DATE,CUSIP,SYMBOL,QUANTITY (FAILS),DESCRIPTION,PRICE
20200601,46625H100,JPM,250.0,JPMORGAN CHASE & CO COM STK,97.31
20200602,46625H100,JPM,85844.0,JPMORGAN CHASE & CO COM STK,98.6
20200603,46625H100,JPM,8019.0,JPMORGAN CHASE & CO COM STK,98.93
20200604,46625H100,JPM,30879.0,JPMORGAN CHASE & CO COM STK,104.27
20200605,46625H100,JPM,22784.0,JPMORGAN CHASE & CO COM STK,106.44
20200609,46625H100,JPM,4832.0,JPMORGAN CHASE & CO COM STK,113.45
20200615,46625H100,JPM,961.0,JPMORGAN CHASE & CO COM STK,99.87
20200616,46625H100,JPM,252.0,JPMORGAN CHASE & CO COM STK,101.25
20200617,46625H100,JPM,150351.0,JPMORGAN CHASE & CO COM STK,102.06
20200623,46625H100,JPM,135586.0,JPMORGAN CHASE & CO COM STK,96.75
20200626,46625H100,JPM,616.0,JPMORGAN CHASE & CO COM STK,97.96
20200630,46625H100,JPM,6.0,JPMORGAN CHASE & CO COM STK,93.0
20200706,46625H100,JPM,79.0,JPMORGAN CHASE & CO COM STK,92.66
20200707,46625H100,JPM,2562.0,JPMORGAN CHASE & CO COM STK,95.0
20200713,46625H100,JPM,5754.0,JPMORGAN CHASE & CO COM STK,96.27
20200714,46625H100,JPM,28500.0,JPMORGAN CHASE & CO COM STK,97.65
20200715,46625H100,JPM,224.0,JPMORGAN CHASE & CO COM STK,98.21
20200716,46625H100,JPM,287.0,JPMORGAN CHASE & CO COM STK,99.73
20200720,46625H100,JPM,1879.0,JPMORGAN CHASE & CO COM STK,98.16
20200721,46625H100,JPM,4737.0,JPMORGAN CHASE & CO COM STK,97.3
20200722,46625H100,JPM,1688.0,JPMORGAN CHASE & CO COM STK,99.41
20200723,46625H100,JPM,372.0,JPMORGAN CHASE & CO COM STK,98.69
20200724,46625H100,JPM,105440.0,JPMORGAN CHASE & CO COM STK,98.98
20200729,46625H100,JPM,640.0,JPMORGAN CHASE & CO COM STK,97.32
20200810,46625H100,JPM,863.0,JPMORGAN CHASE & CO COM STK,99.38
20200811,46625H100,JPM,6100.0,JPMORGAN CHASE & CO COM STK,100.64
20200813,46625H100,JPM,1644.0,JPMORGAN CHASE & CO COM STK,102.94
