SETTLEMENT DATE,CUSIP,SYMBOL,QUANTITY (FAILS),DESCRIPTION,PRICE
20200616,500692108,KOSS,1257.0,KOSS CORP,1.39
20200618,500692108,KOSS,6929.0,KOSS CORP,1.72
20200619,500692108,KOSS,784.0,KOSS CORP,1.65
20200706,500692108,KOSS,2125.0,KOSS CORP,1.48
20200713,500692108,KOSS,18384.0,KOSS CORP,1.72
20200714,500692108,KOSS,13647.0,KOSS CORP,1.53
20200715,500692108,KOSS,1355.0,KOSS CORP,1.58
20200720,500692108,KOSS,193.0,KOSS CORP,1.58
20200728,500692108,KOSS,2169.0,KOSS CORP,2.04
20200804,500692108,KOSS,1809.0,KOSS CORP,1.95
20200805,500692108,KOSS,7733.0,KOSS CORP,2.33
20200812,500692108,KOSS,397.0,KOSS CORP,2.06
20200813,500692108,KOSS,96.0,KOSS CORP,2.1
20200814,500692108,KOSS,10867.0,KOSS CORP,2.09
20200817,500692108,KOSS,14603.0,KOSS CORP,2.04
20200820,500692108,KOSS,3754.0,KOSS CORP,2.21
20200821,500692108,KOSS,2056.0,KOSS CORP,2.66
20200825,500692108,KOSS,4782.0,KOSS CORP,2.38
20200826,500692108,KOSS,587.0,KOSS CORP,2.35
20200904,500692108,KOSS,1373.0,KOSS CORP,1.94
20200908,500692108,KOSS,356.0,KOSS CORP,1.9
20200910,500692108,KOSS,603.0,KOSS CORP,1.91
20200911,500692108,KOSS,1501.0,KOSS CORP,1.94
20200914,500692108,KOSS,2701.0,KOSS CORP,2.1
20200915,500692108,KOSS,2080.0,KOSS CORP,2.12
20200921,500692108,KOSS,251.0,KOSS CORP,2.07
20200923,500692108,KOSS,180.0,KOSS CORP,2.1
20200928,500692108,KOSS,1697.0,KOSS CORP,2.17
20200929,500692108,KOSS,687.0,KOSS CORP,2.23
20201020,500692108,KOSS,1259.0,KOSS CORP,2.18
20201023,500692108,KOSS,63.0,KOSS CORP,2.15
20201026,500692108,KOSS,63.0,KOSS CORP,2.2
20201029,500692108,KOSS,491.0,KOSS CORP,2.13
20201113,500692108,KOSS,378.0,KOSS CORP,2.13
20201116,500692108,KOSS,102.0,KOSS CORP,2.14
20201117,500692108,KOSS,75.0,KOSS CORP,2.1
20201202,500692108,KOSS,493.0,KOSS CORP,2.6
20201203,500692108,KOSS,2104.0,KOSS CORP,2.56
20201204,500692108,KOSS,101.0,KOSS CORP,2.66
20201207,500692108,KOSS,1525.0,KOSS CORP,2.65
20201230,500692108,KOSS,98819.0,KOSS CORP,3.44
20201231,500692108,KOSS,339562.0,KOSS CORP,3.7
20210104,500692108,KOSS,47971.0,KOSS CORP,3.44
20210105,500692108,KOSS,39109.0,KOSS CORP,3.19
20210107,500692108,KOSS,13.0,KOSS CORP,3.05
20210108,500692108,KOSS,9.0,KOSS CORP,3.15
20210111,500692108,KOSS,9.0,KOSS CORP,3.27
20210112,500692108,KOSS,22.0,KOSS CORP,3.19
20210120,500692108,KOSS,320.0,KOSS CORP,3.62
20210122,500692108,KOSS,14905.0,KOSS CORP,3.54
20210125,500692108,KOSS,791.0,KOSS CORP,3.34
20210126,500692108,KOSS,2978.0,KOSS CORP,6.0
20210127,500692108,KOSS,55027.0,KOSS CORP,10.0
20210128,500692108,KOSS,128143.0,KOSS CORP,58.0
20210129,500692108,KOSS,322870.0,KOSS CORP,41.96
20210201,500692108,KOSS,144667.0,KOSS CORP,64.0
20210202,500692108,KOSS,35678.0,KOSS CORP,35.0
20210203,500692108,KOSS,23552.0,KOSS CORP,20.0
20210204,500692108,KOSS,420.0,KOSS CORP,25.59
20210205,500692108,KOSS,1126.0,KOSS CORP,18.8
20210208,500692108,KOSS,3223.0,KOSS CORP,19.98
20210209,500692108,KOSS,35783.0,KOSS CORP,19.0
20210210,500692108,KOSS,38402.0,KOSS CORP,17.92
20210211,500692108,KOSS,20474.0,KOSS CORP,17.01
20210212,500692108,KOSS,777.0,KOSS CORP,15.92
20210216,500692108,KOSS,60.0,KOSS CORP,14.78
20210218,500692108,KOSS,34988.0,KOSS CORP,13.39
20210219,500692108,KOSS,21278.0,KOSS CORP,14.25
20210222,500692108,KOSS,20582.0,KOSS CORP,14.05
20210223,500692108,KOSS,12204.0,KOSS CORP,13.31
20210224,500692108,KOSS,29.0,KOSS CORP,11.9
20210225,500692108,KOSS,600.0,KOSS CORP,18.44
20210226,500692108,KOSS,853.0,KOSS CORP,21.53
20210301,500692108,KOSS,39716.0,KOSS CORP,16.71
20210302,500692108,KOSS,1622.0,KOSS CORP,18.95
