SETTLEMENT DATE,CUSIP,SYMBOL,QUANTITY (FAILS),DESCRIPTION,PRICE
20200803,50202M102,LI,450041.0,LI AUTO INC SPONSORED ADR,16.0
20200804,50202M102,LI,25891.0,LI AUTO INC SPONSORED ADR,16.36
20200805,50202M102,LI,4000.0,LI AUTO INC SPONSORED ADR,16.69
20200806,50202M102,LI,2156.0,LI AUTO INC SPONSORED ADR,16.75
20200807,50202M102,LI,713.0,LI AUTO INC SPONSORED ADR,18.5
20200810,50202M102,LI,2433.0,LI AUTO INC SPONSORED ADR,16.89
20200811,50202M102,LI,9000.0,LI AUTO INC SPONSORED ADR,16.42
20200813,50202M102,LI,140253.0,LI AUTO INC SPONSORED ADR,15.66
20200814,50202M102,LI,76889.0,LI AUTO INC SPONSORED ADR,15.16
20200817,50202M102,LI,23553.0,LI AUTO INC SPONSORED ADR,14.6
20200818,50202M102,LI,43440.0,LI AUTO INC SPONSORED ADR,15.42
20200819,50202M102,LI,1200.0,LI AUTO INC SPONSORED ADR,15.96
20200824,50202M102,LI,16823.0,LI AUTO INC SPONSORED ADR,15.02
20200828,50202M102,LI,5720.0,LI AUTO INC SPONSORED ADR,19.38
20200831,50202M102,LI,4607.0,LI AUTO INC SPONSORED ADR,17.6
20200901,50202M102,LI,38749.0,LI AUTO INC SPONSORED ADR,16.3
20200902,50202M102,LI,838025.0,LI AUTO INC SPONSORED ADR,18.29
20200903,50202M102,LI,4890.0,LI AUTO INC SPONSORED ADR,17.87
20200904,50202M102,LI,259.0,LI AUTO INC SPONSORED ADR,16.91
20200909,50202M102,LI,3647.0,LI AUTO INC SPONSORED ADR,15.79
20200910,50202M102,LI,4585.0,LI AUTO INC SPONSORED ADR,15.8
20200911,50202M102,LI,1977.0,LI AUTO INC SPONSORED ADR,16.05
20200914,50202M102,LI,3222.0,LI AUTO INC SPONSORED ADR,16.21
20200915,50202M102,LI,561.0,LI AUTO INC SPONSORED ADR,17.47
20200916,50202M102,LI,1394.0,LI AUTO INC SPONSORED ADR,18.19
20200917,50202M102,LI,11459.0,LI AUTO INC SPONSORED ADR,17.52
20200918,50202M102,LI,6143.0,LI AUTO INC SPONSORED ADR,17.26
20200921,50202M102,LI,2897.0,LI AUTO INC SPONSORED ADR,17.03
20200923,50202M102,LI,239.0,LI AUTO INC SPONSORED ADR,16.74
20200929,50202M102,LI,494.0,LI AUTO INC SPONSORED ADR,16.08
20200930,50202M102,LI,94.0,LI AUTO INC SPONSORED ADR,17.03
20201001,50202M102,LI,4685.0,LI AUTO INC SPONSORED ADR,17.39
20201002,50202M102,LI,115717.0,LI AUTO INC SPONSORED ADR,16.8
20201006,50202M102,LI,2301.0,LI AUTO INC SPONSORED ADR,17.52
20201008,50202M102,LI,4789.0,LI AUTO INC SPONSORED ADR,17.77
20201009,50202M102,LI,591.0,LI AUTO INC SPONSORED ADR,17.93
20201013,50202M102,LI,49099.0,LI AUTO INC SPONSORED ADR,19.16
20201014,50202M102,LI,1802.0,LI AUTO INC SPONSORED ADR,19.43
20201015,50202M102,LI,3553.0,LI AUTO INC SPONSORED ADR,20.78
20201016,50202M102,LI,13066.0,LI AUTO INC SPONSORED ADR,20.5
20201020,50202M102,LI,19000.0,LI AUTO INC SPONSORED ADR,19.18
20201022,50202M102,LI,1809.0,LI AUTO INC SPONSORED ADR,19.39
20201023,50202M102,LI,90.0,LI AUTO INC SPONSORED ADR,18.98
20201026,50202M102,LI,67.0,LI AUTO INC SPONSORED ADR,18.4
20201027,50202M102,LI,100.0,LI AUTO INC SPONSORED ADR,19.08
20201028,50202M102,LI,2089.0,LI AUTO INC SPONSORED ADR,19.21
20201030,50202M102,LI,72978.0,LI AUTO INC SPONSORED ADR,20.62
20201102,50202M102,LI,103269.0,LI AUTO INC SPONSORED ADR,20.17
20201103,50202M102,LI,85556.0,LI AUTO INC SPONSORED ADR,22.88
20201104,50202M102,LI,18124.0,LI AUTO INC SPONSORED ADR,24.05
20201105,50202M102,LI,1283.0,LI AUTO INC SPONSORED ADR,25.31
20201106,50202M102,LI,8144.0,LI AUTO INC SPONSORED ADR,28.09
20201109,50202M102,LI,130119.0,LI AUTO INC SPONSORED ADR,26.46
20201112,50202M102,LI,3198.0,LI AUTO INC SPONSORED ADR,24.97
20201116,50202M102,LI,7394.0,LI AUTO INC SPONSORED ADR,31.2
20201117,50202M102,LI,185352.0,LI AUTO INC SPONSORED ADR,35.55
20201118,50202M102,LI,261670.0,LI AUTO INC SPONSORED ADR,35.05
20201119,50202M102,LI,116551.0,LI AUTO INC SPONSORED ADR,35.49
20201120,50202M102,LI,25668.0,LI AUTO INC SPONSORED ADR,36.74
20201123,50202M102,LI,4011.0,LI AUTO INC SPONSORED ADR,38.12
20201124,50202M102,LI,7127.0,LI AUTO INC SPONSORED ADR,43.64
20201127,50202M102,LI,112895.0,LI AUTO INC SPONSORED ADR,40.72
20201130,50202M102,LI,10816.0,LI AUTO INC SPONSORED ADR,39.48
20201201,50202M102,LI,400.0,LI AUTO INC SPONSORED ADR,35.99
20201202,50202M102,LI,6236.0,LI AUTO INC SPONSORED ADR,34.86
20201203,50202M102,LI,75806.0,LI AUTO INC SPONSORED ADR,34.75
20201204,50202M102,LI,166703.0,LI AUTO INC SPONSORED ADR,32.31
20201207,50202M102,LI,270081.0,LI AUTO INC SPONSORED ADR,30.53
20201209,50202M102,LI,604.0,LI AUTO INC SPONSORED ADR,33.31
20201211,50202M102,LI,304.0,LI AUTO INC SPONSORED ADR,32.49
20201215,50202M102,LI,36010.0,LI AUTO INC SPONSORED ADR,31.33
20201217,50202M102,LI,197141.0,LI AUTO INC SPONSORED ADR,31.36
20201218,50202M102,LI,708.0,LI AUTO INC SPONSORED ADR,30.69
20201222,50202M102,LI,26198.0,LI AUTO INC SPONSORED ADR,32.86
20201223,50202M102,LI,7104.0,LI AUTO INC SPONSORED ADR,31.29
20201228,50202M102,LI,2070.0,LI AUTO INC SPONSORED ADR,29.32
20201231,50202M102,LI,978.0,LI AUTO INC SPONSORED ADR,29.06
20210105,50202M102,LI,14930.0,LI AUTO INC SPONSORED ADR,32.46
20210106,50202M102,LI,158517.0,LI AUTO INC SPONSORED ADR,30.99
20210107,50202M102,LI,58280.0,LI AUTO INC SPONSORED ADR,31.76
20210108,50202M102,LI,15854.0,LI AUTO INC SPONSORED ADR,35.09
20210111,50202M102,LI,3845.0,LI AUTO INC SPONSORED ADR,34.3
20210112,50202M102,LI,55305.0,LI AUTO INC SPONSORED ADR,32.79
20210113,50202M102,LI,541.0,LI AUTO INC SPONSORED ADR,36.75
20210114,50202M102,LI,6038.0,LI AUTO INC SPONSORED ADR,35.55
20210115,50202M102,LI,340753.0,LI AUTO INC SPONSORED ADR,34.7
20210120,50202M102,LI,604.0,LI AUTO INC SPONSORED ADR,35.44
20210121,50202M102,LI,222600.0,LI AUTO INC SPONSORED ADR,35.6
20210122,50202M102,LI,389572.0,LI AUTO INC SPONSORED ADR,35.37
20210125,50202M102,LI,48165.0,LI AUTO INC SPONSORED ADR,34.44
20210126,50202M102,LI,19321.0,LI AUTO INC SPONSORED ADR,31.99
20210127,50202M102,LI,806117.0,LI AUTO INC SPONSORED ADR,32.5
20210128,50202M102,LI,6244369.0,LI AUTO INC SPONSORED ADR,31.56
20210201,50202M102,LI,1430519.0,LI AUTO INC SPONSORED ADR,32.25
20210202,50202M102,LI,85605.0,LI AUTO INC SPONSORED ADR,32.04
20210203,50202M102,LI,24111.0,LI AUTO INC SPONSORED ADR,30.2
20210208,50202M102,LI,164983.0,LI AUTO INC SPONSORED ADR,30.4
20210209,50202M102,LI,98549.0,LI AUTO INC SPONSORED ADR,30.36
20210210,50202M102,LI,171487.0,LI AUTO INC SPONSORED ADR,31.87
20210211,50202M102,LI,255824.0,LI AUTO INC SPONSORED ADR,31.5
20210212,50202M102,LI,5297.0,LI AUTO INC SPONSORED ADR,31.99
20210216,50202M102,LI,4995.0,LI AUTO INC SPONSORED ADR,31.85
20210217,50202M102,LI,5000.0,LI AUTO INC SPONSORED ADR,30.4
20210222,50202M102,LI,15713.0,LI AUTO INC SPONSORED ADR,29.84
20210223,50202M102,LI,127988.0,LI AUTO INC SPONSORED ADR,27.84
20210224,50202M102,LI,3373.0,LI AUTO INC SPONSORED ADR,26.99
20210225,50202M102,LI,11975.0,LI AUTO INC SPONSORED ADR,28.68
20210301,50202M102,LI,1342.0,LI AUTO INC SPONSORED ADR,25.37
20210302,50202M102,LI,78811.0,LI AUTO INC SPONSORED ADR,25.86
20210303,50202M102,LI,75340.0,LI AUTO INC SPONSORED ADR,23.74
20210304,50202M102,LI,2308.0,LI AUTO INC SPONSORED ADR,22.77
20210305,50202M102,LI,200022.0,LI AUTO INC SPONSORED ADR,22.32
20210308,50202M102,LI,867.0,LI AUTO INC SPONSORED ADR,22.46
20210310,50202M102,LI,130193.0,LI AUTO INC SPONSORED ADR,23.08
20210311,50202M102,LI,180761.0,LI AUTO INC SPONSORED ADR,23.34
20210315,50202M102,LI,1891.0,LI AUTO INC SPONSORED ADR,25.69
20210316,50202M102,LI,65078.0,LI AUTO INC SPONSORED ADR,25.9
20210317,50202M102,LI,21839.0,LI AUTO INC SPONSORED ADR,25.84
20210319,50202M102,LI,1865.0,LI AUTO INC SPONSORED ADR,25.06
20210322,50202M102,LI,42014.0,LI AUTO INC SPONSORED ADR,26.28
20210323,50202M102,LI,76177.0,LI AUTO INC SPONSORED ADR,26.82
20210324,50202M102,LI,25006.0,LI AUTO INC SPONSORED ADR,26.37
20210326,50202M102,LI,43918.0,LI AUTO INC SPONSORED ADR,23.5
20210329,50202M102,LI,3018.0,LI AUTO INC SPONSORED ADR,23.7
20210330,50202M102,LI,118078.0,LI AUTO INC SPONSORED ADR,22.6
20210331,50202M102,LI,2623.0,LI AUTO INC SPONSORED ADR,23.08
20210401,50202M102,LI,465.0,LI AUTO INC SPONSORED ADR,25.0
20210405,50202M102,LI,26656.0,LI AUTO INC SPONSORED ADR,25.25
20210406,50202M102,LI,102346.0,LI AUTO INC SPONSORED ADR,24.94
20210407,50202M102,LI,294200.0,LI AUTO INC SPONSORED ADR,25.53
20210408,50202M102,LI,43136.0,LI AUTO INC SPONSORED ADR,22.23
20210409,50202M102,LI,277577.0,LI AUTO INC SPONSORED ADR,23.23
20210412,50202M102,LI,125526.0,LI AUTO INC SPONSORED ADR,22.76
20210413,50202M102,LI,7444.0,LI AUTO INC SPONSORED ADR,21.78
20210415,50202M102,LI,4372.0,LI AUTO INC SPONSORED ADR,21.1
20210416,50202M102,LI,1425.0,LI AUTO INC SPONSORED ADR,19.68
20210420,50202M102,LI,231.0,LI AUTO INC SPONSORED ADR,19.25
20210422,50202M102,LI,50158.0,LI AUTO INC SPONSORED ADR,19.78
20210426,50202M102,LI,200.0,LI AUTO INC SPONSORED ADR,20.6
20210427,50202M102,LI,200.0,LI AUTO INC SPONSORED ADR,20.81
20210429,50202M102,LI,7715.0,LI AUTO INC SPONSORED ADR,20.16
20210430,50202M102,LI,30.0,LI AUTO INC SPONSORED ADR,19.55
20210506,50202M102,LI,75.0,LI AUTO INC SPONSORED ADR,18.82
20210507,50202M102,LI,122.0,LI AUTO INC SPONSORED ADR,17.99
20210512,50202M102,LI,538913.0,LI AUTO INC SPONSORED ADR,17.01
20210513,50202M102,LI,522468.0,LI AUTO INC SPONSORED ADR,17.78
20210514,50202M102,LI,121414.0,LI AUTO INC SPONSORED ADR,17.23
20210517,50202M102,LI,39223.0,LI AUTO INC SPONSORED ADR,18.35
20210518,50202M102,LI,16455.0,LI AUTO INC SPONSORED ADR,18.85
20210519,50202M102,LI,21091.0,LI AUTO INC SPONSORED ADR,19.41
20210520,50202M102,LI,4875.0,LI AUTO INC SPONSORED ADR,19.55
20210521,50202M102,LI,103.0,LI AUTO INC SPONSORED ADR,20.27
20210524,50202M102,LI,3059.0,LI AUTO INC SPONSORED ADR,20.49
20210525,50202M102,LI,6280.0,LI AUTO INC SPONSORED ADR,20.81
20210526,50202M102,LI,250247.0,LI AUTO INC SPONSORED ADR,19.99
20210527,50202M102,LI,42001.0,LI AUTO INC SPONSORED ADR,22.82
20210528,50202M102,LI,40457.0,LI AUTO INC SPONSORED ADR,23.65
20210601,50202M102,LI,727988.0,LI AUTO INC SPONSORED ADR,23.30
20210602,50202M102,LI,133255.0,LI AUTO INC SPONSORED ADR,23.81
20210603,50202M102,LI,137117.0,LI AUTO INC SPONSORED ADR,24.34
20210604,50202M102,LI,108460.0,LI AUTO INC SPONSORED ADR,24.96
20210607,50202M102,LI,191404.0,LI AUTO INC SPONSORED ADR,25.64
20210608,50202M102,LI,65489.0,LI AUTO INC SPONSORED ADR,26.68
20210610,50202M102,LI,1371.0,LI AUTO INC SPONSORED ADR,27.43
20210611,50202M102,LI,85517.0,LI AUTO INC SPONSORED ADR,27.00
20210614,50202M102,LI,6618.0,LI AUTO INC SPONSORED ADR,28.11
