SETTLEMENT DATE,CUSIP,SYMBOL,QUANTITY (FAILS),DESCRIPTION,PRICE
20200602,594918104,MSFT,1500.0,MICROSOFT CORP;COM USD0.000012,182.83
20200603,594918104,MSFT,338.0,MICROSOFT CORP;COM USD0.000012,184.91
20200605,594918104,MSFT,184.0,MICROSOFT CORP;COM USD0.000012,182.92
20200609,594918104,MSFT,12700.0,MICROSOFT CORP;COM USD0.000012,188.36
20200615,594918104,MSFT,1.0,MICROSOFT CORP;COM USD0.000012,187.74
20200616,594918104,MSFT,26.0,MICROSOFT CORP;COM USD0.000012,188.94
20200618,594918104,MSFT,1162.0,MICROSOFT CORP;COM USD0.000012,194.24
20200619,594918104,MSFT,1336.0,MICROSOFT CORP;COM USD0.000012,196.32
20200622,594918104,MSFT,87733.0,MICROSOFT CORP;COM USD0.000012,195.15
20200623,594918104,MSFT,191100.0,MICROSOFT CORP;COM USD0.000012,200.57
20200624,594918104,MSFT,3709.0,MICROSOFT CORP;COM USD0.000012,201.91
20200630,594918104,MSFT,34177.0,MICROSOFT CORP;COM USD0.000012,198.44
20200701,594918104,MSFT,294.0,MICROSOFT CORP;COM USD0.000012,203.51
20200702,594918104,MSFT,287.0,MICROSOFT CORP;COM USD0.000012,204.7
20200706,594918104,MSFT,405226.0,MICROSOFT CORP;COM USD0.000012,206.26
20200707,594918104,MSFT,28800.0,MICROSOFT CORP;COM USD0.000012,210.7
20200708,594918104,MSFT,600.0,MICROSOFT CORP;COM USD0.000012,208.25
20200710,594918104,MSFT,128.0,MICROSOFT CORP;COM USD0.000012,214.32
20200713,594918104,MSFT,3440.0,MICROSOFT CORP;COM USD0.000012,213.67
20200714,594918104,MSFT,1405.0,MICROSOFT CORP;COM USD0.000012,207.07
20200716,594918104,MSFT,2242.0,MICROSOFT CORP;COM USD0.000012,208.04
20200717,594918104,MSFT,912.0,MICROSOFT CORP;COM USD0.000012,203.92
20200721,594918104,MSFT,101.0,MICROSOFT CORP;COM USD0.000012,211.6
20200724,594918104,MSFT,5305.0,MICROSOFT CORP;COM USD0.000012,202.54
20200728,594918104,MSFT,15275.0,MICROSOFT CORP;COM USD0.000012,203.85
20200729,594918104,MSFT,2792.0,MICROSOFT CORP;COM USD0.000012,202.02
20200730,594918104,MSFT,3381.0,MICROSOFT CORP;COM USD0.000012,204.06
20200731,594918104,MSFT,124.0,MICROSOFT CORP;COM USD0.000012,203.9
20200803,594918104,MSFT,332.0,MICROSOFT CORP;COM USD0.000012,205.01
20200804,594918104,MSFT,21990.0,MICROSOFT CORP;COM USD0.000012,216.54
20200805,594918104,MSFT,13943.0,MICROSOFT CORP;COM USD0.000012,213.29
20200810,594918104,MSFT,58913.0,MICROSOFT CORP;COM USD0.000012,212.48
20200811,594918104,MSFT,26771.0,MICROSOFT CORP;COM USD0.000012,208.25
20200812,594918104,MSFT,9051.0,MICROSOFT CORP;COM USD0.000012,203.38
20200813,594918104,MSFT,50.0,MICROSOFT CORP;COM USD0.000012,209.19
20200814,594918104,MSFT,5.0,MICROSOFT CORP;COM USD0.000012,208.7
20200819,594918104,MSFT,3098.0,MICROSOFT CORP;COM USD0.000012,211.49
20200820,594918104,MSFT,13106.0,MICROSOFT CORP;COM USD0.000012,209.7
20200821,594918104,MSFT,570.0,MICROSOFT CORP;COM USD0.000012,214.58
20200824,594918104,MSFT,1220.0,MICROSOFT CORP;COM USD0.000012,213.02
20200825,594918104,MSFT,14131.0,MICROSOFT CORP;COM USD0.000012,213.69
20200827,594918104,MSFT,904.0,MICROSOFT CORP;COM USD0.000012,221.15
20200828,594918104,MSFT,679.0,MICROSOFT CORP;COM USD0.000012,226.58
20200901,594918104,MSFT,132042.0,MICROSOFT CORP;COM USD0.000012,225.53
20200904,594918104,MSFT,6174.0,MICROSOFT CORP;COM USD0.000012,217.3
20200908,594918104,MSFT,10196.0,MICROSOFT CORP;COM USD0.000012,214.25
20200909,594918104,MSFT,104250.0,MICROSOFT CORP;COM USD0.000012,202.66
20200915,594918104,MSFT,1242.0,MICROSOFT CORP;COM USD0.000012,205.41
20200916,594918104,MSFT,98.0,MICROSOFT CORP;COM USD0.000012,208.78
20200918,594918104,MSFT,200.0,MICROSOFT CORP;COM USD0.000012,202.91
20200921,594918104,MSFT,3046.0,MICROSOFT CORP;COM USD0.000012,200.39
20200922,594918104,MSFT,36677.0,MICROSOFT CORP;COM USD0.000012,202.54
20200928,594918104,MSFT,9159.0,MICROSOFT CORP;COM USD0.000012,207.82
20200929,594918104,MSFT,8400.0,MICROSOFT CORP;COM USD0.000012,209.44
20201001,594918104,MSFT,192.0,MICROSOFT CORP;COM USD0.000012,210.33
20201005,594918104,MSFT,4107.0,MICROSOFT CORP;COM USD0.000012,206.19
20201007,594918104,MSFT,25753.0,MICROSOFT CORP;COM USD0.000012,205.91
20201013,594918104,MSFT,3293.0,MICROSOFT CORP;COM USD0.000012,221.4
20201014,594918104,MSFT,26171.0,MICROSOFT CORP;COM USD0.000012,222.86
20201015,594918104,MSFT,1012.0,MICROSOFT CORP;COM USD0.000012,220.86
20201019,594918104,MSFT,1547.0,MICROSOFT CORP;COM USD0.000012,219.66
20201020,594918104,MSFT,27151.0,MICROSOFT CORP;COM USD0.000012,214.22
20201022,594918104,MSFT,215388.0,MICROSOFT CORP;COM USD0.000012,214.8
20201028,594918104,MSFT,1094.0,MICROSOFT CORP;COM USD0.000012,213.25
