SETTLEMENT DATE,CUSIP,SYMBOL,QUANTITY (FAILS),DESCRIPTION,PRICE
20200601,595112103,MU,374731.0,MICRON TECHNOLOGY INC,47.91
20200602,595112103,MU,87943.0,MICRON TECHNOLOGY INC,46.34
20200603,595112103,MU,610.0,MICRON TECHNOLOGY INC,46.82
20200608,595112103,MU,75363.0,MICRON TECHNOLOGY INC,53.72
20200609,595112103,MU,84285.0,MICRON TECHNOLOGY INC,53.7
20200610,595112103,MU,29602.0,MICRON TECHNOLOGY INC,53.15
20200611,595112103,MU,54768.0,MICRON TECHNOLOGY INC,52.47
20200619,595112103,MU,5677.0,MICRON TECHNOLOGY INC,50.48
20200623,595112103,MU,51412.0,MICRON TECHNOLOGY INC,51.15
20200624,595112103,MU,2502.0,MICRON TECHNOLOGY INC,49.84
20200630,595112103,MU,978.0,MICRON TECHNOLOGY INC,49.15
20200701,595112103,MU,21.0,MICRON TECHNOLOGY INC,51.52
20200707,595112103,MU,300.0,MICRON TECHNOLOGY INC,50.92
20200710,595112103,MU,9638.0,MICRON TECHNOLOGY INC,49.98
20200713,595112103,MU,100.0,MICRON TECHNOLOGY INC,50.7
20200714,595112103,MU,2100.0,MICRON TECHNOLOGY INC,49.46
20200715,595112103,MU,395.0,MICRON TECHNOLOGY INC,49.71
20200717,595112103,MU,3239.0,MICRON TECHNOLOGY INC,50.1
20200720,595112103,MU,588.0,MICRON TECHNOLOGY INC,49.47
20200723,595112103,MU,12603.0,MICRON TECHNOLOGY INC,51.65
20200724,595112103,MU,9824.0,MICRON TECHNOLOGY INC,52.64
20200729,595112103,MU,127.0,MICRON TECHNOLOGY INC,50.09
20200805,595112103,MU,8379.0,MICRON TECHNOLOGY INC,51.3
20200806,595112103,MU,3606.0,MICRON TECHNOLOGY INC,51.05
20200807,595112103,MU,215.0,MICRON TECHNOLOGY INC,48.7
20200810,595112103,MU,968.0,MICRON TECHNOLOGY INC,48.75
20200813,595112103,MU,3831.0,MICRON TECHNOLOGY INC,48.48
20200819,595112103,MU,11348.0,MICRON TECHNOLOGY INC,44.4
20200820,595112103,MU,1171.0,MICRON TECHNOLOGY INC,44.05
20200824,595112103,MU,21315.0,MICRON TECHNOLOGY INC,42.66
20200826,595112103,MU,330.0,MICRON TECHNOLOGY INC,45.1
20200827,595112103,MU,1293.0,MICRON TECHNOLOGY INC,44.96
20200828,595112103,MU,38501.0,MICRON TECHNOLOGY INC,44.62
20200831,595112103,MU,540.0,MICRON TECHNOLOGY INC,45.69
20200901,595112103,MU,9398.0,MICRON TECHNOLOGY INC,45.51
20200909,595112103,MU,3200.0,MICRON TECHNOLOGY INC,45.03
20200911,595112103,MU,19.0,MICRON TECHNOLOGY INC,44.87
20200915,595112103,MU,56977.0,MICRON TECHNOLOGY INC,49.03
20200916,595112103,MU,344.0,MICRON TECHNOLOGY INC,49.05
20200917,595112103,MU,1109.0,MICRON TECHNOLOGY INC,50.21
20200918,595112103,MU,38657.0,MICRON TECHNOLOGY INC,50.98
20200921,595112103,MU,939.0,MICRON TECHNOLOGY INC,50.74
20200922,595112103,MU,33448.0,MICRON TECHNOLOGY INC,49.15
20200925,595112103,MU,16561.0,MICRON TECHNOLOGY INC,49.47
20200928,595112103,MU,1519.0,MICRON TECHNOLOGY INC,49.14
20201002,595112103,MU,281.0,MICRON TECHNOLOGY INC,47.92
20201005,595112103,MU,300.0,MICRON TECHNOLOGY INC,46.55
20201008,595112103,MU,1209.0,MICRON TECHNOLOGY INC,48.41
20201013,595112103,MU,1925.0,MICRON TECHNOLOGY INC,50.68
20201014,595112103,MU,17898.0,MICRON TECHNOLOGY INC,51.85
20201015,595112103,MU,4440.0,MICRON TECHNOLOGY INC,51.63
20201016,595112103,MU,1877.0,MICRON TECHNOLOGY INC,51.94
20201020,595112103,MU,3200.0,MICRON TECHNOLOGY INC,52.63
20201021,595112103,MU,848.0,MICRON TECHNOLOGY INC,53.53
20201022,595112103,MU,152.0,MICRON TECHNOLOGY INC,53.31
20201023,595112103,MU,1318.0,MICRON TECHNOLOGY INC,54.38
20201026,595112103,MU,2681.0,MICRON TECHNOLOGY INC,52.85
20201027,595112103,MU,44241.0,MICRON TECHNOLOGY INC,52.14
20201028,595112103,MU,40581.0,MICRON TECHNOLOGY INC,51.96
20201029,595112103,MU,36237.0,MICRON TECHNOLOGY INC,50.0
20201030,595112103,MU,70392.0,MICRON TECHNOLOGY INC,50.48
20201102,595112103,MU,501.0,MICRON TECHNOLOGY INC,50.34
20201106,595112103,MU,314.0,MICRON TECHNOLOGY INC,54.58
20201109,595112103,MU,571.0,MICRON TECHNOLOGY INC,55.16
20201110,595112103,MU,11264.0,MICRON TECHNOLOGY INC,55.96
20201112,595112103,MU,32813.0,MICRON TECHNOLOGY INC,56.36
20201116,595112103,MU,387.0,MICRON TECHNOLOGY INC,57.93
20201117,595112103,MU,5662.0,MICRON TECHNOLOGY INC,61.86
20201119,595112103,MU,3392.0,MICRON TECHNOLOGY INC,60.74
20201124,595112103,MU,27750.0,MICRON TECHNOLOGY INC,64.18
20201201,595112103,MU,2952.0,MICRON TECHNOLOGY INC,64.09
20201202,595112103,MU,803.0,MICRON TECHNOLOGY INC,67.08
20201203,595112103,MU,4598.0,MICRON TECHNOLOGY INC,69.11
20201204,595112103,MU,56988.0,MICRON TECHNOLOGY INC,69.9
20201207,595112103,MU,3350.0,MICRON TECHNOLOGY INC,73.34
20201208,595112103,MU,46259.0,MICRON TECHNOLOGY INC,72.61
20201214,595112103,MU,809.0,MICRON TECHNOLOGY INC,70.53
20201217,595112103,MU,11271.0,MICRON TECHNOLOGY INC,72.99
20201218,595112103,MU,1351.0,MICRON TECHNOLOGY INC,72.26
20201221,595112103,MU,13665.0,MICRON TECHNOLOGY INC,71.46
20201222,595112103,MU,41352.0,MICRON TECHNOLOGY INC,71.47
20201224,595112103,MU,1421.0,MICRON TECHNOLOGY INC,69.95
20201228,595112103,MU,987.0,MICRON TECHNOLOGY INC,70.58
20201229,595112103,MU,3407.0,MICRON TECHNOLOGY INC,70.66
20201230,595112103,MU,2550.0,MICRON TECHNOLOGY INC,70.21
20201231,595112103,MU,7887.0,MICRON TECHNOLOGY INC,71.92
20210105,595112103,MU,6266.0,MICRON TECHNOLOGY INC,74.05
20210108,595112103,MU,2746.0,MICRON TECHNOLOGY INC,79.11
20210112,595112103,MU,2040.0,MICRON TECHNOLOGY INC,78.67
20210115,595112103,MU,1.0,MICRON TECHNOLOGY INC,81.3
20210120,595112103,MU,5924.0,MICRON TECHNOLOGY INC,85.5
20210121,595112103,MU,905.0,MICRON TECHNOLOGY INC,83.5
20210125,595112103,MU,21824.0,MICRON TECHNOLOGY INC,82.28
20210126,595112103,MU,837.0,MICRON TECHNOLOGY INC,81.28
20210128,595112103,MU,75710.0,MICRON TECHNOLOGY INC,75.09
20210129,595112103,MU,66362.0,MICRON TECHNOLOGY INC,78.39
20210201,595112103,MU,993.0,MICRON TECHNOLOGY INC,78.27
20210203,595112103,MU,28179.0,MICRON TECHNOLOGY INC,81.62
20210205,595112103,MU,5978.0,MICRON TECHNOLOGY INC,81.25
20210208,595112103,MU,15934.0,MICRON TECHNOLOGY INC,81.1
20210209,595112103,MU,4764.0,MICRON TECHNOLOGY INC,84.01
20210210,595112103,MU,20.0,MICRON TECHNOLOGY INC,83.32
20210212,595112103,MU,12186.0,MICRON TECHNOLOGY INC,86.48
20210216,595112103,MU,3564.0,MICRON TECHNOLOGY INC,88.01
20210217,595112103,MU,18947.0,MICRON TECHNOLOGY INC,87.74
20210219,595112103,MU,951.0,MICRON TECHNOLOGY INC,88.54
20210222,595112103,MU,4574.0,MICRON TECHNOLOGY INC,90.96
20210223,595112103,MU,947.0,MICRON TECHNOLOGY INC,86.28
20210225,595112103,MU,810.0,MICRON TECHNOLOGY INC,92.52
20210301,595112103,MU,2474.0,MICRON TECHNOLOGY INC,91.53
20210302,595112103,MU,27098.0,MICRON TECHNOLOGY INC,94.76
20210304,595112103,MU,1166.0,MICRON TECHNOLOGY INC,89.11
20210308,595112103,MU,11252.0,MICRON TECHNOLOGY INC,88.93
20210309,595112103,MU,1800.0,MICRON TECHNOLOGY INC,85.05
20210310,595112103,MU,1359.0,MICRON TECHNOLOGY INC,89.3
20210312,595112103,MU,35.0,MICRON TECHNOLOGY INC,89.31
20210316,595112103,MU,8196.0,MICRON TECHNOLOGY INC,88.85
20210317,595112103,MU,319500.0,MICRON TECHNOLOGY INC,91.43
20210322,595112103,MU,886.0,MICRON TECHNOLOGY INC,90.51
20210323,595112103,MU,253718.0,MICRON TECHNOLOGY INC,91.28
20210324,595112103,MU,11116.0,MICRON TECHNOLOGY INC,85.4
20210325,595112103,MU,1012.0,MICRON TECHNOLOGY INC,83.0
20210406,595112103,MU,5300.0,MICRON TECHNOLOGY INC,93.75
20210407,595112103,MU,157413.0,MICRON TECHNOLOGY INC,93.49
20210408,595112103,MU,222.0,MICRON TECHNOLOGY INC,93.96
20210412,595112103,MU,2031.0,MICRON TECHNOLOGY INC,95.3
20210413,595112103,MU,5645.0,MICRON TECHNOLOGY INC,95.59
20210414,595112103,MU,12357.0,MICRON TECHNOLOGY INC,92.15
20210415,595112103,MU,3705.0,MICRON TECHNOLOGY INC,90.67
20210416,595112103,MU,1963.0,MICRON TECHNOLOGY INC,90.27
20210420,595112103,MU,700298.0,MICRON TECHNOLOGY INC,88.41
20210422,595112103,MU,3176.0,MICRON TECHNOLOGY INC,89.49
20210428,595112103,MU,1452.0,MICRON TECHNOLOGY INC,89.46
20210429,595112103,MU,555.0,MICRON TECHNOLOGY INC,86.03
20210430,595112103,MU,15800.0,MICRON TECHNOLOGY INC,88.06
20210504,595112103,MU,18818.0,MICRON TECHNOLOGY INC,85.02
20210505,595112103,MU,5.0,MICRON TECHNOLOGY INC,84.41
20210506,595112103,MU,9768.0,MICRON TECHNOLOGY INC,85.15
20210507,595112103,MU,561.0,MICRON TECHNOLOGY INC,84.8
20210510,595112103,MU,3514.0,MICRON TECHNOLOGY INC,85.98
20210511,595112103,MU,7289.0,MICRON TECHNOLOGY INC,80.85
20210517,595112103,MU,56710.0,MICRON TECHNOLOGY INC,79.7
20210518,595112103,MU,156293.0,MICRON TECHNOLOGY INC,80.39
20210521,595112103,MU,564.0,MICRON TECHNOLOGY INC,81.13
20210526,595112103,MU,18639.0,MICRON TECHNOLOGY INC,81.23
20210527,595112103,MU,1778.0,MICRON TECHNOLOGY INC,82.24
20210602,595112103,MU,26993.0,MICRON TECHNOLOGY INC,84.15
20210604,595112103,MU,200.0,MICRON TECHNOLOGY INC,82.03
20210608,595112103,MU,1365.0,MICRON TECHNOLOGY INC,84.04
20210609,595112103,MU,100207.0,MICRON TECHNOLOGY INC,80.53
20210611,595112103,MU,15899.0,MICRON TECHNOLOGY INC,79.28
