SETTLEMENT DATE,CUSIP,SYMBOL,QUANTITY (FAILS),DESCRIPTION,PRICE
20200601,594960304,MVIS,1071735.0,MICROVISION INC COM (WASH),0.88
20200602,594960304,MVIS,744249.0,MICROVISION INC COM (WASH),0.96
20200603,594960304,MVIS,231017.0,MICROVISION INC COM (WASH),0.96
20200604,594960304,MVIS,141182.0,MICROVISION INC COM (WASH),0.99
20200605,594960304,MVIS,107354.0,MICROVISION INC COM (WASH),1.04
20200608,594960304,MVIS,9591.0,MICROVISION INC COM (WASH),1.02
20200609,594960304,MVIS,6290.0,MICROVISION INC COM (WASH),1.02
20200611,594960304,MVIS,81.0,MICROVISION INC COM (WASH),1.19
20200612,594960304,MVIS,20569.0,MICROVISION INC COM (WASH),1.0
20200617,594960304,MVIS,29959.0,MICROVISION INC COM (WASH),1.11
20200619,594960304,MVIS,833134.0,MICROVISION INC COM (WASH),1.29
20200622,594960304,MVIS,957524.0,MICROVISION INC COM (WASH),1.49
20200623,594960304,MVIS,233994.0,MICROVISION INC COM (WASH),1.74
20200624,594960304,MVIS,658.0,MICROVISION INC COM (WASH),1.47
20200625,594960304,MVIS,204650.0,MICROVISION INC COM (WASH),1.46
20200626,594960304,MVIS,121841.0,MICROVISION INC COM (WASH),1.43
20200629,594960304,MVIS,243341.0,MICROVISION INC COM (WASH),1.32
20200630,594960304,MVIS,10362.0,MICROVISION INC COM (WASH),1.34
20200701,594960304,MVIS,4099.0,MICROVISION INC COM (WASH),1.36
20200706,594960304,MVIS,63188.0,MICROVISION INC COM (WASH),1.47
20200707,594960304,MVIS,30501.0,MICROVISION INC COM (WASH),1.54
20200708,594960304,MVIS,129599.0,MICROVISION INC COM (WASH),1.45
20200709,594960304,MVIS,134360.0,MICROVISION INC COM (WASH),1.51
20200710,594960304,MVIS,242564.0,MICROVISION INC COM (WASH),1.49
20200713,594960304,MVIS,89044.0,MICROVISION INC COM (WASH),1.5
20200714,594960304,MVIS,256159.0,MICROVISION INC COM (WASH),1.56
20200716,594960304,MVIS,187689.0,MICROVISION INC COM (WASH),1.9
20200717,594960304,MVIS,12053.0,MICROVISION INC COM (WASH),2.33
20200720,594960304,MVIS,3500.0,MICROVISION INC COM (WASH),2.71
20200721,594960304,MVIS,687496.0,MICROVISION INC COM (WASH),2.39
20200722,594960304,MVIS,1226212.0,MICROVISION INC COM (WASH),2.15
20200723,594960304,MVIS,667302.0,MICROVISION INC COM (WASH),2.26
20200724,594960304,MVIS,539524.0,MICROVISION INC COM (WASH),2.08
20200727,594960304,MVIS,259031.0,MICROVISION INC COM (WASH),2.0
20200728,594960304,MVIS,368360.0,MICROVISION INC COM (WASH),2.06
20200729,594960304,MVIS,319877.0,MICROVISION INC COM (WASH),2.03
20200730,594960304,MVIS,381600.0,MICROVISION INC COM (WASH),1.89
20200731,594960304,MVIS,683320.0,MICROVISION INC COM (WASH),2.04
20200803,594960304,MVIS,686723.0,MICROVISION INC COM (WASH),2.02
20200804,594960304,MVIS,760296.0,MICROVISION INC COM (WASH),2.0
20200805,594960304,MVIS,373047.0,MICROVISION INC COM (WASH),2.54
20200806,594960304,MVIS,158290.0,MICROVISION INC COM (WASH),2.53
20200807,594960304,MVIS,4065.0,MICROVISION INC COM (WASH),1.89
20200810,594960304,MVIS,79700.0,MICROVISION INC COM (WASH),1.71
20200811,594960304,MVIS,63014.0,MICROVISION INC COM (WASH),1.52
20200812,594960304,MVIS,36091.0,MICROVISION INC COM (WASH),1.54
20200813,594960304,MVIS,1000.0,MICROVISION INC COM (WASH),1.42
20200814,594960304,MVIS,193337.0,MICROVISION INC COM (WASH),1.52
20200817,594960304,MVIS,64579.0,MICROVISION INC COM (WASH),1.5
20200818,594960304,MVIS,146930.0,MICROVISION INC COM (WASH),1.47
20200819,594960304,MVIS,135020.0,MICROVISION INC COM (WASH),1.45
20200820,594960304,MVIS,3362.0,MICROVISION INC COM (WASH),1.5
20200821,594960304,MVIS,10652.0,MICROVISION INC COM (WASH),1.42
20200824,594960304,MVIS,112170.0,MICROVISION INC COM (WASH),1.38
20200825,594960304,MVIS,393976.0,MICROVISION INC COM (WASH),1.28
20200826,594960304,MVIS,854842.0,MICROVISION INC COM (WASH),1.32
20200827,594960304,MVIS,2025452.0,MICROVISION INC COM (WASH),1.53
20200828,594960304,MVIS,1242626.0,MICROVISION INC COM (WASH),1.6
20200831,594960304,MVIS,951093.0,MICROVISION INC COM (WASH),1.68
20200901,594960304,MVIS,953657.0,MICROVISION INC COM (WASH),1.58
20200902,594960304,MVIS,998546.0,MICROVISION INC COM (WASH),1.59
20200903,594960304,MVIS,652245.0,MICROVISION INC COM (WASH),1.56
20200904,594960304,MVIS,623125.0,MICROVISION INC COM (WASH),1.5
20200908,594960304,MVIS,471196.0,MICROVISION INC COM (WASH),1.48
20200909,594960304,MVIS,307632.0,MICROVISION INC COM (WASH),1.49
