SETTLEMENT DATE,CUSIP,SYMBOL,QUANTITY (FAILS),DESCRIPTION,PRICE
20200604,64110L106,NFLX,1381.0,NETFLIX COM INC,421.97
20200605,64110L106,NFLX,648.0,NETFLIX COM INC,414.33
20200609,64110L106,NFLX,3966.0,NETFLIX COM INC,419.49
20200612,64110L106,NFLX,140674.0,NETFLIX COM INC,425.56
20200615,64110L106,NFLX,124.0,NETFLIX COM INC,418.07
20200616,64110L106,NFLX,283.0,NETFLIX COM INC,425.5
20200618,64110L106,NFLX,6085.0,NETFLIX COM INC,447.77
20200619,64110L106,NFLX,114649.0,NETFLIX COM INC,449.87
20200622,64110L106,NFLX,4.0,NETFLIX COM INC,453.72
20200623,64110L106,NFLX,3819.0,NETFLIX COM INC,468.04
20200624,64110L106,NFLX,1900.0,NETFLIX COM INC,466.26
20200629,64110L106,NFLX,219.0,NETFLIX COM INC,443.4
20200630,64110L106,NFLX,25170.0,NETFLIX COM INC,447.24
20200701,64110L106,NFLX,102993.0,NETFLIX COM INC,455.04
20200702,64110L106,NFLX,2.0,NETFLIX COM INC,485.64
20200706,64110L106,NFLX,2051.0,NETFLIX COM INC,476.89
20200707,64110L106,NFLX,9139.0,NETFLIX COM INC,493.81
20200708,64110L106,NFLX,766.0,NETFLIX COM INC,493.16
20200715,64110L106,NFLX,49137.0,NETFLIX COM INC,524.88
20200721,64110L106,NFLX,200.0,NETFLIX COM INC,502.41
20200724,64110L106,NFLX,528.0,NETFLIX COM INC,477.58
20200727,64110L106,NFLX,378.0,NETFLIX COM INC,480.45
20200728,64110L106,NFLX,64197.0,NETFLIX COM INC,495.65
20200729,64110L106,NFLX,1443.0,NETFLIX COM INC,488.51
20200803,64110L106,NFLX,1565.0,NETFLIX COM INC,488.88
20200804,64110L106,NFLX,495.0,NETFLIX COM INC,498.62
20200805,64110L106,NFLX,884.0,NETFLIX COM INC,509.64
20200806,64110L106,NFLX,1916.0,NETFLIX COM INC,502.11
20200807,64110L106,NFLX,4748.0,NETFLIX COM INC,509.08
20200813,64110L106,NFLX,1730.0,NETFLIX COM INC,475.47
20200817,64110L106,NFLX,85.0,NETFLIX COM INC,482.68
20200824,64110L106,NFLX,592.0,NETFLIX COM INC,492.31
20200827,64110L106,NFLX,2046.0,NETFLIX COM INC,547.53
20200828,64110L106,NFLX,4198.0,NETFLIX COM INC,526.27
20200831,64110L106,NFLX,148.0,NETFLIX COM INC,523.89
20200901,64110L106,NFLX,2.0,NETFLIX COM INC,529.56
20200903,64110L106,NFLX,1659.0,NETFLIX COM INC,552.84
20200909,64110L106,NFLX,216.0,NETFLIX COM INC,507.02
20200910,64110L106,NFLX,993.0,NETFLIX COM INC,500.19
20200911,64110L106,NFLX,1422.0,NETFLIX COM INC,480.67
20200918,64110L106,NFLX,7.0,NETFLIX COM INC,470.2
20200921,64110L106,NFLX,68.0,NETFLIX COM INC,469.96
20200923,64110L106,NFLX,5272.0,NETFLIX COM INC,491.17
20200925,64110L106,NFLX,45991.0,NETFLIX COM INC,473.08
20200928,64110L106,NFLX,102.0,NETFLIX COM INC,482.88
20200929,64110L106,NFLX,3540.0,NETFLIX COM INC,490.65
20200930,64110L106,NFLX,47.0,NETFLIX COM INC,493.48
20201001,64110L106,NFLX,255.0,NETFLIX COM INC,500.03
20201002,64110L106,NFLX,1342.0,NETFLIX COM INC,527.51
20201005,64110L106,NFLX,1533.0,NETFLIX COM INC,503.06
20201006,64110L106,NFLX,15.0,NETFLIX COM INC,520.65
20201009,64110L106,NFLX,486.0,NETFLIX COM INC,531.79
20201019,64110L106,NFLX,8630.0,NETFLIX COM INC,530.79
20201020,64110L106,NFLX,128301.0,NETFLIX COM INC,530.72
20201021,64110L106,NFLX,105000.0,NETFLIX COM INC,525.42
20201028,64110L106,NFLX,8877.0,NETFLIX COM INC,488.93
20201029,64110L106,NFLX,23.0,NETFLIX COM INC,486.24
20201102,64110L106,NFLX,3093.0,NETFLIX COM INC,475.74
20201103,64110L106,NFLX,1351.0,NETFLIX COM INC,484.12
20201105,64110L106,NFLX,59.0,NETFLIX COM INC,496.95
20201106,64110L106,NFLX,31128.0,NETFLIX COM INC,513.76
20201110,64110L106,NFLX,10718.0,NETFLIX COM INC,470.5
20201112,64110L106,NFLX,715.0,NETFLIX COM INC,490.76
20201113,64110L106,NFLX,40564.0,NETFLIX COM INC,486.77
20201116,64110L106,NFLX,7812.0,NETFLIX COM INC,482.84
20201120,64110L106,NFLX,547.0,NETFLIX COM INC,484.67
20201124,64110L106,NFLX,4748.0,NETFLIX COM INC,476.62
20201125,64110L106,NFLX,3518.0,NETFLIX COM INC,482.88
20201127,64110L106,NFLX,522.0,NETFLIX COM INC,485.0
20201130,64110L106,NFLX,1170.0,NETFLIX COM INC,491.36
20201201,64110L106,NFLX,5004.0,NETFLIX COM INC,490.7
20201202,64110L106,NFLX,275.0,NETFLIX COM INC,504.58
20201204,64110L106,NFLX,8583.0,NETFLIX COM INC,497.52
20201207,64110L106,NFLX,1398.0,NETFLIX COM INC,498.31
20201208,64110L106,NFLX,47.0,NETFLIX COM INC,515.78
20201214,64110L106,NFLX,2037.0,NETFLIX COM INC,503.22
20201215,64110L106,NFLX,20.0,NETFLIX COM INC,522.42
20201216,64110L106,NFLX,3493.0,NETFLIX COM INC,519.78
20201217,64110L106,NFLX,2071.0,NETFLIX COM INC,524.83
20201221,64110L106,NFLX,31012.0,NETFLIX COM INC,534.45
20201222,64110L106,NFLX,54.0,NETFLIX COM INC,528.91
20201223,64110L106,NFLX,641.0,NETFLIX COM INC,527.33
20201228,64110L106,NFLX,10.0,NETFLIX COM INC,513.97
20201229,64110L106,NFLX,800.0,NETFLIX COM INC,519.12
20201230,64110L106,NFLX,2862.0,NETFLIX COM INC,530.87
20201231,64110L106,NFLX,1410.0,NETFLIX COM INC,524.59
20210104,64110L106,NFLX,752.0,NETFLIX COM INC,540.73
20210105,64110L106,NFLX,1600.0,NETFLIX COM INC,522.86
20210107,64110L106,NFLX,209.0,NETFLIX COM INC,500.49
20210108,64110L106,NFLX,112.0,NETFLIX COM INC,508.89
20210111,64110L106,NFLX,5218.0,NETFLIX COM INC,510.4
20210112,64110L106,NFLX,689.0,NETFLIX COM INC,499.1
20210113,64110L106,NFLX,1011.0,NETFLIX COM INC,494.25
20210115,64110L106,NFLX,2.0,NETFLIX COM INC,500.86
20210119,64110L106,NFLX,4.0,NETFLIX COM INC,497.98
20210120,64110L106,NFLX,3488.0,NETFLIX COM INC,501.77
20210121,64110L106,NFLX,9170.0,NETFLIX COM INC,586.34
20210122,64110L106,NFLX,8812.0,NETFLIX COM INC,579.84
20210125,64110L106,NFLX,1995.0,NETFLIX COM INC,565.17
20210126,64110L106,NFLX,309.0,NETFLIX COM INC,556.78
20210127,64110L106,NFLX,102.0,NETFLIX COM INC,561.93
20210201,64110L106,NFLX,1463.0,NETFLIX COM INC,532.39
20210202,64110L106,NFLX,411.0,NETFLIX COM INC,539.04
20210203,64110L106,NFLX,2040.0,NETFLIX COM INC,548.16
20210204,64110L106,NFLX,180.0,NETFLIX COM INC,539.45
20210205,64110L106,NFLX,226.0,NETFLIX COM INC,552.16
20210208,64110L106,NFLX,5534.0,NETFLIX COM INC,550.79
20210210,64110L106,NFLX,3765.0,NETFLIX COM INC,559.07
20210211,64110L106,NFLX,1798.0,NETFLIX COM INC,563.59
20210216,64110L106,NFLX,1.0,NETFLIX COM INC,556.52
20210217,64110L106,NFLX,1136.0,NETFLIX COM INC,557.28
20210225,64110L106,NFLX,1040.0,NETFLIX COM INC,553.41
20210301,64110L106,NFLX,6016.0,NETFLIX COM INC,538.85
20210302,64110L106,NFLX,1360.0,NETFLIX COM INC,550.64
20210303,64110L106,NFLX,422.0,NETFLIX COM INC,547.82
20210309,64110L106,NFLX,1500.0,NETFLIX COM INC,493.33
20210315,64110L106,NFLX,103798.0,NETFLIX COM INC,518.02
20210316,64110L106,NFLX,1978.0,NETFLIX COM INC,520.25
20210318,64110L106,NFLX,18.0,NETFLIX COM INC,524.44
20210322,64110L106,NFLX,1459.0,NETFLIX COM INC,512.18
20210324,64110L106,NFLX,222.0,NETFLIX COM INC,535.09
20210401,64110L106,NFLX,1221.0,NETFLIX COM INC,521.66
20210405,64110L106,NFLX,479.0,NETFLIX COM INC,539.42
20210406,64110L106,NFLX,9821.0,NETFLIX COM INC,540.67
20210407,64110L106,NFLX,6732.0,NETFLIX COM INC,544.53
20210408,64110L106,NFLX,645.0,NETFLIX COM INC,546.99
20210409,64110L106,NFLX,57.0,NETFLIX COM INC,554.58
20210412,64110L106,NFLX,1341.0,NETFLIX COM INC,555.31
20210413,64110L106,NFLX,2237.0,NETFLIX COM INC,552.78
20210420,64110L106,NFLX,441107.0,NETFLIX COM INC,554.44
20210421,64110L106,NFLX,442322.0,NETFLIX COM INC,549.57
20210422,64110L106,NFLX,5442.0,NETFLIX COM INC,508.9
20210423,64110L106,NFLX,387.0,NETFLIX COM INC,508.78
20210428,64110L106,NFLX,428.0,NETFLIX COM INC,505.55
20210429,64110L106,NFLX,222.0,NETFLIX COM INC,506.52
20210503,64110L106,NFLX,36525.0,NETFLIX COM INC,513.47
20210504,64110L106,NFLX,275.0,NETFLIX COM INC,509.11
20210505,64110L106,NFLX,14.0,NETFLIX COM INC,503.18
20210506,64110L106,NFLX,275.0,NETFLIX COM INC,496.08
20210507,64110L106,NFLX,296.0,NETFLIX COM INC,499.55
20210513,64110L106,NFLX,212.0,NETFLIX COM INC,484.98
20210517,64110L106,NFLX,596.0,NETFLIX COM INC,493.37
20210518,64110L106,NFLX,1153.0,NETFLIX COM INC,488.94
20210521,64110L106,NFLX,25.0,NETFLIX COM INC,501.67
20210526,64110L106,NFLX,1174.0,NETFLIX COM INC,501.34
20210527,64110L106,NFLX,438.0,NETFLIX COM INC,502.36
20210528,64110L106,NFLX,15.0,NETFLIX COM INC,503.86
20210601,64110L106,NFLX,523.0,NETFLIX COM INC,502.81
20210604,64110L106,NFLX,115.0,NETFLIX COM INC,489.43
20210608,64110L106,NFLX,1762.0,NETFLIX COM INC,494.66
20210609,64110L106,NFLX,4.0,NETFLIX COM INC,492.39
