SETTLEMENT DATE,CUSIP,SYMBOL,QUANTITY (FAILS),DESCRIPTION,PRICE
20200601,62914V106,NIO,848029.0,NIO INC ADS,3.98
20200602,62914V106,NIO,874344.0,NIO INC ADS,4.26
20200603,62914V106,NIO,417171.0,NIO INC ADS,4.7
20200604,62914V106,NIO,72447.0,NIO INC ADS,5.6
20200605,62914V106,NIO,1443007.0,NIO INC ADS,5.97
20200608,62914V106,NIO,3301600.0,NIO INC ADS,5.59
20200609,62914V106,NIO,1605791.0,NIO INC ADS,5.97
20200610,62914V106,NIO,850062.0,NIO INC ADS,6.68
20200611,62914V106,NIO,101334.0,NIO INC ADS,6.3
20200612,62914V106,NIO,916894.0,NIO INC ADS,5.91
20200615,62914V106,NIO,24754.0,NIO INC ADS,6.1
20200616,62914V106,NIO,209437.0,NIO INC ADS,6.83
20200617,62914V106,NIO,71247.0,NIO INC ADS,6.99
20200618,62914V106,NIO,305085.0,NIO INC ADS,6.84
20200619,62914V106,NIO,4750.0,NIO INC ADS,7.18
20200622,62914V106,NIO,26350.0,NIO INC ADS,7.34
20200623,62914V106,NIO,880877.0,NIO INC ADS,7.43
20200624,62914V106,NIO,1387012.0,NIO INC ADS,7.23
20200625,62914V106,NIO,268988.0,NIO INC ADS,6.86
20200626,62914V106,NIO,21000.0,NIO INC ADS,7.08
20200629,62914V106,NIO,112023.0,NIO INC ADS,6.9
20200630,62914V106,NIO,31779.0,NIO INC ADS,7.23
20200701,62914V106,NIO,123762.0,NIO INC ADS,7.72
20200702,62914V106,NIO,300656.0,NIO INC ADS,7.91
20200706,62914V106,NIO,91201.0,NIO INC ADS,9.38
20200707,62914V106,NIO,179512.0,NIO INC ADS,11.51
20200708,62914V106,NIO,39479.0,NIO INC ADS,13.22
20200709,62914V106,NIO,502163.0,NIO INC ADS,12.88
20200710,62914V106,NIO,3136637.0,NIO INC ADS,14.57
20200713,62914V106,NIO,162517.0,NIO INC ADS,14.98
20200715,62914V106,NIO,15154.0,NIO INC ADS,14.09
20200716,62914V106,NIO,79327.0,NIO INC ADS,13.52
20200717,62914V106,NIO,5764.0,NIO INC ADS,12.94
20200720,62914V106,NIO,23572.0,NIO INC ADS,11.09
