SETTLEMENT DATE,CUSIP,SYMBOL,QUANTITY (FAILS),DESCRIPTION,PRICE
20200601,654902204,NOK,128458.0,NOKIA CORP ADS (REP 1 SHARE),3.95
20200602,654902204,NOK,336959.0,NOKIA CORP ADS (REP 1 SHARE),4.2
20200603,654902204,NOK,18769.0,NOKIA CORP ADS (REP 1 SHARE),4.31
20200604,654902204,NOK,1925842.0,NOKIA CORP ADS (REP 1 SHARE),4.37
20200608,654902204,NOK,18699.0,NOKIA CORP ADS (REP 1 SHARE),4.46
20200609,654902204,NOK,159023.0,NOKIA CORP ADS (REP 1 SHARE),4.52
20200610,654902204,NOK,106312.0,NOKIA CORP ADS (REP 1 SHARE),4.42
20200611,654902204,NOK,925465.0,NOKIA CORP ADS (REP 1 SHARE),4.45
20200612,654902204,NOK,40187.0,NOKIA CORP ADS (REP 1 SHARE),4.11
20200615,654902204,NOK,102557.0,NOKIA CORP ADS (REP 1 SHARE),4.2
20200616,654902204,NOK,667061.0,NOKIA CORP ADS (REP 1 SHARE),4.28
20200617,654902204,NOK,471297.0,NOKIA CORP ADS (REP 1 SHARE),4.34
20200618,654902204,NOK,145.0,NOKIA CORP ADS (REP 1 SHARE),4.41
20200619,654902204,NOK,3858.0,NOKIA CORP ADS (REP 1 SHARE),4.37
20200623,654902204,NOK,72993.0,NOKIA CORP ADS (REP 1 SHARE),4.33
20200624,654902204,NOK,357.0,NOKIA CORP ADS (REP 1 SHARE),4.33
20200625,654902204,NOK,1155.0,NOKIA CORP ADS (REP 1 SHARE),4.2
20200626,654902204,NOK,1420.0,NOKIA CORP ADS (REP 1 SHARE),4.45
20200629,654902204,NOK,53738.0,NOKIA CORP ADS (REP 1 SHARE),4.34
20200630,654902204,NOK,17807.0,NOKIA CORP ADS (REP 1 SHARE),4.35
20200701,654902204,NOK,52435.0,NOKIA CORP ADS (REP 1 SHARE),4.4
20200702,654902204,NOK,94614.0,NOKIA CORP ADS (REP 1 SHARE),4.35
20200707,654902204,NOK,99778.0,NOKIA CORP ADS (REP 1 SHARE),4.6
20200708,654902204,NOK,647580.0,NOKIA CORP ADS (REP 1 SHARE),4.31
20200709,654902204,NOK,2285.0,NOKIA CORP ADS (REP 1 SHARE),4.15
20200710,654902204,NOK,400925.0,NOKIA CORP ADS (REP 1 SHARE),4.17
20200713,654902204,NOK,1697962.0,NOKIA CORP ADS (REP 1 SHARE),4.12
20200714,654902204,NOK,1589113.0,NOKIA CORP ADS (REP 1 SHARE),4.18
20200715,654902204,NOK,4915.0,NOKIA CORP ADS (REP 1 SHARE),4.32
20200716,654902204,NOK,18639.0,NOKIA CORP ADS (REP 1 SHARE),4.33
20200717,654902204,NOK,6789.0,NOKIA CORP ADS (REP 1 SHARE),4.24
20200721,654902204,NOK,491617.0,NOKIA CORP ADS (REP 1 SHARE),4.45
20200722,654902204,NOK,329306.0,NOKIA CORP ADS (REP 1 SHARE),4.43
20200723,654902204,NOK,72524.0,NOKIA CORP ADS (REP 1 SHARE),4.5
20200724,654902204,NOK,7437.0,NOKIA CORP ADS (REP 1 SHARE),4.37
20200727,654902204,NOK,2025395.0,NOKIA CORP ADS (REP 1 SHARE),4.3
20200730,654902204,NOK,348743.0,NOKIA CORP ADS (REP 1 SHARE),4.34
20200803,654902204,NOK,3603120.0,NOKIA CORP ADS (REP 1 SHARE),4.78
20200804,654902204,NOK,389707.0,NOKIA CORP ADS (REP 1 SHARE),5.06
20200805,654902204,NOK,1155806.0,NOKIA CORP ADS (REP 1 SHARE),5.1
20200806,654902204,NOK,963188.0,NOKIA CORP ADS (REP 1 SHARE),5.0
20200807,654902204,NOK,6985.0,NOKIA CORP ADS (REP 1 SHARE),5.0
20200811,654902204,NOK,80587.0,NOKIA CORP ADS (REP 1 SHARE),4.91
20200813,654902204,NOK,16187.0,NOKIA CORP ADS (REP 1 SHARE),5.05
20200814,654902204,NOK,55030.0,NOKIA CORP ADS (REP 1 SHARE),5.06
20200817,654902204,NOK,11795.0,NOKIA CORP ADS (REP 1 SHARE),5.0
20200818,654902204,NOK,567058.0,NOKIA CORP ADS (REP 1 SHARE),5.07
20200819,654902204,NOK,32458.0,NOKIA CORP ADS (REP 1 SHARE),5.09
20200820,654902204,NOK,20443.0,NOKIA CORP ADS (REP 1 SHARE),5.04
20200821,654902204,NOK,17912.0,NOKIA CORP ADS (REP 1 SHARE),5.05
20200824,654902204,NOK,22586.0,NOKIA CORP ADS (REP 1 SHARE),4.97
20200825,654902204,NOK,441340.0,NOKIA CORP ADS (REP 1 SHARE),5.03
20200826,654902204,NOK,68576.0,NOKIA CORP ADS (REP 1 SHARE),5.04
20200827,654902204,NOK,45.0,NOKIA CORP ADS (REP 1 SHARE),5.05
20200828,654902204,NOK,129429.0,NOKIA CORP ADS (REP 1 SHARE),5.01
20200902,654902204,NOK,69966.0,NOKIA CORP ADS (REP 1 SHARE),4.73
20200903,654902204,NOK,5080.0,NOKIA CORP ADS (REP 1 SHARE),4.78
20200908,654902204,NOK,8560.0,NOKIA CORP ADS (REP 1 SHARE),4.48
20200909,654902204,NOK,99991.0,NOKIA CORP ADS (REP 1 SHARE),4.1
20200910,654902204,NOK,414624.0,NOKIA CORP ADS (REP 1 SHARE),4.14
20200911,654902204,NOK,35184.0,NOKIA CORP ADS (REP 1 SHARE),4.1
20200914,654902204,NOK,245410.0,NOKIA CORP ADS (REP 1 SHARE),4.1
20200915,654902204,NOK,15544.0,NOKIA CORP ADS (REP 1 SHARE),4.09
20200917,654902204,NOK,100000.0,NOKIA CORP ADS (REP 1 SHARE),4.13
20200918,654902204,NOK,10570.0,NOKIA CORP ADS (REP 1 SHARE),4.14
20200921,654902204,NOK,31746.0,NOKIA CORP ADS (REP 1 SHARE),4.09
20200922,654902204,NOK,31534.0,NOKIA CORP ADS (REP 1 SHARE),3.96
20200923,654902204,NOK,6229.0,NOKIA CORP ADS (REP 1 SHARE),3.98
20200925,654902204,NOK,6907.0,NOKIA CORP ADS (REP 1 SHARE),3.84
20200928,654902204,NOK,16229.0,NOKIA CORP ADS (REP 1 SHARE),3.78
