SETTLEMENT DATE,CUSIP,SYMBOL,QUANTITY (FAILS),DESCRIPTION,PRICE
20200601,67066G104,NVDA,10562.0,NVIDIA CORP,355.02
20200602,67066G104,NVDA,48660.0,NVIDIA CORP,352.25
20200603,67066G104,NVDA,9752.0,NVIDIA CORP,353.01
20200604,67066G104,NVDA,6520.0,NVIDIA CORP,350.78
20200605,67066G104,NVDA,7644.0,NVIDIA CORP,350.66
20200608,67066G104,NVDA,43499.0,NVIDIA CORP,356.8
20200609,67066G104,NVDA,6719.0,NVIDIA CORP,352.2
20200611,67066G104,NVDA,104.0,NVIDIA CORP,374.67
20200612,67066G104,NVDA,68763.0,NVIDIA CORP,351.85
20200616,67066G104,NVDA,418.0,NVIDIA CORP,366.95
20200618,67066G104,NVDA,52.0,NVIDIA CORP,369.44
20200619,67066G104,NVDA,1.0,NVIDIA CORP,368.72
20200622,67066G104,NVDA,1.0,NVIDIA CORP,370.45
20200623,67066G104,NVDA,9300.0,NVIDIA CORP,381.07
20200624,67066G104,NVDA,2800.0,NVIDIA CORP,378.0
20200630,67066G104,NVDA,3852.0,NVIDIA CORP,368.0
20200701,67066G104,NVDA,1.0,NVIDIA CORP,379.91
20200702,67066G104,NVDA,18431.0,NVIDIA CORP,381.2
20200707,67066G104,NVDA,17500.0,NVIDIA CORP,393.57
20200709,67066G104,NVDA,269.0,NVIDIA CORP,408.64
20200710,67066G104,NVDA,30.0,NVIDIA CORP,420.36
20200714,67066G104,NVDA,13161.0,NVIDIA CORP,402.09
20200715,67066G104,NVDA,3080.0,NVIDIA CORP,415.08
20200717,67066G104,NVDA,120.0,NVIDIA CORP,405.39
20200720,67066G104,NVDA,2048.0,NVIDIA CORP,408.06
20200721,67066G104,NVDA,2306.0,NVIDIA CORP,420.43
20200724,67066G104,NVDA,96.0,NVIDIA CORP,405.19
20200727,67066G104,NVDA,190.0,NVIDIA CORP,407.78
20200728,67066G104,NVDA,4.0,NVIDIA CORP,416.86
20200729,67066G104,NVDA,236.0,NVIDIA CORP,408.62
20200731,67066G104,NVDA,5.0,NVIDIA CORP,424.56
20200803,67066G104,NVDA,5524.0,NVIDIA CORP,424.59
20200804,67066G104,NVDA,10456.0,NVIDIA CORP,440.41
20200806,67066G104,NVDA,13.0,NVIDIA CORP,451.47
20200807,67066G104,NVDA,16350.0,NVIDIA CORP,453.42
20200811,67066G104,NVDA,11580.0,NVIDIA CORP,446.6
20200812,67066G104,NVDA,738.0,NVIDIA CORP,434.0
20200813,67066G104,NVDA,155.0,NVIDIA CORP,457.61
20200814,67066G104,NVDA,100.0,NVIDIA CORP,457.72
