SETTLEMENT DATE,CUSIP,SYMBOL,QUANTITY (FAILS),DESCRIPTION,PRICE
20200602,67577C105,OCGN,1168.0,OCUGEN INC COM,0.23
20200608,67577C105,OCGN,2636823.0,OCUGEN INC COM,0.25
20200609,67577C105,OCGN,5585226.0,OCUGEN INC COM,0.28
20200612,67577C105,OCGN,101569.0,OCUGEN INC COM,0.25
20200616,67577C105,OCGN,48441.0,OCUGEN INC COM,0.27
20200617,67577C105,OCGN,10.0,OCUGEN INC COM,0.27
20200618,67577C105,OCGN,812.0,OCUGEN INC COM,0.25
20200623,67577C105,OCGN,934607.0,OCUGEN INC COM,0.23
20200701,67577C105,OCGN,110.0,OCUGEN INC COM,0.22
20200702,67577C105,OCGN,66.0,OCUGEN INC COM,0.23
20200706,67577C105,OCGN,126745.0,OCUGEN INC COM,0.22
20200707,67577C105,OCGN,98549.0,OCUGEN INC COM,0.22
20200708,67577C105,OCGN,2828.0,OCUGEN INC COM,0.21
20200709,67577C105,OCGN,32590.0,OCUGEN INC COM,0.21
20200710,67577C105,OCGN,48063.0,OCUGEN INC COM,0.22
20200713,67577C105,OCGN,311791.0,OCUGEN INC COM,0.22
20200714,67577C105,OCGN,3434.0,OCUGEN INC COM,0.2
20200716,67577C105,OCGN,6571.0,OCUGEN INC COM,0.21
20200717,67577C105,OCGN,149461.0,OCUGEN INC COM,0.21
20200720,67577C105,OCGN,12879.0,OCUGEN INC COM,0.21
20200722,67577C105,OCGN,334649.0,OCUGEN INC COM,0.4
20200723,67577C105,OCGN,128740.0,OCUGEN INC COM,0.31
20200724,67577C105,OCGN,93986.0,OCUGEN INC COM,0.28
20200728,67577C105,OCGN,5189.0,OCUGEN INC COM,0.63
20200729,67577C105,OCGN,686815.0,OCUGEN INC COM,0.72
20200730,67577C105,OCGN,1781823.0,OCUGEN INC COM,0.59
20200731,67577C105,OCGN,10702.0,OCUGEN INC COM,0.55
20200803,67577C105,OCGN,484203.0,OCUGEN INC COM,0.52
20200804,67577C105,OCGN,518073.0,OCUGEN INC COM,0.53
20200805,67577C105,OCGN,262707.0,OCUGEN INC COM,0.5
20200806,67577C105,OCGN,29550.0,OCUGEN INC COM,0.49
20200807,67577C105,OCGN,50896.0,OCUGEN INC COM,0.46
20200810,67577C105,OCGN,136320.0,OCUGEN INC COM,0.55
20200811,67577C105,OCGN,321.0,OCUGEN INC COM,0.71
20200813,67577C105,OCGN,7200.0,OCUGEN INC COM,0.6
20200814,67577C105,OCGN,2979.0,OCUGEN INC COM,0.62
20200817,67577C105,OCGN,425480.0,OCUGEN INC COM,0.56
20200818,67577C105,OCGN,63986.0,OCUGEN INC COM,0.5
20200819,67577C105,OCGN,70631.0,OCUGEN INC COM,0.48
20200820,67577C105,OCGN,1889758.0,OCUGEN INC COM,0.48
20200821,67577C105,OCGN,65189.0,OCUGEN INC COM,0.48
20200824,67577C105,OCGN,2534.0,OCUGEN INC COM,0.47
20200825,67577C105,OCGN,4627.0,OCUGEN INC COM,0.41
20200901,67577C105,OCGN,710.0,OCUGEN INC COM,0.35
20200904,67577C105,OCGN,1300.0,OCUGEN INC COM,0.38
20200908,67577C105,OCGN,538770.0,OCUGEN INC COM,0.34
20200909,67577C105,OCGN,10405.0,OCUGEN INC COM,0.33
20200910,67577C105,OCGN,18805.0,OCUGEN INC COM,0.34
20200911,67577C105,OCGN,49390.0,OCUGEN INC COM,0.33
20200914,67577C105,OCGN,36378.0,OCUGEN INC COM,0.32
20200915,67577C105,OCGN,143788.0,OCUGEN INC COM,0.33
20200918,67577C105,OCGN,1209879.0,OCUGEN INC COM,0.34
20200921,67577C105,OCGN,3042591.0,OCUGEN INC COM,0.36
20200922,67577C105,OCGN,2572.0,OCUGEN INC COM,0.34
20200923,67577C105,OCGN,246458.0,OCUGEN INC COM,0.33
20200924,67577C105,OCGN,534811.0,OCUGEN INC COM,0.31
20200925,67577C105,OCGN,139457.0,OCUGEN INC COM,0.3
20200928,67577C105,OCGN,71500.0,OCUGEN INC COM,0.3
20200929,67577C105,OCGN,1181.0,OCUGEN INC COM,0.3
20201001,67577C105,OCGN,74748.0,OCUGEN INC COM,0.31
20201002,67577C105,OCGN,2515.0,OCUGEN INC COM,0.3
20201005,67577C105,OCGN,36763.0,OCUGEN INC COM,0.31
20201006,67577C105,OCGN,31847.0,OCUGEN INC COM,0.33
20201007,67577C105,OCGN,20480.0,OCUGEN INC COM,0.33
20201008,67577C105,OCGN,288951.0,OCUGEN INC COM,0.33
20201015,67577C105,OCGN,486.0,OCUGEN INC COM,0.33
20201016,67577C105,OCGN,191.0,OCUGEN INC COM,0.33
20201019,67577C105,OCGN,1500.0,OCUGEN INC COM,0.32
20201023,67577C105,OCGN,4909.0,OCUGEN INC COM,0.32
20201026,67577C105,OCGN,41385.0,OCUGEN INC COM,0.32
20201028,67577C105,OCGN,6590.0,OCUGEN INC COM,0.3
20201029,67577C105,OCGN,591.0,OCUGEN INC COM,0.29
20201030,67577C105,OCGN,189448.0,OCUGEN INC COM,0.29
20201102,67577C105,OCGN,100013.0,OCUGEN INC COM,0.28
20201103,67577C105,OCGN,27854.0,OCUGEN INC COM,0.28
20201104,67577C105,OCGN,3714.0,OCUGEN INC COM,0.29
20201110,67577C105,OCGN,179875.0,OCUGEN INC COM,0.29
20201113,67577C105,OCGN,45448.0,OCUGEN INC COM,0.29
20201117,67577C105,OCGN,3352.0,OCUGEN INC COM,0.28
20201118,67577C105,OCGN,2695.0,OCUGEN INC COM,0.29
20201119,67577C105,OCGN,2500.0,OCUGEN INC COM,0.31
20201124,67577C105,OCGN,2347756.0,OCUGEN INC COM,0.3
20201127,67577C105,OCGN,9800.0,OCUGEN INC COM,0.29
20201208,67577C105,OCGN,2982.0,OCUGEN INC COM,0.3
20201209,67577C105,OCGN,5447.0,OCUGEN INC COM,0.3
20201211,67577C105,OCGN,17309.0,OCUGEN INC COM,0.29
20201214,67577C105,OCGN,102972.0,OCUGEN INC COM,0.3
20201215,67577C105,OCGN,3414.0,OCUGEN INC COM,0.3
20201216,67577C105,OCGN,88813.0,OCUGEN INC COM,0.3
20201217,67577C105,OCGN,3676.0,OCUGEN INC COM,0.3
20201218,67577C105,OCGN,11597.0,OCUGEN INC COM,0.3
20201221,67577C105,OCGN,8723.0,OCUGEN INC COM,0.29
20201222,67577C105,OCGN,4000.0,OCUGEN INC COM,0.29
20201223,67577C105,OCGN,117800.0,OCUGEN INC COM,0.81
20201224,67577C105,OCGN,1123062.0,OCUGEN INC COM,2.6
20201228,67577C105,OCGN,1931550.0,OCUGEN INC COM,1.76
20201230,67577C105,OCGN,6292.0,OCUGEN INC COM,2.17
