SETTLEMENT DATE,CUSIP,SYMBOL,QUANTITY (FAILS),DESCRIPTION,PRICE
20201002,69608A108,PLTR,9131396.0,PALANTIR TECHNOLOGIES INC CL A,9.46
20201005,69608A108,PLTR,7819457.0,PALANTIR TECHNOLOGIES INC CL A,9.2
20201006,69608A108,PLTR,7772049.0,PALANTIR TECHNOLOGIES INC CL A,9.03
20201007,69608A108,PLTR,537727.0,PALANTIR TECHNOLOGIES INC CL A,9.9
20201008,69608A108,PLTR,2235758.0,PALANTIR TECHNOLOGIES INC CL A,10.0
20201009,69608A108,PLTR,167429.0,PALANTIR TECHNOLOGIES INC CL A,10.0
20201013,69608A108,PLTR,104299.0,PALANTIR TECHNOLOGIES INC CL A,9.89
20201014,69608A108,PLTR,252640.0,PALANTIR TECHNOLOGIES INC CL A,9.47
20201015,69608A108,PLTR,96766.0,PALANTIR TECHNOLOGIES INC CL A,9.34
20201016,69608A108,PLTR,127340.0,PALANTIR TECHNOLOGIES INC CL A,9.91
20201019,69608A108,PLTR,429212.0,PALANTIR TECHNOLOGIES INC CL A,9.71
20201020,69608A108,PLTR,441838.0,PALANTIR TECHNOLOGIES INC CL A,9.57
20201021,69608A108,PLTR,340947.0,PALANTIR TECHNOLOGIES INC CL A,9.27
20201026,69608A108,PLTR,153178.0,PALANTIR TECHNOLOGIES INC CL A,9.49
20201029,69608A108,PLTR,591784.0,PALANTIR TECHNOLOGIES INC CL A,10.85
20201103,69608A108,PLTR,100.0,PALANTIR TECHNOLOGIES INC CL A,10.54
20201104,69608A108,PLTR,1250.0,PALANTIR TECHNOLOGIES INC CL A,10.5
20201105,69608A108,PLTR,258691.0,PALANTIR TECHNOLOGIES INC CL A,10.72
20201109,69608A108,PLTR,168710.0,PALANTIR TECHNOLOGIES INC CL A,13.83
20201112,69608A108,PLTR,72335.0,PALANTIR TECHNOLOGIES INC CL A,15.96
20201116,69608A108,PLTR,1000.0,PALANTIR TECHNOLOGIES INC CL A,15.8
20201117,69608A108,PLTR,265006.0,PALANTIR TECHNOLOGIES INC CL A,15.93
20201118,69608A108,PLTR,8020669.0,PALANTIR TECHNOLOGIES INC CL A,17.85
20201119,69608A108,PLTR,37443.0,PALANTIR TECHNOLOGIES INC CL A,17.9
20201120,69608A108,PLTR,248721.0,PALANTIR TECHNOLOGIES INC CL A,18.98
20201123,69608A108,PLTR,226671.0,PALANTIR TECHNOLOGIES INC CL A,18.15
20201124,69608A108,PLTR,4686841.0,PALANTIR TECHNOLOGIES INC CL A,21.04
20201125,69608A108,PLTR,707568.0,PALANTIR TECHNOLOGIES INC CL A,23.82
20201127,69608A108,PLTR,363333.0,PALANTIR TECHNOLOGIES INC CL A,29.05
20201130,69608A108,PLTR,1223389.0,PALANTIR TECHNOLOGIES INC CL A,27.66
20201201,69608A108,PLTR,223651.0,PALANTIR TECHNOLOGIES INC CL A,27.11
20201202,69608A108,PLTR,636043.0,PALANTIR TECHNOLOGIES INC CL A,25.67
20201203,69608A108,PLTR,167341.0,PALANTIR TECHNOLOGIES INC CL A,22.51
20201204,69608A108,PLTR,249573.0,PALANTIR TECHNOLOGIES INC CL A,24.03
20201207,69608A108,PLTR,69343.0,PALANTIR TECHNOLOGIES INC CL A,23.85
20201208,69608A108,PLTR,55099.0,PALANTIR TECHNOLOGIES INC CL A,28.94
20201209,69608A108,PLTR,226164.0,PALANTIR TECHNOLOGIES INC CL A,28.59
20201210,69608A108,PLTR,45824.0,PALANTIR TECHNOLOGIES INC CL A,26.63
20201211,69608A108,PLTR,686461.0,PALANTIR TECHNOLOGIES INC CL A,27.04
20201214,69608A108,PLTR,250740.0,PALANTIR TECHNOLOGIES INC CL A,27.2
20201215,69608A108,PLTR,227649.0,PALANTIR TECHNOLOGIES INC CL A,27.24
20201216,69608A108,PLTR,543386.0,PALANTIR TECHNOLOGIES INC CL A,26.43
20201217,69608A108,PLTR,16572.0,PALANTIR TECHNOLOGIES INC CL A,25.92
20201218,69608A108,PLTR,17530.0,PALANTIR TECHNOLOGIES INC CL A,27.23
20201221,69608A108,PLTR,890657.0,PALANTIR TECHNOLOGIES INC CL A,25.97
20201222,69608A108,PLTR,2638041.0,PALANTIR TECHNOLOGIES INC CL A,28.51
20201223,69608A108,PLTR,162212.0,PALANTIR TECHNOLOGIES INC CL A,28.04
20201224,69608A108,PLTR,71341.0,PALANTIR TECHNOLOGIES INC CL A,28.69
20201228,69608A108,PLTR,114252.0,PALANTIR TECHNOLOGIES INC CL A,27.75
20201229,69608A108,PLTR,112547.0,PALANTIR TECHNOLOGIES INC CL A,25.63
20201230,69608A108,PLTR,148.0,PALANTIR TECHNOLOGIES INC CL A,24.66
20201231,69608A108,PLTR,56668.0,PALANTIR TECHNOLOGIES INC CL A,25.1
20210104,69608A108,PLTR,237986.0,PALANTIR TECHNOLOGIES INC CL A,23.55
20210105,69608A108,PLTR,673714.0,PALANTIR TECHNOLOGIES INC CL A,23.37
20210106,69608A108,PLTR,207055.0,PALANTIR TECHNOLOGIES INC CL A,24.6
20210107,69608A108,PLTR,193656.0,PALANTIR TECHNOLOGIES INC CL A,23.54
20210108,69608A108,PLTR,218901.0,PALANTIR TECHNOLOGIES INC CL A,25.0
20210111,69608A108,PLTR,684687.0,PALANTIR TECHNOLOGIES INC CL A,25.2
20210112,69608A108,PLTR,659322.0,PALANTIR TECHNOLOGIES INC CL A,25.93
20210113,69608A108,PLTR,852932.0,PALANTIR TECHNOLOGIES INC CL A,26.18
20210114,69608A108,PLTR,549219.0,PALANTIR TECHNOLOGIES INC CL A,25.5
20210115,69608A108,PLTR,220456.0,PALANTIR TECHNOLOGIES INC CL A,24.92
20210119,69608A108,PLTR,399177.0,PALANTIR TECHNOLOGIES INC CL A,25.64
20210120,69608A108,PLTR,251410.0,PALANTIR TECHNOLOGIES INC CL A,26.62
20210121,69608A108,PLTR,274722.0,PALANTIR TECHNOLOGIES INC CL A,26.34
20210122,69608A108,PLTR,589570.0,PALANTIR TECHNOLOGIES INC CL A,25.98
20210125,69608A108,PLTR,408593.0,PALANTIR TECHNOLOGIES INC CL A,32.58
20210126,69608A108,PLTR,281930.0,PALANTIR TECHNOLOGIES INC CL A,36.23
20210127,69608A108,PLTR,185430.0,PALANTIR TECHNOLOGIES INC CL A,35.37
20210128,69608A108,PLTR,138338.0,PALANTIR TECHNOLOGIES INC CL A,39.0
20210129,69608A108,PLTR,214406.0,PALANTIR TECHNOLOGIES INC CL A,35.66
20210201,69608A108,PLTR,10935.0,PALANTIR TECHNOLOGIES INC CL A,35.18
20210202,69608A108,PLTR,125027.0,PALANTIR TECHNOLOGIES INC CL A,33.96
20210203,69608A108,PLTR,110513.0,PALANTIR TECHNOLOGIES INC CL A,31.02
20210205,69608A108,PLTR,141422.0,PALANTIR TECHNOLOGIES INC CL A,32.05
20210208,69608A108,PLTR,510525.0,PALANTIR TECHNOLOGIES INC CL A,34.05
20210209,69608A108,PLTR,1423772.0,PALANTIR TECHNOLOGIES INC CL A,36.05
20210210,69608A108,PLTR,974892.0,PALANTIR TECHNOLOGIES INC CL A,38.17
20210211,69608A108,PLTR,561144.0,PALANTIR TECHNOLOGIES INC CL A,35.7
20210212,69608A108,PLTR,825158.0,PALANTIR TECHNOLOGIES INC CL A,33.11
20210216,69608A108,PLTR,800754.0,PALANTIR TECHNOLOGIES INC CL A,31.91
20210217,69608A108,PLTR,3221477.0,PALANTIR TECHNOLOGIES INC CL A,27.84
20210218,69608A108,PLTR,8751158.0,PALANTIR TECHNOLOGIES INC CL A,27.08
20210219,69608A108,PLTR,20306143.0,PALANTIR TECHNOLOGIES INC CL A,25.17
20210222,69608A108,PLTR,7767586.0,PALANTIR TECHNOLOGIES INC CL A,29.0
20210223,69608A108,PLTR,2010182.0,PALANTIR TECHNOLOGIES INC CL A,28.0
20210224,69608A108,PLTR,6732125.0,PALANTIR TECHNOLOGIES INC CL A,26.75
20210225,69608A108,PLTR,220317.0,PALANTIR TECHNOLOGIES INC CL A,26.39
20210226,69608A108,PLTR,1800.0,PALANTIR TECHNOLOGIES INC CL A,23.96
20210302,69608A108,PLTR,2704493.0,PALANTIR TECHNOLOGIES INC CL A,24.81
20210303,69608A108,PLTR,836526.0,PALANTIR TECHNOLOGIES INC CL A,24.48
20210304,69608A108,PLTR,1889882.0,PALANTIR TECHNOLOGIES INC CL A,23.59
20210305,69608A108,PLTR,332295.0,PALANTIR TECHNOLOGIES INC CL A,24.73
20210308,69608A108,PLTR,1989614.0,PALANTIR TECHNOLOGIES INC CL A,23.95
20210309,69608A108,PLTR,59725.0,PALANTIR TECHNOLOGIES INC CL A,22.52
20210310,69608A108,PLTR,881.0,PALANTIR TECHNOLOGIES INC CL A,24.26
20210311,69608A108,PLTR,1241.0,PALANTIR TECHNOLOGIES INC CL A,24.75
20210312,69608A108,PLTR,42173.0,PALANTIR TECHNOLOGIES INC CL A,26.73
20210315,69608A108,PLTR,22611.0,PALANTIR TECHNOLOGIES INC CL A,26.92
20210316,69608A108,PLTR,84904.0,PALANTIR TECHNOLOGIES INC CL A,26.79
20210317,69608A108,PLTR,197828.0,PALANTIR TECHNOLOGIES INC CL A,25.61
20210319,69608A108,PLTR,2381836.0,PALANTIR TECHNOLOGIES INC CL A,23.98
20210323,69608A108,PLTR,35305.0,PALANTIR TECHNOLOGIES INC CL A,24.22
20210325,69608A108,PLTR,138565.0,PALANTIR TECHNOLOGIES INC CL A,21.88
20210326,69608A108,PLTR,747.0,PALANTIR TECHNOLOGIES INC CL A,22.58
20210329,69608A108,PLTR,16169.0,PALANTIR TECHNOLOGIES INC CL A,22.58
20210331,69608A108,PLTR,155941.0,PALANTIR TECHNOLOGIES INC CL A,22.04
20210405,69608A108,PLTR,110813.0,PALANTIR TECHNOLOGIES INC CL A,23.07
20210406,69608A108,PLTR,181805.0,PALANTIR TECHNOLOGIES INC CL A,23.44
20210408,69608A108,PLTR,791.0,PALANTIR TECHNOLOGIES INC CL A,22.9
20210409,69608A108,PLTR,197419.0,PALANTIR TECHNOLOGIES INC CL A,23.41
20210412,69608A108,PLTR,294438.0,PALANTIR TECHNOLOGIES INC CL A,24.04
20210413,69608A108,PLTR,20697.0,PALANTIR TECHNOLOGIES INC CL A,23.34
20210414,69608A108,PLTR,544424.0,PALANTIR TECHNOLOGIES INC CL A,25.42
20210415,69608A108,PLTR,15027.0,PALANTIR TECHNOLOGIES INC CL A,23.7
20210416,69608A108,PLTR,1980.0,PALANTIR TECHNOLOGIES INC CL A,23.15
20210419,69608A108,PLTR,500.0,PALANTIR TECHNOLOGIES INC CL A,22.47
20210420,69608A108,PLTR,764.0,PALANTIR TECHNOLOGIES INC CL A,21.94
20210422,69608A108,PLTR,73023.0,PALANTIR TECHNOLOGIES INC CL A,22.63
20210423,69608A108,PLTR,184982.0,PALANTIR TECHNOLOGIES INC CL A,22.86
20210426,69608A108,PLTR,155631.0,PALANTIR TECHNOLOGIES INC CL A,23.41
20210427,69608A108,PLTR,132732.0,PALANTIR TECHNOLOGIES INC CL A,24.11
20210428,69608A108,PLTR,131344.0,PALANTIR TECHNOLOGIES INC CL A,23.88
20210503,69608A108,PLTR,7457.0,PALANTIR TECHNOLOGIES INC CL A,23.04
20210505,69608A108,PLTR,11072.0,PALANTIR TECHNOLOGIES INC CL A,21.64
20210507,69608A108,PLTR,1453.0,PALANTIR TECHNOLOGIES INC CL A,20.09
20210511,69608A108,PLTR,317550.0,PALANTIR TECHNOLOGIES INC CL A,18.47
20210513,69608A108,PLTR,4500.0,PALANTIR TECHNOLOGIES INC CL A,18.89
20210514,69608A108,PLTR,890525.0,PALANTIR TECHNOLOGIES INC CL A,18.37
20210517,69608A108,PLTR,939471.0,PALANTIR TECHNOLOGIES INC CL A,20.08
20210518,69608A108,PLTR,2085602.0,PALANTIR TECHNOLOGIES INC CL A,20.46
20210519,69608A108,PLTR,111568.0,PALANTIR TECHNOLOGIES INC CL A,21.24
20210520,69608A108,PLTR,32615.0,PALANTIR TECHNOLOGIES INC CL A,20.67
20210524,69608A108,PLTR,2483214.0,PALANTIR TECHNOLOGIES INC CL A,20.75
20210525,69608A108,PLTR,135246.0,PALANTIR TECHNOLOGIES INC CL A,21.22
20210526,69608A108,PLTR,376412.0,PALANTIR TECHNOLOGIES INC CL A,21.48
20210527,69608A108,PLTR,311082.0,PALANTIR TECHNOLOGIES INC CL A,22.12
20210528,69608A108,PLTR,61434.0,PALANTIR TECHNOLOGIES INC CL A,22.7
20210601,69608A108,PLTR,100.0,PALANTIR TECHNOLOGIES INC CL A,22.95
20210602,69608A108,PLTR,36753.0,PALANTIR TECHNOLOGIES INC CL A,23.06
20210603,69608A108,PLTR,16392.0,PALANTIR TECHNOLOGIES INC CL A,24.45
20210604,69608A108,PLTR,47558.0,PALANTIR TECHNOLOGIES INC CL A,23.63
20210607,69608A108,PLTR,17779.0,PALANTIR TECHNOLOGIES INC CL A,24.03
20210608,69608A108,PLTR,54294.0,PALANTIR TECHNOLOGIES INC CL A,24.46
20210609,69608A108,PLTR,52484.0,PALANTIR TECHNOLOGIES INC CL A,24.38
