SETTLEMENT DATE,CUSIP,SYMBOL,QUANTITY (FAILS),DESCRIPTION,PRICE
20200602,70450Y103,PYPL,500.0,PAYPAL HLDGS INC COM,154.53
20200603,70450Y103,PYPL,52253.0,PAYPAL HLDGS INC COM,157.49
20200604,70450Y103,PYPL,40.0,PAYPAL HLDGS INC COM,156.78
20200609,70450Y103,PYPL,1208.0,PAYPAL HLDGS INC COM,156.09
20200610,70450Y103,PYPL,991.0,PAYPAL HLDGS INC COM,156.86
20200611,70450Y103,PYPL,2124.0,PAYPAL HLDGS INC COM,159.91
20200612,70450Y103,PYPL,1497.0,PAYPAL HLDGS INC COM,153.04
20200615,70450Y103,PYPL,11711.0,PAYPAL HLDGS INC COM,155.26
20200616,70450Y103,PYPL,1087.0,PAYPAL HLDGS INC COM,157.55
20200618,70450Y103,PYPL,4278.0,PAYPAL HLDGS INC COM,163.83
20200619,70450Y103,PYPL,37337.0,PAYPAL HLDGS INC COM,168.05
20200623,70450Y103,PYPL,145183.0,PAYPAL HLDGS INC COM,170.26
20200625,70450Y103,PYPL,8657.0,PAYPAL HLDGS INC COM,168.0
20200626,70450Y103,PYPL,14967.0,PAYPAL HLDGS INC COM,172.5
20200630,70450Y103,PYPL,5.0,PAYPAL HLDGS INC COM,168.35
20200706,70450Y103,PYPL,889.0,PAYPAL HLDGS INC COM,177.21
20200708,70450Y103,PYPL,13424.0,PAYPAL HLDGS INC COM,177.28
20200710,70450Y103,PYPL,12.0,PAYPAL HLDGS INC COM,183.23
20200713,70450Y103,PYPL,470.0,PAYPAL HLDGS INC COM,178.4
20200715,70450Y103,PYPL,4.0,PAYPAL HLDGS INC COM,172.3
20200717,70450Y103,PYPL,3769.0,PAYPAL HLDGS INC COM,169.81
20200720,70450Y103,PYPL,16124.0,PAYPAL HLDGS INC COM,173.92
20200721,70450Y103,PYPL,2634.0,PAYPAL HLDGS INC COM,178.82
20200722,70450Y103,PYPL,1434.0,PAYPAL HLDGS INC COM,175.58
20200723,70450Y103,PYPL,10.0,PAYPAL HLDGS INC COM,178.42
20200724,70450Y103,PYPL,15.0,PAYPAL HLDGS INC COM,173.86
20200727,70450Y103,PYPL,520.0,PAYPAL HLDGS INC COM,172.56
20200728,70450Y103,PYPL,8900.0,PAYPAL HLDGS INC COM,177.98
