SETTLEMENT DATE,CUSIP,SYMBOL,QUANTITY (FAILS),DESCRIPTION,PRICE
20200601,4.609e+107,QQQ,13789.0,INVESCO QQQ TR,233.36
20200602,4.609e+107,QQQ,16433.0,INVESCO QQQ TR,234.06
20200603,4.609e+107,QQQ,387398.0,INVESCO QQQ TR,235.63
20200604,4.609e+107,QQQ,443299.0,INVESCO QQQ TR,236.69
20200605,4.609e+107,QQQ,563078.0,INVESCO QQQ TR,235.03
20200608,4.609e+107,QQQ,260003.0,INVESCO QQQ TR,239.69
20200609,4.609e+107,QQQ,3511.0,INVESCO QQQ TR,241.55
20200610,4.609e+107,QQQ,67682.0,INVESCO QQQ TR,243.3
20200611,4.609e+107,QQQ,63404.0,INVESCO QQQ TR,246.22
20200612,4.609e+107,QQQ,10736.0,INVESCO QQQ TR,234.02
20200615,4.609e+107,QQQ,67577.0,INVESCO QQQ TR,235.88
20200616,4.609e+107,QQQ,132020.0,INVESCO QQQ TR,238.75
20200617,4.609e+107,QQQ,29429.0,INVESCO QQQ TR,242.85
20200618,4.609e+107,QQQ,151460.0,INVESCO QQQ TR,243.62
20200619,4.609e+107,QQQ,480138.0,INVESCO QQQ TR,244.28
20200622,4.609e+107,QQQ,197193.0,INVESCO QQQ TR,244.24
20200623,4.609e+107,QQQ,568220.0,INVESCO QQQ TR,246.74
20200624,4.609e+107,QQQ,109915.0,INVESCO QQQ TR,248.84
20200625,4.609e+107,QQQ,33599.0,INVESCO QQQ TR,243.71
20200626,4.609e+107,QQQ,112028.0,INVESCO QQQ TR,246.03
20200629,4.609e+107,QQQ,45893.0,INVESCO QQQ TR,240.22
20200630,4.609e+107,QQQ,3423.0,INVESCO QQQ TR,242.84
20200701,4.609e+107,QQQ,11442.0,INVESCO QQQ TR,247.6
20200702,4.609e+107,QQQ,54469.0,INVESCO QQQ TR,250.49
20200706,4.609e+107,QQQ,1915.0,INVESCO QQQ TR,252.19
20200707,4.609e+107,QQQ,2367.0,INVESCO QQQ TR,258.39
20200708,4.609e+107,QQQ,19.0,INVESCO QQQ TR,256.61
20200709,4.609e+107,QQQ,98218.0,INVESCO QQQ TR,259.99
20200710,4.609e+107,QQQ,10110.0,INVESCO QQQ TR,262.18
20200713,4.609e+107,QQQ,60368.0,INVESCO QQQ TR,263.97
20200714,4.609e+107,QQQ,128115.0,INVESCO QQQ TR,258.54
20200715,4.609e+107,QQQ,8850.0,INVESCO QQQ TR,260.37
20200716,4.609e+107,QQQ,360961.0,INVESCO QQQ TR,260.9
20200717,4.609e+107,QQQ,2544.0,INVESCO QQQ TR,259.12
20200720,4.609e+107,QQQ,281389.0,INVESCO QQQ TR,259.42
20200721,4.609e+107,QQQ,1928.0,INVESCO QQQ TR,266.78
20200722,4.609e+107,QQQ,2585.0,INVESCO QQQ TR,264.0
20200723,4.609e+107,QQQ,4623.0,INVESCO QQQ TR,264.93
20200724,4.609e+107,QQQ,175228.0,INVESCO QQQ TR,258.01
20200727,4.609e+107,QQQ,97950.0,INVESCO QQQ TR,255.56
20200728,4.609e+107,QQQ,341777.0,INVESCO QQQ TR,260.12
20200729,4.609e+107,QQQ,70395.0,INVESCO QQQ TR,256.81
20200730,4.609e+107,QQQ,6044.0,INVESCO QQQ TR,259.77
20200731,4.609e+107,QQQ,124894.0,INVESCO QQQ TR,261.13
20200803,4.609e+107,QQQ,62402.0,INVESCO QQQ TR,265.79
20200804,4.609e+107,QQQ,1954231.0,INVESCO QQQ TR,269.38
20200805,4.609e+107,QQQ,21224.0,INVESCO QQQ TR,270.38
20200806,4.609e+107,QQQ,161981.0,INVESCO QQQ TR,271.05
20200807,4.609e+107,QQQ,4093.0,INVESCO QQQ TR,274.64
20200810,4.609e+107,QQQ,8375.0,INVESCO QQQ TR,271.47
20200811,4.609e+107,QQQ,8456.0,INVESCO QQQ TR,270.31
20200812,4.609e+107,QQQ,36228.0,INVESCO QQQ TR,265.19
20200813,4.609e+107,QQQ,12278.0,INVESCO QQQ TR,271.86
20200814,4.609e+107,QQQ,35552.0,INVESCO QQQ TR,272.48
20200817,4.609e+107,QQQ,46567.0,INVESCO QQQ TR,272.16
20200818,4.609e+107,QQQ,37049.0,INVESCO QQQ TR,275.32
20200819,4.609e+107,QQQ,40201.0,INVESCO QQQ TR,277.97
20200820,4.609e+107,QQQ,978.0,INVESCO QQQ TR,276.1
20200821,4.609e+107,QQQ,362580.0,INVESCO QQQ TR,279.93
20200824,4.609e+107,QQQ,112294.0,INVESCO QQQ TR,281.87
20200825,4.609e+107,QQQ,425489.0,INVESCO QQQ TR,283.63
20200826,4.609e+107,QQQ,6313.0,INVESCO QQQ TR,285.86
20200827,4.609e+107,QQQ,265802.0,INVESCO QQQ TR,291.96
20200828,4.609e+107,QQQ,48573.0,INVESCO QQQ TR,291.05
20200831,4.609e+107,QQQ,280221.0,INVESCO QQQ TR,292.53
20200901,4.609e+107,QQQ,64672.0,INVESCO QQQ TR,294.88
20200902,4.609e+107,QQQ,24929.0,INVESCO QQQ TR,299.92
20200903,4.609e+107,QQQ,189862.0,INVESCO QQQ TR,302.76
20200904,4.609e+107,QQQ,902.0,INVESCO QQQ TR,287.41
20200908,4.609e+107,QQQ,1265948.0,INVESCO QQQ TR,283.58
20200909,4.609e+107,QQQ,20571.0,INVESCO QQQ TR,269.95
20200910,4.609e+107,QQQ,50763.0,INVESCO QQQ TR,277.88
20200911,4.609e+107,QQQ,24027.0,INVESCO QQQ TR,272.34
20200914,4.609e+107,QQQ,474523.0,INVESCO QQQ TR,270.45
20200915,4.609e+107,QQQ,4529367.0,INVESCO QQQ TR,275.16
20200916,4.609e+107,QQQ,2872432.0,INVESCO QQQ TR,279.06
20200917,4.609e+107,QQQ,2712217.0,INVESCO QQQ TR,274.61
20200918,4.609e+107,QQQ,4060645.0,INVESCO QQQ TR,270.32
20200921,4.609e+107,QQQ,3742298.0,INVESCO QQQ TR,266.87
20200922,4.609e+107,QQQ,9273869.0,INVESCO QQQ TR,267.51
20200923,4.609e+107,QQQ,236288.0,INVESCO QQQ TR,272.48
20200924,4.609e+107,QQQ,14212.0,INVESCO QQQ TR,264.16
20200925,4.609e+107,QQQ,418962.0,INVESCO QQQ TR,265.39
20200928,4.609e+107,QQQ,58401.0,INVESCO QQQ TR,271.56
20200929,4.609e+107,QQQ,35537.0,INVESCO QQQ TR,277.2
20200930,4.609e+107,QQQ,4964.0,INVESCO QQQ TR,275.95
20201001,4.609e+107,QQQ,40397.0,INVESCO QQQ TR,277.84
20201002,4.609e+107,QQQ,57438.0,INVESCO QQQ TR,282.25
20201005,4.609e+107,QQQ,45626.0,INVESCO QQQ TR,274.31
20201006,4.609e+107,QQQ,3251.0,INVESCO QQQ TR,280.16
20201007,4.609e+107,QQQ,793.0,INVESCO QQQ TR,275.16
20201008,4.609e+107,QQQ,241785.0,INVESCO QQQ TR,279.92
20201009,4.609e+107,QQQ,129624.0,INVESCO QQQ TR,281.41
20201013,4.609e+107,QQQ,11949.0,INVESCO QQQ TR,294.53
20201014,4.609e+107,QQQ,15913.0,INVESCO QQQ TR,294.52
20201015,4.609e+107,QQQ,2272.0,INVESCO QQQ TR,292.06
20201016,4.609e+107,QQQ,29410.0,INVESCO QQQ TR,290.1
20201019,4.609e+107,QQQ,20128.0,INVESCO QQQ TR,288.51
20201020,4.609e+107,QQQ,124764.0,INVESCO QQQ TR,283.8
20201021,4.609e+107,QQQ,53619.0,INVESCO QQQ TR,284.41
20201022,4.609e+107,QQQ,61355.0,INVESCO QQQ TR,284.19
20201023,4.609e+107,QQQ,8711.0,INVESCO QQQ TR,284.18
20201027,4.609e+107,QQQ,421.0,INVESCO QQQ TR,280.47
20201028,4.609e+107,QQQ,2020.0,INVESCO QQQ TR,282.66
20201029,4.609e+107,QQQ,35389.0,INVESCO QQQ TR,271.64
20201030,4.609e+107,QQQ,62863.0,INVESCO QQQ TR,276.39
20201102,4.609e+107,QQQ,22077.0,INVESCO QQQ TR,269.38
20201103,4.609e+107,QQQ,889126.0,INVESCO QQQ TR,269.98
20201104,4.609e+107,QQQ,181805.0,INVESCO QQQ TR,274.65
20201105,4.609e+107,QQQ,1353467.0,INVESCO QQQ TR,286.91
20201106,4.609e+107,QQQ,103345.0,INVESCO QQQ TR,294.39
20201109,4.609e+107,QQQ,7247.0,INVESCO QQQ TR,294.61
20201110,4.609e+107,QQQ,12487.0,INVESCO QQQ TR,288.59
20201112,4.609e+107,QQQ,12130.0,INVESCO QQQ TR,289.76
20201113,4.609e+107,QQQ,337889.0,INVESCO QQQ TR,288.4
20201116,4.609e+107,QQQ,134893.0,INVESCO QQQ TR,290.93
20201117,4.609e+107,QQQ,425181.0,INVESCO QQQ TR,293.2
20201118,4.609e+107,QQQ,6681.0,INVESCO QQQ TR,292.27
20201119,4.609e+107,QQQ,65649.0,INVESCO QQQ TR,290.11
20201120,4.609e+107,QQQ,123541.0,INVESCO QQQ TR,292.38
20201123,4.609e+107,QQQ,44751.0,INVESCO QQQ TR,290.38
20201124,4.609e+107,QQQ,6571.0,INVESCO QQQ TR,290.39
20201125,4.609e+107,QQQ,594.0,INVESCO QQQ TR,294.47
20201127,4.609e+107,QQQ,11689.0,INVESCO QQQ TR,296.28
20201130,4.609e+107,QQQ,53.0,INVESCO QQQ TR,299.01
20201201,4.609e+107,QQQ,16104.0,INVESCO QQQ TR,299.62
20201202,4.609e+107,QQQ,37777.0,INVESCO QQQ TR,303.46
20201203,4.609e+107,QQQ,5752.0,INVESCO QQQ TR,303.85
20201204,4.609e+107,QQQ,30649.0,INVESCO QQQ TR,304.28
20201207,4.609e+107,QQQ,9435.0,INVESCO QQQ TR,305.52
20201208,4.609e+107,QQQ,26942.0,INVESCO QQQ TR,307.25
20201209,4.609e+107,QQQ,3.0,INVESCO QQQ TR,308.29
20201210,4.609e+107,QQQ,9.0,INVESCO QQQ TR,301.31
20201211,4.609e+107,QQQ,532528.0,INVESCO QQQ TR,302.52
20201214,4.609e+107,QQQ,213232.0,INVESCO QQQ TR,301.85
20201215,4.609e+107,QQQ,11895.0,INVESCO QQQ TR,304.04
20201216,4.609e+107,QQQ,686592.0,INVESCO QQQ TR,307.29
20201217,4.609e+107,QQQ,178361.0,INVESCO QQQ TR,308.98
20201218,4.609e+107,QQQ,330671.0,INVESCO QQQ TR,311.0
20201221,4.609e+107,QQQ,1707291.0,INVESCO QQQ TR,310.06
20201222,4.609e+107,QQQ,1349491.0,INVESCO QQQ TR,308.92
20201223,4.609e+107,QQQ,5390.0,INVESCO QQQ TR,309.76
20201224,4.609e+107,QQQ,43927.0,INVESCO QQQ TR,308.2
20201228,4.609e+107,QQQ,172.0,INVESCO QQQ TR,309.56
20201229,4.609e+107,QQQ,1873.0,INVESCO QQQ TR,312.68
20201230,4.609e+107,QQQ,86673.0,INVESCO QQQ TR,312.96
20201231,4.609e+107,QQQ,1778.0,INVESCO QQQ TR,312.97
20210104,4.609e+107,QQQ,2930.0,INVESCO QQQ TR,313.74
20210105,4.609e+107,QQQ,23266.0,INVESCO QQQ TR,309.31
20210106,4.609e+107,QQQ,97537.0,INVESCO QQQ TR,311.86
20210107,4.609e+107,QQQ,853202.0,INVESCO QQQ TR,307.54
20210108,4.609e+107,QQQ,133818.0,INVESCO QQQ TR,314.98
