SETTLEMENT DATE,CUSIP,SYMBOL,QUANTITY (FAILS),DESCRIPTION,PRICE
20210312,771049103,RBLX,10203610.0,ROBLOX CORP COM CL A,73.9
20210315,771049103,RBLX,1392685.0,ROBLOX CORP COM CL A,69.7
20210316,771049103,RBLX,170.0,ROBLOX CORP COM CL A,72.15
20210319,771049103,RBLX,12612.0,ROBLOX CORP COM CL A,67.3
20210322,771049103,RBLX,59.0,ROBLOX CORP COM CL A,70.5
20210323,771049103,RBLX,66276.0,ROBLOX CORP COM CL A,70.0
20210324,771049103,RBLX,61177.0,ROBLOX CORP COM CL A,68.0
20210325,771049103,RBLX,136502.0,ROBLOX CORP COM CL A,64.5
20210326,771049103,RBLX,169.0,ROBLOX CORP COM CL A,67.85
20210329,771049103,RBLX,61732.0,ROBLOX CORP COM CL A,70.97
20210330,771049103,RBLX,67915.0,ROBLOX CORP COM CL A,67.03
20210331,771049103,RBLX,191617.0,ROBLOX CORP COM CL A,65.17
20210401,771049103,RBLX,204932.0,ROBLOX CORP COM CL A,64.83
20210405,771049103,RBLX,54028.0,ROBLOX CORP COM CL A,67.34
20210406,771049103,RBLX,56316.0,ROBLOX CORP COM CL A,70.76
20210408,771049103,RBLX,7234.0,ROBLOX CORP COM CL A,68.73
20210409,771049103,RBLX,2387.0,ROBLOX CORP COM CL A,70.76
20210412,771049103,RBLX,124350.0,ROBLOX CORP COM CL A,71.83
20210413,771049103,RBLX,130535.0,ROBLOX CORP COM CL A,75.0
20210414,771049103,RBLX,13690.0,ROBLOX CORP COM CL A,82.05
20210415,771049103,RBLX,466092.0,ROBLOX CORP COM CL A,75.35
20210419,771049103,RBLX,184571.0,ROBLOX CORP COM CL A,75.85
20210423,771049103,RBLX,33559.0,ROBLOX CORP COM CL A,69.85
20210426,771049103,RBLX,748.0,ROBLOX CORP COM CL A,71.78
20210427,771049103,RBLX,15938.0,ROBLOX CORP COM CL A,74.9
20210428,771049103,RBLX,87247.0,ROBLOX CORP COM CL A,74.35
20210429,771049103,RBLX,77.0,ROBLOX CORP COM CL A,75.64
20210430,771049103,RBLX,727.0,ROBLOX CORP COM CL A,76.12
20210504,771049103,RBLX,700.0,ROBLOX CORP COM CL A,71.08
20210511,771049103,RBLX,2550.0,ROBLOX CORP COM CL A,64.0
20210513,771049103,RBLX,169872.0,ROBLOX CORP COM CL A,75.53
20210514,771049103,RBLX,1046872.0,ROBLOX CORP COM CL A,69.68
20210517,771049103,RBLX,917393.0,ROBLOX CORP COM CL A,70.95
20210518,771049103,RBLX,688435.0,ROBLOX CORP COM CL A,76.93
20210519,771049103,RBLX,1441816.0,ROBLOX CORP COM CL A,74.99
20210520,771049103,RBLX,19229.0,ROBLOX CORP COM CL A,75.22
20210521,771049103,RBLX,1218178.0,ROBLOX CORP COM CL A,76.33
20210524,771049103,RBLX,856466.0,ROBLOX CORP COM CL A,82.50
20210525,771049103,RBLX,866294.0,ROBLOX CORP COM CL A,89.23
20210526,771049103,RBLX,708059.0,ROBLOX CORP COM CL A,89.32
20210527,771049103,RBLX,738106.0,ROBLOX CORP COM CL A,89.71
20210528,771049103,RBLX,670218.0,ROBLOX CORP COM CL A,97.47
