SETTLEMENT DATE,CUSIP,SYMBOL,QUANTITY (FAILS),DESCRIPTION,PRICE
20210601,54405Q100,RIDE,1105952.0,LORDSTOWN MTRS CORP COM CL A (,9.90
20210602,54405Q100,RIDE,289768.0,LORDSTOWN MTRS CORP COM CL A (,10.33
20210603,54405Q100,RIDE,199808.0,LORDSTOWN MTRS CORP COM CL A (,12.37
20210604,54405Q100,RIDE,638008.0,LORDSTOWN MTRS CORP COM CL A (,13.15
20210607,54405Q100,RIDE,1031229.0,LORDSTOWN MTRS CORP COM CL A (,12.52
20210608,54405Q100,RIDE,81206.0,LORDSTOWN MTRS CORP COM CL A (,13.40
20210609,54405Q100,RIDE,63749.0,LORDSTOWN MTRS CORP COM CL A (,11.22
20210610,54405Q100,RIDE,186025.0,LORDSTOWN MTRS CORP COM CL A (,11.23
20210611,54405Q100,RIDE,30884.0,LORDSTOWN MTRS CORP COM CL A (,10.60
20210614,54405Q100,RIDE,206522.0,LORDSTOWN MTRS CORP COM CL A (,11.41
