SETTLEMENT DATE,CUSIP,SYMBOL,QUANTITY (FAILS),DESCRIPTION,PRICE
20200601,767292105,RIOT,69051.0,RIOT BLOCKCHAIN INC COM,2.14
20200602,767292105,RIOT,190100.0,RIOT BLOCKCHAIN INC COM,2.27
20200603,767292105,RIOT,149786.0,RIOT BLOCKCHAIN INC COM,2.51
20200604,767292105,RIOT,1400.0,RIOT BLOCKCHAIN INC COM,2.41
20200605,767292105,RIOT,30483.0,RIOT BLOCKCHAIN INC COM,2.63
20200608,767292105,RIOT,192422.0,RIOT BLOCKCHAIN INC COM,2.6
20200609,767292105,RIOT,9911.0,RIOT BLOCKCHAIN INC COM,2.57
20200610,767292105,RIOT,29311.0,RIOT BLOCKCHAIN INC COM,2.62
20200611,767292105,RIOT,68374.0,RIOT BLOCKCHAIN INC COM,3.1
20200615,767292105,RIOT,34942.0,RIOT BLOCKCHAIN INC COM,2.29
20200616,767292105,RIOT,354311.0,RIOT BLOCKCHAIN INC COM,2.31
20200617,767292105,RIOT,157606.0,RIOT BLOCKCHAIN INC COM,2.35
20200618,767292105,RIOT,473361.0,RIOT BLOCKCHAIN INC COM,2.27
20200619,767292105,RIOT,337366.0,RIOT BLOCKCHAIN INC COM,2.19
20200622,767292105,RIOT,179345.0,RIOT BLOCKCHAIN INC COM,2.11
20200623,767292105,RIOT,240109.0,RIOT BLOCKCHAIN INC COM,2.51
20200624,767292105,RIOT,97642.0,RIOT BLOCKCHAIN INC COM,2.6
20200625,767292105,RIOT,174802.0,RIOT BLOCKCHAIN INC COM,2.37
20200626,767292105,RIOT,225942.0,RIOT BLOCKCHAIN INC COM,2.33
20200629,767292105,RIOT,111452.0,RIOT BLOCKCHAIN INC COM,2.2
20200630,767292105,RIOT,133368.0,RIOT BLOCKCHAIN INC COM,2.14
20200701,767292105,RIOT,79325.0,RIOT BLOCKCHAIN INC COM,2.22
20200702,767292105,RIOT,298449.0,RIOT BLOCKCHAIN INC COM,2.34
20200706,767292105,RIOT,193172.0,RIOT BLOCKCHAIN INC COM,2.29
20200707,767292105,RIOT,161557.0,RIOT BLOCKCHAIN INC COM,2.38
20200708,767292105,RIOT,187210.0,RIOT BLOCKCHAIN INC COM,2.29
20200709,767292105,RIOT,6376.0,RIOT BLOCKCHAIN INC COM,2.54
20200710,767292105,RIOT,109732.0,RIOT BLOCKCHAIN INC COM,2.34
20200713,767292105,RIOT,19497.0,RIOT BLOCKCHAIN INC COM,2.33
20200714,767292105,RIOT,22806.0,RIOT BLOCKCHAIN INC COM,2.18
20200715,767292105,RIOT,272147.0,RIOT BLOCKCHAIN INC COM,2.25
20200716,767292105,RIOT,400803.0,RIOT BLOCKCHAIN INC COM,2.26
20200717,767292105,RIOT,434136.0,RIOT BLOCKCHAIN INC COM,2.22
20200720,767292105,RIOT,236214.0,RIOT BLOCKCHAIN INC COM,2.23
20200721,767292105,RIOT,308536.0,RIOT BLOCKCHAIN INC COM,2.26
20200722,767292105,RIOT,290551.0,RIOT BLOCKCHAIN INC COM,2.3
20200723,767292105,RIOT,451105.0,RIOT BLOCKCHAIN INC COM,2.34
20200724,767292105,RIOT,94534.0,RIOT BLOCKCHAIN INC COM,2.29
20200727,767292105,RIOT,26721.0,RIOT BLOCKCHAIN INC COM,2.22
20200728,767292105,RIOT,11403.0,RIOT BLOCKCHAIN INC COM,2.64
20200730,767292105,RIOT,1315040.0,RIOT BLOCKCHAIN INC COM,2.75
20200731,767292105,RIOT,1388854.0,RIOT BLOCKCHAIN INC COM,2.55
20200803,767292105,RIOT,17399.0,RIOT BLOCKCHAIN INC COM,2.64
20200804,767292105,RIOT,194511.0,RIOT BLOCKCHAIN INC COM,3.5
20200805,767292105,RIOT,444.0,RIOT BLOCKCHAIN INC COM,3.4
20200807,767292105,RIOT,2749.0,RIOT BLOCKCHAIN INC COM,4.25
20200810,767292105,RIOT,578726.0,RIOT BLOCKCHAIN INC COM,3.77
