SETTLEMENT DATE,CUSIP,SYMBOL,QUANTITY (FAILS),DESCRIPTION,PRICE
20200807,77311W101,RKT,5500.0,"ROCKET COMPANIES, INC. (DE)",21.51
20200810,77311W101,RKT,10583328.0,"ROCKET COMPANIES, INC. (DE)",24.9
20200811,77311W101,RKT,6901920.0,"ROCKET COMPANIES, INC. (DE)",21.67
20200812,77311W101,RKT,6602704.0,"ROCKET COMPANIES, INC. (DE)",20.58
20200813,77311W101,RKT,8051507.0,"ROCKET COMPANIES, INC. (DE)",20.0
20200814,77311W101,RKT,8559681.0,"ROCKET COMPANIES, INC. (DE)",18.74
20200817,77311W101,RKT,8186724.0,"ROCKET COMPANIES, INC. (DE)",18.96
20200818,77311W101,RKT,9558527.0,"ROCKET COMPANIES, INC. (DE)",19.04
20200819,77311W101,RKT,9458726.0,"ROCKET COMPANIES, INC. (DE)",20.14
20200820,77311W101,RKT,9670495.0,"ROCKET COMPANIES, INC. (DE)",21.4
20200821,77311W101,RKT,7640540.0,"ROCKET COMPANIES, INC. (DE)",23.79
20200824,77311W101,RKT,7249454.0,"ROCKET COMPANIES, INC. (DE)",25.89
20200825,77311W101,RKT,7079445.0,"ROCKET COMPANIES, INC. (DE)",29.11
20200826,77311W101,RKT,6940554.0,"ROCKET COMPANIES, INC. (DE)",28.61
20200827,77311W101,RKT,6939028.0,"ROCKET COMPANIES, INC. (DE)",27.32
20200828,77311W101,RKT,7004531.0,"ROCKET COMPANIES, INC. (DE)",27.1
20200831,77311W101,RKT,6951925.0,"ROCKET COMPANIES, INC. (DE)",28.42
20200901,77311W101,RKT,7001743.0,"ROCKET COMPANIES, INC. (DE)",28.0
20200902,77311W101,RKT,7969797.0,"ROCKET COMPANIES, INC. (DE)",30.71
20200903,77311W101,RKT,9750691.0,"ROCKET COMPANIES, INC. (DE)",31.31
20200904,77311W101,RKT,9814389.0,"ROCKET COMPANIES, INC. (DE)",26.5
20200908,77311W101,RKT,8850813.0,"ROCKET COMPANIES, INC. (DE)",24.57
20200909,77311W101,RKT,58114.0,"ROCKET COMPANIES, INC. (DE)",22.74
20200914,77311W101,RKT,25640.0,"ROCKET COMPANIES, INC. (DE)",22.75
20200916,77311W101,RKT,20296.0,"ROCKET COMPANIES, INC. (DE)",23.36
20200917,77311W101,RKT,82333.0,"ROCKET COMPANIES, INC. (DE)",22.72
20200918,77311W101,RKT,4866.0,"ROCKET COMPANIES, INC. (DE)",22.57
20200921,77311W101,RKT,1354.0,"ROCKET COMPANIES, INC. (DE)",22.27
20200922,77311W101,RKT,416062.0,"ROCKET COMPANIES, INC. (DE)",21.42
20200923,77311W101,RKT,11315.0,"ROCKET COMPANIES, INC. (DE)",21.57
20200924,77311W101,RKT,3497.0,"ROCKET COMPANIES, INC. (DE)",20.3
20200925,77311W101,RKT,309078.0,"ROCKET COMPANIES, INC. (DE)",20.06
20200928,77311W101,RKT,456748.0,"ROCKET COMPANIES, INC. (DE)",20.52
20200930,77311W101,RKT,14920.0,"ROCKET COMPANIES, INC. (DE)",20.07
20201002,77311W101,RKT,12612.0,"ROCKET COMPANIES, INC. (DE)",22.66
20201005,77311W101,RKT,92157.0,"ROCKET COMPANIES, INC. (DE)",23.0
20201006,77311W101,RKT,12986.0,"ROCKET COMPANIES, INC. (DE)",22.56
20201007,77311W101,RKT,83359.0,"ROCKET COMPANIES, INC. (DE)",21.72
20201008,77311W101,RKT,1430.0,"ROCKET COMPANIES, INC. (DE)",21.7
20201009,77311W101,RKT,928.0,"ROCKET COMPANIES, INC. (DE)",22.73
20201013,77311W101,RKT,5663.0,"ROCKET COMPANIES, INC. (DE)",23.14
20201014,77311W101,RKT,2810.0,"ROCKET COMPANIES, INC. (DE)",23.58
20201015,77311W101,RKT,141767.0,"ROCKET COMPANIES, INC. (DE)",22.76
20201016,77311W101,RKT,21239.0,"ROCKET COMPANIES, INC. (DE)",22.35
20201019,77311W101,RKT,8924.0,"ROCKET COMPANIES, INC. (DE)",21.91
20201020,77311W101,RKT,74964.0,"ROCKET COMPANIES, INC. (DE)",20.74
20201021,77311W101,RKT,8322.0,"ROCKET COMPANIES, INC. (DE)",20.56
20201022,77311W101,RKT,1006.0,"ROCKET COMPANIES, INC. (DE)",20.01
20201023,77311W101,RKT,152478.0,"ROCKET COMPANIES, INC. (DE)",20.25
20201026,77311W101,RKT,206.0,"ROCKET COMPANIES, INC. (DE)",20.57
20201027,77311W101,RKT,54704.0,"ROCKET COMPANIES, INC. (DE)",19.88
20201028,77311W101,RKT,172351.0,"ROCKET COMPANIES, INC. (DE)",20.11
20201029,77311W101,RKT,638.0,"ROCKET COMPANIES, INC. (DE)",18.65
20201030,77311W101,RKT,16511.0,"ROCKET COMPANIES, INC. (DE)",18.9
20201102,77311W101,RKT,5010.0,"ROCKET COMPANIES, INC. (DE)",18.23
20201103,77311W101,RKT,49718.0,"ROCKET COMPANIES, INC. (DE)",18.93
20201104,77311W101,RKT,46467.0,"ROCKET COMPANIES, INC. (DE)",19.38
20201105,77311W101,RKT,74367.0,"ROCKET COMPANIES, INC. (DE)",20.62
20201106,77311W101,RKT,28469.0,"ROCKET COMPANIES, INC. (DE)",20.95
20201109,77311W101,RKT,49132.0,"ROCKET COMPANIES, INC. (DE)",21.31
20201110,77311W101,RKT,76395.0,"ROCKET COMPANIES, INC. (DE)",21.45
20201112,77311W101,RKT,1301809.0,"ROCKET COMPANIES, INC. (DE)",21.06
20201113,77311W101,RKT,577204.0,"ROCKET COMPANIES, INC. (DE)",21.79
20201116,77311W101,RKT,272791.0,"ROCKET COMPANIES, INC. (DE)",21.85
20201117,77311W101,RKT,186415.0,"ROCKET COMPANIES, INC. (DE)",22.65
20201118,77311W101,RKT,250018.0,"ROCKET COMPANIES, INC. (DE)",22.2
20201119,77311W101,RKT,107800.0,"ROCKET COMPANIES, INC. (DE)",21.16
20201120,77311W101,RKT,56821.0,"ROCKET COMPANIES, INC. (DE)",21.26
20201123,77311W101,RKT,134677.0,"ROCKET COMPANIES, INC. (DE)",20.96
20201124,77311W101,RKT,85174.0,"ROCKET COMPANIES, INC. (DE)",20.3
20201125,77311W101,RKT,2341.0,"ROCKET COMPANIES, INC. (DE)",20.83
