SETTLEMENT DATE,CUSIP,SYMBOL,QUANTITY (FAILS),DESCRIPTION,PRICE
20200601,77543R102,ROKU,351.0,ROKU INC COM CL A,109.51
20200602,77543R102,ROKU,6822.0,ROKU INC COM CL A,112.95
20200610,77543R102,ROKU,4029.0,ROKU INC COM CL A,113.25
20200615,77543R102,ROKU,1114.0,ROKU INC COM CL A,108.07
20200618,77543R102,ROKU,17742.0,ROKU INC COM CL A,117.32
20200619,77543R102,ROKU,85.0,ROKU INC COM CL A,127.79
20200622,77543R102,ROKU,5394.0,ROKU INC COM CL A,128.5
20200623,77543R102,ROKU,6534.0,ROKU INC COM CL A,129.78
20200624,77543R102,ROKU,5103.0,ROKU INC COM CL A,127.88
20200625,77543R102,ROKU,123994.0,ROKU INC COM CL A,123.35
20200626,77543R102,ROKU,1656.0,ROKU INC COM CL A,123.6
20200630,77543R102,ROKU,886.0,ROKU INC COM CL A,115.05
20200706,77543R102,ROKU,135.0,ROKU INC COM CL A,128.65
20200707,77543R102,ROKU,1400.0,ROKU INC COM CL A,132.03
20200708,77543R102,ROKU,13461.0,ROKU INC COM CL A,130.42
20200709,77543R102,ROKU,2351.0,ROKU INC COM CL A,133.76
20200713,77543R102,ROKU,588.0,ROKU INC COM CL A,153.05
20200714,77543R102,ROKU,9871.0,ROKU INC COM CL A,149.06
20200715,77543R102,ROKU,22575.0,ROKU INC COM CL A,150.36
20200716,77543R102,ROKU,1013.0,ROKU INC COM CL A,154.21
20200717,77543R102,ROKU,11433.0,ROKU INC COM CL A,153.31
20200720,77543R102,ROKU,337.0,ROKU INC COM CL A,148.36
20200721,77543R102,ROKU,12617.0,ROKU INC COM CL A,150.46
20200722,77543R102,ROKU,271.0,ROKU INC COM CL A,153.36
20200723,77543R102,ROKU,1903.0,ROKU INC COM CL A,152.17
20200724,77543R102,ROKU,233.0,ROKU INC COM CL A,150.16
20200727,77543R102,ROKU,7647.0,ROKU INC COM CL A,151.17
20200728,77543R102,ROKU,1247.0,ROKU INC COM CL A,155.97
20200731,77543R102,ROKU,536.0,ROKU INC COM CL A,150.35
20200803,77543R102,ROKU,413.0,ROKU INC COM CL A,154.89
20200804,77543R102,ROKU,119.0,ROKU INC COM CL A,161.82
20200807,77543R102,ROKU,149435.0,ROKU INC COM CL A,153.87
20200811,77543R102,ROKU,1500.0,ROKU INC COM CL A,150.41
20200812,77543R102,ROKU,499.0,ROKU INC COM CL A,146.41
20200813,77543R102,ROKU,2770.0,ROKU INC COM CL A,146.98
20200814,77543R102,ROKU,13.0,ROKU INC COM CL A,149.97
20200817,77543R102,ROKU,351.0,ROKU INC COM CL A,146.85
20200819,77543R102,ROKU,35072.0,ROKU INC COM CL A,149.85
20200828,77543R102,ROKU,500.0,ROKU INC COM CL A,160.97
20200901,77543R102,ROKU,4029.0,ROKU INC COM CL A,173.48
20200909,77543R102,ROKU,961.0,ROKU INC COM CL A,162.63
20200911,77543R102,ROKU,218.0,ROKU INC COM CL A,159.44
20200914,77543R102,ROKU,85.0,ROKU INC COM CL A,155.46
20200916,77543R102,ROKU,469.0,ROKU INC COM CL A,168.52
20200917,77543R102,ROKU,103577.0,ROKU INC COM CL A,169.99
20200921,77543R102,ROKU,1594.0,ROKU INC COM CL A,160.47
20200922,77543R102,ROKU,500.0,ROKU INC COM CL A,188.82
20200924,77543R102,ROKU,2515.0,ROKU INC COM CL A,187.25
20200928,77543R102,ROKU,508.0,ROKU INC COM CL A,182.43
20200929,77543R102,ROKU,300.0,ROKU INC COM CL A,186.29
20200930,77543R102,ROKU,1931.0,ROKU INC COM CL A,187.87
20201002,77543R102,ROKU,7902.0,ROKU INC COM CL A,200.34
20201005,77543R102,ROKU,150.0,ROKU INC COM CL A,200.0
20201006,77543R102,ROKU,1673.0,ROKU INC COM CL A,204.16
20201008,77543R102,ROKU,38.0,ROKU INC COM CL A,212.55
20201013,77543R102,ROKU,30.0,ROKU INC COM CL A,221.68
20201015,77543R102,ROKU,78378.0,ROKU INC COM CL A,233.05
20201016,77543R102,ROKU,37202.0,ROKU INC COM CL A,226.47
20201019,77543R102,ROKU,1705.0,ROKU INC COM CL A,222.32
20201020,77543R102,ROKU,14240.0,ROKU INC COM CL A,222.14
20201021,77543R102,ROKU,3355.0,ROKU INC COM CL A,218.4
20201026,77543R102,ROKU,1102.0,ROKU INC COM CL A,223.96
20201027,77543R102,ROKU,620.0,ROKU INC COM CL A,218.42
20201102,77543R102,ROKU,6983.0,ROKU INC COM CL A,202.4
20201103,77543R102,ROKU,2.0,ROKU INC COM CL A,206.88
20201104,77543R102,ROKU,25.0,ROKU INC COM CL A,203.49
20201106,77543R102,ROKU,4423.0,ROKU INC COM CL A,225.06
20201110,77543R102,ROKU,77602.0,ROKU INC COM CL A,221.91
20201112,77543R102,ROKU,1845.0,ROKU INC COM CL A,231.43
20201113,77543R102,ROKU,7605.0,ROKU INC COM CL A,230.9
20201116,77543R102,ROKU,4221.0,ROKU INC COM CL A,228.1
20201117,77543R102,ROKU,75737.0,ROKU INC COM CL A,232.7
20201118,77543R102,ROKU,4101.0,ROKU INC COM CL A,237.13
20201119,77543R102,ROKU,446.0,ROKU INC COM CL A,231.99
20201123,77543R102,ROKU,205547.0,ROKU INC COM CL A,263.14
20201201,77543R102,ROKU,943.0,ROKU INC COM CL A,293.57
20201203,77543R102,ROKU,46199.0,ROKU INC COM CL A,281.33
20201204,77543R102,ROKU,52371.0,ROKU INC COM CL A,289.1
20201207,77543R102,ROKU,1210.0,ROKU INC COM CL A,296.38
20201209,77543R102,ROKU,6216.0,ROKU INC COM CL A,306.13
20201214,77543R102,ROKU,2008.0,ROKU INC COM CL A,330.87
20201215,77543R102,ROKU,1286.0,ROKU INC COM CL A,324.32
20201216,77543R102,ROKU,1221.0,ROKU INC COM CL A,320.14
20201217,77543R102,ROKU,1974.0,ROKU INC COM CL A,325.82
20201222,77543R102,ROKU,10172.0,ROKU INC COM CL A,354.0
20201224,77543R102,ROKU,806.0,ROKU INC COM CL A,360.56
20201229,77543R102,ROKU,395.0,ROKU INC COM CL A,340.41
20201230,77543R102,ROKU,641.0,ROKU INC COM CL A,339.57
20210111,77543R102,ROKU,62953.0,ROKU INC COM CL A,399.13
20210112,77543R102,ROKU,900.0,ROKU INC COM CL A,403.13
20210114,77543R102,ROKU,294.0,ROKU INC COM CL A,408.6
20210115,77543R102,ROKU,133.0,ROKU INC COM CL A,418.46
20210120,77543R102,ROKU,3118.0,ROKU INC COM CL A,434.14
20210125,77543R102,ROKU,60672.0,ROKU INC COM CL A,422.85
20210129,77543R102,ROKU,2375.0,ROKU INC COM CL A,404.01
20210202,77543R102,ROKU,400.0,ROKU INC COM CL A,416.2
20210204,77543R102,ROKU,2.0,ROKU INC COM CL A,425.07
20210205,77543R102,ROKU,3.0,ROKU INC COM CL A,432.68
20210208,77543R102,ROKU,130.0,ROKU INC COM CL A,439.89
20210209,77543R102,ROKU,1423.0,ROKU INC COM CL A,434.63
20210210,77543R102,ROKU,224734.0,ROKU INC COM CL A,467.3
20210211,77543R102,ROKU,77183.0,ROKU INC COM CL A,469.69
20210212,77543R102,ROKU,1.0,ROKU INC COM CL A,465.69
20210217,77543R102,ROKU,19581.0,ROKU INC COM CL A,469.7
20210219,77543R102,ROKU,787.0,ROKU INC COM CL A,452.99
20210222,77543R102,ROKU,459.0,ROKU INC COM CL A,467.31
20210223,77543R102,ROKU,4000.0,ROKU INC COM CL A,437.28
