SETTLEMENT DATE,CUSIP,SYMBOL,QUANTITY (FAILS),DESCRIPTION,PRICE
20201030,77664L108,ROOT,46996.0,ROOT INC CL A (DE),25.8
20201102,77664L108,ROOT,98912.0,ROOT INC CL A (DE),23.97
20201103,77664L108,ROOT,299223.0,ROOT INC CL A (DE),23.69
20201104,77664L108,ROOT,50495.0,ROOT INC CL A (DE),22.75
20201105,77664L108,ROOT,1197.0,ROOT INC CL A (DE),23.03
20201106,77664L108,ROOT,1240.0,ROOT INC CL A (DE),23.76
20201110,77664L108,ROOT,1275.0,ROOT INC CL A (DE),22.71
20201112,77664L108,ROOT,4200.0,ROOT INC CL A (DE),22.74
20201113,77664L108,ROOT,102234.0,ROOT INC CL A (DE),22.35
20201120,77664L108,ROOT,805.0,ROOT INC CL A (DE),19.26
20201123,77664L108,ROOT,1500.0,ROOT INC CL A (DE),19.0
20201127,77664L108,ROOT,105836.0,ROOT INC CL A (DE),17.01
20201201,77664L108,ROOT,26477.0,ROOT INC CL A (DE),17.7
20201203,77664L108,ROOT,19093.0,ROOT INC CL A (DE),14.7
20201204,77664L108,ROOT,43618.0,ROOT INC CL A (DE),14.3
20201207,77664L108,ROOT,44522.0,ROOT INC CL A (DE),14.26
20201209,77664L108,ROOT,23281.0,ROOT INC CL A (DE),14.97
20201210,77664L108,ROOT,10791.0,ROOT INC CL A (DE),14.07
20201214,77664L108,ROOT,2820.0,ROOT INC CL A (DE),14.1
20201215,77664L108,ROOT,50.0,ROOT INC CL A (DE),14.6
20201218,77664L108,ROOT,32422.0,ROOT INC CL A (DE),14.14
20201222,77664L108,ROOT,246.0,ROOT INC CL A (DE),16.41
20201223,77664L108,ROOT,5185.0,ROOT INC CL A (DE),18.14
20201224,77664L108,ROOT,29447.0,ROOT INC CL A (DE),18.37
20201228,77664L108,ROOT,13579.0,ROOT INC CL A (DE),17.17
20201230,77664L108,ROOT,10722.0,ROOT INC CL A (DE),16.88
20201231,77664L108,ROOT,27975.0,ROOT INC CL A (DE),16.55
20210104,77664L108,ROOT,997.0,ROOT INC CL A (DE),15.71
20210106,77664L108,ROOT,10102.0,ROOT INC CL A (DE),17.26
20210107,77664L108,ROOT,24032.0,ROOT INC CL A (DE),16.73
20210108,77664L108,ROOT,905.0,ROOT INC CL A (DE),18.4
20210111,77664L108,ROOT,1482.0,ROOT INC CL A (DE),19.33
20210112,77664L108,ROOT,17242.0,ROOT INC CL A (DE),18.56
20210113,77664L108,ROOT,63502.0,ROOT INC CL A (DE),19.21
20210114,77664L108,ROOT,37961.0,ROOT INC CL A (DE),23.15
20210115,77664L108,ROOT,8985.0,ROOT INC CL A (DE),21.0
20210119,77664L108,ROOT,30215.0,ROOT INC CL A (DE),19.86
20210121,77664L108,ROOT,1288.0,ROOT INC CL A (DE),17.88
20210126,77664L108,ROOT,14787.0,ROOT INC CL A (DE),20.92
20210127,77664L108,ROOT,42081.0,ROOT INC CL A (DE),21.83
20210128,77664L108,ROOT,37384.0,ROOT INC CL A (DE),21.94
20210201,77664L108,ROOT,5791.0,ROOT INC CL A (DE),20.16
20210204,77664L108,ROOT,28445.0,ROOT INC CL A (DE),22.35
20210205,77664L108,ROOT,15343.0,ROOT INC CL A (DE),21.91
20210208,77664L108,ROOT,17259.0,ROOT INC CL A (DE),21.77
20210209,77664L108,ROOT,300.0,ROOT INC CL A (DE),20.74
20210211,77664L108,ROOT,7389.0,ROOT INC CL A (DE),21.36
20210217,77664L108,ROOT,429.0,ROOT INC CL A (DE),19.56
20210222,77664L108,ROOT,11.0,ROOT INC CL A (DE),17.81
20210223,77664L108,ROOT,400.0,ROOT INC CL A (DE),17.33
20210226,77664L108,ROOT,6642.0,ROOT INC CL A (DE),16.42
20210301,77664L108,ROOT,49917.0,ROOT INC CL A (DE),13.49
20210302,77664L108,ROOT,371101.0,ROOT INC CL A (DE),13.81
20210303,77664L108,ROOT,190753.0,ROOT INC CL A (DE),13.55
20210304,77664L108,ROOT,30361.0,ROOT INC CL A (DE),14.02
20210305,77664L108,ROOT,13957.0,ROOT INC CL A (DE),13.44
20210308,77664L108,ROOT,59918.0,ROOT INC CL A (DE),12.95
20210309,77664L108,ROOT,58257.0,ROOT INC CL A (DE),12.35
20210310,77664L108,ROOT,14195.0,ROOT INC CL A (DE),12.17
20210311,77664L108,ROOT,32295.0,ROOT INC CL A (DE),11.5
20210312,77664L108,ROOT,62612.0,ROOT INC CL A (DE),11.74
20210315,77664L108,ROOT,20080.0,ROOT INC CL A (DE),10.99
20210316,77664L108,ROOT,56723.0,ROOT INC CL A (DE),11.41
20210317,77664L108,ROOT,1953.0,ROOT INC CL A (DE),11.22
20210318,77664L108,ROOT,1157.0,ROOT INC CL A (DE),11.29
20210319,77664L108,ROOT,272339.0,ROOT INC CL A (DE),11.19
20210322,77664L108,ROOT,50.0,ROOT INC CL A (DE),12.0
20210323,77664L108,ROOT,5800.0,ROOT INC CL A (DE),11.88
20210324,77664L108,ROOT,106326.0,ROOT INC CL A (DE),12.4
20210325,77664L108,ROOT,92831.0,ROOT INC CL A (DE),12.27
20210326,77664L108,ROOT,191147.0,ROOT INC CL A (DE),12.87
20210329,77664L108,ROOT,85872.0,ROOT INC CL A (DE),14.34
