SETTLEMENT DATE,CUSIP,SYMBOL,QUANTITY (FAILS),DESCRIPTION,PRICE
20200601,81141R100,SE,57267.0,SEA LTD ADR (CYM),79.8
20200602,81141R100,SE,37620.0,SEA LTD ADR (CYM),82.47
20200603,81141R100,SE,101036.0,SEA LTD ADR (CYM),86.86
20200605,81141R100,SE,26322.0,SEA LTD ADR (CYM),85.31
20200609,81141R100,SE,3760.0,SEA LTD ADR (CYM),90.88
20200611,81141R100,SE,16558.0,SEA LTD ADR (CYM),92.16
20200612,81141R100,SE,112231.0,SEA LTD ADR (CYM),88.58
20200615,81141R100,SE,3116.0,SEA LTD ADR (CYM),92.98
20200616,81141R100,SE,1152.0,SEA LTD ADR (CYM),97.25
20200617,81141R100,SE,100.0,SEA LTD ADR (CYM),100.8
20200618,81141R100,SE,214.0,SEA LTD ADR (CYM),106.81
20200619,81141R100,SE,142928.0,SEA LTD ADR (CYM),106.48
20200623,81141R100,SE,82.0,SEA LTD ADR (CYM),113.39
20200624,81141R100,SE,131020.0,SEA LTD ADR (CYM),111.1
20200625,81141R100,SE,9759.0,SEA LTD ADR (CYM),103.64
20200626,81141R100,SE,14487.0,SEA LTD ADR (CYM),104.32
20200630,81141R100,SE,6075.0,SEA LTD ADR (CYM),108.77
20200701,81141R100,SE,71510.0,SEA LTD ADR (CYM),107.24
20200706,81141R100,SE,378.0,SEA LTD ADR (CYM),117.62
20200708,81141R100,SE,17362.0,SEA LTD ADR (CYM),112.9
20200709,81141R100,SE,15795.0,SEA LTD ADR (CYM),124.46
20200710,81141R100,SE,183813.0,SEA LTD ADR (CYM),123.05
20200713,81141R100,SE,2811.0,SEA LTD ADR (CYM),121.0
20200715,81141R100,SE,21.0,SEA LTD ADR (CYM),113.3
20200717,81141R100,SE,878.0,SEA LTD ADR (CYM),109.0
20200720,81141R100,SE,546.0,SEA LTD ADR (CYM),109.04
20200723,81141R100,SE,350.0,SEA LTD ADR (CYM),114.65
20200728,81141R100,SE,1633.0,SEA LTD ADR (CYM),114.18
20200731,81141R100,SE,50.0,SEA LTD ADR (CYM),122.29
20200803,81141R100,SE,119.0,SEA LTD ADR (CYM),122.2
20200804,81141R100,SE,854.0,SEA LTD ADR (CYM),132.75
20200805,81141R100,SE,58117.0,SEA LTD ADR (CYM),137.51
20200806,81141R100,SE,160.0,SEA LTD ADR (CYM),145.47
20200810,81141R100,SE,33.0,SEA LTD ADR (CYM),129.0
20200813,81141R100,SE,1973.0,SEA LTD ADR (CYM),126.92
20200814,81141R100,SE,183.0,SEA LTD ADR (CYM),128.0
20200819,81141R100,SE,1505.0,SEA LTD ADR (CYM),145.98
20200824,81141R100,SE,39.0,SEA LTD ADR (CYM),147.42
20200825,81141R100,SE,7184.0,SEA LTD ADR (CYM),150.41
20200828,81141R100,SE,1404.0,SEA LTD ADR (CYM),153.15
20200904,81141R100,SE,14.0,SEA LTD ADR (CYM),147.56
20200910,81141R100,SE,4540.0,SEA LTD ADR (CYM),142.03
20200911,81141R100,SE,89.0,SEA LTD ADR (CYM),139.5
20200917,81141R100,SE,509.0,SEA LTD ADR (CYM),147.58
20200918,81141R100,SE,252.0,SEA LTD ADR (CYM),149.08
20200922,81141R100,SE,47.0,SEA LTD ADR (CYM),150.7
20200923,81141R100,SE,65.0,SEA LTD ADR (CYM),152.12
20200928,81141R100,SE,1159.0,SEA LTD ADR (CYM),155.29
20200929,81141R100,SE,225.0,SEA LTD ADR (CYM),159.97
20201001,81141R100,SE,151.0,SEA LTD ADR (CYM),154.04
20201005,81141R100,SE,335.0,SEA LTD ADR (CYM),155.36
20201006,81141R100,SE,704.0,SEA LTD ADR (CYM),157.58
20201014,81141R100,SE,1572.0,SEA LTD ADR (CYM),172.4
20201015,81141R100,SE,1178.0,SEA LTD ADR (CYM),167.63
20201019,81141R100,SE,112.0,SEA LTD ADR (CYM),165.2
20201020,81141R100,SE,3060.0,SEA LTD ADR (CYM),162.84
20201021,81141R100,SE,15092.0,SEA LTD ADR (CYM),166.87
20201026,81141R100,SE,6256.0,SEA LTD ADR (CYM),162.96
20201029,81141R100,SE,1129.0,SEA LTD ADR (CYM),163.24
20201030,81141R100,SE,149.0,SEA LTD ADR (CYM),167.02
20201102,81141R100,SE,6094.0,SEA LTD ADR (CYM),157.7
20201109,81141R100,SE,24212.0,SEA LTD ADR (CYM),186.79
20201110,81141R100,SE,24148.0,SEA LTD ADR (CYM),169.08
20201112,81141R100,SE,20500.0,SEA LTD ADR (CYM),169.13
20201113,81141R100,SE,88495.0,SEA LTD ADR (CYM),178.77
