SETTLEMENT DATE,CUSIP,SYMBOL,QUANTITY (FAILS),DESCRIPTION,PRICE
20200601,82509L107,SHOP,78.0,SHOPIFY INC CL A (CDA),757.8
20200602,82509L107,SHOP,962.0,SHOPIFY INC CL A (CDA),758.0
20200603,82509L107,SHOP,25439.0,SHOPIFY INC CL A (CDA),779.5
20200604,82509L107,SHOP,419.0,SHOPIFY INC CL A (CDA),762.02
20200605,82509L107,SHOP,1185.0,SHOPIFY INC CL A (CDA),735.19
20200608,82509L107,SHOP,5413.0,SHOPIFY INC CL A (CDA),727.77
20200609,82509L107,SHOP,1961.0,SHOPIFY INC CL A (CDA),730.67
20200610,82509L107,SHOP,33794.0,SHOPIFY INC CL A (CDA),741.7
20200611,82509L107,SHOP,7469.0,SHOPIFY INC CL A (CDA),743.64
20200612,82509L107,SHOP,144.0,SHOPIFY INC CL A (CDA),725.12
20200616,82509L107,SHOP,445.0,SHOPIFY INC CL A (CDA),805.47
20200617,82509L107,SHOP,9044.0,SHOPIFY INC CL A (CDA),805.76
20200619,82509L107,SHOP,2078.0,SHOPIFY INC CL A (CDA),863.56
20200622,82509L107,SHOP,1471.0,SHOPIFY INC CL A (CDA),881.0
20200623,82509L107,SHOP,5222.0,SHOPIFY INC CL A (CDA),904.81
20200626,82509L107,SHOP,472.0,SHOPIFY INC CL A (CDA),916.32
20200629,82509L107,SHOP,202.0,SHOPIFY INC CL A (CDA),910.0
20200630,82509L107,SHOP,1159.0,SHOPIFY INC CL A (CDA),922.42
20200701,82509L107,SHOP,36753.0,SHOPIFY INC CL A (CDA),949.2
20200702,82509L107,SHOP,4081.0,SHOPIFY INC CL A (CDA),1016.64
20200706,82509L107,SHOP,248.0,SHOPIFY INC CL A (CDA),1029.97
20200707,82509L107,SHOP,5792.0,SHOPIFY INC CL A (CDA),986.77
20200709,82509L107,SHOP,316.0,SHOPIFY INC CL A (CDA),1017.3
20200710,82509L107,SHOP,3129.0,SHOPIFY INC CL A (CDA),1040.02
20200713,82509L107,SHOP,1129.0,SHOPIFY INC CL A (CDA),1031.86
20200714,82509L107,SHOP,2828.0,SHOPIFY INC CL A (CDA),968.75
20200715,82509L107,SHOP,2651.0,SHOPIFY INC CL A (CDA),974.41
20200716,82509L107,SHOP,3000.0,SHOPIFY INC CL A (CDA),959.45
20200720,82509L107,SHOP,3000.0,SHOPIFY INC CL A (CDA),928.13
20200721,82509L107,SHOP,888.0,SHOPIFY INC CL A (CDA),1009.39
20200722,82509L107,SHOP,24078.0,SHOPIFY INC CL A (CDA),952.83
20200727,82509L107,SHOP,2008.0,SHOPIFY INC CL A (CDA),929.81
