SETTLEMENT DATE,CUSIP,SYMBOL,QUANTITY (FAILS),DESCRIPTION,PRICE
20200601,83304A106,SNAP,732939.0,SNAP INC CL A,18.94
20200602,83304A106,SNAP,3849.0,SNAP INC CL A,19.55
20200603,83304A106,SNAP,221.0,SNAP INC CL A,19.75
20200604,83304A106,SNAP,626471.0,SNAP INC CL A,19.73
20200608,83304A106,SNAP,3716.0,SNAP INC CL A,20.33
20200609,83304A106,SNAP,4200.0,SNAP INC CL A,20.65
20200610,83304A106,SNAP,284.0,SNAP INC CL A,21.09
20200611,83304A106,SNAP,2237863.0,SNAP INC CL A,21.2
20200612,83304A106,SNAP,2218556.0,SNAP INC CL A,19.71
20200615,83304A106,SNAP,2207734.0,SNAP INC CL A,20.18
20200616,83304A106,SNAP,2181512.0,SNAP INC CL A,20.75
20200617,83304A106,SNAP,2184903.0,SNAP INC CL A,20.9
20200618,83304A106,SNAP,6609.0,SNAP INC CL A,21.82
20200619,83304A106,SNAP,157.0,SNAP INC CL A,21.99
20200622,83304A106,SNAP,247.0,SNAP INC CL A,22.66
20200623,83304A106,SNAP,132837.0,SNAP INC CL A,23.2
20200624,83304A106,SNAP,1482.0,SNAP INC CL A,23.67
20200625,83304A106,SNAP,10924.0,SNAP INC CL A,23.63
20200626,83304A106,SNAP,5695.0,SNAP INC CL A,24.48
20200630,83304A106,SNAP,1000.0,SNAP INC CL A,23.09
20200701,83304A106,SNAP,57819.0,SNAP INC CL A,23.49
20200702,83304A106,SNAP,106612.0,SNAP INC CL A,23.72
20200707,83304A106,SNAP,1642.0,SNAP INC CL A,23.42
20200714,83304A106,SNAP,4997.0,SNAP INC CL A,24.27
20200716,83304A106,SNAP,8105.0,SNAP INC CL A,24.54
20200720,83304A106,SNAP,3732.0,SNAP INC CL A,24.54
20200721,83304A106,SNAP,200.0,SNAP INC CL A,25.27
20200723,83304A106,SNAP,54289.0,SNAP INC CL A,23.2
20200727,83304A106,SNAP,33530.0,SNAP INC CL A,22.15
20200728,83304A106,SNAP,80321.0,SNAP INC CL A,22.84
20200730,83304A106,SNAP,52801.0,SNAP INC CL A,22.9
20200803,83304A106,SNAP,912547.0,SNAP INC CL A,22.42
20200806,83304A106,SNAP,2167.0,SNAP INC CL A,21.7
20200807,83304A106,SNAP,218.0,SNAP INC CL A,21.35
20200812,83304A106,SNAP,496.0,SNAP INC CL A,21.6
20200813,83304A106,SNAP,28693.0,SNAP INC CL A,21.86
