SETTLEMENT DATE,CUSIP,SYMBOL,QUANTITY (FAILS),DESCRIPTION,PRICE
20200601,86730L109,SNDL,61117.0,SUNDIAL GROWERS INC COM,0.85
20200602,86730L109,SNDL,69519.0,SUNDIAL GROWERS INC COM,0.86
20200603,86730L109,SNDL,106124.0,SUNDIAL GROWERS INC COM,0.83
20200604,86730L109,SNDL,8091.0,SUNDIAL GROWERS INC COM,0.82
20200608,86730L109,SNDL,95659.0,SUNDIAL GROWERS INC COM,0.82
20200609,86730L109,SNDL,104370.0,SUNDIAL GROWERS INC COM,1.09
20200611,86730L109,SNDL,9329.0,SUNDIAL GROWERS INC COM,1.1
20200612,86730L109,SNDL,100.0,SUNDIAL GROWERS INC COM,0.91
20200617,86730L109,SNDL,47552.0,SUNDIAL GROWERS INC COM,1.01
20200618,86730L109,SNDL,21345.0,SUNDIAL GROWERS INC COM,0.92
20200619,86730L109,SNDL,3280.0,SUNDIAL GROWERS INC COM,0.91
20200622,86730L109,SNDL,1245.0,SUNDIAL GROWERS INC COM,0.87
20200624,86730L109,SNDL,2100.0,SUNDIAL GROWERS INC COM,0.91
20200625,86730L109,SNDL,12692.0,SUNDIAL GROWERS INC COM,0.85
20200626,86730L109,SNDL,780.0,SUNDIAL GROWERS INC COM,0.85
20200629,86730L109,SNDL,56788.0,SUNDIAL GROWERS INC COM,0.8
20200630,86730L109,SNDL,65471.0,SUNDIAL GROWERS INC COM,0.82
20200701,86730L109,SNDL,400.0,SUNDIAL GROWERS INC COM,0.8
20200706,86730L109,SNDL,98879.0,SUNDIAL GROWERS INC COM,0.78
20200707,86730L109,SNDL,85664.0,SUNDIAL GROWERS INC COM,0.81
20200708,86730L109,SNDL,84460.0,SUNDIAL GROWERS INC COM,0.77
20200710,86730L109,SNDL,1789.0,SUNDIAL GROWERS INC COM,0.79
20200713,86730L109,SNDL,56060.0,SUNDIAL GROWERS INC COM,0.81
20200714,86730L109,SNDL,46619.0,SUNDIAL GROWERS INC COM,0.84
20200715,86730L109,SNDL,5765.0,SUNDIAL GROWERS INC COM,0.84
20200720,86730L109,SNDL,749.0,SUNDIAL GROWERS INC COM,0.85
20200722,86730L109,SNDL,600.0,SUNDIAL GROWERS INC COM,0.81
20200723,86730L109,SNDL,14000.0,SUNDIAL GROWERS INC COM,0.73
20200727,86730L109,SNDL,187.0,SUNDIAL GROWERS INC COM,0.69
20200728,86730L109,SNDL,28335.0,SUNDIAL GROWERS INC COM,0.6
20200729,86730L109,SNDL,22105.0,SUNDIAL GROWERS INC COM,0.63
20200803,86730L109,SNDL,9000.0,SUNDIAL GROWERS INC COM,0.58
20200804,86730L109,SNDL,25084.0,SUNDIAL GROWERS INC COM,0.59
20200805,86730L109,SNDL,106432.0,SUNDIAL GROWERS INC COM,0.6
20200806,86730L109,SNDL,22884.0,SUNDIAL GROWERS INC COM,0.57
