SETTLEMENT DATE,CUSIP,SYMBOL,QUANTITY (FAILS),DESCRIPTION,PRICE
20210601,83406F102,SOFI,1166990.0,SOFI TECHNOLOGIES INC,20.15
20210602,83406F102,SOFI,529326.0,SOFI TECHNOLOGIES INC,22.65
20210603,83406F102,SOFI,120100.0,SOFI TECHNOLOGIES INC,23.21
20210604,83406F102,SOFI,302081.0,SOFI TECHNOLOGIES INC,22.68
20210607,83406F102,SOFI,238213.0,SOFI TECHNOLOGIES INC,20.82
20210608,83406F102,SOFI,726471.0,SOFI TECHNOLOGIES INC,21.21
20210609,83406F102,SOFI,576800.0,SOFI TECHNOLOGIES INC,23.89
20210610,83406F102,SOFI,824298.0,SOFI TECHNOLOGIES INC,22.71
20210611,83406F102,SOFI,745139.0,SOFI TECHNOLOGIES INC,23.02
20210614,83406F102,SOFI,1147334.0,SOFI TECHNOLOGIES INC,22.40
