SETTLEMENT DATE,CUSIP,SYMBOL,QUANTITY (FAILS),DESCRIPTION,PRICE
20200601,92766K106,SPCE,823.0,VIRGIN GALACTIC HLDGS INC COM ,17.04
20200602,92766K106,SPCE,1100.0,VIRGIN GALACTIC HLDGS INC COM ,17.52
20200603,92766K106,SPCE,1740.0,VIRGIN GALACTIC HLDGS INC COM ,15.82
20200604,92766K106,SPCE,303626.0,VIRGIN GALACTIC HLDGS INC COM ,16.39
20200608,92766K106,SPCE,14246.0,VIRGIN GALACTIC HLDGS INC COM ,15.77
20200609,92766K106,SPCE,179759.0,VIRGIN GALACTIC HLDGS INC COM ,17.29
20200610,92766K106,SPCE,141212.0,VIRGIN GALACTIC HLDGS INC COM ,16.64
20200611,92766K106,SPCE,24258.0,VIRGIN GALACTIC HLDGS INC COM ,16.16
20200612,92766K106,SPCE,35198.0,VIRGIN GALACTIC HLDGS INC COM ,14.46
20200615,92766K106,SPCE,582.0,VIRGIN GALACTIC HLDGS INC COM ,14.99
20200616,92766K106,SPCE,127026.0,VIRGIN GALACTIC HLDGS INC COM ,15.32
20200617,92766K106,SPCE,350551.0,VIRGIN GALACTIC HLDGS INC COM ,15.35
20200618,92766K106,SPCE,13016.0,VIRGIN GALACTIC HLDGS INC COM ,14.98
20200619,92766K106,SPCE,17444.0,VIRGIN GALACTIC HLDGS INC COM ,15.2
20200622,92766K106,SPCE,276928.0,VIRGIN GALACTIC HLDGS INC COM ,15.0
20200623,92766K106,SPCE,883878.0,VIRGIN GALACTIC HLDGS INC COM ,17.39
20200624,92766K106,SPCE,564776.0,VIRGIN GALACTIC HLDGS INC COM ,16.45
20200625,92766K106,SPCE,459867.0,VIRGIN GALACTIC HLDGS INC COM ,15.5
20200626,92766K106,SPCE,215347.0,VIRGIN GALACTIC HLDGS INC COM ,15.25
20200629,92766K106,SPCE,164410.0,VIRGIN GALACTIC HLDGS INC COM ,15.55
20200630,92766K106,SPCE,134209.0,VIRGIN GALACTIC HLDGS INC COM ,15.42
20200701,92766K106,SPCE,326959.0,VIRGIN GALACTIC HLDGS INC COM ,16.34
20200702,92766K106,SPCE,108167.0,VIRGIN GALACTIC HLDGS INC COM ,16.7
20200706,92766K106,SPCE,103112.0,VIRGIN GALACTIC HLDGS INC COM ,16.25
20200707,92766K106,SPCE,125021.0,VIRGIN GALACTIC HLDGS INC COM ,16.95
20200708,92766K106,SPCE,353112.0,VIRGIN GALACTIC HLDGS INC COM ,16.55
20200709,92766K106,SPCE,37871.0,VIRGIN GALACTIC HLDGS INC COM ,16.79
20200710,92766K106,SPCE,203243.0,VIRGIN GALACTIC HLDGS INC COM ,19.46
20200713,92766K106,SPCE,8121.0,VIRGIN GALACTIC HLDGS INC COM ,19.25
20200714,92766K106,SPCE,282092.0,VIRGIN GALACTIC HLDGS INC COM ,18.1
20200715,92766K106,SPCE,27507.0,VIRGIN GALACTIC HLDGS INC COM ,18.43
20200716,92766K106,SPCE,13982.0,VIRGIN GALACTIC HLDGS INC COM ,18.55
20200717,92766K106,SPCE,190107.0,VIRGIN GALACTIC HLDGS INC COM ,21.07
20200720,92766K106,SPCE,6953.0,VIRGIN GALACTIC HLDGS INC COM ,24.05
20200721,92766K106,SPCE,348791.0,VIRGIN GALACTIC HLDGS INC COM ,22.98
20200722,92766K106,SPCE,44571.0,VIRGIN GALACTIC HLDGS INC COM ,24.93
20200723,92766K106,SPCE,41390.0,VIRGIN GALACTIC HLDGS INC COM ,25.54
20200724,92766K106,SPCE,14560.0,VIRGIN GALACTIC HLDGS INC COM ,25.15
20200727,92766K106,SPCE,166216.0,VIRGIN GALACTIC HLDGS INC COM ,24.31
20200728,92766K106,SPCE,123270.0,VIRGIN GALACTIC HLDGS INC COM ,24.92
20200729,92766K106,SPCE,211623.0,VIRGIN GALACTIC HLDGS INC COM ,23.86
20200730,92766K106,SPCE,115641.0,VIRGIN GALACTIC HLDGS INC COM ,22.97
20200731,92766K106,SPCE,34613.0,VIRGIN GALACTIC HLDGS INC COM ,22.88
20200803,92766K106,SPCE,98912.0,VIRGIN GALACTIC HLDGS INC COM ,22.45
20200804,92766K106,SPCE,85019.0,VIRGIN GALACTIC HLDGS INC COM ,24.02
20200805,92766K106,SPCE,393661.0,VIRGIN GALACTIC HLDGS INC COM ,20.72
20200806,92766K106,SPCE,557984.0,VIRGIN GALACTIC HLDGS INC COM ,20.15
20200807,92766K106,SPCE,327554.0,VIRGIN GALACTIC HLDGS INC COM ,19.34
20200810,92766K106,SPCE,1096051.0,VIRGIN GALACTIC HLDGS INC COM ,18.25
20200811,92766K106,SPCE,14048.0,VIRGIN GALACTIC HLDGS INC COM ,19.23
20200817,92766K106,SPCE,29624.0,VIRGIN GALACTIC HLDGS INC COM ,18.55
20200818,92766K106,SPCE,48141.0,VIRGIN GALACTIC HLDGS INC COM ,18.17
20200819,92766K106,SPCE,21393.0,VIRGIN GALACTIC HLDGS INC COM ,17.73
20200821,92766K106,SPCE,1978.0,VIRGIN GALACTIC HLDGS INC COM ,17.31
20200825,92766K106,SPCE,42400.0,VIRGIN GALACTIC HLDGS INC COM ,17.63
20200826,92766K106,SPCE,128140.0,VIRGIN GALACTIC HLDGS INC COM ,17.49
20200827,92766K106,SPCE,6547.0,VIRGIN GALACTIC HLDGS INC COM ,17.34
20200828,92766K106,SPCE,562.0,VIRGIN GALACTIC HLDGS INC COM ,17.28
20200901,92766K106,SPCE,1000.0,VIRGIN GALACTIC HLDGS INC COM ,17.9
20200902,92766K106,SPCE,100391.0,VIRGIN GALACTIC HLDGS INC COM ,17.41
20200903,92766K106,SPCE,72071.0,VIRGIN GALACTIC HLDGS INC COM ,17.1
20200904,92766K106,SPCE,381696.0,VIRGIN GALACTIC HLDGS INC COM ,16.53
20200909,92766K106,SPCE,162898.0,VIRGIN GALACTIC HLDGS INC COM ,17.4
20200910,92766K106,SPCE,97605.0,VIRGIN GALACTIC HLDGS INC COM ,17.71
20200911,92766K106,SPCE,36692.0,VIRGIN GALACTIC HLDGS INC COM ,17.45
20200914,92766K106,SPCE,6764.0,VIRGIN GALACTIC HLDGS INC COM ,16.56
20200915,92766K106,SPCE,697278.0,VIRGIN GALACTIC HLDGS INC COM ,17.39
20200916,92766K106,SPCE,92269.0,VIRGIN GALACTIC HLDGS INC COM ,17.7
20200917,92766K106,SPCE,184167.0,VIRGIN GALACTIC HLDGS INC COM ,17.41
20200918,92766K106,SPCE,36189.0,VIRGIN GALACTIC HLDGS INC COM ,17.18
20200921,92766K106,SPCE,55563.0,VIRGIN GALACTIC HLDGS INC COM ,17.21
20200922,92766K106,SPCE,608958.0,VIRGIN GALACTIC HLDGS INC COM ,16.48
20200923,92766K106,SPCE,367580.0,VIRGIN GALACTIC HLDGS INC COM ,16.47
20200924,92766K106,SPCE,70670.0,VIRGIN GALACTIC HLDGS INC COM ,15.73
20200925,92766K106,SPCE,714038.0,VIRGIN GALACTIC HLDGS INC COM ,15.92
20200928,92766K106,SPCE,116744.0,VIRGIN GALACTIC HLDGS INC COM ,16.43
20200929,92766K106,SPCE,159382.0,VIRGIN GALACTIC HLDGS INC COM ,20.51
20200930,92766K106,SPCE,22554.0,VIRGIN GALACTIC HLDGS INC COM ,20.44
20201001,92766K106,SPCE,108030.0,VIRGIN GALACTIC HLDGS INC COM ,19.23
20201002,92766K106,SPCE,72452.0,VIRGIN GALACTIC HLDGS INC COM ,20.17
20201005,92766K106,SPCE,154525.0,VIRGIN GALACTIC HLDGS INC COM ,20.77
20201006,92766K106,SPCE,122988.0,VIRGIN GALACTIC HLDGS INC COM ,21.01
20201007,92766K106,SPCE,236469.0,VIRGIN GALACTIC HLDGS INC COM ,21.03
20201008,92766K106,SPCE,20076.0,VIRGIN GALACTIC HLDGS INC COM ,21.82
20201009,92766K106,SPCE,147509.0,VIRGIN GALACTIC HLDGS INC COM ,22.09
20201013,92766K106,SPCE,54546.0,VIRGIN GALACTIC HLDGS INC COM ,20.57
20201014,92766K106,SPCE,12580.0,VIRGIN GALACTIC HLDGS INC COM ,21.81
20201015,92766K106,SPCE,358166.0,VIRGIN GALACTIC HLDGS INC COM ,21.33
20201016,92766K106,SPCE,9921.0,VIRGIN GALACTIC HLDGS INC COM ,21.64
20201019,92766K106,SPCE,10407.0,VIRGIN GALACTIC HLDGS INC COM ,22.44
20201020,92766K106,SPCE,116057.0,VIRGIN GALACTIC HLDGS INC COM ,22.82
20201021,92766K106,SPCE,181054.0,VIRGIN GALACTIC HLDGS INC COM ,23.03
20201022,92766K106,SPCE,97618.0,VIRGIN GALACTIC HLDGS INC COM ,20.44
20201023,92766K106,SPCE,1082249.0,VIRGIN GALACTIC HLDGS INC COM ,20.73
20201026,92766K106,SPCE,10223.0,VIRGIN GALACTIC HLDGS INC COM ,19.14
20201027,92766K106,SPCE,34644.0,VIRGIN GALACTIC HLDGS INC COM ,18.32
20201028,92766K106,SPCE,32712.0,VIRGIN GALACTIC HLDGS INC COM ,18.29
20201029,92766K106,SPCE,93889.0,VIRGIN GALACTIC HLDGS INC COM ,17.48
20201030,92766K106,SPCE,567043.0,VIRGIN GALACTIC HLDGS INC COM ,18.18
20201102,92766K106,SPCE,638816.0,VIRGIN GALACTIC HLDGS INC COM ,17.42
20201103,92766K106,SPCE,284957.0,VIRGIN GALACTIC HLDGS INC COM ,17.66
20201104,92766K106,SPCE,217116.0,VIRGIN GALACTIC HLDGS INC COM ,18.45
20201105,92766K106,SPCE,29916.0,VIRGIN GALACTIC HLDGS INC COM ,18.03
20201106,92766K106,SPCE,933685.0,VIRGIN GALACTIC HLDGS INC COM ,19.17
