SETTLEMENT DATE,CUSIP,SYMBOL,QUANTITY (FAILS),DESCRIPTION,PRICE
20200601,78462F103,SPY,1337.0,SPDR S&P 500 ETF TR,304.32
20200602,78462F103,SPY,19864.0,SPDR S&P 500 ETF TR,305.55
20200603,78462F103,SPY,119798.0,SPDR S&P 500 ETF TR,308.08
20200604,78462F103,SPY,4435649.0,SPDR S&P 500 ETF TR,312.18
20200605,78462F103,SPY,25518.0,SPDR S&P 500 ETF TR,311.36
20200608,78462F103,SPY,158002.0,SPDR S&P 500 ETF TR,319.34
20200609,78462F103,SPY,27052.0,SPDR S&P 500 ETF TR,323.2
20200610,78462F103,SPY,2035.0,SPDR S&P 500 ETF TR,320.79
20200611,78462F103,SPY,14209.0,SPDR S&P 500 ETF TR,319.0
20200612,78462F103,SPY,8497.0,SPDR S&P 500 ETF TR,300.61
20200615,78462F103,SPY,397765.0,SPDR S&P 500 ETF TR,304.21
20200616,78462F103,SPY,140727.0,SPDR S&P 500 ETF TR,307.05
20200617,78462F103,SPY,656322.0,SPDR S&P 500 ETF TR,312.96
20200618,78462F103,SPY,298384.0,SPDR S&P 500 ETF TR,311.66
20200619,78462F103,SPY,4328531.0,SPDR S&P 500 ETF TR,311.78
20200622,78462F103,SPY,8089081.0,SPDR S&P 500 ETF TR,308.64
20200624,78462F103,SPY,29872.0,SPDR S&P 500 ETF TR,312.05
20200625,78462F103,SPY,6058.0,SPDR S&P 500 ETF TR,304.09
20200626,78462F103,SPY,139534.0,SPDR S&P 500 ETF TR,307.35
20200630,78462F103,SPY,393.0,SPDR S&P 500 ETF TR,304.46
20200701,78462F103,SPY,11806.0,SPDR S&P 500 ETF TR,308.36
20200702,78462F103,SPY,36904.0,SPDR S&P 500 ETF TR,310.52
20200707,78462F103,SPY,55542.0,SPDR S&P 500 ETF TR,317.05
20200708,78462F103,SPY,109780.0,SPDR S&P 500 ETF TR,313.78
20200709,78462F103,SPY,412624.0,SPDR S&P 500 ETF TR,316.18
