SETTLEMENT DATE,CUSIP,SYMBOL,QUANTITY (FAILS),DESCRIPTION,PRICE
20200601,852234103,SQ,42431.0,"SQUARE, INC CLASS A COM STK",81.08
20200602,852234103,SQ,58269.0,"SQUARE, INC CLASS A COM STK",82.72
20200603,852234103,SQ,10159.0,"SQUARE, INC CLASS A COM STK",88.0
20200604,852234103,SQ,54622.0,"SQUARE, INC CLASS A COM STK",91.97
20200605,852234103,SQ,47726.0,"SQUARE, INC CLASS A COM STK",87.72
20200609,852234103,SQ,11072.0,"SQUARE, INC CLASS A COM STK",89.62
20200610,852234103,SQ,6653.0,"SQUARE, INC CLASS A COM STK",89.53
20200611,852234103,SQ,4293.0,"SQUARE, INC CLASS A COM STK",91.91
20200615,852234103,SQ,1939.0,"SQUARE, INC CLASS A COM STK",86.72
20200616,852234103,SQ,130.0,"SQUARE, INC CLASS A COM STK",91.0
20200617,852234103,SQ,4886.0,"SQUARE, INC CLASS A COM STK",94.74
20200618,852234103,SQ,71491.0,"SQUARE, INC CLASS A COM STK",97.03
20200622,852234103,SQ,12.0,"SQUARE, INC CLASS A COM STK",97.98
20200623,852234103,SQ,2986.0,"SQUARE, INC CLASS A COM STK",104.22
20200624,852234103,SQ,3918.0,"SQUARE, INC CLASS A COM STK",104.75
20200625,852234103,SQ,29607.0,"SQUARE, INC CLASS A COM STK",100.88
20200630,852234103,SQ,2510.0,"SQUARE, INC CLASS A COM STK",103.68
20200702,852234103,SQ,608.0,"SQUARE, INC CLASS A COM STK",115.9
20200706,852234103,SQ,40908.0,"SQUARE, INC CLASS A COM STK",113.39
20200708,852234103,SQ,104357.0,"SQUARE, INC CLASS A COM STK",125.6
20200710,852234103,SQ,526.0,"SQUARE, INC CLASS A COM STK",129.39
20200713,852234103,SQ,2749.0,"SQUARE, INC CLASS A COM STK",128.05
20200714,852234103,SQ,3957.0,"SQUARE, INC CLASS A COM STK",118.65
20200715,852234103,SQ,79321.0,"SQUARE, INC CLASS A COM STK",121.24
20200716,852234103,SQ,54915.0,"SQUARE, INC CLASS A COM STK",122.2
20200721,852234103,SQ,100.0,"SQUARE, INC CLASS A COM STK",128.39
20200723,852234103,SQ,18257.0,"SQUARE, INC CLASS A COM STK",129.18
20200727,852234103,SQ,523.0,"SQUARE, INC CLASS A COM STK",121.41
20200730,852234103,SQ,34455.0,"SQUARE, INC CLASS A COM STK",128.55
20200731,852234103,SQ,58449.0,"SQUARE, INC CLASS A COM STK",129.13
20200804,852234103,SQ,3200.0,"SQUARE, INC CLASS A COM STK",134.8
20200805,852234103,SQ,12696.0,"SQUARE, INC CLASS A COM STK",136.83
20200806,852234103,SQ,19632.0,"SQUARE, INC CLASS A COM STK",146.55
20200807,852234103,SQ,11828.0,"SQUARE, INC CLASS A COM STK",154.0
20200810,852234103,SQ,4229.0,"SQUARE, INC CLASS A COM STK",147.22
20200812,852234103,SQ,42666.0,"SQUARE, INC CLASS A COM STK",138.25
20200813,852234103,SQ,39012.0,"SQUARE, INC CLASS A COM STK",139.02
20200814,852234103,SQ,181.0,"SQUARE, INC CLASS A COM STK",143.19
20200817,852234103,SQ,387.0,"SQUARE, INC CLASS A COM STK",141.96
20200819,852234103,SQ,1812.0,"SQUARE, INC CLASS A COM STK",151.04
20200820,852234103,SQ,88115.0,"SQUARE, INC CLASS A COM STK",150.37
20200821,852234103,SQ,5512.0,"SQUARE, INC CLASS A COM STK",155.86
20200824,852234103,SQ,650.0,"SQUARE, INC CLASS A COM STK",155.1
20200825,852234103,SQ,3900.0,"SQUARE, INC CLASS A COM STK",151.79
20200827,852234103,SQ,340.0,"SQUARE, INC CLASS A COM STK",153.74
20200831,852234103,SQ,5779.0,"SQUARE, INC CLASS A COM STK",155.93
20200901,852234103,SQ,14721.0,"SQUARE, INC CLASS A COM STK",159.56
20200902,852234103,SQ,28205.0,"SQUARE, INC CLASS A COM STK",166.66
20200903,852234103,SQ,4177.0,"SQUARE, INC CLASS A COM STK",162.88
20200909,852234103,SQ,4710.0,"SQUARE, INC CLASS A COM STK",139.11
20200910,852234103,SQ,106500.0,"SQUARE, INC CLASS A COM STK",144.21
20200911,852234103,SQ,28656.0,"SQUARE, INC CLASS A COM STK",141.07
20200914,852234103,SQ,2085.0,"SQUARE, INC CLASS A COM STK",137.45
20200915,852234103,SQ,563.0,"SQUARE, INC CLASS A COM STK",144.4
20200916,852234103,SQ,693.0,"SQUARE, INC CLASS A COM STK",154.5
20200918,852234103,SQ,1020.0,"SQUARE, INC CLASS A COM STK",145.64
20200921,852234103,SQ,1962.0,"SQUARE, INC CLASS A COM STK",145.01
20200923,852234103,SQ,196910.0,"SQUARE, INC CLASS A COM STK",155.59
20200924,852234103,SQ,7237.0,"SQUARE, INC CLASS A COM STK",149.59
20200925,852234103,SQ,67.0,"SQUARE, INC CLASS A COM STK",152.31
20200929,852234103,SQ,3300.0,"SQUARE, INC CLASS A COM STK",160.76
20201001,852234103,SQ,1251.0,"SQUARE, INC CLASS A COM STK",162.55
20201002,852234103,SQ,1150.0,"SQUARE, INC CLASS A COM STK",168.49
