SETTLEMENT DATE,CUSIP,SYMBOL,QUANTITY (FAILS),DESCRIPTION,PRICE
20200601,74347G408,SQQQ,73485.0,PROSHARES TR ULTRAPRO SHORT QQ,9.43
20200602,74347G408,SQQQ,895.0,PROSHARES TR ULTRAPRO SHORT QQ,9.3
20200603,74347G408,SQQQ,75799.0,PROSHARES TR ULTRAPRO SHORT QQ,9.13
20200604,74347G408,SQQQ,217178.0,PROSHARES TR ULTRAPRO SHORT QQ,8.97
20200609,74347G408,SQQQ,504145.0,PROSHARES TR ULTRAPRO SHORT QQ,8.43
20200610,74347G408,SQQQ,14061.0,PROSHARES TR ULTRAPRO SHORT QQ,8.24
20200611,74347G408,SQQQ,249416.0,PROSHARES TR ULTRAPRO SHORT QQ,7.93
20200615,74347G408,SQQQ,12746.0,PROSHARES TR ULTRAPRO SHORT QQ,8.91
20200619,74347G408,SQQQ,20339.0,PROSHARES TR ULTRAPRO SHORT QQ,7.99
20200622,74347G408,SQQQ,100352.0,PROSHARES TR ULTRAPRO SHORT QQ,8.0
20200623,74347G408,SQQQ,1171.0,PROSHARES TR ULTRAPRO SHORT QQ,7.72
20200624,74347G408,SQQQ,486924.0,PROSHARES TR ULTRAPRO SHORT QQ,7.52
20200626,74347G408,SQQQ,23636.0,PROSHARES TR ULTRAPRO SHORT QQ,7.74
20200629,74347G408,SQQQ,51597.0,PROSHARES TR ULTRAPRO SHORT QQ,8.3
20200630,74347G408,SQQQ,11430.0,PROSHARES TR ULTRAPRO SHORT QQ,8.05
20200701,74347G408,SQQQ,21895.0,PROSHARES TR ULTRAPRO SHORT QQ,7.56
20200702,74347G408,SQQQ,3170.0,PROSHARES TR ULTRAPRO SHORT QQ,7.29
20200706,74347G408,SQQQ,51137.0,PROSHARES TR ULTRAPRO SHORT QQ,7.14
20200707,74347G408,SQQQ,234197.0,PROSHARES TR ULTRAPRO SHORT QQ,6.62
20200708,74347G408,SQQQ,154323.0,PROSHARES TR ULTRAPRO SHORT QQ,6.75
20200709,74347G408,SQQQ,102090.0,PROSHARES TR ULTRAPRO SHORT QQ,6.48
20200710,74347G408,SQQQ,326583.0,PROSHARES TR ULTRAPRO SHORT QQ,6.32
20200714,74347G408,SQQQ,3873.0,PROSHARES TR ULTRAPRO SHORT QQ,6.56
20200715,74347G408,SQQQ,1215.0,PROSHARES TR ULTRAPRO SHORT QQ,6.42
20200717,74347G408,SQQQ,13859.0,PROSHARES TR ULTRAPRO SHORT QQ,6.52
20200720,74347G408,SQQQ,206625.0,PROSHARES TR ULTRAPRO SHORT QQ,6.51
20200721,74347G408,SQQQ,9641.0,PROSHARES TR ULTRAPRO SHORT QQ,5.94
20200723,74347G408,SQQQ,6377.0,PROSHARES TR ULTRAPRO SHORT QQ,6.05
20200728,74347G408,SQQQ,1000.0,PROSHARES TR ULTRAPRO SHORT QQ,6.35
20200729,74347G408,SQQQ,1500.0,PROSHARES TR ULTRAPRO SHORT QQ,6.59
20200731,74347G408,SQQQ,13110.0,PROSHARES TR ULTRAPRO SHORT QQ,6.26
20200804,74347G408,SQQQ,7237.0,PROSHARES TR ULTRAPRO SHORT QQ,5.7
20200810,74347G408,SQQQ,1943.0,PROSHARES TR ULTRAPRO SHORT QQ,5.54
20200812,74347G408,SQQQ,7796.0,PROSHARES TR ULTRAPRO SHORT QQ,5.94
20200814,74347G408,SQQQ,82283.0,PROSHARES TR ULTRAPRO SHORT QQ,5.45
20200817,74347G408,SQQQ,8001.0,PROSHARES TR ULTRAPRO SHORT QQ,5.48
20200818,74347G408,SQQQ,184.0,PROSHARES TR ULTRAPRO SHORT QQ,5.28
20200819,74347G861,SQQQ,95708.0,PROSHARES TR ULTRAPRO SHORT QQ,25.65
20200820,74347G861,SQQQ,57868.0,PROSHARES TR ULTRAPRO SHORT QQ,26.16
20200821,74347G861,SQQQ,103.0,PROSHARES TR ULTRAPRO SHORT QQ,25.06
20200824,74347G861,SQQQ,1804.0,PROSHARES TR ULTRAPRO SHORT QQ,24.54
20200825,74347G861,SQQQ,1.0,PROSHARES TR ULTRAPRO SHORT QQ,24.07
20200826,74347G861,SQQQ,1.0,PROSHARES TR ULTRAPRO SHORT QQ,23.51
20200827,74347G861,SQQQ,1.0,PROSHARES TR ULTRAPRO SHORT QQ,22.0
20200828,74347G861,SQQQ,674366.0,PROSHARES TR ULTRAPRO SHORT QQ,22.22
20200831,74347G861,SQQQ,1.0,PROSHARES TR ULTRAPRO SHORT QQ,21.85
20200901,74347G861,SQQQ,4326.0,PROSHARES TR ULTRAPRO SHORT QQ,21.35
20200902,74347G861,SQQQ,1358.0,PROSHARES TR ULTRAPRO SHORT QQ,20.24
20200903,74347G861,SQQQ,61561.0,PROSHARES TR ULTRAPRO SHORT QQ,19.66
20200904,74347G861,SQQQ,1.0,PROSHARES TR ULTRAPRO SHORT QQ,22.68
20200908,74347G861,SQQQ,109653.0,PROSHARES TR ULTRAPRO SHORT QQ,23.58
20200909,74347G861,SQQQ,7599.0,PROSHARES TR ULTRAPRO SHORT QQ,26.93
20200910,74347G861,SQQQ,2630.0,PROSHARES TR ULTRAPRO SHORT QQ,24.6
20200911,74347G861,SQQQ,546.0,PROSHARES TR ULTRAPRO SHORT QQ,26.01
20200914,74347G861,SQQQ,1.0,PROSHARES TR ULTRAPRO SHORT QQ,26.56
20200915,74347G861,SQQQ,4465.0,PROSHARES TR ULTRAPRO SHORT QQ,25.2
20200916,74347G861,SQQQ,1.0,PROSHARES TR ULTRAPRO SHORT QQ,24.1
20200917,74347G861,SQQQ,17939.0,PROSHARES TR ULTRAPRO SHORT QQ,25.28
20200918,74347G861,SQQQ,1.0,PROSHARES TR ULTRAPRO SHORT QQ,26.42
20200922,74347G861,SQQQ,1500.0,PROSHARES TR ULTRAPRO SHORT QQ,27.11
20200923,74347G861,SQQQ,29152.0,PROSHARES TR ULTRAPRO SHORT QQ,25.62
20200924,74347G861,SQQQ,2565.0,PROSHARES TR ULTRAPRO SHORT QQ,28.0
20200925,74347G861,SQQQ,94823.0,PROSHARES TR ULTRAPRO SHORT QQ,27.57
20200928,74347G861,SQQQ,9655.0,PROSHARES TR ULTRAPRO SHORT QQ,25.63
20200930,74347G861,SQQQ,96776.0,PROSHARES TR ULTRAPRO SHORT QQ,24.37
20201001,74347G861,SQQQ,9774.0,PROSHARES TR ULTRAPRO SHORT QQ,23.85
20201002,74347G861,SQQQ,24827.0,PROSHARES TR ULTRAPRO SHORT QQ,22.73
20201008,74347G861,SQQQ,11840.0,PROSHARES TR ULTRAPRO SHORT QQ,23.02
20201009,74347G861,SQQQ,36210.0,PROSHARES TR ULTRAPRO SHORT QQ,22.64
20201013,74347G861,SQQQ,49120.0,PROSHARES TR ULTRAPRO SHORT QQ,19.62
20201014,74347G861,SQQQ,85728.0,PROSHARES TR ULTRAPRO SHORT QQ,19.6
20201015,74347G861,SQQQ,1397.0,PROSHARES TR ULTRAPRO SHORT QQ,20.09
20201019,74347G861,SQQQ,22293.0,PROSHARES TR ULTRAPRO SHORT QQ,20.84
20201020,74347G861,SQQQ,128809.0,PROSHARES TR ULTRAPRO SHORT QQ,21.85
20201021,74347G861,SQQQ,25449.0,PROSHARES TR ULTRAPRO SHORT QQ,21.69
20201022,74347G861,SQQQ,8834.0,PROSHARES TR ULTRAPRO SHORT QQ,21.76
20201023,74347G861,SQQQ,112010.0,PROSHARES TR ULTRAPRO SHORT QQ,21.75
20201026,74347G861,SQQQ,30105.0,PROSHARES TR ULTRAPRO SHORT QQ,21.6
20201027,74347G861,SQQQ,8351.0,PROSHARES TR ULTRAPRO SHORT QQ,22.58
20201028,74347G861,SQQQ,24702.0,PROSHARES TR ULTRAPRO SHORT QQ,22.06
20201029,74347G861,SQQQ,12199.0,PROSHARES TR ULTRAPRO SHORT QQ,24.65
20201030,74347G861,SQQQ,60944.0,PROSHARES TR ULTRAPRO SHORT QQ,23.36
20201102,74347G861,SQQQ,7029.0,PROSHARES TR ULTRAPRO SHORT QQ,25.03
20201103,74347G861,SQQQ,66179.0,PROSHARES TR ULTRAPRO SHORT QQ,24.95
20201104,74347G861,SQQQ,17.0,PROSHARES TR ULTRAPRO SHORT QQ,23.68
20201105,74347G861,SQQQ,4844.0,PROSHARES TR ULTRAPRO SHORT QQ,20.48
20201106,74347G861,SQQQ,44677.0,PROSHARES TR ULTRAPRO SHORT QQ,18.9
20201110,74347G861,SQQQ,6029.0,PROSHARES TR ULTRAPRO SHORT QQ,19.98
20201112,74347G861,SQQQ,708014.0,PROSHARES TR ULTRAPRO SHORT QQ,19.64
20201113,74347G861,SQQQ,209283.0,PROSHARES TR ULTRAPRO SHORT QQ,19.9
20201116,74347G861,SQQQ,548997.0,PROSHARES TR ULTRAPRO SHORT QQ,19.39
20201117,74347G861,SQQQ,90006.0,PROSHARES TR ULTRAPRO SHORT QQ,18.95
20201118,74347G861,SQQQ,356961.0,PROSHARES TR ULTRAPRO SHORT QQ,19.1
20201119,74347G861,SQQQ,12394.0,PROSHARES TR ULTRAPRO SHORT QQ,19.55
20201120,74347G861,SQQQ,35203.0,PROSHARES TR ULTRAPRO SHORT QQ,19.07
20201123,74347G861,SQQQ,28335.0,PROSHARES TR ULTRAPRO SHORT QQ,19.47
20201124,74347G861,SQQQ,70336.0,PROSHARES TR ULTRAPRO SHORT QQ,19.46
20201125,74347G861,SQQQ,28640.0,PROSHARES TR ULTRAPRO SHORT QQ,18.65
20201127,74347G861,SQQQ,40795.0,PROSHARES TR ULTRAPRO SHORT QQ,18.29
20201130,74347G861,SQQQ,533.0,PROSHARES TR ULTRAPRO SHORT QQ,17.8
20201201,74347G861,SQQQ,38784.0,PROSHARES TR ULTRAPRO SHORT QQ,17.7
20201203,74347G861,SQQQ,7220.0,PROSHARES TR ULTRAPRO SHORT QQ,16.92
20201204,74347G861,SQQQ,62550.0,PROSHARES TR ULTRAPRO SHORT QQ,16.85
20201207,74347G861,SQQQ,58147.0,PROSHARES TR ULTRAPRO SHORT QQ,16.64
20201208,74347G861,SQQQ,13222.0,PROSHARES TR ULTRAPRO SHORT QQ,16.36
20201209,74347G861,SQQQ,400.0,PROSHARES TR ULTRAPRO SHORT QQ,16.2
20201211,74347G861,SQQQ,58935.0,PROSHARES TR ULTRAPRO SHORT QQ,17.1
20201214,74347G861,SQQQ,5828.0,PROSHARES TR ULTRAPRO SHORT QQ,17.2
20201215,74347G861,SQQQ,13664.0,PROSHARES TR ULTRAPRO SHORT QQ,16.82
20201216,74347G861,SQQQ,10467.0,PROSHARES TR ULTRAPRO SHORT QQ,16.3
20201222,74347G861,SQQQ,16170.0,PROSHARES TR ULTRAPRO SHORT QQ,15.95
20201223,74347G861,SQQQ,11217.0,PROSHARES TR ULTRAPRO SHORT QQ,15.81
20201230,74347G861,SQQQ,5939.0,PROSHARES TR ULTRAPRO SHORT QQ,15.31
20210105,74347G861,SQQQ,300.0,PROSHARES TR ULTRAPRO SHORT QQ,15.84
20210108,74347G861,SQQQ,29704.0,PROSHARES TR ULTRAPRO SHORT QQ,14.89
20210112,74347G861,SQQQ,40741.0,PROSHARES TR ULTRAPRO SHORT QQ,14.96
20210113,74347G861,SQQQ,23811.0,PROSHARES TR ULTRAPRO SHORT QQ,15.02
20210114,74347G861,SQQQ,21513.0,PROSHARES TR ULTRAPRO SHORT QQ,14.74
20210115,74347G861,SQQQ,106053.0,PROSHARES TR ULTRAPRO SHORT QQ,14.96
20210119,74347G861,SQQQ,116269.0,PROSHARES TR ULTRAPRO SHORT QQ,15.32
20210120,74347G861,SQQQ,11730.0,PROSHARES TR ULTRAPRO SHORT QQ,14.64
20210122,74347G861,SQQQ,115819.0,PROSHARES TR ULTRAPRO SHORT QQ,13.28
20210125,74347G861,SQQQ,56554.0,PROSHARES TR ULTRAPRO SHORT QQ,13.4
20210127,74347G861,SQQQ,65350.0,PROSHARES TR ULTRAPRO SHORT QQ,13.01
20210128,74347G861,SQQQ,45637.0,PROSHARES TR ULTRAPRO SHORT QQ,14.07
20210129,74347G861,SQQQ,81698.0,PROSHARES TR ULTRAPRO SHORT QQ,13.85
20210201,74347G861,SQQQ,46542.0,PROSHARES TR ULTRAPRO SHORT QQ,14.71
20210202,74347G861,SQQQ,47587.0,PROSHARES TR ULTRAPRO SHORT QQ,13.61
20210203,74347G861,SQQQ,83601.0,PROSHARES TR ULTRAPRO SHORT QQ,12.97
20210204,74347G861,SQQQ,9258.0,PROSHARES TR ULTRAPRO SHORT QQ,13.1
20210205,74347G861,SQQQ,60318.0,PROSHARES TR ULTRAPRO SHORT QQ,12.64
20210208,74347G861,SQQQ,61034.0,PROSHARES TR ULTRAPRO SHORT QQ,12.51
20210209,74347G861,SQQQ,55755.0,PROSHARES TR ULTRAPRO SHORT QQ,12.26
20210210,74347G861,SQQQ,150497.0,PROSHARES TR ULTRAPRO SHORT QQ,12.27
20210211,74347G861,SQQQ,30507.0,PROSHARES TR ULTRAPRO SHORT QQ,12.35
20210212,74347G861,SQQQ,6241.0,PROSHARES TR ULTRAPRO SHORT QQ,12.15
20210216,74347G861,SQQQ,4.0,PROSHARES TR ULTRAPRO SHORT QQ,11.96
20210219,74347G861,SQQQ,85977.0,PROSHARES TR ULTRAPRO SHORT QQ,12.38
20210222,74347G861,SQQQ,55144.0,PROSHARES TR ULTRAPRO SHORT QQ,12.54
20210223,74347G861,SQQQ,7516.0,PROSHARES TR ULTRAPRO SHORT QQ,13.52
20210224,74347G861,SQQQ,81707.0,PROSHARES TR ULTRAPRO SHORT QQ,13.63
20210225,74347G861,SQQQ,45074.0,PROSHARES TR ULTRAPRO SHORT QQ,13.29
20210226,74347G861,SQQQ,28211.0,PROSHARES TR ULTRAPRO SHORT QQ,14.7
20210301,74347G861,SQQQ,1340.0,PROSHARES TR ULTRAPRO SHORT QQ,14.48
20210302,74347G861,SQQQ,13274.0,PROSHARES TR ULTRAPRO SHORT QQ,13.19
20210303,74347G861,SQQQ,205893.0,PROSHARES TR ULTRAPRO SHORT QQ,13.82
20210305,74347G861,SQQQ,33891.0,PROSHARES TR ULTRAPRO SHORT QQ,15.76
20210308,74347G861,SQQQ,6021.0,PROSHARES TR ULTRAPRO SHORT QQ,15.04
20210309,74347G861,SQQQ,92.0,PROSHARES TR ULTRAPRO SHORT QQ,16.32
20210311,74347G861,SQQQ,64153.0,PROSHARES TR ULTRAPRO SHORT QQ,14.5
20210316,74347G861,SQQQ,2040.0,PROSHARES TR ULTRAPRO SHORT QQ,13.38
20210319,74347G861,SQQQ,119186.0,PROSHARES TR ULTRAPRO SHORT QQ,14.19
20210322,74347G861,SQQQ,225.0,PROSHARES TR ULTRAPRO SHORT QQ,14.01
20210323,74347G861,SQQQ,138389.0,PROSHARES TR ULTRAPRO SHORT QQ,13.25
20210325,74347G861,SQQQ,88468.0,PROSHARES TR ULTRAPRO SHORT QQ,14.1
20210326,74347G861,SQQQ,128994.0,PROSHARES TR ULTRAPRO SHORT QQ,14.17
20210329,74347G861,SQQQ,45873.0,PROSHARES TR ULTRAPRO SHORT QQ,13.53
20210330,74347G861,SQQQ,20815.0,PROSHARES TR ULTRAPRO SHORT QQ,13.55
20210331,74347G861,SQQQ,6474.0,PROSHARES TR ULTRAPRO SHORT QQ,13.75
20210401,74347G861,SQQQ,70127.0,PROSHARES TR ULTRAPRO SHORT QQ,13.12
20210406,74347G861,SQQQ,350.0,PROSHARES TR ULTRAPRO SHORT QQ,11.71
20210407,74347G861,SQQQ,8732.0,PROSHARES TR ULTRAPRO SHORT QQ,11.74
20210408,74347G861,SQQQ,128596.0,PROSHARES TR ULTRAPRO SHORT QQ,11.64
20210415,74347G861,SQQQ,13.0,PROSHARES TR ULTRAPRO SHORT QQ,11.11
20210416,74347G861,SQQQ,27947.0,PROSHARES TR ULTRAPRO SHORT QQ,10.59
20210428,74347G861,SQQQ,801.0,PROSHARES TR ULTRAPRO SHORT QQ,10.69
20210429,74347G861,SQQQ,118415.0,PROSHARES TR ULTRAPRO SHORT QQ,10.81
20210430,74347G861,SQQQ,36471.0,PROSHARES TR ULTRAPRO SHORT QQ,10.68
20210503,74347G861,SQQQ,5396.0,PROSHARES TR ULTRAPRO SHORT QQ,10.89
20210505,74347G861,SQQQ,131495.0,PROSHARES TR ULTRAPRO SHORT QQ,11.66
20210506,74347G861,SQQQ,46542.0,PROSHARES TR ULTRAPRO SHORT QQ,11.78
20210511,74347G861,SQQQ,53918.0,PROSHARES TR ULTRAPRO SHORT QQ,12.08
20210512,74347G861,SQQQ,21087.0,PROSHARES TR ULTRAPRO SHORT QQ,12.12
20210513,74347G861,SQQQ,23088.0,PROSHARES TR ULTRAPRO SHORT QQ,13.06
20210514,74347G861,SQQQ,5900.0,PROSHARES TR ULTRAPRO SHORT QQ,12.77
