SETTLEMENT DATE,CUSIP,SYMBOL,QUANTITY (FAILS),DESCRIPTION,PRICE
20200601,88688T100,TLRY,805622.0,TILRAY INC COM CL 2 (DE),9.85
20200602,88688T100,TLRY,1215860.0,TILRAY INC COM CL 2 (DE),10.04
20200603,88688T100,TLRY,606340.0,TILRAY INC COM CL 2 (DE),10.02
20200604,88688T100,TLRY,1131704.0,TILRAY INC COM CL 2 (DE),10.08
20200605,88688T100,TLRY,305684.0,TILRAY INC COM CL 2 (DE),10.09
20200608,88688T100,TLRY,261586.0,TILRAY INC COM CL 2 (DE),9.48
20200609,88688T100,TLRY,841577.0,TILRAY INC COM CL 2 (DE),10.44
20200610,88688T100,TLRY,24244.0,TILRAY INC COM CL 2 (DE),10.13
20200611,88688T100,TLRY,27295.0,TILRAY INC COM CL 2 (DE),9.69
20200612,88688T100,TLRY,126218.0,TILRAY INC COM CL 2 (DE),8.37
20200615,88688T100,TLRY,23700.0,TILRAY INC COM CL 2 (DE),8.42
20200616,88688T100,TLRY,424255.0,TILRAY INC COM CL 2 (DE),8.44
20200617,88688T100,TLRY,365848.0,TILRAY INC COM CL 2 (DE),8.23
20200618,88688T100,TLRY,749082.0,TILRAY INC COM CL 2 (DE),8.09
20200619,88688T100,TLRY,1019011.0,TILRAY INC COM CL 2 (DE),8.56
20200622,88688T100,TLRY,1006186.0,TILRAY INC COM CL 2 (DE),8.3
20200623,88688T100,TLRY,1082818.0,TILRAY INC COM CL 2 (DE),8.41
20200624,88688T100,TLRY,647035.0,TILRAY INC COM CL 2 (DE),8.56
20200625,88688T100,TLRY,381895.0,TILRAY INC COM CL 2 (DE),8.15
20200626,88688T100,TLRY,421318.0,TILRAY INC COM CL 2 (DE),8.55
20200629,88688T100,TLRY,303829.0,TILRAY INC COM CL 2 (DE),7.95
20200630,88688T100,TLRY,360778.0,TILRAY INC COM CL 2 (DE),7.71
20200701,88688T100,TLRY,45415.0,TILRAY INC COM CL 2 (DE),7.11
20200702,88688T100,TLRY,186690.0,TILRAY INC COM CL 2 (DE),7.01
20200706,88688T100,TLRY,281446.0,TILRAY INC COM CL 2 (DE),6.96
20200707,88688T100,TLRY,112653.0,TILRAY INC COM CL 2 (DE),7.85
20200708,88688T100,TLRY,2468.0,TILRAY INC COM CL 2 (DE),7.7
20200709,88688T100,TLRY,188063.0,TILRAY INC COM CL 2 (DE),7.58
20200710,88688T100,TLRY,18990.0,TILRAY INC COM CL 2 (DE),7.41
20200713,88688T100,TLRY,450.0,TILRAY INC COM CL 2 (DE),8.01
20200714,88688T100,TLRY,192065.0,TILRAY INC COM CL 2 (DE),7.47
20200715,88688T100,TLRY,105270.0,TILRAY INC COM CL 2 (DE),7.57
20200716,88688T100,TLRY,98927.0,TILRAY INC COM CL 2 (DE),7.84
20200717,88688T100,TLRY,307495.0,TILRAY INC COM CL 2 (DE),7.68
20200720,88688T100,TLRY,210092.0,TILRAY INC COM CL 2 (DE),7.33
20200721,88688T100,TLRY,389662.0,TILRAY INC COM CL 2 (DE),7.13
20200722,88688T100,TLRY,74794.0,TILRAY INC COM CL 2 (DE),7.4
20200723,88688T100,TLRY,13147.0,TILRAY INC COM CL 2 (DE),7.25
20200724,88688T100,TLRY,25718.0,TILRAY INC COM CL 2 (DE),7.35
20200727,88688T100,TLRY,242908.0,TILRAY INC COM CL 2 (DE),7.12
20200728,88688T100,TLRY,153731.0,TILRAY INC COM CL 2 (DE),7.37
20200729,88688T100,TLRY,89802.0,TILRAY INC COM CL 2 (DE),8.12
20200730,88688T100,TLRY,80904.0,TILRAY INC COM CL 2 (DE),7.53
20200731,88688T100,TLRY,193916.0,TILRAY INC COM CL 2 (DE),7.53
20200803,88688T100,TLRY,10942.0,TILRAY INC COM CL 2 (DE),7.38
20200804,88688T100,TLRY,17443.0,TILRAY INC COM CL 2 (DE),7.43
20200805,88688T100,TLRY,80.0,TILRAY INC COM CL 2 (DE),8.7
20200806,88688T100,TLRY,101575.0,TILRAY INC COM CL 2 (DE),8.11
20200807,88688T100,TLRY,235533.0,TILRAY INC COM CL 2 (DE),7.76
20200810,88688T100,TLRY,14249.0,TILRAY INC COM CL 2 (DE),7.46
20200811,88688T100,TLRY,342388.0,TILRAY INC COM CL 2 (DE),7.97
20200812,88688T100,TLRY,346488.0,TILRAY INC COM CL 2 (DE),6.93
20200813,88688T100,TLRY,617353.0,TILRAY INC COM CL 2 (DE),6.9
20200814,88688T100,TLRY,557717.0,TILRAY INC COM CL 2 (DE),7.05
20200817,88688T100,TLRY,571243.0,TILRAY INC COM CL 2 (DE),7.25
20200818,88688T100,TLRY,734820.0,TILRAY INC COM CL 2 (DE),7.06
20200819,88688T100,TLRY,126136.0,TILRAY INC COM CL 2 (DE),6.98
20200820,88688T100,TLRY,453190.0,TILRAY INC COM CL 2 (DE),7.04
20200821,88688T100,TLRY,111647.0,TILRAY INC COM CL 2 (DE),6.9
20200824,88688T100,TLRY,127476.0,TILRAY INC COM CL 2 (DE),6.64
20200825,88688T100,TLRY,10822.0,TILRAY INC COM CL 2 (DE),6.74
20200826,88688T100,TLRY,38267.0,TILRAY INC COM CL 2 (DE),6.62
20200827,88688T100,TLRY,11941.0,TILRAY INC COM CL 2 (DE),6.49
20200828,88688T100,TLRY,109011.0,TILRAY INC COM CL 2 (DE),6.44
20200831,88688T100,TLRY,6833.0,TILRAY INC COM CL 2 (DE),6.59
20200901,88688T100,TLRY,5921.0,TILRAY INC COM CL 2 (DE),6.71
20200902,88688T100,TLRY,137.0,TILRAY INC COM CL 2 (DE),6.45
20200903,88688T100,TLRY,204.0,TILRAY INC COM CL 2 (DE),6.41
20200904,88688T100,TLRY,10180.0,TILRAY INC COM CL 2 (DE),6.06
20200908,88688T100,TLRY,2408.0,TILRAY INC COM CL 2 (DE),5.92
20200909,88688T100,TLRY,24204.0,TILRAY INC COM CL 2 (DE),5.66
20200910,88688T100,TLRY,15045.0,TILRAY INC COM CL 2 (DE),5.65
20200911,88688T100,TLRY,128.0,TILRAY INC COM CL 2 (DE),5.63
20200914,88688T100,TLRY,708.0,TILRAY INC COM CL 2 (DE),5.31
20200915,88688T100,TLRY,29933.0,TILRAY INC COM CL 2 (DE),5.31
20200916,88688T100,TLRY,37705.0,TILRAY INC COM CL 2 (DE),5.29
20200917,88688T100,TLRY,79101.0,TILRAY INC COM CL 2 (DE),5.64
20200918,88688T100,TLRY,7862.0,TILRAY INC COM CL 2 (DE),5.43
20200921,88688T100,TLRY,45191.0,TILRAY INC COM CL 2 (DE),5.34
20200922,88688T100,TLRY,109349.0,TILRAY INC COM CL 2 (DE),5.0
20200923,88688T100,TLRY,97051.0,TILRAY INC COM CL 2 (DE),5.37
20200925,88688T100,TLRY,54658.0,TILRAY INC COM CL 2 (DE),4.75
20200928,88688T100,TLRY,1956.0,TILRAY INC COM CL 2 (DE),4.79
20200929,88688T100,TLRY,414266.0,TILRAY INC COM CL 2 (DE),4.82
20200930,88688T100,TLRY,89338.0,TILRAY INC COM CL 2 (DE),4.83
20201001,88688T100,TLRY,8088.0,TILRAY INC COM CL 2 (DE),4.85
20201002,88688T100,TLRY,23502.0,TILRAY INC COM CL 2 (DE),4.92
20201005,88688T100,TLRY,8350.0,TILRAY INC COM CL 2 (DE),4.82
20201007,88688T100,TLRY,130986.0,TILRAY INC COM CL 2 (DE),4.9
20201008,88688T100,TLRY,640429.0,TILRAY INC COM CL 2 (DE),5.2
20201009,88688T100,TLRY,573220.0,TILRAY INC COM CL 2 (DE),6.15
20201013,88688T100,TLRY,201632.0,TILRAY INC COM CL 2 (DE),6.3
20201014,88688T100,TLRY,998893.0,TILRAY INC COM CL 2 (DE),5.93
20201015,88688T100,TLRY,305133.0,TILRAY INC COM CL 2 (DE),5.98
20201016,88688T100,TLRY,383774.0,TILRAY INC COM CL 2 (DE),5.57
20201019,88688T100,TLRY,509379.0,TILRAY INC COM CL 2 (DE),5.56
