SETTLEMENT DATE,CUSIP,SYMBOL,QUANTITY (FAILS),DESCRIPTION,PRICE
20200601,74347X831,TQQQ,12.0,PROSHARES ULTRAPRO QQQ,82.77
20200602,74347X831,TQQQ,67327.0,PROSHARES ULTRAPRO QQQ,83.79
20200603,74347X831,TQQQ,4505.0,PROSHARES ULTRAPRO QQQ,85.46
20200604,74347X831,TQQQ,4908.0,PROSHARES ULTRAPRO QQQ,86.62
20200605,74347X831,TQQQ,172571.0,PROSHARES ULTRAPRO QQQ,84.86
20200608,74347X831,TQQQ,30407.0,PROSHARES ULTRAPRO QQQ,89.89
20200609,74347X831,TQQQ,400.0,PROSHARES ULTRAPRO QQQ,91.89
20200610,74347X831,TQQQ,227210.0,PROSHARES ULTRAPRO QQQ,93.94
20200611,74347X831,TQQQ,614.0,PROSHARES ULTRAPRO QQQ,97.33
20200612,74347X831,TQQQ,100439.0,PROSHARES ULTRAPRO QQQ,83.0
20200615,74347X831,TQQQ,93843.0,PROSHARES ULTRAPRO QQQ,84.8
20200616,74347X831,TQQQ,60.0,PROSHARES ULTRAPRO QQQ,87.79
20200617,74347X831,TQQQ,127421.0,PROSHARES ULTRAPRO QQQ,92.43
20200618,74347X831,TQQQ,169112.0,PROSHARES ULTRAPRO QQQ,93.33
20200619,74347X831,TQQQ,6627.0,PROSHARES ULTRAPRO QQQ,94.05
20200622,74347X831,TQQQ,209.0,PROSHARES ULTRAPRO QQQ,93.92
20200623,74347X831,TQQQ,50401.0,PROSHARES ULTRAPRO QQQ,97.26
20200624,74347X831,TQQQ,9912.0,PROSHARES ULTRAPRO QQQ,99.8
20200625,74347X831,TQQQ,451175.0,PROSHARES ULTRAPRO QQQ,93.92
20200626,74347X831,TQQQ,2241.0,PROSHARES ULTRAPRO QQQ,96.41
20200629,74347X831,TQQQ,19868.0,PROSHARES ULTRAPRO QQQ,89.48
20200630,74347X831,TQQQ,1063.0,PROSHARES ULTRAPRO QQQ,92.34
20200701,74347X831,TQQQ,29085.0,PROSHARES ULTRAPRO QQQ,97.65
20200702,74347X831,TQQQ,17593.0,PROSHARES ULTRAPRO QQQ,101.14
20200706,74347X831,TQQQ,755.0,PROSHARES ULTRAPRO QQQ,103.29
20200707,74347X831,TQQQ,29789.0,PROSHARES ULTRAPRO QQQ,110.88
