SETTLEMENT DATE,CUSIP,SYMBOL,QUANTITY (FAILS),DESCRIPTION,PRICE
20200601,88160R101,TSLA,2945.0,TESLA INC COM STK (DE),835.0
20200602,88160R101,TSLA,10571.0,TESLA INC COM STK (DE),898.1
20200603,88160R101,TSLA,4605.0,TESLA INC COM STK (DE),881.56
20200604,88160R101,TSLA,30618.0,TESLA INC COM STK (DE),882.96
20200605,88160R101,TSLA,305.0,TESLA INC COM STK (DE),864.38
20200609,88160R101,TSLA,2200.0,TESLA INC COM STK (DE),949.92
20200611,88160R101,TSLA,4084.0,TESLA INC COM STK (DE),1025.05
20200612,88160R101,TSLA,100.0,TESLA INC COM STK (DE),972.84
20200615,88160R101,TSLA,23203.0,TESLA INC COM STK (DE),935.28
20200617,88160R101,TSLA,28448.0,TESLA INC COM STK (DE),982.13
20200618,88160R101,TSLA,22484.0,TESLA INC COM STK (DE),991.79
20200622,88160R101,TSLA,3366.0,TESLA INC COM STK (DE),1000.9
20200623,88160R101,TSLA,57.0,TESLA INC COM STK (DE),994.32
20200624,88160R101,TSLA,760.0,TESLA INC COM STK (DE),1001.78
20200625,88160R101,TSLA,258.0,TESLA INC COM STK (DE),960.85
20200626,88160R101,TSLA,6194.0,TESLA INC COM STK (DE),985.98
20200629,88160R101,TSLA,3000.0,TESLA INC COM STK (DE),959.74
20200630,88160R101,TSLA,11029.0,TESLA INC COM STK (DE),1009.35
20200702,88160R101,TSLA,135.0,TESLA INC COM STK (DE),1119.63
20200706,88160R101,TSLA,7.0,TESLA INC COM STK (DE),1208.66
20200707,88160R101,TSLA,1964.0,TESLA INC COM STK (DE),1371.58
20200708,88160R101,TSLA,54.0,TESLA INC COM STK (DE),1389.86
20200709,88160R101,TSLA,3751.0,TESLA INC COM STK (DE),1365.88
20200710,88160R101,TSLA,7637.0,TESLA INC COM STK (DE),1394.28
20200714,88160R101,TSLA,3674.0,TESLA INC COM STK (DE),1497.06
20200715,88160R101,TSLA,11614.0,TESLA INC COM STK (DE),1516.8
20200717,88160R101,TSLA,4880.0,TESLA INC COM STK (DE),1500.64
20200721,88160R101,TSLA,7235.0,TESLA INC COM STK (DE),1643.0
20200722,88160R101,TSLA,10709.0,TESLA INC COM STK (DE),1568.36
20200723,88160R101,TSLA,13396.0,TESLA INC COM STK (DE),1592.33
20200724,88160R101,TSLA,8046.0,TESLA INC COM STK (DE),1513.07
20200727,88160R101,TSLA,6109.0,TESLA INC COM STK (DE),1417.0
20200728,88160R101,TSLA,420.0,TESLA INC COM STK (DE),1539.6
20200729,88160R101,TSLA,496.0,TESLA INC COM STK (DE),1476.49
20200730,88160R101,TSLA,32.0,TESLA INC COM STK (DE),1499.11
20200731,88160R101,TSLA,4379.0,TESLA INC COM STK (DE),1487.49
20200803,88160R101,TSLA,2543.0,TESLA INC COM STK (DE),1430.76
20200805,88160R101,TSLA,1968.0,TESLA INC COM STK (DE),1487.0
20200806,88160R101,TSLA,3150.0,TESLA INC COM STK (DE),1485.02
20200807,88160R101,TSLA,1724.0,TESLA INC COM STK (DE),1489.58
20200810,88160R101,TSLA,1211.0,TESLA INC COM STK (DE),1452.71
20200811,88160R101,TSLA,6061.0,TESLA INC COM STK (DE),1418.57
20200812,88160R101,TSLA,129.0,TESLA INC COM STK (DE),1374.39
20200813,88160R101,TSLA,3615.0,TESLA INC COM STK (DE),1554.76
20200817,88160R101,TSLA,713.0,TESLA INC COM STK (DE),1650.71
20200818,88160R101,TSLA,1344.0,TESLA INC COM STK (DE),1835.64
20200819,88160R101,TSLA,73253.0,TESLA INC COM STK (DE),1887.09
20200820,88160R101,TSLA,4289.0,TESLA INC COM STK (DE),1878.53
20200821,88160R101,TSLA,3630.0,TESLA INC COM STK (DE),2001.83
20200824,88160R101,TSLA,1356.0,TESLA INC COM STK (DE),2049.98
20200825,88160R101,TSLA,2931.0,TESLA INC COM STK (DE),2014.2
20200826,88160R101,TSLA,5152.0,TESLA INC COM STK (DE),2023.34
20200827,88160R101,TSLA,691.0,TESLA INC COM STK (DE),2153.17
20200828,88160R101,TSLA,7980.0,TESLA INC COM STK (DE),2238.75
20200831,88160R101,TSLA,30319.0,TESLA INC COM STK (DE),2213.4
20200901,88160R101,TSLA,18837.0,TESLA INC COM STK (DE),2491.6
20200902,88160R101,TSLA,1240984.0,TESLA INC COM STK (DE),475.05
20200903,88160R101,TSLA,639.0,TESLA INC COM STK (DE),447.37
20200904,88160R101,TSLA,169.0,TESLA INC COM STK (DE),407.0
20200908,88160R101,TSLA,2691.0,TESLA INC COM STK (DE),418.32
20200909,88160R101,TSLA,12515.0,TESLA INC COM STK (DE),330.21
20200910,88160R101,TSLA,19968.0,TESLA INC COM STK (DE),366.28
20200911,88160R101,TSLA,47368.0,TESLA INC COM STK (DE),371.34
20200914,88160R101,TSLA,263338.0,TESLA INC COM STK (DE),372.72
20200915,88160R101,TSLA,73578.0,TESLA INC COM STK (DE),419.62
20200916,88160R101,TSLA,21503.0,TESLA INC COM STK (DE),449.76
20200918,88160R101,TSLA,491.0,TESLA INC COM STK (DE),423.43
20200921,88160R101,TSLA,113311.0,TESLA INC COM STK (DE),442.15
20200922,88160R101,TSLA,5595.0,TESLA INC COM STK (DE),449.39
20200924,88160R101,TSLA,10197.0,TESLA INC COM STK (DE),380.36
20200925,88160R101,TSLA,3112.0,TESLA INC COM STK (DE),387.79
20200928,88160R101,TSLA,13477.0,TESLA INC COM STK (DE),407.34
20200929,88160R101,TSLA,119336.0,TESLA INC COM STK (DE),421.2
20200930,88160R101,TSLA,373.0,TESLA INC COM STK (DE),419.07
20201001,88160R101,TSLA,2207.0,TESLA INC COM STK (DE),429.01
20201002,88160R101,TSLA,13296.0,TESLA INC COM STK (DE),448.16
20201005,88160R101,TSLA,6702.0,TESLA INC COM STK (DE),415.09
20201007,88160R101,TSLA,2753.0,TESLA INC COM STK (DE),413.98
20201008,88160R101,TSLA,2318.0,TESLA INC COM STK (DE),425.3
20201009,88160R101,TSLA,4407.0,TESLA INC COM STK (DE),425.92
20201013,88160R101,TSLA,147212.0,TESLA INC COM STK (DE),442.3
20201014,88160R101,TSLA,7711.0,TESLA INC COM STK (DE),446.65
20201015,88160R101,TSLA,10615.0,TESLA INC COM STK (DE),461.3
20201016,88160R101,TSLA,3579.0,TESLA INC COM STK (DE),448.88
20201020,88160R101,TSLA,107235.0,TESLA INC COM STK (DE),430.83
20201021,88160R101,TSLA,5403.0,TESLA INC COM STK (DE),421.94
20201027,88160R101,TSLA,87745.0,TESLA INC COM STK (DE),420.28
20201029,88160R101,TSLA,246015.0,TESLA INC COM STK (DE),406.02
20201030,88160R101,TSLA,5662.0,TESLA INC COM STK (DE),410.83
20201102,88160R101,TSLA,243436.0,TESLA INC COM STK (DE),388.04
20201103,88160R101,TSLA,6169.0,TESLA INC COM STK (DE),400.51
20201104,88160R101,TSLA,529833.0,TESLA INC COM STK (DE),423.9
20201105,88160R101,TSLA,24832.0,TESLA INC COM STK (DE),420.98
20201109,88160R101,TSLA,16773.0,TESLA INC COM STK (DE),429.95
20201110,88160R101,TSLA,12671.0,TESLA INC COM STK (DE),421.26
20201112,88160R101,TSLA,135159.0,TESLA INC COM STK (DE),417.13
20201116,88160R101,TSLA,2.0,TESLA INC COM STK (DE),408.5
20201118,88160R101,TSLA,87048.0,TESLA INC COM STK (DE),441.61
20201119,88160R101,TSLA,13385.0,TESLA INC COM STK (DE),486.64
20201120,88160R101,TSLA,33151.0,TESLA INC COM STK (DE),499.27
20201123,88160R101,TSLA,11197.0,TESLA INC COM STK (DE),489.61
20201124,88160R101,TSLA,14021.0,TESLA INC COM STK (DE),521.85
20201125,88160R101,TSLA,1682.0,TESLA INC COM STK (DE),555.38
20201127,88160R101,TSLA,97.0,TESLA INC COM STK (DE),574.0
20201130,88160R101,TSLA,1800.0,TESLA INC COM STK (DE),585.76
20201202,88160R101,TSLA,2806.0,TESLA INC COM STK (DE),584.76
20201203,88160R101,TSLA,461.0,TESLA INC COM STK (DE),568.82
20201204,88160R101,TSLA,351131.0,TESLA INC COM STK (DE),593.38
20201207,88160R101,TSLA,271.0,TESLA INC COM STK (DE),599.04
