SETTLEMENT DATE,CUSIP,SYMBOL,QUANTITY (FAILS),DESCRIPTION,PRICE
20200601,90184L102,TWTR,15635.0,TWITTER INC COM STK (DE),30.97
20200603,90184L102,TWTR,643.0,TWITTER INC COM STK (DE),32.26
20200609,90184L102,TWTR,39865.0,TWITTER INC COM STK (DE),36.64
20200610,90184L102,TWTR,10.0,TWITTER INC COM STK (DE),35.92
20200611,90184L102,TWTR,1320.0,TWITTER INC COM STK (DE),35.14
20200615,90184L102,TWTR,244082.0,TWITTER INC COM STK (DE),33.4
20200618,90184L102,TWTR,7811.0,TWITTER INC COM STK (DE),34.34
20200707,90184L102,TWTR,48217.0,TWITTER INC COM STK (DE),32.34
20200708,90184L102,TWTR,24536.0,TWITTER INC COM STK (DE),32.99
20200709,90184L102,TWTR,42121.0,TWITTER INC COM STK (DE),35.41
20200713,90184L102,TWTR,4200.0,TWITTER INC COM STK (DE),35.4
20200714,90184L102,TWTR,7700.0,TWITTER INC COM STK (DE),33.82
20200715,90184L102,TWTR,3764.0,TWITTER INC COM STK (DE),34.38
20200717,90184L102,TWTR,21.0,TWITTER INC COM STK (DE),35.28
20200720,90184L102,TWTR,137311.0,TWITTER INC COM STK (DE),35.81
20200721,90184L102,TWTR,137114.0,TWITTER INC COM STK (DE),37.06
20200724,90184L102,TWTR,146554.0,TWITTER INC COM STK (DE),38.44
20200727,90184L102,TWTR,583.0,TWITTER INC COM STK (DE),37.54
20200728,90184L102,TWTR,5200.0,TWITTER INC COM STK (DE),36.85
20200803,90184L102,TWTR,170.0,TWITTER INC COM STK (DE),36.4
20200804,90184L102,TWTR,30918.0,TWITTER INC COM STK (DE),36.39
20200805,90184L102,TWTR,1819.0,TWITTER INC COM STK (DE),36.35
20200810,90184L102,TWTR,588.0,TWITTER INC COM STK (DE),37.14
20200811,90184L102,TWTR,26682.0,TWITTER INC COM STK (DE),37.44
20200812,90184L102,TWTR,15795.0,TWITTER INC COM STK (DE),37.28
20200813,90184L102,TWTR,1389.0,TWITTER INC COM STK (DE),37.44
20200814,90184L102,TWTR,1138.0,TWITTER INC COM STK (DE),37.82
20200817,90184L102,TWTR,115059.0,TWITTER INC COM STK (DE),37.9
20200818,90184L102,TWTR,1942.0,TWITTER INC COM STK (DE),37.97
20200819,90184L102,TWTR,2744.0,TWITTER INC COM STK (DE),38.01
20200821,90184L102,TWTR,1398.0,TWITTER INC COM STK (DE),38.96
20200825,90184L102,TWTR,4612.0,TWITTER INC COM STK (DE),40.49
20200826,90184L102,TWTR,45403.0,TWITTER INC COM STK (DE),40.55
20200828,90184L102,TWTR,9975.0,TWITTER INC COM STK (DE),40.39
20200831,90184L102,TWTR,174819.0,TWITTER INC COM STK (DE),41.07
20200901,90184L102,TWTR,10848.0,TWITTER INC COM STK (DE),40.58
20200902,90184L102,TWTR,10847.0,TWITTER INC COM STK (DE),41.15
20200903,90184L102,TWTR,635.0,TWITTER INC COM STK (DE),43.67
20200904,90184L102,TWTR,220736.0,TWITTER INC COM STK (DE),41.63
20200908,90184L102,TWTR,121.0,TWITTER INC COM STK (DE),39.87
20200909,90184L102,TWTR,603.0,TWITTER INC COM STK (DE),38.19
20200910,90184L102,TWTR,1068.0,TWITTER INC COM STK (DE),39.56
20200914,90184L102,TWTR,3682.0,TWITTER INC COM STK (DE),38.93
20200915,90184L102,TWTR,67.0,TWITTER INC COM STK (DE),38.77
20200916,90184L102,TWTR,133.0,TWITTER INC COM STK (DE),39.09
20200922,90184L102,TWTR,19160.0,TWITTER INC COM STK (DE),39.9
20200924,90184L102,TWTR,443025.0,TWITTER INC COM STK (DE),45.33
20200925,90184L102,TWTR,15998.0,TWITTER INC COM STK (DE),43.14
20200928,90184L102,TWTR,3143.0,TWITTER INC COM STK (DE),43.84
20200929,90184L102,TWTR,8432.0,TWITTER INC COM STK (DE),44.15
20201001,90184L102,TWTR,2053.0,TWITTER INC COM STK (DE),44.5
20201005,90184L102,TWTR,748.0,TWITTER INC COM STK (DE),46.12
20201006,90184L102,TWTR,5900.0,TWITTER INC COM STK (DE),47.31
20201008,90184L102,TWTR,928.0,TWITTER INC COM STK (DE),45.87
20201014,90184L102,TWTR,63196.0,TWITTER INC COM STK (DE),47.0
20201019,90184L102,TWTR,500.0,TWITTER INC COM STK (DE),45.81
20201020,90184L102,TWTR,12333.0,TWITTER INC COM STK (DE),45.82
20201021,90184L102,TWTR,636.0,TWITTER INC COM STK (DE),46.35
20201022,90184L102,TWTR,16969.0,TWITTER INC COM STK (DE),50.24
20201023,90184L102,TWTR,1505.0,TWITTER INC COM STK (DE),50.28
20201026,90184L102,TWTR,691.0,TWITTER INC COM STK (DE),50.44
20201027,90184L102,TWTR,2916.0,TWITTER INC COM STK (DE),49.0
20201102,90184L102,TWTR,309735.0,TWITTER INC COM STK (DE),41.36
20201103,90184L102,TWTR,59006.0,TWITTER INC COM STK (DE),39.47
20201104,90184L102,TWTR,1250.0,TWITTER INC COM STK (DE),41.73
20201105,90184L102,TWTR,5385.0,TWITTER INC COM STK (DE),42.76
20201106,90184L102,TWTR,7991.0,TWITTER INC COM STK (DE),43.71
20201109,90184L102,TWTR,4979.0,TWITTER INC COM STK (DE),43.12
