SETTLEMENT DATE,CUSIP,SYMBOL,QUANTITY (FAILS),DESCRIPTION,PRICE
20210122,91823B109,UWMC,875937.0,UWM HLDGS CORP CL A (DE),11.54
20210125,91823B109,UWMC,775684.0,UWM HLDGS CORP CL A (DE),11.35
20210126,91823B109,UWMC,650252.0,UWM HLDGS CORP CL A (DE),10.85
20210127,91823B109,UWMC,305429.0,UWM HLDGS CORP CL A (DE),10.07
20210128,91823B109,UWMC,273948.0,UWM HLDGS CORP CL A (DE),10.26
20210129,91823B109,UWMC,194028.0,UWM HLDGS CORP CL A (DE),9.96
20210201,91823B109,UWMC,61181.0,UWM HLDGS CORP CL A (DE),9.91
20210202,91823B109,UWMC,98617.0,UWM HLDGS CORP CL A (DE),10.1
20210203,91823B109,UWMC,33133.0,UWM HLDGS CORP CL A (DE),10.33
20210204,91823B109,UWMC,122719.0,UWM HLDGS CORP CL A (DE),11.38
20210205,91823B109,UWMC,1189.0,UWM HLDGS CORP CL A (DE),10.39
20210208,91823B109,UWMC,113287.0,UWM HLDGS CORP CL A (DE),9.99
20210209,91823B109,UWMC,138794.0,UWM HLDGS CORP CL A (DE),9.51
20210210,91823B109,UWMC,69422.0,UWM HLDGS CORP CL A (DE),9.28
20210211,91823B109,UWMC,13745.0,UWM HLDGS CORP CL A (DE),9.09
20210212,91823B109,UWMC,30255.0,UWM HLDGS CORP CL A (DE),9.2
20210216,91823B109,UWMC,144705.0,UWM HLDGS CORP CL A (DE),9.02
20210217,91823B109,UWMC,209181.0,UWM HLDGS CORP CL A (DE),8.97
20210218,91823B109,UWMC,384951.0,UWM HLDGS CORP CL A (DE),8.86
20210219,91823B109,UWMC,253258.0,UWM HLDGS CORP CL A (DE),8.61
20210222,91823B109,UWMC,270755.0,UWM HLDGS CORP CL A (DE),8.32
20210223,91823B109,UWMC,468957.0,UWM HLDGS CORP CL A (DE),8.01
20210224,91823B109,UWMC,1478533.0,UWM HLDGS CORP CL A (DE),8.04
20210225,91823B109,UWMC,1353128.0,UWM HLDGS CORP CL A (DE),7.96
20210226,91823B109,UWMC,1183650.0,UWM HLDGS CORP CL A (DE),7.64
20210301,91823B109,UWMC,608471.0,UWM HLDGS CORP CL A (DE),7.57
20210302,91823B109,UWMC,450269.0,UWM HLDGS CORP CL A (DE),7.63
20210303,91823B109,UWMC,399697.0,UWM HLDGS CORP CL A (DE),9.13
20210304,91823B109,UWMC,730050.0,UWM HLDGS CORP CL A (DE),9.62
20210305,91823B109,UWMC,1643113.0,UWM HLDGS CORP CL A (DE),8.73
20210308,91823B109,UWMC,1688875.0,UWM HLDGS CORP CL A (DE),8.68
20210309,91823B109,UWMC,1491221.0,UWM HLDGS CORP CL A (DE),8.16
20210310,91823B109,UWMC,385625.0,UWM HLDGS CORP CL A (DE),8.68
20210311,91823B109,UWMC,128306.0,UWM HLDGS CORP CL A (DE),8.58
20210312,91823B109,UWMC,23570.0,UWM HLDGS CORP CL A (DE),8.65
20210316,91823B109,UWMC,881346.0,UWM HLDGS CORP CL A (DE),8.4
20210317,91823B109,UWMC,1457032.0,UWM HLDGS CORP CL A (DE),8.46
20210318,91823B109,UWMC,1480547.0,UWM HLDGS CORP CL A (DE),9.05
20210319,91823B109,UWMC,1405945.0,UWM HLDGS CORP CL A (DE),8.98
20210322,91823B109,UWMC,1744838.0,UWM HLDGS CORP CL A (DE),8.86
20210323,91823B109,UWMC,1056055.0,UWM HLDGS CORP CL A (DE),8.78
20210324,91823B109,UWMC,886496.0,UWM HLDGS CORP CL A (DE),8.44
20210325,91823B109,UWMC,815999.0,UWM HLDGS CORP CL A (DE),8.13
20210326,91823B109,UWMC,211693.0,UWM HLDGS CORP CL A (DE),8.19
20210329,91823B109,UWMC,180000.0,UWM HLDGS CORP CL A (DE),7.98
20210330,91823B109,UWMC,15597.0,UWM HLDGS CORP CL A (DE),7.94
20210331,91823B109,UWMC,2601.0,UWM HLDGS CORP CL A (DE),7.86
20210401,91823B109,UWMC,58018.0,UWM HLDGS CORP CL A (DE),7.93
20210407,91823B109,UWMC,10389.0,UWM HLDGS CORP CL A (DE),7.94
20210408,91823B109,UWMC,241919.0,UWM HLDGS CORP CL A (DE),7.75
20210409,91823B109,UWMC,35678.0,UWM HLDGS CORP CL A (DE),7.82
20210412,91823B109,UWMC,56747.0,UWM HLDGS CORP CL A (DE),7.71
20210413,91823B109,UWMC,16694.0,UWM HLDGS CORP CL A (DE),7.51
20210414,91823B109,UWMC,311238.0,UWM HLDGS CORP CL A (DE),7.69
20210415,91823B109,UWMC,240936.0,UWM HLDGS CORP CL A (DE),7.59
20210416,91823B109,UWMC,2375.0,UWM HLDGS CORP CL A (DE),7.58
20210419,91823B109,UWMC,69373.0,UWM HLDGS CORP CL A (DE),7.49
20210420,91823B109,UWMC,717195.0,UWM HLDGS CORP CL A (DE),7.5
20210421,91823B109,UWMC,418945.0,UWM HLDGS CORP CL A (DE),7.23
20210422,91823B109,UWMC,787044.0,UWM HLDGS CORP CL A (DE),7.44
20210423,91823B109,UWMC,2045298.0,UWM HLDGS CORP CL A (DE),7.64
20210426,91823B109,UWMC,2428703.0,UWM HLDGS CORP CL A (DE),7.85
20210427,91823B109,UWMC,1911150.0,UWM HLDGS CORP CL A (DE),8.16
20210428,91823B109,UWMC,1600261.0,UWM HLDGS CORP CL A (DE),8.29
20210429,91823B109,UWMC,1503777.0,UWM HLDGS CORP CL A (DE),8.21
20210430,91823B109,UWMC,1618667.0,UWM HLDGS CORP CL A (DE),8.3
20210503,91823B109,UWMC,1310920.0,UWM HLDGS CORP CL A (DE),8.16
20210504,91823B109,UWMC,1276612.0,UWM HLDGS CORP CL A (DE),7.9
20210505,91823B109,UWMC,8018.0,UWM HLDGS CORP CL A (DE),7.87
