SETTLEMENT DATE,CUSIP,SYMBOL,QUANTITY (FAILS),DESCRIPTION,PRICE
20200602,92556H206,VIAC,293.0,VIACOMCBS INC CL B,21.53
20200603,92556H206,VIAC,81.0,VIACOMCBS INC CL B,21.84
20200604,92556H206,VIAC,251796.0,VIACOMCBS INC CL B,22.72
20200608,92556H206,VIAC,53982.0,VIACOMCBS INC CL B,24.82
20200615,92556H206,VIAC,184.0,VIACOMCBS INC CL B,22.9
20200616,92556H206,VIAC,237.0,VIACOMCBS INC CL B,24.89
20200617,92556H206,VIAC,798.0,VIACOMCBS INC CL B,24.19
20200619,92556H206,VIAC,59496.0,VIACOMCBS INC CL B,24.5
20200622,92556H206,VIAC,1921.0,VIACOMCBS INC CL B,23.69
20200623,92556H206,VIAC,55323.0,VIACOMCBS INC CL B,23.49
20200624,92556H206,VIAC,27310.0,VIACOMCBS INC CL B,23.71
20200625,92556H206,VIAC,10242.0,VIACOMCBS INC CL B,23.58
20200626,92556H206,VIAC,42540.0,VIACOMCBS INC CL B,22.97
20200629,92556H206,VIAC,32436.0,VIACOMCBS INC CL B,22.32
20200630,92556H206,VIAC,28039.0,VIACOMCBS INC CL B,23.05
20200701,92556H206,VIAC,791.0,VIACOMCBS INC CL B,23.32
20200702,92556H206,VIAC,3561.0,VIACOMCBS INC CL B,23.6
20200706,92556H206,VIAC,5876.0,VIACOMCBS INC CL B,23.25
20200707,92556H206,VIAC,100.0,VIACOMCBS INC CL B,23.69
20200709,92556H206,VIAC,132.0,VIACOMCBS INC CL B,22.92
20200710,92556H206,VIAC,88.0,VIACOMCBS INC CL B,22.1
20200716,92556H206,VIAC,2770.0,VIACOMCBS INC CL B,24.95
20200720,92556H206,VIAC,1302.0,VIACOMCBS INC CL B,25.19
20200721,92556H206,VIAC,5279.0,VIACOMCBS INC CL B,24.47
20200722,92556H206,VIAC,1046.0,VIACOMCBS INC CL B,24.52
20200724,92556H206,VIAC,2710.0,VIACOMCBS INC CL B,25.13
20200727,92556H206,VIAC,213538.0,VIACOMCBS INC CL B,24.75
20200728,92556H206,VIAC,11780.0,VIACOMCBS INC CL B,24.83
20200803,92556H206,VIAC,692.0,VIACOMCBS INC CL B,26.07
20200804,92556H206,VIAC,17617.0,VIACOMCBS INC CL B,25.71
20200805,92556H206,VIAC,48955.0,VIACOMCBS INC CL B,26.55
20200811,92556H206,VIAC,134.0,VIACOMCBS INC CL B,26.31
20200812,92556H206,VIAC,562423.0,VIACOMCBS INC CL B,26.51
20200814,92556H206,VIAC,100088.0,VIACOMCBS INC CL B,26.69
20200818,92556H206,VIAC,56569.0,VIACOMCBS INC CL B,27.23
20200819,92556H206,VIAC,32363.0,VIACOMCBS INC CL B,26.97
20200820,92556H206,VIAC,3930.0,VIACOMCBS INC CL B,27.32
20200821,92556H206,VIAC,11670.0,VIACOMCBS INC CL B,26.69
20200825,92556H206,VIAC,3903.0,VIACOMCBS INC CL B,27.64
20200831,92556H206,VIAC,3271.0,VIACOMCBS INC CL B,27.99
20200902,92556H206,VIAC,55390.0,VIACOMCBS INC CL B,27.7
20200909,92556H206,VIAC,1200.0,VIACOMCBS INC CL B,28.71
20200910,92556H206,VIAC,6852.0,VIACOMCBS INC CL B,28.71
20200911,92556H206,VIAC,383.0,VIACOMCBS INC CL B,29.3
20200914,92556H206,VIAC,57143.0,VIACOMCBS INC CL B,29.28
20200915,92556H206,VIAC,62340.0,VIACOMCBS INC CL B,29.73
20200917,92556H206,VIAC,5239.0,VIACOMCBS INC CL B,30.68
20200918,92556H206,VIAC,22.0,VIACOMCBS INC CL B,30.26
20200922,92556H206,VIAC,1964.0,VIACOMCBS INC CL B,28.99
20200923,92556H206,VIAC,262191.0,VIACOMCBS INC CL B,29.41
20200928,92556H206,VIAC,92.0,VIACOMCBS INC CL B,29.53
20200929,92556H206,VIAC,818.0,VIACOMCBS INC CL B,29.84
20200930,92556H206,VIAC,550.0,VIACOMCBS INC CL B,28.96
20201001,92556H206,VIAC,652.0,VIACOMCBS INC CL B,28.01
20201005,92556H206,VIAC,19.0,VIACOMCBS INC CL B,27.97
20201008,92556H206,VIAC,30.0,VIACOMCBS INC CL B,28.85
20201013,92556H206,VIAC,216.0,VIACOMCBS INC CL B,28.33
20201015,92556H206,VIAC,580.0,VIACOMCBS INC CL B,27.34
20201020,92556H206,VIAC,474.0,VIACOMCBS INC CL B,27.13
20201023,92556H206,VIAC,954.0,VIACOMCBS INC CL B,29.1
20201026,92556H206,VIAC,601.0,VIACOMCBS INC CL B,29.28
