SETTLEMENT DATE,CUSIP,SYMBOL,QUANTITY (FAILS),DESCRIPTION,PRICE
20200601,922908363,VOO,16470.0,VANGUARD INDEX FDS S&P 500 ETF,279.75
20200602,922908363,VOO,153496.0,VANGUARD INDEX FDS S&P 500 ETF,280.97
20200603,922908363,VOO,4.0,VANGUARD INDEX FDS S&P 500 ETF,283.28
20200605,922908363,VOO,328.0,VANGUARD INDEX FDS S&P 500 ETF,286.29
20200608,922908363,VOO,369.0,VANGUARD INDEX FDS S&P 500 ETF,293.61
20200609,922908363,VOO,3780.0,VANGUARD INDEX FDS S&P 500 ETF,297.17
20200610,922908363,VOO,166.0,VANGUARD INDEX FDS S&P 500 ETF,295.06
20200611,922908363,VOO,5.0,VANGUARD INDEX FDS S&P 500 ETF,293.22
20200612,922908363,VOO,227.0,VANGUARD INDEX FDS S&P 500 ETF,276.32
20200615,922908363,VOO,5344.0,VANGUARD INDEX FDS S&P 500 ETF,279.65
20200616,922908363,VOO,114.0,VANGUARD INDEX FDS S&P 500 ETF,282.2
20200617,922908363,VOO,92116.0,VANGUARD INDEX FDS S&P 500 ETF,287.72
20200618,922908363,VOO,138.0,VANGUARD INDEX FDS S&P 500 ETF,286.4
20200619,922908363,VOO,97.0,VANGUARD INDEX FDS S&P 500 ETF,286.66
20200622,922908363,VOO,18500.0,VANGUARD INDEX FDS S&P 500 ETF,284.97
20200623,922908363,VOO,230.0,VANGUARD INDEX FDS S&P 500 ETF,286.86
20200624,922908363,VOO,297.0,VANGUARD INDEX FDS S&P 500 ETF,288.16
20200626,922908363,VOO,25920.0,VANGUARD INDEX FDS S&P 500 ETF,283.76
20200630,922908363,VOO,13366.0,VANGUARD INDEX FDS S&P 500 ETF,279.7
20200706,922908363,VOO,86914.0,VANGUARD INDEX FDS S&P 500 ETF,286.81
20200707,922908363,VOO,283192.0,VANGUARD INDEX FDS S&P 500 ETF,291.26
20200708,922908363,VOO,321.0,VANGUARD INDEX FDS S&P 500 ETF,288.24
20200709,922908363,VOO,1.0,VANGUARD INDEX FDS S&P 500 ETF,290.38
20200710,922908363,VOO,10675.0,VANGUARD INDEX FDS S&P 500 ETF,288.9
20200713,922908363,VOO,4748.0,VANGUARD INDEX FDS S&P 500 ETF,291.8
20200715,922908363,VOO,1112.0,VANGUARD INDEX FDS S&P 500 ETF,293.03
20200716,922908363,VOO,88.0,VANGUARD INDEX FDS S&P 500 ETF,295.63
20200717,922908363,VOO,262.0,VANGUARD INDEX FDS S&P 500 ETF,294.77
20200720,922908363,VOO,83.0,VANGUARD INDEX FDS S&P 500 ETF,295.55
20200724,922908363,VOO,354.0,VANGUARD INDEX FDS S&P 500 ETF,296.74
